year,n_pd22,n_baseline,mean_pd22,std_pd22,mean_baseline,difference,p_value,cohens_d
2022,542,13676,-0.3620704016980166,2.8696760432779587,-0.017585530708083868,-0.3444848709899327,0.008229768946400403,-0.11574845567701657
2023,549,13713,-0.31453422677986337,2.8468710018577563,-0.0943796641575817,-0.22015456262228167,0.08603368355592073,-0.07472444611027981
2024,628,14537,-0.4635920512397564,2.991813301385306,-0.24835166955226473,-0.21524038168749166,0.07187590676102522,-0.07336408830143847
2025,565,14724,-0.026071271163817755,2.962576314642184,-0.12554180254987457,0.09947053138605681,0.43707185535299914,0.03331709757230095
2026,140,3991,-0.3306658888672857,2.6560734786900517,-0.2087757252902756,-0.1218901635770101,0.6350677383453296,-0.04081203733824245
