condition,upside_bucket,n,mean_vs_avg,std,win_rate,baseline_mean,difference,p_value,cohens_d
Calm,Upside_25-50,2295,-0.33760766396743397,2.9515768108794616,42.70152505446623,-0.2891760609854872,-0.048431602981946764,0.4434966923646773,-0.01644464848917054
Calm,Upside_50-75,25117,-0.3022844131621465,2.9522561963698544,43.66365409881753,-0.2891760609854872,-0.013108352176659288,0.5800514972178883,-0.0044470682617097895
Calm,Upside_75-100,12939,-0.2551399677429863,2.928844556363439,44.191977741711106,-0.2891760609854872,0.0340360932425009,0.2519872753875911,0.01157334045679103
Moderate,Upside_25-50,1625,0.1595697896871951,2.966336896498101,50.153846153846146,0.06782092437406614,0.09174886531312895,0.2290693659646123,0.030825856026917772
Moderate,Upside_50-75,14895,0.03203906898446795,2.9527583444039984,48.539778449144,0.06782092437406614,-0.035781855389598195,0.2472575958553578,-0.012056726438641585
Moderate,Upside_75-100,7609,0.11827155256360888,3.025490248069545,49.86200551977921,0.06782092437406614,0.05045062818954274,0.19919300874742268,0.016880334875700856
Tough,Upside_25-50,134,0.5772196487567164,2.927406561020774,53.73134328358209,0.32745943925962767,0.24976020949708871,0.3376800435807637,0.08520932324094935
Tough,Upside_50-75,1269,0.3475447177100552,2.8879559254495994,53.033884948778564,0.32745943925962767,0.020085278450427513,0.8437415374311314,0.006887855308239961
Tough,Upside_75-100,907,0.2624582414358104,2.9924239166774385,53.03197353914002,0.32745943925962767,-0.06500119782381725,0.5737671724487069,-0.022044091860327002
