ev_bucket,total_matchups,p_a_win,p_tie,p_a_loss,fair_decimal,fair_american
-11.75,2,0.5,0.0,0.5,2.0,100.0
-11.25,23,0.8181818181818182,0.0434782608695652,0.1818181818181818,1.222,-450.0
-11.0,42,0.8205128205128205,0.0714285714285714,0.1794871794871795,1.219,-457.0
-10.75,72,0.78125,0.1111111111111111,0.21875,1.28,-357.0
-10.5,93,0.6781609195402298,0.064516129032258,0.3218390804597701,1.475,-211.0
-10.25,117,0.6422018348623854,0.0683760683760683,0.3577981651376147,1.557,-179.0
-10.0,142,0.6060606060606061,0.0704225352112676,0.3939393939393939,1.65,-154.0
-9.75,204,0.6358695652173914,0.0980392156862745,0.3641304347826087,1.573,-175.0
-9.5,246,0.6460176991150443,0.08130081300813,0.3539823008849557,1.548,-182.0
-9.25,267,0.7148936170212766,0.1198501872659176,0.2851063829787234,1.399,-251.0
-9.0,361,0.6756756756756757,0.077562326869806,0.3243243243243243,1.48,-208.0
-8.75,353,0.6580645161290323,0.121813031161473,0.3419354838709677,1.52,-192.0
-8.5,515,0.6367432150313153,0.0699029126213592,0.3632567849686847,1.57,-175.0
-8.25,441,0.5515463917525774,0.1201814058956916,0.4484536082474227,1.813,-123.0
-8.0,490,0.5595505617977528,0.0918367346938775,0.4404494382022472,1.787,-127.0
-7.75,543,0.5522088353413654,0.0828729281767955,0.4477911646586345,1.811,-123.0
-7.5,581,0.5817490494296578,0.0946643717728055,0.4182509505703422,1.719,-139.0
-7.25,652,0.582089552238806,0.0751533742331288,0.417910447761194,1.718,-139.0
-7.0,614,0.5840867992766727,0.0993485342019544,0.4159132007233273,1.712,-140.0
-6.75,624,0.5585106382978723,0.0961538461538461,0.4414893617021276,1.79,-127.0
-6.5,765,0.571830985915493,0.0718954248366013,0.428169014084507,1.749,-134.0
-6.25,944,0.5244755244755245,0.0911016949152542,0.4755244755244755,1.907,-110.0
-6.0,1112,0.5507389162561577,0.0872302158273381,0.4492610837438424,1.816,-123.0
-5.75,1343,0.5682565789473685,0.0945644080416976,0.4317434210526316,1.76,-132.0
-5.5,1631,0.539768864717879,0.0980993255671367,0.460231135282121,1.853,-117.0
-5.25,1982,0.559255079006772,0.1059535822401614,0.440744920993228,1.788,-127.0
-5.0,1987,0.572945779765232,0.0996477101157524,0.427054220234768,1.745,-134.0
-4.75,2782,0.5610047846889952,0.098490294751977,0.4389952153110047,1.783,-128.0
-4.5,4161,0.5627980922098569,0.0930064888248017,0.437201907790143,1.777,-129.0
-4.25,5776,0.5576371630663353,0.0943559556786703,0.4423628369336647,1.793,-126.0
-4.0,6359,0.5590029632211957,0.0978141217172511,0.4409970367788042,1.789,-127.0
-3.75,9410,0.5601835510060007,0.0968119022316684,0.4398164489939993,1.785,-127.0
-3.5,12772,0.5559504203865823,0.0966958972752897,0.4440495796134177,1.799,-125.0
-3.25,17139,0.5554547222402282,0.0998891417235544,0.4445452777597718,1.8,-125.0
-3.0,23736,0.5539481052828076,0.0972362655881361,0.4460518947171925,1.805,-124.0
-2.75,33815,0.5488761452771735,0.1027058997486322,0.4511238547228264,1.822,-122.0
-2.5,39697,0.5375076802770485,0.0980174824294027,0.4624923197229514,1.86,-116.0
-2.25,47254,0.5247821605921484,0.0965420916747788,0.4752178394078515,1.906,-110.0
-2.0,62339,0.5211699114728986,0.0994241165241662,0.4788300885271014,1.919,-109.0
-1.75,86325,0.5208386798747626,0.0972256009267303,0.4791613201252374,1.92,-109.0
-1.5,97073,0.5070014595876665,0.0965974060758398,0.4929985404123335,1.972,-103.0
-1.25,115344,0.4854767417385813,0.0938236926064641,0.5145232582614186,2.06,106.0
-1.0,156045,0.4628147141471839,0.0946265500336441,0.5371852858528161,2.161,116.0
-0.75,217887,0.432107901526172,0.0945260616741705,0.567892098473828,2.314,131.0
-0.5,325049,0.4327374743487479,0.0974960698233189,0.567262525651252,2.311,131.0
-0.25,439642,0.4545144520060021,0.0995810227412303,0.545485547993998,2.2,120.0
0.0,493026,0.4939292639049087,0.1014125015719252,0.5060707360950912,2.025,102.0
0.25,430844,0.5319440897823794,0.1001545803121315,0.4680559102176206,1.88,-114.0
0.5,316506,0.5574597797290535,0.0972082677737546,0.4425402202709466,1.794,-126.0
0.75,199106,0.5525988794585899,0.0946028748505821,0.4474011205414101,1.81,-124.0
1.0,143229,0.5203280283549934,0.0958465115304861,0.4796719716450066,1.922,-108.0
1.25,114510,0.4872123872461531,0.0947952143917561,0.5127876127538469,2.052,105.0
1.5,90443,0.462994519976952,0.0981170460953307,0.5370054800230479,2.16,116.0
1.75,74335,0.4602648512264672,0.0989305172529763,0.5397351487735328,2.173,117.0
2.0,58349,0.457765719272948,0.0967111690003256,0.5422342807270519,2.185,118.0
2.25,46658,0.4652967927807805,0.0998542586480346,0.5347032072192195,2.149,115.0
2.5,37039,0.4403318060671398,0.0984367828505089,0.5596681939328602,2.271,127.0
2.75,30355,0.4383897529734675,0.0998188107395816,0.5616102470265325,2.281,128.0
3.0,24395,0.4360649786732008,0.0966181594589055,0.5639350213267992,2.293,129.0
3.25,17085,0.4392826976804626,0.0991513023119695,0.5607173023195374,2.276,128.0
3.5,12460,0.4401417811253877,0.0943017656500802,0.5598582188746123,2.272,127.0
3.75,8528,0.4475968389687783,0.0948639774859287,0.5524031610312217,2.234,123.0
4.0,6495,0.4284738818709457,0.0980754426481909,0.5715261181290543,2.334,133.0
4.25,5706,0.402083735288443,0.091657903960743,0.597916264711557,2.487,149.0
