condition,round_type,player_a,player_b,player_c,score_a,score_b,score_c,best_player,best_score,best_vs_second,best_vs_worst,recommendation,color_a,color_b,color_c,exec_a,exec_b,exec_c,upside_a,upside_b,upside_c
Calm,Closing,Jason Day,Sudarshan Yellamaraju,Chris Kirk,-2.368421052631579,6.254578754578755,1.5733597599422287,B,6.254578754578755,4.6812189946365255,8.622999807210334,SLIGHT: B favored,Blue,Purple,Purple,50,25,50,75,25,50
Calm,Closing,Stephan Jaeger,Tony Finau,Jordan Smith,1.7998010707245555,1.5733597599422287,-0.9959942288999611,A,1.7998010707245555,0.22644131078232688,2.795795299624517,SLIGHT: A favored,Yellow,Purple,Green,50,50,50,75,50,50
