pd_num,round_num,n_pd,n_baseline,mean_pd,std_pd,mean_baseline,difference,p_value,cohens_d
1,1,2307,16852,-0.23139075094202433,3.0333095633772684,-0.17636069207231458,-0.05503005886970974,0.40677234022626246,-0.01841655490632518
1,2,2326,16675,-0.18494726921322444,3.06539885831739,-0.1829175670694848,-0.0020297021437396257,0.9758516943051718,-0.0006699911931582304
1,3,1397,10292,-0.09842459258802007,2.9276450710797675,-0.09040825533434006,-0.008016337253680006,0.9217583309919717,-0.0028005661488798143
1,4,1364,9727,-0.08517371554522728,2.8009332881761377,-0.06390567576524828,-0.021268039779979,0.7988768538617871,-0.0073671608479037995
6,1,1794,16852,-0.175306488990864,2.965186985292058,-0.17636069207231458,0.001054203081450572,0.9886358392841638,0.00035373147892024475
6,2,1850,16675,-0.13391632837523137,3.128365961615854,-0.1829175670694848,0.049001238694253435,0.5099900574924984,0.016145718323006517
6,3,1106,10292,0.1030860416189087,2.8518404470710634,-0.09040825533434006,0.19349429695324877,0.03212829483987106,0.0678147202359663
6,4,1094,9727,-0.028548144421362,2.9193885935115516,-0.06390567576524828,0.03535753134388628,0.7022963868940196,0.012188864493223124
