upside_bucket,n,mean,std
Upside_50-75,41281,-0.16167780397994047,2.9560903894546158
Upside_25-50,4054,-0.10808121549831501,2.9684885169244644
Upside_75-100,21455,-0.1008286261565006,2.9722491235035355
