player_a,player_b,color_a,color_b,condition,round_type,exec_score_a,upside_score_a,score_a,exec_score_b,upside_score_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Wyndham Clark,Sahith Theegala,Blue,Orange,Moderate,Open,-3.27,1.41,-0.93,5.23,2.86,4.045,4.045,-0.93,Sahith Theegala,Sahith Theegala,True
Jason Day,Michael Thorbjornsen,Yellow,Red,Moderate,Open,-4.56,-0.99,-2.775,-0.07,-0.72,-0.395,-0.395,-2.775,Michael Thorbjornsen,Michael Thorbjornsen,True
Matt Fitzpatrick,Jake Knapp,Yellow,Pink,Moderate,Open,-0.48,-0.99,-0.735,-1.07,0.45,-0.31000000000000005,-0.31000000000000005,-0.735,Jake Knapp,Matt Fitzpatrick,False
Ryan Fox,Patrick Rodgers,Blue,Orange,Moderate,Open,-0.51,1.41,0.44999999999999996,0.59,-0.57,0.010000000000000009,0.44999999999999996,0.010000000000000009,Ryan Fox,Patrick Rodgers,False
Ryan Gerard,Harry Hall,Pink,Orange,Moderate,Open,-1.07,0.45,-0.31000000000000005,5.23,2.86,4.045,4.045,-0.31000000000000005,Harry Hall,Harry Hall,True
Chris Gotterup,Hideki Matsuyama,Blue,Purple,Moderate,Open,-3.27,1.41,-0.93,-0.99,3.38,1.1949999999999998,1.1949999999999998,-0.93,Hideki Matsuyama,Chris Gotterup,False
Russell Henley,Viktor Hovland,Blue,Brown,Moderate,Open,-3.27,1.41,-0.93,2.16,2.97,2.5650000000000004,2.5650000000000004,-0.93,Viktor Hovland,Russell Henley,False
Garrick Higgo,Rico Hoey,Yellow,Brown,Moderate,Open,-4.56,-0.99,-2.775,2.16,2.97,2.5650000000000004,2.5650000000000004,-2.775,Rico Hoey,Rico Hoey,True
Kurt Kitayama,Pierceson Coody,Purple,Blue,Moderate,Open,3.77,3.38,3.575,-3.27,1.41,-0.93,3.575,-0.93,Kurt Kitayama,Pierceson Coody,False
Min Woo Lee,Nick Taylor,Orange,Blue,Moderate,Open,5.28,2.86,4.07,-0.51,1.41,0.44999999999999996,4.07,0.44999999999999996,Min Woo Lee,Min Woo Lee,True
Denny McCarthy,Andrew Novak,Green,Orange,Moderate,Open,-10.61,-1.02,-5.8149999999999995,5.23,2.86,4.045,4.045,-5.8149999999999995,Andrew Novak,Andrew Novak,True
Rory McIlroy,Tommy Fleetwood,Purple,Red,Moderate,Open,3.77,3.38,3.575,-7.04,-0.72,-3.88,3.575,-3.88,Rory McIlroy,Tommy Fleetwood,False
Maverick McNealy,Patrick Cantlay,Red,Red,Moderate,Open,-0.07,-0.72,-0.395,-0.07,-0.72,-0.395,-0.395,-0.395,TIE,Patrick Cantlay,
Keith Mitchell,Sam Stevens,Brown,Purple,Moderate,Open,2.16,2.97,2.5650000000000004,3.77,3.38,3.575,3.575,2.5650000000000004,Sam Stevens,Sam Stevens,True
Collin Morikawa,Daniel Berger,Yellow,Blue,Moderate,Open,-0.48,-0.99,-0.735,-0.51,1.41,0.44999999999999996,0.44999999999999996,-0.735,Daniel Berger,Collin Morikawa,False
Taylor Pendrith,Jordan Spieth,Orange,Orange,Moderate,Open,5.23,2.86,4.045,5.23,2.86,4.045,4.045,4.045,TIE,Jordan Spieth,
J.T. Poston,Michael Kim,Yellow,Orange,Moderate,Open,-4.56,-0.99,-2.775,5.28,2.86,4.07,4.07,-2.775,Michael Kim,J.T. Poston,False
Aaron Rai,Matt McCarty,Red,Purple,Moderate,Open,-0.07,-0.72,-0.395,0.0,0.59,0.295,0.295,-0.395,Matt McCarty,Matt McCarty,True
Xander Schauffele,Justin Rose,Green,Pink,Moderate,Open,2.61,-1.02,0.7949999999999999,1.09,0.15,0.62,0.7949999999999999,0.62,Xander Schauffele,Justin Rose,False
Scottie Scheffler,Si Woo Kim,Yellow,Blue,Moderate,Open,-0.48,-0.99,-0.735,-0.51,1.41,0.44999999999999996,0.44999999999999996,-0.735,Si Woo Kim,Scottie Scheffler,False
J.J. Spaun,Ben Griffin,Blue,Blue,Moderate,Open,-0.51,1.41,0.44999999999999996,-3.27,1.41,-0.93,0.44999999999999996,-0.93,J.J. Spaun,Ben Griffin,False
Cameron Young,Robert MacIntyre,Orange,Purple,Moderate,Open,5.23,2.86,4.045,3.77,3.38,3.575,4.045,3.575,Cameron Young,Robert MacIntyre,False
Min Woo Lee,Robert MacIntyre,Orange,Purple,Moderate,Open,5.28,2.86,4.07,3.77,3.38,3.575,4.07,3.575,Min Woo Lee,Min Woo Lee,True
Alex Smalley,Ryo Hisatsune,Blue,Yellow,Moderate,Open,-0.51,1.41,0.44999999999999996,-0.48,-0.99,-0.735,0.44999999999999996,-0.735,Alex Smalley,Alex Smalley,True
Pierceson Coody,J.J. Spaun,Blue,Blue,Moderate,Open,-3.27,1.41,-0.93,-0.51,1.41,0.44999999999999996,0.44999999999999996,-0.93,J.J. Spaun,Pierceson Coody,False
Michael Kim,Corey Conners,Orange,Purple,Moderate,Open,5.28,2.86,4.07,-0.99,3.38,1.1949999999999998,4.07,1.1949999999999998,Michael Kim,Corey Conners,False
Si Woo Kim,Maverick McNealy,Blue,Red,Moderate,Open,-0.51,1.41,0.44999999999999996,-0.07,-0.72,-0.395,0.44999999999999996,-0.395,Si Woo Kim,Si Woo Kim,True
Jake Knapp,Daniel Berger,Pink,Blue,Moderate,Open,-1.07,0.45,-0.31000000000000005,-0.51,1.41,0.44999999999999996,0.44999999999999996,-0.31000000000000005,Daniel Berger,Jake Knapp,False
Xander Schauffele,Cameron Young,Green,Orange,Moderate,Open,2.61,-1.02,0.7949999999999999,5.23,2.86,4.045,4.045,0.7949999999999999,Cameron Young,Cameron Young,True
Jordan Spieth,Nick Taylor,Orange,Blue,Moderate,Open,5.23,2.86,4.045,-0.51,1.41,0.44999999999999996,4.045,0.44999999999999996,Jordan Spieth,Jordan Spieth,True
Russell Henley,Ben Griffin,Blue,Blue,Moderate,Open,-3.27,1.41,-0.93,-3.27,1.41,-0.93,-0.93,-0.93,TIE,Russell Henley,
Sam Burns,Jacob Bridgeman,Orange,Red,Moderate,Open,5.23,2.86,4.045,-0.07,-0.72,-0.395,4.045,-0.395,Sam Burns,Sam Burns,True
Sepp Straka,Shane Lowry,Green,Orange,Moderate,Open,-10.61,-1.02,-5.8149999999999995,5.23,2.86,4.045,4.045,-5.8149999999999995,Shane Lowry,Sepp Straka,False
Kurt Kitayama,Denny McCarthy,Purple,Green,Moderate,Open,3.77,3.38,3.575,-10.61,-1.02,-5.8149999999999995,3.575,-5.8149999999999995,Kurt Kitayama,Denny McCarthy,False
Matt Fitzpatrick,Justin Rose,Yellow,Pink,Moderate,Open,-0.48,-0.99,-0.735,1.09,0.15,0.62,0.62,-0.735,Justin Rose,Justin Rose,True
Akshay Bhatia,Viktor Hovland,Brown,Brown,Moderate,Open,0.89,2.97,1.9300000000000002,2.16,2.97,2.5650000000000004,2.5650000000000004,1.9300000000000002,Viktor Hovland,Akshay Bhatia,False
Rickie Fowler,Wyndham Clark,Red,Blue,Moderate,Open,-0.07,-0.72,-0.395,-3.27,1.41,-0.93,-0.395,-0.93,Rickie Fowler,Rickie Fowler,True
Chris Gotterup,Patrick Cantlay,Blue,Red,Moderate,Open,-3.27,1.41,-0.93,-0.07,-0.72,-0.395,-0.395,-0.93,Patrick Cantlay,Chris Gotterup,False
Harris English,Collin Morikawa,Pink,Yellow,Moderate,Open,1.09,0.15,0.62,-0.48,-0.99,-0.735,0.62,-0.735,Harris English,Collin Morikawa,False
Harry Hall,Keegan Bradley,Orange,Yellow,Moderate,Open,5.23,2.86,4.045,-4.56,-0.99,-2.775,4.045,-2.775,Harry Hall,Harry Hall,True
Ludvig Aberg,Ryan Gerard,Yellow,Pink,Moderate,Open,0.35,-5.06,-2.355,-1.07,0.45,-0.31000000000000005,-0.31000000000000005,-2.355,Ryan Gerard,Ryan Gerard,True
Hideki Matsuyama,Scottie Scheffler,Purple,Yellow,Moderate,Open,-0.99,3.38,1.1949999999999998,-0.48,-0.99,-0.735,1.1949999999999998,-0.735,Hideki Matsuyama,Scottie Scheffler,False
J.T. Poston,Sahith Theegala,Yellow,Orange,Moderate,Open,-4.56,-0.99,-2.775,5.23,2.86,4.045,4.045,-2.775,Sahith Theegala,Sahith Theegala,True
Pierceson Coody,Ryo Hisatsune,Blue,Yellow,Moderate,Open,-3.27,1.41,-0.93,-0.48,-0.99,-0.735,-0.735,-0.93,Ryo Hisatsune,Ryo Hisatsune,True
Joe Highsmith,Alex Smalley,Orange,Blue,Moderate,Open,0.59,-0.57,0.010000000000000009,-0.51,1.41,0.44999999999999996,0.44999999999999996,0.010000000000000009,Alex Smalley,Joe Highsmith,False
Emiliano Grillo,Michael Kim,Red,Orange,Moderate,Open,-0.07,-0.72,-0.395,5.28,2.86,4.07,4.07,-0.395,Michael Kim,Michael Kim,True
Si Woo Kim,J.J. Spaun,Blue,Blue,Moderate,Open,-0.51,1.41,0.44999999999999996,-0.51,1.41,0.44999999999999996,0.44999999999999996,0.44999999999999996,TIE,Si Woo Kim,
Chris Kirk,Sami Valimaki,Orange,Orange,Moderate,Open,0.59,-0.57,0.010000000000000009,5.23,2.86,4.045,4.045,0.010000000000000009,Sami Valimaki,Sami Valimaki,True
Steven Fisk,Jake Knapp,Blue,Pink,Moderate,Open,-0.51,1.41,0.44999999999999996,-1.07,0.45,-0.31000000000000005,0.44999999999999996,-0.31000000000000005,Steven Fisk,Steven Fisk,True
Rory McIlroy,Ryan Fox,Purple,Blue,Moderate,Open,3.77,3.38,3.575,-0.51,1.41,0.44999999999999996,3.575,0.44999999999999996,Rory McIlroy,Rory McIlroy,True
