group,n_pd22,n_baseline,mean_pd22,std_pd22,mean_baseline,difference,p_value,cohens_d
Warm (Green+Yellow),1177,29090,-0.3828737274550952,2.886854675844091,-0.12253553590810017,-0.260338191546995,0.0030850026719049296,-0.08798829711185135
Cool (6 others),1247,31551,-0.21687118832026225,2.9282009077239337,-0.13508791967446845,-0.0817832686457938,0.3398333285738201,-0.02755901579738266
