player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
John Parry,Tom Kim,Calm,Open,Tom Kim,John Parry,-9.107644049355278,-11.862464985994396,-2.7548209366391183,LOSS,False
Seamus Power,Mackenzie Hughes,Calm,Open,Mackenzie Hughes,Seamus Power,-19.216537928302635,-15.51283422459893,3.703703703703704,LOSS,False
Christiaan Bezuidenhout,Haotong Li,Calm,Open,SKIP,Push,1.2203342263043724,-2.063247863247867,-3.2835820895522394,PUSH,
Ewen Ferguson,Matthew Jordan,Calm,Open,Matthew Jordan,Push,-10.37789785971604,-8.454820936639118,1.9230769230769216,PUSH,
Justin Walters,Louis Albertse,Calm,Open,Louis Albertse,Louis Albertse,-8.235437958967367,-10.262464985994395,-2.0270270270270285,WIN,True
Angel Ayora,Antoine Rozner,Calm,Open,Antoine Rozner,Angel Ayora,-14.54964560247579,-13.04021164021164,1.509433962264151,LOSS,False
Jayden Schaper,Thriston Lawrence,Calm,Open,Thriston Lawrence,Push,-13.016537928302634,-9.31283422459893,3.703703703703704,PUSH,
Casey Jarvis,Dan Bradbury,Calm,Open,Dan Bradbury,Casey Jarvis,-8.3,-11.583582089552241,-3.2835820895522394,LOSS,False
Joost Luiten,Jacques Kruyswijk,Calm,Open,SKIP,Joost Luiten,1.8632885632885614,-9.776923076923078,-11.64021164021164,SKIP,
Marcus Armitage,Alejandro Del Rey,Calm,Open,Alejandro Del Rey,Alejandro Del Rey,-9.964254898903269,-8.454820936639118,1.509433962264151,WIN,True
Dean Burmester,Hennie du Plessis,Calm,Open,Dean Burmester,Dean Burmester,12.414033629740434,0.7738219895287948,-11.64021164021164,WIN,True
Jorge Campillo,Martin Couvra,Calm,Open,SKIP,Jorge Campillo,-2.649254933548127,-0.7261780104712052,1.9230769230769216,SKIP,
Jacob Olesen,Julien Guerrier,Calm,Open,SKIP,Julien Guerrier,3.528642926167913,0.7738219895287948,-2.7548209366391183,SKIP,
Wenyi Ding,Alex Fitzpatrick,Calm,Open,Alex Fitzpatrick,Alex Fitzpatrick,-9.485541909071317,-7.562464985994396,1.9230769230769216,WIN,True
