condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Moderate,Positioning,25.0,9.0,32,21.875,8.536585365853659,HIGH,-0.24800309409999993
Calm,Open,21.0,8.0,32,21.875,8.536585365853659,HIGH,-0.20590155450000014
Moderate,Closing,16.0,9.0,68,14.70588235294118,8.474576271186443,HIGH,-0.230505944025
Tough,Survival,29.0,7.0,9,55.55555555555556,8.474576271186441,WEAK,-2.277864008088889
Moderate,Closing,17.0,8.0,118,11.864406779661016,8.333333333333332,HIGH,0.1680818672932204
Calm,Survival,8.0,9.0,94,12.765957446808507,8.33333333333333,HIGH,0.18310964045319145
Moderate,Survival,1.0,7.0,48,16.666666666666664,8.163265306122447,HIGH,-0.44755554943333326
Moderate,Closing,7.0,1.0,49,16.326530612244895,8.08080808080808,HIGH,-0.019277177857142856
Moderate,Positioning,24.0,4.0,12,41.66666666666667,8.064516129032258,WEAK,-2.2762889031666664
Moderate,Survival,25.0,9.0,38,18.42105263157895,7.954545454545455,HIGH,0.12370743221578974
Calm,Closing,3.0,3.0,54,14.814814814814813,7.692307692307692,HIGH,-0.4469127755333333
Moderate,Survival,18.0,7.0,54,14.814814814814813,7.692307692307692,HIGH,-0.4086340219094115
Moderate,Positioning,21.0,7.0,54,14.814814814814813,7.692307692307692,HIGH,-0.2578397496318521
Calm,Open,23.0,4.0,120,10.833333333333334,7.647058823529413,HIGH,-0.050016057589166545
Moderate,Open,15.0,1.0,94,11.702127659574469,7.638888888888889,HIGH,-0.1125670600882978
Moderate,Positioning,26.0,2.0,29,20.689655172413794,7.59493670886076,EXPLORATORY,0.06812856921724136
Moderate,Closing,25.0,9.0,29,20.689655172413794,7.59493670886076,EXPLORATORY,0.04294518176206901
Calm,Positioning,2.0,7.0,83,12.04819277108434,7.518796992481205,HIGH,-0.5674579016879518
Moderate,Survival,6.0,2.0,191,9.42408376963351,7.468879668049794,HIGH,-0.27953263795340305
Calm,Positioning,27.0,7.0,17,29.411764705882355,7.46268656716418,EXPLORATORY,-0.3870336789882354
Tough,Closing,26.0,3.0,4,100.0,7.4074074074074066,WEAK,-4.0570649945
Tough,Open,10.0,8.0,4,100.0,7.4074074074074066,WEAK,-2.993857734396
Moderate,Open,15.0,9.0,18,27.77777777777778,7.352941176470589,EXPLORATORY,-0.7960596421222224
Tough,Positioning,11.0,5.0,18,27.77777777777778,7.352941176470589,EXPLORATORY,-1.1515787516635554
Moderate,Positioning,1.0,5.0,59,13.559322033898303,7.339449541284402,HIGH,-0.27342338862711857
Moderate,Survival,8.0,8.0,142,9.859154929577468,7.291666666666669,HIGH,-0.10447937744014091
Calm,Positioning,1.0,6.0,46,15.217391304347828,7.291666666666668,HIGH,-0.9715870675108695
Moderate,Positioning,23.0,2.0,19,26.31578947368421,7.246376811594202,EXPLORATORY,-0.6570194622210526
Calm,Positioning,20.0,6.0,158,9.49367088607595,7.211538461538462,HIGH,-0.25795474593417733
Tough,Positioning,27.0,2.0,6,66.66666666666666,7.1428571428571415,WEAK,-1.4239247536666666
Calm,Positioning,30.0,6.0,106,10.377358490566035,7.051282051282049,HIGH,-0.21729589884433975
Moderate,Closing,6.0,2.0,92,10.869565217391305,7.042253521126761,HIGH,-0.004705426902173917
Tough,Closing,21.0,7.0,7,57.14285714285714,7.0175438596491215,WEAK,-2.693420072285714
Moderate,Survival,10.0,7.0,152,9.210526315789473,6.93069306930693,HIGH,-0.5471853189663158
Moderate,Closing,9.0,8.0,37,16.216216216216218,6.8965517241379315,HIGH,-0.3527763862878378
Calm,Survival,24.0,1.0,8,50.0,6.896551724137931,WEAK,-1.0411684976000002
Tough,Open,27.0,2.0,8,50.0,6.896551724137931,WEAK,-2.5080955585749996
Tough,Open,23.0,4.0,8,50.0,6.896551724137931,WEAK,-2.1021973132
Tough,Open,23.0,1.0,8,50.0,6.896551724137931,WEAK,-1.1007373515999999
Tough,Open,29.0,6.0,8,50.0,6.896551724137931,WEAK,-1.07117454629
Calm,Positioning,16.0,2.0,38,15.789473684210526,6.818181818181818,HIGH,-0.2927135114921051
Moderate,Positioning,15.0,4.0,82,10.97560975609756,6.8181818181818175,HIGH,-0.057377219302439
Moderate,Survival,4.0,3.0,9,44.44444444444444,6.779661016949153,WEAK,-1.9578594300777779
Calm,Positioning,13.0,3.0,68,11.76470588235294,6.779661016949152,HIGH,-0.6111469989999998
Tough,Positioning,25.0,3.0,24,20.833333333333336,6.756756756756758,EXPLORATORY,-0.7797081409101665
Moderate,Survival,7.0,2.0,54,12.962962962962962,6.730769230769231,HIGH,-0.5366441610464813
Calm,Positioning,18.0,6.0,10,40.0,6.666666666666666,WEAK,-1.3859832159999999
Calm,Survival,24.0,9.0,25,20.0,6.666666666666666,EXPLORATORY,-1.1087622830000001
Moderate,Positioning,5.0,9.0,10,40.0,6.666666666666666,WEAK,-1.5943323729999999
Calm,Positioning,5.0,9.0,40,14.999999999999996,6.666666666666664,HIGH,-0.01170891600000008
Calm,Positioning,6.0,1.0,117,9.401709401709404,6.58682634730539,HIGH,-0.18830392818803413
Calm,Closing,7.0,1.0,87,10.344827586206895,6.569343065693429,HIGH,-0.5290033797149424
Moderate,Closing,29.0,9.0,11,36.36363636363637,6.557377049180329,WEAK,-1.0823647527636362
Tough,Survival,11.0,5.0,11,36.36363636363636,6.557377049180327,WEAK,-1.4115523227349092
Moderate,Open,19.0,8.0,42,14.285714285714285,6.521739130434781,HIGH,-0.3667440960023811
Calm,Survival,22.0,2.0,88,10.227272727272727,6.521739130434781,HIGH,0.1628536703295455
Calm,Positioning,20.0,8.0,134,8.955223880597012,6.5217391304347805,HIGH,-0.41161707299552247
Moderate,Positioning,26.0,3.0,43,13.953488372093023,6.451612903225806,HIGH,-0.15585579026232557
Tough,Survival,15.0,3.0,12,33.33333333333333,6.451612903225805,WEAK,-1.179958857458333
Moderate,Closing,19.0,9.0,28,17.857142857142858,6.410256410256411,EXPLORATORY,-0.3014784076964287
Moderate,Open,8.0,8.0,138,8.695652173913043,6.382978723404255,HIGH,-0.6429099379550723
Calm,Closing,8.0,5.0,29,17.24137931034483,6.329113924050634,EXPLORATORY,-0.10245517027586214
Calm,Survival,21.0,8.0,29,17.241379310344826,6.329113924050632,EXPLORATORY,-0.3567636234655173
Calm,Closing,9.0,7.0,93,9.677419354838706,6.2937062937062915,HIGH,-0.5081796647849463
Moderate,Survival,16.0,1.0,46,13.043478260869568,6.250000000000002,HIGH,-0.9317860469260867
Tough,Positioning,24.0,3.0,14,28.57142857142857,6.25,WEAK,-1.2533878863071433
Tough,Positioning,29.0,7.0,14,28.57142857142857,6.25,WEAK,-0.8667539177214287
Calm,Closing,3.0,5.0,78,10.256410256410255,6.249999999999999,HIGH,-0.30856338214102563
Moderate,Positioning,25.0,3.0,94,9.57446808510638,6.249999999999998,HIGH,-0.43707842418936155
Calm,Positioning,29.0,7.0,98,9.183673469387754,6.081081081081081,HIGH,-0.48856208128061224
Calm,Open,19.0,8.0,66,10.606060606060607,6.03448275862069,HIGH,-0.017344218712121263
Moderate,Open,26.0,2.0,33,15.151515151515152,6.024096385542169,HIGH,-1.2286614383666667
Calm,Survival,23.0,4.0,85,9.41176470588235,5.925925925925924,HIGH,0.06970050088235298
Tough,Open,24.0,3.0,18,22.222222222222225,5.882352941176471,EXPLORATORY,0.0684966261666666
Calm,Positioning,13.0,6.0,120,8.333333333333332,5.88235294117647,HIGH,-0.13286642658666656
Moderate,Positioning,19.0,1.0,18,22.22222222222222,5.88235294117647,EXPLORATORY,-0.7356128549888887
Moderate,Positioning,27.0,8.0,36,13.88888888888889,5.813953488372094,HIGH,-0.5523802674063891
Tough,Open,17.0,8.0,19,21.052631578947366,5.797101449275361,EXPLORATORY,-1.6840649246789472
Moderate,Open,27.0,1.0,123,8.130081300813007,5.780346820809248,HIGH,0.20138516366666667
Calm,Closing,18.0,2.0,20,20.0,5.7142857142857135,EXPLORATORY,-1.0927161380000001
Calm,Closing,5.0,1.0,3,100.0,5.660377358490567,WEAK,-3.2292230466666667
Tough,Survival,23.0,6.0,3,100.0,5.660377358490567,WEAK,-4.044765168633333
Calm,Open,19.0,5.0,3,100.0,5.660377358490567,WEAK,-2.3340916784
Calm,Positioning,23.0,4.0,76,9.210526315789478,5.555555555555558,HIGH,-0.13321559687105253
Moderate,Closing,20.0,6.0,94,8.510638297872342,5.555555555555557,HIGH,-0.6255000210657821
Tough,Survival,8.0,2.0,4,75.0,5.555555555555555,WEAK,-1.2591935768479998
Calm,Closing,12.0,5.0,113,7.964601769911503,5.521472392638035,HIGH,0.005312705359291965
Calm,Survival,20.0,5.0,59,10.16949152542373,5.5045871559633035,HIGH,-0.7128688567457626
Moderate,Closing,7.0,9.0,23,17.39130434782609,5.479452054794521,EXPLORATORY,-0.25741411793913027
Calm,Closing,7.0,9.0,23,17.391304347826086,5.47945205479452,EXPLORATORY,-0.47087148780869553
Tough,Closing,8.0,7.0,5,60.0,5.454545454545455,WEAK,-1.09816216794
Moderate,Open,10.0,9.0,5,60.00000000000001,5.454545454545455,WEAK,-2.1672860481000003
Moderate,Survival,25.0,2.0,172,6.976744186046516,5.405405405405409,HIGH,-0.19055113246627914
Calm,Positioning,15.0,4.0,154,7.142857142857142,5.3921568627450975,HIGH,0.3681507520859092
Tough,Open,5.0,3.0,6,50.0,5.357142857142857,WEAK,-2.3510027700633334
Tough,Open,18.0,8.0,6,50.0,5.357142857142857,WEAK,-1.9696555242516667
Tough,Open,25.0,1.0,6,50.0,5.357142857142857,WEAK,-1.6864040803
Tough,Survival,27.0,8.0,6,50.0,5.357142857142857,WEAK,-0.8224440534666666
Tough,Positioning,8.0,9.0,6,50.0,5.357142857142857,WEAK,-1.4287117725926668
Moderate,Closing,8.0,7.0,82,8.53658536585366,5.3030303030303045,HIGH,-0.5063614969468249
Tough,Survival,14.0,2.0,7,42.857142857142854,5.263157894736842,WEAK,-1.2974959461942859
Tough,Positioning,28.0,7.0,7,42.857142857142854,5.263157894736842,WEAK,-2.168147766071429
Tough,Closing,15.0,2.0,7,42.857142857142854,5.263157894736842,WEAK,-1.0036474038514285
Moderate,Open,18.0,2.0,26,15.384615384615383,5.263157894736842,EXPLORATORY,-0.4334708082307693
Tough,Open,9.0,7.0,7,42.857142857142854,5.263157894736842,WEAK,-1.7392514550700002
Moderate,Positioning,14.0,1.0,45,11.11111111111111,5.263157894736842,HIGH,-0.3536416033333334
Calm,Open,23.0,6.0,46,10.869565217391305,5.208333333333334,HIGH,-0.23423690956521756
Moderate,Positioning,22.0,2.0,27,14.814814814814813,5.194805194805194,EXPLORATORY,-0.5155141112518518
Calm,Positioning,22.0,5.0,27,14.814814814814813,5.194805194805194,EXPLORATORY,-0.4520133492851852
Tough,Positioning,25.0,1.0,8,37.5,5.172413793103448,WEAK,-1.7765400395
Tough,Survival,19.0,1.0,8,37.5,5.172413793103448,WEAK,-1.9778515734749997
Moderate,Positioning,20.0,6.0,86,8.139534883720929,5.14705882352941,HIGH,-0.4158946303088907
Calm,Closing,8.0,1.0,223,6.278026905829592,5.128205128205125,HIGH,-0.3311704744493273
Tough,Positioning,19.0,1.0,9,33.33333333333333,5.084745762711864,WEAK,-1.8460921374666666
Tough,Closing,15.0,1.0,9,33.33333333333333,5.084745762711864,WEAK,-1.1052300283
Tough,Positioning,14.0,3.0,9,33.33333333333333,5.084745762711864,WEAK,-1.1850917633622222
Moderate,Survival,29.0,7.0,108,7.4074074074074066,5.063291139240506,HIGH,0.09375437088592581
Moderate,Survival,8.0,9.0,69,8.695652173913043,5.042016806722689,HIGH,-0.1071217094784059
Calm,Positioning,8.0,9.0,69,8.695652173913043,5.042016806722689,HIGH,0.111958583142029
Moderate,Survival,3.0,5.0,89,7.865168539325842,5.0359712230215825,HIGH,-0.33843897161011227
Moderate,Survival,20.0,8.0,130,6.923076923076923,5.0,HIGH,-0.03477838165615392
Tough,Positioning,15.0,4.0,10,30.0,5.0,WEAK,-1.81854458906
Moderate,Closing,2.0,3.0,10,30.0,5.0,WEAK,-1.31829034733
Moderate,Closing,25.0,1.0,32,12.5,4.878048780487805,HIGH,-0.7240425598937499
