ev_bucket,avg_projected_vs_par,total_players,beats_par_count,matches_par_count,over_par_count,p_beats_par,p_matches_par,p_over_par,p_a_win,fair_american,odds_advantage_vs_market
-7.0,0.7088626645,1,0,0,1,0.0,0.0,1.0,0.4839181286549707,107.0,-0.04071773636991033
-6.75,0.9535259576,4,2,0,2,0.5,0.0,0.5,0.5030643513789581,-101.0,-0.021321961620469065
-6.5,0.8902913332833333,12,1,1,10,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.5066273932253313,-103.0,-0.016420361247947435
-6.25,0.42088878338200003,5,2,2,1,0.4,0.4,0.2,0.4908424908424908,104.0,-0.03361344537815131
-6.0,0.25288631378666665,6,2,0,4,0.3333333333333333,0.0,0.6666666666666666,0.4577762139338494,118.0,-0.06509392747924858
-5.75,0.19222912246571427,14,5,2,7,0.35714285714285715,0.14285714285714285,0.5,0.4903540903540903,104.0,-0.03361344537815131
-5.5,0.033109710729411775,17,8,2,7,0.47058823529411764,0.11764705882352941,0.4117647058823529,0.4552559593591246,120.0,-0.0692640692640693
-5.25,-0.2445342491766207,29,14,5,10,0.4827586206896552,0.1724137931034483,0.3448275862068966,0.4830611010284331,107.0,-0.04071773636991033
-5.0,-0.3779101629017143,35,18,6,11,0.5142857142857142,0.17142857142857143,0.3142857142857143,0.4710268948655257,112.0,-0.05211141060197666
-4.75,-0.544676218745,40,25,2,13,0.625,0.05,0.325,0.4777898158179848,109.0,-0.04534062428799274
-4.5,-0.2366459589375,40,21,6,13,0.525,0.15,0.325,0.4792498004788507,109.0,-0.04534062428799274
-4.25,-0.3585227095331875,64,39,6,19,0.609375,0.09375,0.296875,0.473409950745949,111.0,-0.0498758745204243
-4.0,-0.21088871017087804,82,46,5,31,0.5609756097560976,0.06097560975609756,0.3780487804878049,0.4738492552357486,111.0,-0.0498758745204243
-3.75,0.13610684826568628,102,41,7,54,0.4019607843137255,0.06862745098039216,0.5294117647058824,0.4784541413408328,109.0,-0.04534062428799274
-3.5,-0.0932323401895099,202,91,27,84,0.4504950495049505,0.13366336633663367,0.4158415841584158,0.4789440834159415,109.0,-0.04534062428799274
-3.25,-0.09841099717997179,319,117,30,172,0.3667711598746082,0.09404388714733543,0.5391849529780565,0.4946003651329022,102.0,-0.02876001885902879
-3.0,-0.25486808945013245,370,162,43,165,0.43783783783783786,0.11621621621621622,0.44594594594594594,0.4893755420641804,104.0,-0.03361344537815131
-2.75,-0.40167044958952625,553,252,59,242,0.45569620253164556,0.10669077757685352,0.4376130198915009,0.4778141639377046,109.0,-0.04534062428799274
-2.5,-0.523914022240633,654,333,70,251,0.5091743119266054,0.10703363914373089,0.3837920489296636,0.4707502703585056,112.0,-0.05211141060197666
-2.25,-0.5023912759207629,907,470,96,341,0.5181918412348401,0.10584343991179714,0.37596471885336274,0.466340228506712,114.0,-0.056519804183355615
-2.0,-0.6828295087039493,1321,724,155,442,0.5480696442089327,0.11733535200605602,0.33459500378501134,0.4649247486085466,115.0,-0.0586932447397564
-1.75,-0.6996257516267113,1791,961,194,636,0.536571747627024,0.10831937465103295,0.35510887772194305,0.4496328856527086,122.0,-0.07335907335907338
-1.5,-0.8422592153566058,2260,1265,235,760,0.5597345132743363,0.10398230088495575,0.336283185840708,0.4292092942604473,133.0,-0.09462497445330065
-1.25,-0.985342750509727,2747,1539,286,922,0.5602475427739352,0.10411357844921733,0.33563887877684745,0.4230121608980355,136.0,-0.10008071025020182
-1.0,-1.0834450647459237,3194,1770,341,1083,0.554164057608015,0.10676268002504696,0.339073262366938,0.4209321092817779,138.0,-0.10364145658263307
-0.75,-1.0321436177270844,3934,2080,458,1396,0.5287239450940519,0.11642094560244026,0.3548551093035079,0.4247268153350279,135.0,-0.09827760891590681
-0.5,-0.9418448645513541,5449,2714,669,2066,0.49807304092494037,0.12277482106808589,0.3791521380069738,0.4441170193554742,125.0,-0.07936507936507942
-0.25,-0.9614725698366642,6832,3417,817,2598,0.5001463700234192,0.11958430913348946,0.38026932084309134,0.4666277666529632,114.0,-0.056519804183355615
-0.0,-1.081838824803217,8340,4449,1044,2847,0.5334532374100719,0.1251798561151079,0.34136690647482015,0.493885251501154,102.0,-0.02876001885902879
0.25,-1.2753747357682084,8021,4419,992,2610,0.5509288118688442,0.12367535220047375,0.32539583593068194,0.5230826830477392,-110.0,0.0
0.5,-1.7602160410548764,5711,3230,654,1827,0.5655752057433024,0.11451584661180178,0.3199089476448958,0.549283852247411,-122.0,0.025740025740025763
0.75,-2.3858322070553526,3447,2058,384,1005,0.5970409051348999,0.1114012184508268,0.2915578764142733,0.5682867348469277,-132.0,0.0451559934318555
1.0,-2.968552899764906,2177,1224,271,682,0.5622416169039963,0.12448323380799264,0.31327514928801103,0.5646231940648184,-130.0,0.04140786749482395
1.25,-3.5731199969229244,1518,855,162,501,0.5632411067193676,0.1067193675889328,0.3300395256916996,0.5614036749384353,-128.0,0.03759398496240596
1.5,-3.993613761058995,1373,732,186,455,0.5331391114348143,0.13546977421704298,0.3313911143481428,0.5456097588372066,-120.0,0.021645021645021578
1.75,-4.21042996859173,1330,774,158,398,0.5819548872180451,0.11879699248120301,0.2992481203007519,0.5263164540977396,-111.0,0.0022568269013766296
2.0,-4.484086800485453,1203,658,159,386,0.5469659185369908,0.13216957605985039,0.32086450540315875,0.5196605465073617,-108.0,-0.0045787545787545625
2.25,-4.736976851712918,836,453,107,276,0.5418660287081339,0.12799043062200957,0.33014354066985646,0.5054218846982366,-102.0,-0.01885902876001888
2.5,-4.998488344858333,600,329,89,182,0.5483333333333333,0.14833333333333334,0.30333333333333334,0.5080973774945147,-103.0,-0.016420361247947435
2.75,-5.260650251099447,362,167,44,151,0.4613259668508287,0.12154696132596685,0.4171270718232044,0.508812720318008,-104.0,-0.01400560224089642
3.0,-5.586977724312281,285,148,40,97,0.519298245614035,0.14035087719298245,0.34035087719298246,0.4932142544435688,103.0,-0.03119868637110018
3.25,-5.938460021438524,244,112,24,108,0.45901639344262296,0.09836065573770492,0.4426229508196721,0.4992348240095222,100.0,-0.023809523809523836
