player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Ludvig Aberg,Rickie Fowler,Tough,Open,SKIP,Rickie Fowler,-1.5,-1.5,0.0,SKIP,
Tommy Fleetwood,Rory McIlroy,Tough,Open,SKIP,Rory McIlroy,4.0,4.0,0.0,SKIP,
Ryan Gerard,Max Homa,Tough,Open,SKIP,Max Homa,-1.5,-1.5,0.0,SKIP,
Patrick Rodgers,Sam Stevens,Tough,Open,Patrick Rodgers,Patrick Rodgers,6.7,6.7,0.0,WIN,True
Denny McCarthy,Ryan Fox,Tough,Open,Denny McCarthy,Ryan Fox,7.8,7.8,0.0,LOSS,False
Max Greyserman,Max McGreevy,Tough,Open,Max Greyserman,Max Greyserman,15.5,15.5,0.0,WIN,True
Matt Fitzpatrick,Jason Day,Tough,Open,SKIP,Matt Fitzpatrick,3.5,3.5,0.0,SKIP,
Alex Noren,Ryo Hisatsune,Tough,Open,Alex Noren,Alex Noren,6.7,6.7,0.0,WIN,True
Nick Taylor,Corey Conners,Tough,Open,SKIP,Nick Taylor,1.8,1.8,0.0,SKIP,
Russell Henley,Harris English,Tough,Open,SKIP,Russell Henley,4.4,4.4,0.0,SKIP,
Patrick Cantlay,Chris Gotterup,Tough,Open,Patrick Cantlay,Chris Gotterup,6.7,6.7,0.0,LOSS,False
Robert MacIntyre,Justin Rose,Tough,Open,SKIP,Justin Rose,1.3,1.3,0.0,SKIP,
Scottie Scheffler,Xander Schauffele,Tough,Open,Scottie Scheffler,Xander Schauffele,6.4,6.4,0.0,LOSS,False
Zander Lombard,Daniel Van Tonder,Calm,Open,SKIP,Zander Lombard,-4.2,-4.2,0.0,SKIP,
Alex Fitzpatrick,Jacob Olesen,Calm,Open,Jacob Olesen,Push,-11.0,-11.0,0.0,PUSH,
Niklas Norgaard,Ewen Ferguson,Calm,Open,SKIP,Niklas Norgaard,-3.0,-3.0,0.0,SKIP,
Guido Migliozzi,Freddy Schott,Calm,Open,SKIP,Freddy Schott,-5.7,-5.7,0.0,SKIP,
Joakim Lagergren,Jacques Kruyswijk,Calm,Open,Jacques Kruyswijk,Joakim Lagergren,-6.1,-6.1,0.0,LOSS,False
