player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,exec_a,exec_b,upside_a,upside_b,exec_a_bucket,exec_b_bucket,upside_a_bucket,upside_b_bucket,exec_a_roi,exec_b_roi,upside_a_roi,upside_b_roi
Jake Knapp,Sam Burns,Tough,Open,-4.459308807134894,4.937862468931233,-9.397171276066128,BET B,Purple,Green,50,25,50,75,50-75,25-50,50-75,75-100,-5.072463768115943,2.816901408450704,-3.846153846153845,7.058823529411763
Antoine Rozner,JC Ritchie,Calm,Open,-13.47647287232165,-4.599156562439124,-8.877316309882527,BET B,Orange,Green,25,25,50,75,25-50,25-50,50-75,75-100,-15.048183839881396,-3.812316715542521,-11.904761904761903,-5.385996409335728
Jayden Schaper,Hennie du Plessis,Moderate,Open,-8.815040377057523,0.0,-8.815040377057523,BET B,Yellow,nan,50,25,75,75,50-75,25-50,75-100,75-100,-10.011686793922866,0.0,-7.618393960192178,0.0
Patrick Cantlay,Maverick McNealy,Moderate,Open,-8.815040377057523,0.0,-8.815040377057523,BET B,Yellow,nan,50,50,75,75,50-75,50-75,75-100,75-100,-10.011686793922866,0.0,-7.618393960192178,0.0
Rickie Fowler,Shane Lowry,Moderate,Open,-8.815040377057523,0.0,-8.815040377057523,BET B,Yellow,nan,50,25,75,75,50-75,25-50,75-100,75-100,-10.011686793922866,0.0,-7.618393960192178,0.0
Ryan Gerard,Michael Thorbjornsen,Moderate,Open,-8.815040377057523,0.0,-8.815040377057523,BET B,Yellow,nan,50,50,75,75,50-75,50-75,75-100,75-100,-10.011686793922866,0.0,-7.618393960192178,0.0
Jacob Bridgeman,Pierceson Coody,Moderate,Open,-8.815040377057523,0.0,-8.815040377057523,BET B,Yellow,nan,50,25,75,25,50-75,25-50,75-100,25-50,-10.011686793922866,0.0,-7.618393960192178,0.0
Sepp Straka,Chris Gotterup,Moderate,Open,-8.815040377057523,0.0,-8.815040377057523,BET B,Yellow,nan,50,50,75,75,50-75,50-75,75-100,75-100,-10.011686793922866,0.0,-7.618393960192178,0.0
Aaron Rai,Keegan Bradley,Moderate,Open,-8.815040377057523,0.0,-8.815040377057523,BET B,Yellow,nan,50,50,75,75,50-75,50-75,75-100,75-100,-10.011686793922866,0.0,-7.618393960192178,0.0
Tony Finau,Jordan Smith,Calm,Open,-8.363221328763021,0.0,-8.363221328763021,BET B,Purple,nan,75,25,50,50,75-100,25-50,50-75,50-75,-10.067114093959727,0.0,-6.6593285635663175,0.0
Keith Mitchell,Max McGreevy,Calm,Open,-8.363221328763021,0.0,-8.363221328763021,BET B,Purple,nan,75,50,50,50,75-100,50-75,50-75,50-75,-10.067114093959727,0.0,-6.6593285635663175,0.0
Matt Wallace,Matti Schmid,Calm,Open,-8.363221328763021,0.0,-8.363221328763021,BET B,Purple,nan,75,50,50,50,75-100,50-75,50-75,50-75,-10.067114093959727,0.0,-6.6593285635663175,0.0
Wenyi Ding,Alex Fitzpatrick,Calm,Open,-8.363221328763021,0.0,-8.363221328763021,BET B,Purple,nan,75,50,50,50,75-100,50-75,50-75,50-75,-10.067114093959727,0.0,-6.6593285635663175,0.0
Seamus Power,Mackenzie Hughes,Calm,Open,-8.363221328763021,0.0,-8.363221328763021,BET B,Purple,nan,75,75,50,50,75-100,75-100,50-75,50-75,-10.067114093959727,0.0,-6.6593285635663175,0.0
Matthew Wolff,Richard T. Lee,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,50,50,50,50-75,50-75,50-75,50-75,-10.011686793922866,0.0,-6.2424486508256125,0.0
Davis Thompson,Corey Conners,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,25,50,75,50-75,25-50,50-75,75-100,-10.011686793922866,0.0,-6.2424486508256125,0.0
Calum Hill,Ewen Ferguson,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,25,50,75,50-75,25-50,50-75,75-100,-10.011686793922866,0.0,-6.2424486508256125,0.0
Alejandro Del Rey,Julien Guerrier,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,75,50,75,50-75,75-100,50-75,75-100,-10.011686793922866,0.0,-6.2424486508256125,0.0
Daniel Berger,Alex Noren,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,50,50,75,50-75,50-75,50-75,75-100,-10.011686793922866,0.0,-6.2424486508256125,0.0
