color,upside_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Brown,50-75,Moderate,Survival,0.897,3.2919,8,4,0.625,0.41506750690735883
Brown,75-100,Calm,Closing,-0.1636,1.1547,4,2,0.5,
Brown,75-100,Calm,Open,-0.5366,3.0336,8,4,0.5,0.8748245611314122
Brown,75-100,Calm,Positioning,1.567,1.8769,4,2,0.75,
Brown,75-100,Calm,REMOVE,-1.6144,3.2315,4,2,0.5,
Brown,75-100,Moderate,REMOVE,-1.2736,0.0,2,1,0.0,
Brown,75-100,Moderate,Survival,-0.2964,4.5503,10,4,0.2,0.7500032131514888
Brown,75-100,Tough,Survival,2.5428,,1,1,1.0,
Green,25-50,Calm,Closing,1.0593,3.1375,89,44,0.6517,2.3550943058867048e-05
Green,25-50,Calm,Elimination,-3.0647,0.0,2,1,0.0,
Green,25-50,Calm,Mixed,-0.2281,2.9054,29,18,0.4138,0.7999330755257626
Green,25-50,Calm,Open,-0.615,2.7615,125,67,0.384,0.3608266758761898
Green,25-50,Calm,Positioning,0.0408,2.4386,83,47,0.5542,0.45927862493639365
Green,25-50,Calm,REMOVE,0.1905,2.6159,26,14,0.4615,0.4692158901016167
Green,25-50,Calm,Survival,0.0156,2.4819,123,63,0.3902,0.2974199132589779
Green,25-50,Moderate,Closing,0.4721,2.5938,59,36,0.661,0.4669355728121179
Green,25-50,Moderate,Open,0.669,2.7705,71,43,0.507,0.04885524248543421
Green,25-50,Moderate,Positioning,0.01,3.2503,39,23,0.4872,0.6646916105723141
Green,25-50,Moderate,REMOVE,0.7687,2.1276,16,8,0.625,0.7334278993501019
Green,25-50,Moderate,Survival,-0.1122,2.8127,58,35,0.4138,0.7566369312734122
Green,25-50,Tough,Closing,-0.3703,5.1962,4,2,0.5,
Green,25-50,Tough,Open,0.7241,2.2504,4,3,0.5,
Green,25-50,Tough,Positioning,-0.0068,0.7071,2,2,0.5,
Green,25-50,Tough,Survival,0.7157,2.0323,9,6,0.6667,0.9220422463148249
Green,50-75,Calm,Closing,-0.3541,2.644,928,239,0.4278,0.1832105658526066
Green,50-75,Calm,Elimination,0.2658,2.5186,63,35,0.5397,0.7867598443436175
Green,50-75,Calm,Mixed,-0.467,3.1211,211,100,0.3839,0.10130371815876575
Green,50-75,Calm,Open,-0.3874,2.9687,1694,321,0.4268,0.8206654277745253
Green,50-75,Calm,Positioning,-0.2298,2.8516,868,230,0.4101,0.6541429344423583
Green,50-75,Calm,REMOVE,-0.1946,2.8089,319,110,0.4608,0.8877373264719344
Green,50-75,Calm,Survival,-0.3286,2.9718,1361,307,0.4203,0.4568177973857526
Green,50-75,Moderate,Closing,-0.0304,2.946,407,160,0.4816,0.1315533723712689
Green,50-75,Moderate,Mixed,1.0894,3.7773,8,8,0.625,0.8215697635837559
Green,50-75,Moderate,Open,-0.0259,3.2094,963,265,0.4663,0.9333628756930308
Green,50-75,Moderate,Positioning,0.0166,2.9364,458,172,0.5284,0.1657732603937131
Green,50-75,Moderate,REMOVE,1.1664,2.5939,91,53,0.6813,0.03617377044084236
Green,50-75,Moderate,Survival,-0.053,3.0964,763,259,0.4836,0.5662288552183825
Green,50-75,Tough,Closing,1.629,2.9419,71,43,0.7465,0.04856901480585212
Green,50-75,Tough,Open,-0.3581,2.1124,69,39,0.3623,0.5154010180725469
Green,50-75,Tough,Positioning,0.6032,2.6964,95,55,0.6,0.6401116905686712
Green,50-75,Tough,Survival,0.4032,2.849,108,61,0.5741,0.4475668768771297
Green,75-100,Calm,Closing,-0.487,2.9414,342,141,0.4064,0.0946779209891834
Green,75-100,Calm,Elimination,-0.3882,1.8541,26,14,0.3846,0.32091231665057146
Green,75-100,Calm,Mixed,0.2778,3.617,108,54,0.4907,0.31119526888013344
Green,75-100,Calm,Open,-0.3175,3.1604,619,207,0.412,0.6659713233056876
Green,75-100,Calm,Positioning,-0.2343,2.7962,416,161,0.4688,0.7272027732447452
Green,75-100,Calm,REMOVE,-0.2912,3.2109,94,54,0.3936,0.8079991899081458
Green,75-100,Calm,Survival,-0.4203,2.6991,539,179,0.41,0.23622073272381477
Green,75-100,Moderate,Closing,0.3028,2.5923,207,92,0.5604,0.5990003447228732
Green,75-100,Moderate,Mixed,1.8644,2.0736,5,5,0.8,0.44660820100372106
Green,75-100,Moderate,Open,-0.0539,3.1394,352,140,0.4489,0.9045138260515082
Green,75-100,Moderate,Positioning,0.4327,2.7678,158,76,0.5696,0.34581880998233266
Green,75-100,Moderate,REMOVE,-0.069,3.2677,77,41,0.4026,0.07580994356338361
Green,75-100,Moderate,Survival,0.0476,3.1003,336,136,0.4673,0.8380569331469762
Green,75-100,Tough,Closing,0.5536,3.4388,25,16,0.56,0.652892381186279
Green,75-100,Tough,Open,-0.497,3.0849,39,24,0.3077,0.43017127357999485
Green,75-100,Tough,Positioning,-0.5661,2.9719,40,21,0.475,0.022785049781471906
Green,75-100,Tough,Survival,0.0524,3.0635,56,32,0.5536,0.14696758326612852
Orange,25-50,Calm,Closing,0.02,3.0032,93,48,0.4946,0.40915076975924247
Orange,25-50,Calm,Elimination,0.4378,1.4926,10,6,0.6,0.761966939862592
Orange,25-50,Calm,Mixed,-0.8648,2.6762,21,17,0.2857,0.2885786605909545
Orange,25-50,Calm,Open,-0.364,3.1538,120,70,0.4167,0.9817652793137509
Orange,25-50,Calm,Positioning,-0.1562,2.9245,98,46,0.5,0.916280127809042
Orange,25-50,Calm,REMOVE,-0.6385,2.8388,32,20,0.375,0.4094921344449574
Orange,25-50,Calm,Survival,0.1924,2.8871,118,65,0.4915,0.09680167429546614
Orange,25-50,Moderate,Closing,0.1684,3.5103,92,54,0.4674,0.9316366757528574
Orange,25-50,Moderate,Open,-0.3538,3.172,169,75,0.4201,0.16973890137027958
Orange,25-50,Moderate,Positioning,0.27,2.9482,92,39,0.587,0.8498227607973743
Orange,25-50,Moderate,REMOVE,-0.7828,2.4942,20,12,0.55,0.04067448586363455
Orange,25-50,Moderate,Survival,0.3723,2.7074,106,48,0.5283,0.22944998592914556
Orange,25-50,Tough,Open,-1.3385,3.1043,16,9,0.3125,0.08882216216932347
Orange,25-50,Tough,Survival,1.5018,2.6296,9,7,0.5556,0.35607407415179126
Orange,50-75,Calm,Closing,-0.1751,2.8238,1049,205,0.4852,0.5862616660632536
Orange,50-75,Calm,Elimination,-0.4318,2.8376,89,41,0.2921,0.058729874082174116
Orange,50-75,Calm,Mixed,-0.3071,3.6316,207,88,0.4734,0.3337035975585036
Orange,50-75,Calm,Open,-0.3764,2.9672,1615,263,0.413,0.937175493043661
Orange,50-75,Calm,Positioning,-0.1417,2.8134,1025,202,0.441,0.6264564731164207
Orange,50-75,Calm,REMOVE,-0.2493,3.1855,420,135,0.4524,0.8349931087352436
Orange,50-75,Calm,Survival,-0.3878,3.0624,1188,222,0.4352,0.17581576478731095
Orange,50-75,Moderate,Closing,-0.3338,2.584,418,135,0.433,0.00030668871140739697
Orange,50-75,Moderate,Mixed,0.5696,3.6651,19,19,0.5263,0.7215386717122746
Orange,50-75,Moderate,Open,-0.1508,2.8908,1116,226,0.4346,0.21352031099354868
Orange,50-75,Moderate,Positioning,0.1064,2.701,417,139,0.5228,0.47049278729433647
Orange,50-75,Moderate,REMOVE,0.078,2.857,84,39,0.4643,0.16036832077954946
Orange,50-75,Moderate,Survival,0.0176,3.0054,1089,246,0.483,0.9617673642751153
