color,upside_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Yellow,50-75,Calm,Open,-0.396,2.9856,4565,422,0.4158,0.6005143640045874
Yellow,50-75,Calm,Positioning,-0.3468,2.7921,2386,309,0.4329,0.010231818625972076
Yellow,50-75,Calm,REMOVE,-0.307,2.879,848,201,0.4375,0.4144665001100411
Yellow,50-75,Calm,Survival,-0.111,2.9297,3405,375,0.4693,0.006154965102247145
Yellow,50-75,Moderate,Closing,0.3275,2.8365,1473,298,0.5187,0.11427228498943341
Yellow,50-75,Moderate,Mixed,0.6462,2.0889,11,11,0.5455,0.8322521813434494
Yellow,50-75,Moderate,Open,0.0556,2.9752,2631,357,0.4702,0.1630764487122307
Yellow,50-75,Moderate,Positioning,0.2417,2.9193,1165,281,0.5305,0.7529244052390132
Yellow,50-75,Moderate,REMOVE,0.5904,2.4999,226,97,0.5885,0.7469730605044856
Yellow,50-75,Moderate,Survival,0.0539,3.0256,2755,400,0.4878,0.5293540297682477
Yellow,50-75,Tough,Closing,0.1827,3.1473,147,94,0.517,0.023970765741761296
Yellow,50-75,Tough,Open,-0.6166,2.4777,96,58,0.375,0.10520321373708032
Yellow,50-75,Tough,Positioning,0.4624,2.3593,334,155,0.5808,0.9944000423346012
Yellow,50-75,Tough,Survival,0.1371,2.8007,83,48,0.506,0.13575633867702044
Yellow,75-100,Calm,Closing,-0.2014,2.8753,1284,267,0.4665,0.7774137691954474
Yellow,75-100,Calm,Elimination,0.9209,2.7727,73,38,0.589,0.029073856337280473
Yellow,75-100,Calm,Mixed,0.0924,3.1559,382,155,0.4267,0.3984332190753638
Yellow,75-100,Calm,Open,-0.3848,3.0665,2094,328,0.4298,0.8332522420513934
Yellow,75-100,Calm,Positioning,0.0225,2.6617,1426,292,0.4783,0.007381552151277954
Yellow,75-100,Calm,REMOVE,-0.3874,2.9244,407,134,0.4103,0.2587495041345457
Yellow,75-100,Calm,Survival,-0.2777,3.061,1804,328,0.4457,0.8731716255396796
Yellow,75-100,Moderate,Closing,0.1688,3.094,738,218,0.5203,0.8199436643127122
Yellow,75-100,Moderate,Mixed,0.7024,2.931,21,21,0.5238,0.844220120726372
Yellow,75-100,Moderate,Open,-0.1226,2.9655,1544,325,0.4547,0.27624873898140767
Yellow,75-100,Moderate,Positioning,0.3229,2.697,668,213,0.5464,0.3482230570095084
Yellow,75-100,Moderate,REMOVE,0.6181,3.1857,219,102,0.5297,0.6594754361133752
Yellow,75-100,Moderate,Survival,0.0511,3.0601,1081,266,0.4755,0.696477587262093
Yellow,75-100,Tough,Closing,1.3519,2.7023,79,50,0.6962,0.17727886283073024
Yellow,75-100,Tough,Open,0.1924,3.0252,158,88,0.4747,0.18302911532560823
Yellow,75-100,Tough,Positioning,0.2395,2.6868,108,63,0.5463,0.42563249786679347
Yellow,75-100,Tough,Survival,0.5164,2.673,218,115,0.5963,0.6149757916299419
