condition,round_type,moon,life_path,n,edge,roi,conf,mean_error
Tough,Survival,Krishna Nanda,5.0,24,33.333333333333336,10.810810810810812,EXPLORATORY,-1.5021813032401667
Tough,Survival,Krishna Nanda,1.0,24,33.33333333333333,10.81081081081081,EXPLORATORY,-1.7253393194761666
Tough,Survival,Krishna Nanda,6.0,24,33.33333333333333,10.81081081081081,EXPLORATORY,-1.7432955291466667
Moderate,Positioning,Shukla Purna,1.0,89,16.85393258426966,10.791366906474819,HIGH,-0.6431136208489887
Tough,Positioning,Krishna Jaya,7.0,16,43.75,10.606060606060606,EXPLORATORY,-1.69636613674675
Moderate,Positioning,Shukla Purna,2.0,101,15.841584158415841,10.596026490066224,HIGH,-0.3618431198633664
Tough,Positioning,Krishna Bhadra,7.0,26,30.76923076923077,10.526315789473685,EXPLORATORY,-1.037544081595846
Calm,Survival,Shukla Nanda,9.0,235,12.76595744680851,10.526315789473685,HIGH,-0.5593919636374469
Tough,Positioning,Krishna Purna,1.0,26,30.76923076923077,10.526315789473685,EXPLORATORY,-1.774241801287231
Calm,Closing,Krishna Purna,5.0,84,16.666666666666664,10.44776119402985,HIGH,-0.5014234675357143
Moderate,Closing,Krishna Nanda,4.0,94,15.957446808510637,10.416666666666666,HIGH,-0.8233321234978724
Tough,Survival,Krishna Nanda,9.0,28,28.57142857142857,10.256410256410255,EXPLORATORY,-1.429219846041429
Moderate,Positioning,Shukla Rikta,3.0,68,17.647058823529413,10.16949152542373,HIGH,-1.0594623398688239
Moderate,Open,Shukla Purna,9.0,68,17.647058823529413,10.16949152542373,HIGH,-0.35590130289911776
Tough,Survival,Krishna Nanda,4.0,10,60.00000000000001,10.0,WEAK,-1.7916077617446
Calm,Closing,Shukla Purna,6.0,101,14.851485148514854,9.933774834437088,HIGH,-0.3706388701145545
Moderate,Survival,Krishna Nanda,7.0,142,13.380281690140846,9.895833333333334,HIGH,-0.41488587652490533
Tough,Positioning,Krishna Jaya,2.0,21,33.333333333333336,9.859154929577466,EXPLORATORY,-1.2026536194771427
Tough,Positioning,Shukla Bhadra,2.0,11,54.54545454545454,9.83606557377049,WEAK,-2.0171602630618177
Tough,Survival,Krishna Nanda,2.0,32,25.0,9.75609756097561,HIGH,-1.2974881683993749
Moderate,Positioning,Shukla Rikta,1.0,54,18.51851851851852,9.615384615384617,HIGH,-0.900572832811111
Tough,Open,Shukla Bhadra,8.0,54,18.51851851851852,9.615384615384617,HIGH,-0.38205781652822224
Moderate,Survival,Shukla Nanda,9.0,75,15.999999999999998,9.599999999999998,HIGH,-1.5884016450186669
Moderate,Survival,Krishna Bhadra,2.0,128,13.28125,9.550561797752808,HIGH,-0.3671741382958594
Calm,Closing,Shukla Bhadra,2.0,162,12.34567901234568,9.433962264150946,HIGH,-0.43341284453827167
Moderate,Open,Shukla Jaya,1.0,156,12.179487179487177,9.223300970873785,HIGH,-0.22883828894929478
Moderate,Closing,Shukla Jaya,4.0,70,15.714285714285714,9.166666666666666,HIGH,-0.7804690990814287
Moderate,Survival,Shukla Jaya,7.0,117,12.820512820512823,8.982035928143715,HIGH,-0.5807954359005592
Moderate,Closing,Krishna Jaya,7.0,51,17.64705882352941,8.91089108910891,HIGH,-0.7360461481799999
Moderate,Closing,Shukla Purna,4.0,63,15.873015873015872,8.849557522123893,HIGH,-0.473559151583492
Calm,Positioning,Krishna Nanda,6.0,87,13.793103448275865,8.759124087591243,HIGH,-0.4405356483697701
Tough,Open,Shukla Bhadra,3.0,53,16.9811320754717,8.737864077669903,HIGH,-0.7304329209790942
Moderate,Survival,Shukla Purna,1.0,76,14.473684210526319,8.730158730158731,HIGH,-0.5727146861723683
Tough,Positioning,Krishna Bhadra,2.0,42,19.047619047619047,8.695652173913043,HIGH,-0.7675873329605712
Moderate,Positioning,Shukla Purna,4.0,66,15.151515151515149,8.620689655172413,HIGH,-1.0488066922342425
Calm,Positioning,Shukla Rikta,6.0,101,12.871287128712869,8.609271523178807,HIGH,-0.3539210902388712
Tough,Survival,Krishna Bhadra,9.0,20,30.0,8.571428571428571,EXPLORATORY,-1.2024295656599997
Moderate,Closing,Krishna Nanda,3.0,126,11.904761904761903,8.522727272727272,HIGH,-0.6250184367702384
Moderate,Positioning,Shukla Purna,8.0,68,14.705882352941178,8.474576271186441,HIGH,-0.7360547053198531
Moderate,Open,Shukla Nanda,6.0,116,12.06896551724138,8.433734939759038,HIGH,-0.44868697242847755
Moderate,Survival,Shukla Jaya,9.0,140,11.428571428571429,8.421052631578947,HIGH,-0.4644279509990714
Tough,Positioning,Shukla Nanda,6.0,22,27.27272727272727,8.333333333333334,EXPLORATORY,-0.6057150339759091
Moderate,Closing,Shukla Bhadra,8.0,94,12.765957446808512,8.333333333333334,HIGH,-0.04133337989212768
Calm,Positioning,Shukla Rikta,3.0,166,10.843373493975905,8.333333333333334,HIGH,-0.5491357352725301
Calm,Closing,Shukla Rikta,4.0,119,11.764705882352938,8.284023668639051,HIGH,-0.3950503193845378
Moderate,Closing,Krishna Nanda,9.0,95,12.63157894736842,8.275862068965516,HIGH,-0.5007475182351578
Calm,Positioning,Shukla Purna,3.0,132,11.363636363636362,8.24175824175824,HIGH,-0.5258857022716668
Moderate,Closing,Shukla Jaya,5.0,60,15.0,8.181818181818182,HIGH,-0.6116266273483334
Moderate,Survival,Shukla Nanda,7.0,60,14.999999999999996,8.18181818181818,HIGH,-0.42218396268452724
Calm,Open,Shukla Jaya,2.0,159,10.691823899371066,8.133971291866025,HIGH,-0.3828680706880504
Moderate,Positioning,Krishna Purna,3.0,73,13.698630136986301,8.130081300813009,HIGH,-0.4508940769167123
Calm,Closing,Shukla Bhadra,7.0,125,11.200000000000001,8.000000000000002,HIGH,-0.39224321974239995
Calm,Positioning,Shukla Rikta,8.0,138,10.869565217391305,7.9787234042553195,HIGH,-0.562041716731884
Calm,Positioning,Shukla Rikta,2.0,164,10.365853658536583,7.943925233644857,HIGH,-0.4930732919073171
Moderate,Positioning,Shukla Jaya,8.0,90,12.222222222222223,7.8571428571428585,HIGH,-0.42955571458600006
Moderate,Survival,Krishna Nanda,6.0,129,10.852713178294577,7.821229050279332,HIGH,-0.8348430896806552
Calm,Survival,Shukla Bhadra,6.0,91,12.08791208791209,7.801418439716313,HIGH,-0.4497028864743956
Calm,Survival,Shukla Bhadra,9.0,105,11.428571428571432,7.74193548387097,HIGH,-0.763467573877143
Moderate,Open,Krishna Nanda,3.0,121,10.743801652892559,7.602339181286548,HIGH,-0.39786437873140484
Calm,Closing,Shukla Rikta,2.0,175,9.714285714285714,7.555555555555555,HIGH,-0.44545464027714293
Tough,Positioning,Shukla Nanda,3.0,30,20.0,7.5,HIGH,-0.48238337814359994
Moderate,Survival,Shukla Jaya,6.0,97,11.34020618556701,7.482993197278911,HIGH,-0.8735595489382133
Moderate,Closing,Shukla Nanda,1.0,44,15.909090909090912,7.4468085106382995,HIGH,0.13526571202272733
Moderate,Survival,Shukla Purna,3.0,85,11.764705882352938,7.407407407407406,HIGH,-0.5171661100562353
Moderate,Open,Krishna Nanda,5.0,73,12.32876712328767,7.317073170731707,HIGH,-0.7032799647132878
Tough,Positioning,Krishna Purna,4.0,19,26.31578947368421,7.246376811594202,EXPLORATORY,-2.0483811329408423
Calm,Closing,Shukla Rikta,6.0,118,10.16949152542373,7.142857142857143,HIGH,-0.4115157793221187
