condition,round_type,moon,life_path,n,edge,roi,conf,mean_error
Calm,Positioning,Krishna Jaya,1.0,97,4.123711340206185,2.721088435374149,HIGH,-0.014699428650515513
Moderate,Positioning,Shukla Jaya,1.0,98,4.081632653061226,2.702702702702704,HIGH,-0.02796114436428568
Calm,Positioning,Shukla Purna,2.0,136,3.676470588235292,2.688172043010751,HIGH,-0.13442755892573532
Moderate,Open,Shukla Jaya,9.0,174,3.448275862068967,2.6785714285714297,HIGH,0.2168539732602874
Tough,Positioning,Krishna Purna,6.0,25,8.000000000000002,2.666666666666667,EXPLORATORY,-0.17191498661760002
Tough,Positioning,Krishna Bhadra,1.0,26,7.6923076923076925,2.6315789473684212,EXPLORATORY,-0.45048581952
Moderate,Open,Shukla Purna,4.0,65,4.615384615384616,2.608695652173913,HIGH,-0.16389770977676926
Calm,Survival,Shukla Rikta,6.0,219,3.1963470319634704,2.6022304832713754,HIGH,0.2007694344530959
Moderate,Survival,Krishna Jaya,8.0,145,3.448275862068967,2.564102564102565,HIGH,0.06659166500793103
Calm,Open,Shukla Jaya,8.0,109,3.669724770642202,2.5157232704402515,HIGH,-0.062023744070642234
Tough,Positioning,Shukla Nanda,9.0,30,6.666666666666665,2.4999999999999996,HIGH,-0.3402063627073332
Moderate,Closing,Krishna Jaya,2.0,72,4.166666666666669,2.4590163934426243,HIGH,-0.16046559887500003
Moderate,Survival,Krishna Purna,1.0,160,3.125,2.380952380952381,HIGH,0.12457825601325004
Calm,Open,Shukla Nanda,2.0,415,2.6506024096385556,2.365591397849464,HIGH,-0.14432810473084343
Calm,Survival,Shukla Bhadra,2.0,122,3.2786885245901622,2.325581395348836,HIGH,-0.19000560394016397
Moderate,Open,Shukla Nanda,3.0,170,2.941176470588236,2.2727272727272734,HIGH,-0.11563758468194114
Calm,Closing,Shukla Purna,1.0,127,3.149606299212598,2.2598870056497176,HIGH,-0.009915423490551198
Calm,Positioning,Krishna Purna,9.0,136,2.941176470588236,2.1505376344086025,HIGH,0.24289578309558818
Moderate,Closing,Shukla Nanda,8.0,43,4.651162790697675,2.150537634408602,HIGH,-0.15104967978674422
Calm,Open,Shukla Purna,7.0,231,2.5974025974025983,2.1352313167259793,HIGH,0.01610971596623378
Calm,Closing,Krishna Purna,7.0,91,3.296703296703296,2.127659574468085,HIGH,-0.09284824551758247
Calm,Open,Shukla Nanda,4.0,281,2.491103202846973,2.114803625377642,HIGH,0.029950684520854084
Calm,Closing,Krishna Purna,6.0,93,3.225806451612903,2.0979020979020975,HIGH,-0.4886497993846236
Calm,Closing,Shukla Jaya,8.0,189,2.6455026455026456,2.092050209205021,HIGH,0.00876910765767201
Calm,Closing,Shukla Jaya,5.0,147,2.72108843537415,2.0304568527918785,HIGH,-0.20929629298639457
Calm,Positioning,Shukla Purna,7.0,101,2.9702970297029703,1.9867549668874172,HIGH,-0.03583074069306931
Tough,Open,Shukla Bhadra,9.0,51,3.9215686274509802,1.9801980198019802,HIGH,-0.08789794897349018
Calm,Closing,Shukla Nanda,6.0,102,2.9411764705882333,1.9736842105263144,HIGH,-0.4426260283600002
Calm,Survival,Krishna Nanda,7.0,104,2.8846153846153855,1.9480519480519487,HIGH,0.09819009305576912
Moderate,Survival,Krishna Bhadra,6.0,104,2.8846153846153855,1.9480519480519487,HIGH,0.013325129401014447
Calm,Open,Shukla Nanda,7.0,313,2.236421725239615,1.9283746556473818,HIGH,-0.055994701918849865
Calm,Survival,Krishna Purna,7.0,158,2.53164556962025,1.9230769230769205,HIGH,-0.21133953372025327
Calm,Closing,Krishna Purna,2.0,117,2.564102564102566,1.7964071856287438,HIGH,-0.4006998993572651
Moderate,Positioning,Shukla Nanda,2.0,62,3.225806451612903,1.7857142857142858,HIGH,-0.016059438803225964
Calm,Closing,Krishna Bhadra,6.0,65,3.076923076923077,1.7391304347826086,HIGH,-0.27624397589292304
Calm,Survival,Shukla Nanda,3.0,241,2.074688796680499,1.718213058419245,HIGH,-0.15274094746298755
Moderate,Closing,Shukla Purna,9.0,67,2.985074626865675,1.709401709401711,HIGH,-0.18150003631194017
Moderate,Closing,Shukla Rikta,1.0,9,11.11111111111111,1.6949152542372883,WEAK,0.44009328952222204
Tough,Positioning,Krishna Jaya,8.0,11,9.090909090909092,1.6393442622950822,WEAK,-0.9487476276505454
Moderate,Closing,Shukla Rikta,8.0,11,9.090909090909088,1.6393442622950816,WEAK,-0.06482687874181826
Calm,Open,Shukla Nanda,3.0,381,1.8372703412073506,1.6241299303944328,HIGH,-0.040909161290761185
Moderate,Positioning,Shukla Rikta,2.0,74,2.7027027027027026,1.6129032258064517,HIGH,-0.05059258428918922
Moderate,Closing,Krishna Rikta,9.0,76,2.631578947368418,1.5873015873015854,HIGH,0.01732954256973682
Moderate,Open,Shukla Jaya,5.0,140,2.1428571428571406,1.5789473684210509,HIGH,0.10004227537178573
Calm,Open,Shukla Rikta,2.0,340,1.7647058823529405,1.5384615384615379,HIGH,-0.15141850013382355
Moderate,Positioning,Shukla Jaya,4.0,83,2.409638554216867,1.5037593984962403,HIGH,-0.03873329706265065
Tough,Survival,Shukla Jaya,8.0,17,5.882352941176469,1.4925373134328355,EXPLORATORY,-0.2105896965318823
Calm,Open,Shukla Rikta,6.0,228,1.7543859649122806,1.4388489208633093,HIGH,-0.03798016360530703
Calm,Open,Shukla Rikta,8.0,237,1.6877637130801704,1.3937282229965169,HIGH,-0.06674729532118145
Calm,Positioning,Krishna Nanda,7.0,97,2.061855670103091,1.3605442176870735,HIGH,0.21676083715463906
Tough,Survival,Krishna Rikta,4.0,27,3.7037037037037033,1.2987012987012985,EXPLORATORY,-0.5717810382625185
Moderate,Closing,Krishna Rikta,2.0,111,1.8018018018018,1.2422360248447193,HIGH,0.14707146366846846
Tough,Positioning,Krishna Purna,2.0,31,3.2258064516129057,1.2345679012345687,HIGH,-0.5467785523993548
Tough,Open,Shukla Bhadra,5.0,31,3.2258064516129057,1.2345679012345687,HIGH,-0.15018034301909672
Calm,Positioning,Shukla Bhadra,1.0,201,1.4925373134328346,1.195219123505975,HIGH,0.03867120543134344
Moderate,Survival,Krishna Jaya,6.0,122,1.6393442622950782,1.162790697674416,HIGH,-0.4269428914917402
Moderate,Open,Krishna Nanda,2.0,123,1.6260162601625994,1.1560693641618482,HIGH,0.10420495919918699
Moderate,Open,Krishna Jaya,9.0,124,1.6129032258064502,1.1494252873563209,HIGH,0.15213009285887105
Calm,Survival,Shukla Rikta,8.0,214,1.4018691588785048,1.1363636363636365,HIGH,-0.07261477592056076
Moderate,Open,Shukla Nanda,1.0,130,1.5384615384615385,1.1111111111111112,HIGH,-0.11437432982384609
Calm,Open,Krishna Nanda,4.0,222,1.3513513513513513,1.102941176470588,HIGH,0.08924851960981975
Tough,Open,Shukla Bhadra,6.0,42,2.380952380952381,1.0869565217391304,HIGH,0.1341666694695238
Calm,Survival,Krishna Purna,4.0,138,1.4492753623188415,1.0638297872340432,HIGH,-0.4317970693584058
Calm,Open,Shukla Rikta,3.0,327,1.2232415902140636,1.0610079575596787,HIGH,0.1102796749042202
Calm,Open,Shukla Jaya,9.0,143,1.3986013986014012,1.0362694300518154,HIGH,0.011654603764335626
Calm,Survival,Krishna Purna,5.0,148,1.3513513513513487,1.0101010101010082,HIGH,-0.03529205784729729
Calm,Open,Shukla Rikta,7.0,253,1.1857707509881439,0.9900990099009914,HIGH,0.012107011294466294
Tough,Open,Shukla Bhadra,4.0,51,1.9607843137254888,0.9900990099009894,HIGH,-0.019547618057333307
Moderate,Open,Shukla Purna,5.0,55,1.8181818181818188,0.9523809523809528,HIGH,0.16821795446563642
Calm,Survival,Krishna Rikta,4.0,59,1.6949152542372892,0.917431192660551,HIGH,0.6770216136457626
Moderate,Positioning,Krishna Bhadra,9.0,61,1.6393442622950838,0.900900900900902,HIGH,0.023048276484590235
Moderate,Closing,Shukla Purna,2.0,67,1.4925373134328346,0.8547008547008539,HIGH,0.13951347678656711
Calm,Closing,Krishna Rikta,2.0,69,1.4492753623188415,0.8403361344537821,HIGH,0.38574486084347814
Moderate,Closing,Shukla Purna,3.0,78,1.282051282051283,0.7812500000000006,HIGH,-0.20579247081717952
Moderate,Survival,Shukla Purna,9.0,82,1.2195121951219496,0.7575757575757566,HIGH,0.18968959864024393
Calm,Open,Shukla Rikta,5.0,222,0.9009009009009028,0.7352941176470603,HIGH,-0.06384823520675678
Moderate,Open,Krishna Nanda,7.0,88,1.136363636363641,0.7246376811594232,HIGH,0.2508001858015243
Calm,Closing,Krishna Jaya,8.0,88,1.1363636363636354,0.7246376811594196,HIGH,0.08459162995909084
Calm,Survival,Krishna Nanda,6.0,91,1.0989010989010977,0.7092198581560276,HIGH,-0.13637699212351653
Moderate,Survival,Krishna Nanda,8.0,126,0.7936507936507936,0.5681818181818181,HIGH,0.0758527440509524
Moderate,Survival,Shukla Jaya,8.0,129,0.7751937984496138,0.5586592178770959,HIGH,-0.004894429574496226
Moderate,Survival,Krishna Jaya,3.0,153,0.6535947712418305,0.492610837438424,HIGH,-0.1999639073397386
