color,upside_bucket,wu_xing,mean_vs_avg,std,n,unique_players,beat_field,p_value
Pink,75-100,Water,-0.1541,2.6201,26,11,0.3846,0.9381142683241581
Pink,75-100,Wood,-0.3401,2.8311,58,9,0.4138,0.5346780317753606
Purple,25-50,Earth,-0.2239,2.951,138,35,0.413,0.8544208784358884
Purple,25-50,Fire,-0.0462,3.2765,220,47,0.45,0.7872266186499687
Purple,25-50,Metal,-0.1654,2.6771,137,33,0.4234,0.5880940427933746
Purple,25-50,Water,-0.5259,3.064,142,35,0.3662,0.18524223422131844
Purple,25-50,Wood,-0.1752,3.0845,112,31,0.4554,0.7866304076078765
Purple,50-75,Earth,-0.3598,2.9651,2101,86,0.4412,0.0065355856588471635
Purple,50-75,Fire,-0.1137,2.9434,2419,97,0.4684,0.8378622210128375
Purple,50-75,Metal,-0.094,3.0029,1879,91,0.4721,0.3477537176607113
Purple,50-75,Water,-0.1888,3.0511,1803,83,0.4653,0.8902058557986438
Purple,50-75,Wood,-0.0656,2.8855,1554,76,0.4543,0.6621889616773736
Purple,75-100,Earth,-0.0035,2.8279,800,68,0.4975,0.09582497647092474
Purple,75-100,Fire,-0.1827,3.0397,902,88,0.459,0.4180916876456541
Purple,75-100,Metal,0.1397,2.9464,780,73,0.5013,0.13211826252331924
Purple,75-100,Water,-0.2129,3.1019,786,63,0.4351,0.8947831590903775
Purple,75-100,Wood,-0.1752,2.933,600,55,0.4483,0.5365188789574419
Red,25-50,Earth,0.1794,2.0642,8,3,0.75,0.7286316978098133
Red,25-50,Fire,0.6115,2.211,25,10,0.56,0.23303351663855215
Red,25-50,Metal,1.2156,5.1097,12,5,0.6667,0.15350915227588094
Red,25-50,Water,0.5855,2.094,8,4,0.75,0.44925965899014536
Red,25-50,Wood,0.5217,2.3796,8,4,0.625,0.5507755597392119
Red,50-75,Earth,-0.0828,2.9908,363,44,0.4435,0.5367677925906732
Red,50-75,Fire,0.1012,3.1231,514,45,0.5019,0.12911286613404088
Red,50-75,Metal,0.1109,3.3219,392,52,0.4745,0.3745605194696402
Red,50-75,Water,-0.0302,2.8449,398,35,0.4598,0.25569205661109806
Red,50-75,Wood,0.0715,3.1594,421,29,0.4679,0.2396778239797277
Red,75-100,Earth,0.0077,2.9277,137,26,0.4453,0.45690274822069515
Red,75-100,Fire,0.5162,3.0976,241,30,0.5021,0.001412593991091611
Red,75-100,Metal,0.0031,3.1651,180,31,0.4222,0.8984871720086124
Red,75-100,Water,-0.1727,2.7771,182,25,0.4396,0.9050617087979761
Red,75-100,Wood,-1.1235,2.8619,92,19,0.3696,0.0008813918032710113
Yellow,25-50,Earth,-0.0169,3.0005,448,64,0.4888,0.24688162234932484
Yellow,25-50,Fire,-0.3466,2.8749,634,84,0.4322,0.04038436207165565
Yellow,25-50,Metal,0.006,2.77,403,68,0.4814,0.8339577093657489
Yellow,25-50,Water,-0.2426,2.9698,477,64,0.4486,0.7470046592653032
Yellow,25-50,Wood,-0.2611,3.0653,488,64,0.4365,0.23299258131261194
Yellow,50-75,Earth,-0.0911,2.8974,4723,99,0.4641,0.06294483992694194
Yellow,50-75,Fire,-0.0662,3.0011,5868,109,0.4678,0.4232376865579997
Yellow,50-75,Metal,-0.1416,2.9453,3972,108,0.4592,0.026560727293118497
Yellow,50-75,Water,-0.2222,2.8967,4550,98,0.442,0.6247280996316492
Yellow,50-75,Wood,-0.0547,2.9429,3925,87,0.4726,0.3895182713095208
Yellow,75-100,Earth,-0.2977,2.9558,2529,94,0.4377,0.05154164351348163
Yellow,75-100,Fire,-0.0047,2.9288,3343,105,0.4759,0.0792261672509719
Yellow,75-100,Metal,0.068,3.0011,2026,95,0.4886,0.18232631760759957
Yellow,75-100,Water,-0.1501,3.0144,2473,81,0.4707,0.4366939703249474
Yellow,75-100,Wood,-0.0044,2.9333,1905,78,0.4714,0.18072874865159813
