color,exec_bucket,year,mean_vs_avg,n,unique_players,beat_field
Red,0-25,2024,0.16,2,1,0.5
Red,25-50,2022,-0.0904,239,64,0.477
Red,25-50,2023,0.1168,129,56,0.4419
Red,25-50,2024,0.2719,151,52,0.4768
Red,25-50,2025,-0.0456,254,57,0.4409
Red,25-50,2026,-0.8308,76,28,0.3421
Red,50-75,2022,0.3015,563,108,0.5204
Red,50-75,2023,0.0077,271,82,0.4391
Red,50-75,2024,-0.0621,319,90,0.4859
Red,50-75,2025,0.0282,590,121,0.4644
Red,50-75,2026,-0.1015,88,34,0.5227
Red,75-100,2022,-0.8441,76,30,0.3026
Red,75-100,2023,-0.2938,13,12,0.4615
Red,75-100,2024,0.6384,56,32,0.6071
Red,75-100,2025,0.9856,110,43,0.5818
Red,75-100,2026,-1.5864,44,22,0.0455
Yellow,0-25,2022,-6.7105,2,1,0.0
Yellow,0-25,2023,-0.3708,24,14,0.5
Yellow,0-25,2024,-0.0579,31,10,0.5806
Yellow,0-25,2025,0.2106,10,5,0.6
Yellow,0-25,2026,4.6557,2,1,1.0
Yellow,25-50,2022,-0.0024,2340,269,0.4744
Yellow,25-50,2023,-0.199,1488,279,0.4624
Yellow,25-50,2024,-0.1667,2088,280,0.466
Yellow,25-50,2025,-0.0375,3338,296,0.4643
Yellow,25-50,2026,-0.0966,1094,178,0.4662
Yellow,50-75,2022,0.012,6210,330,0.487
Yellow,50-75,2023,-0.0269,3090,336,0.477
Yellow,50-75,2024,-0.2679,4543,357,0.4488
Yellow,50-75,2025,-0.164,7612,385,0.4498
Yellow,50-75,2026,-0.1142,2000,205,0.457
Yellow,75-100,2022,-0.0443,1132,229,0.4744
Yellow,75-100,2023,-0.0288,613,196,0.4698
Yellow,75-100,2024,-0.2126,619,173,0.4362
Yellow,75-100,2025,-0.0771,1308,231,0.445
Yellow,75-100,2026,0.0481,356,123,0.4607
