color,exec_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Red,50-75,Calm,REMOVE,0.1555,2.5153,90,46,0.5,0.22099630822172814
Red,50-75,Calm,Survival,-0.4555,3.0155,279,89,0.4122,0.2929524875965411
Red,50-75,Moderate,Closing,0.7197,3.0368,111,51,0.6036,0.06045082510520698
Red,50-75,Moderate,Mixed,2.4644,1.4142,2,2,1.0,
Red,50-75,Moderate,Open,0.1824,3.3686,176,68,0.4602,0.3423538991930324
Red,50-75,Moderate,Positioning,-0.3814,2.6961,80,39,0.375,0.06901131377113046
Red,50-75,Moderate,REMOVE,-0.7989,3.0671,40,22,0.35,0.0037500923267411467
Red,50-75,Moderate,Survival,0.2335,3.0838,198,82,0.5354,0.31595449160642136
Red,50-75,Tough,Closing,2.7039,2.4215,9,6,0.7778,0.08071115215237906
Red,50-75,Tough,Open,-0.286,3.147,13,12,0.4615,0.8461070069801614
Red,50-75,Tough,Positioning,0.3303,2.2274,19,9,0.5263,0.8365201834137471
Red,50-75,Tough,Survival,1.9052,2.9881,18,13,0.7222,0.058627682353464175
Red,75-100,Calm,Closing,-0.9541,2.564,33,17,0.3636,0.1424079885296339
Red,75-100,Calm,Mixed,1.6312,3.4433,29,15,0.6552,0.00835537079691723
Red,75-100,Calm,Open,0.3897,3.2727,53,30,0.4528,0.06433511337027611
Red,75-100,Calm,Positioning,-0.2386,2.8579,23,14,0.3478,0.9277291090411952
Red,75-100,Calm,REMOVE,1.052,1.5275,3,3,0.6667,
Red,75-100,Calm,Survival,-0.1524,3.2316,67,34,0.4627,0.7566978773958037
Red,75-100,Moderate,Closing,-1.4384,1.9872,31,16,0.0645,0.001856121670966695
Red,75-100,Moderate,Open,-0.771,4.1049,25,13,0.16,0.22056515184800113
Red,75-100,Moderate,Positioning,0.511,1.6172,12,6,0.6667,0.7214802582177459
Red,75-100,Moderate,REMOVE,1.8905,3.4015,19,10,0.7895,0.03822019417471297
Red,75-100,Moderate,Survival,0.8916,,1,1,1.0,
Red,75-100,Tough,Positioning,1.1294,0.5774,3,3,1.0,
Yellow,0-25,Calm,Closing,-0.6128,3.4277,10,10,0.6,0.6674256922993526
Yellow,0-25,Calm,Open,0.8228,2.3609,11,7,0.6364,0.18519299578768997
Yellow,0-25,Calm,Positioning,-6.7105,0.0,2,1,0.0,
Yellow,0-25,Calm,REMOVE,-0.803,1.1547,4,2,0.5,
Yellow,0-25,Calm,Survival,-0.054,3.4034,4,4,0.5,
Yellow,0-25,Moderate,Closing,-0.7006,3.7796,13,8,0.4615,0.2692400865106515
Yellow,0-25,Moderate,Open,1.1378,3.6115,9,7,0.5556,0.24151200672072962
Yellow,0-25,Moderate,Positioning,0.8863,1.7889,6,3,0.6667,0.569465759551254
Yellow,0-25,Moderate,Survival,-0.5222,2.5582,10,6,0.6,0.5812062459466094
Yellow,25-50,Calm,Closing,-0.055,3.0528,1112,262,0.4901,0.05929657872701436
Yellow,25-50,Calm,Elimination,0.4673,3.0852,76,39,0.4474,0.3793548091408419
Yellow,25-50,Calm,Mixed,0.0798,3.3118,238,106,0.437,0.5324676921999687
Yellow,25-50,Calm,Open,-0.2997,3.0629,2026,337,0.4235,0.3122524235852326
Yellow,25-50,Calm,Positioning,-0.3969,2.7048,1124,263,0.4217,0.015008575279495834
Yellow,25-50,Calm,REMOVE,-0.2602,3.0268,369,124,0.4282,0.7890859297222808
Yellow,25-50,Calm,Survival,-0.246,2.8882,1606,307,0.4533,0.8009815065239354
Yellow,25-50,Moderate,Closing,0.2505,2.7941,695,212,0.541,0.6316276309776254
Yellow,25-50,Moderate,Mixed,0.6462,2.0889,11,11,0.5455,0.8322521813434494
Yellow,25-50,Moderate,Open,0.1284,3.0644,1157,285,0.497,0.07857029848773313
Yellow,25-50,Moderate,Positioning,0.3276,2.6895,550,183,0.5291,0.3707044608553536
Yellow,25-50,Moderate,REMOVE,0.8071,2.9945,147,61,0.5646,0.25511066141864397
Yellow,25-50,Moderate,Survival,0.0069,2.9948,909,261,0.4675,0.9547250753585917
Yellow,25-50,Tough,Closing,0.3999,2.9392,41,29,0.5854,0.38220423821874583
Yellow,25-50,Tough,Open,-0.8583,2.7046,75,36,0.3333,0.031251342056255745
Yellow,25-50,Tough,Positioning,0.7565,2.2302,104,59,0.6731,0.3004131927287388
Yellow,25-50,Tough,Survival,0.1857,2.7113,88,64,0.5114,0.16668194619091753
Yellow,50-75,Calm,Closing,-0.3215,2.8528,2411,328,0.4517,0.13259819640523754
Yellow,50-75,Calm,Elimination,0.3692,3.0295,141,62,0.4326,0.43763530134715073
Yellow,50-75,Calm,Mixed,0.0241,3.109,562,194,0.427,0.5701539235445651
Yellow,50-75,Calm,Open,-0.468,2.9975,4308,408,0.4134,0.05208828405112281
Yellow,50-75,Calm,Positioning,-0.1197,2.7431,2490,328,0.4683,0.2812313651658552
Yellow,50-75,Calm,REMOVE,-0.4226,2.8871,768,209,0.4258,0.07153584649350199
Yellow,50-75,Calm,Survival,-0.1628,3.033,3324,395,0.4588,0.07294766470284081
Yellow,50-75,Moderate,Closing,0.2354,2.9135,1461,303,0.512,0.6315429934647542
Yellow,50-75,Moderate,Mixed,0.7024,2.931,21,21,0.5238,0.844220120726372
Yellow,50-75,Moderate,Open,0.002,2.8915,2789,377,0.4654,0.5611878931511552
Yellow,50-75,Moderate,Positioning,0.1988,2.8373,1183,290,0.5359,0.8841358471524111
Yellow,50-75,Moderate,REMOVE,0.6475,2.9383,283,128,0.576,0.5119899668280379
Yellow,50-75,Moderate,Survival,0.0366,2.9742,2826,384,0.4795,0.7130572280008076
Yellow,50-75,Tough,Closing,0.5761,3.0535,191,106,0.5602,0.305060029962441
Yellow,50-75,Tough,Open,0.2197,2.802,188,101,0.484,0.11627752081086681
Yellow,50-75,Tough,Positioning,0.179,2.5442,263,134,0.5285,0.13195264472316515
Yellow,50-75,Tough,Survival,0.4697,2.7692,232,121,0.5776,0.46072625823015584
Yellow,75-100,Calm,Closing,-0.2034,2.9306,462,163,0.4329,0.8722553552070873
Yellow,75-100,Calm,Elimination,0.1981,3.8926,24,13,0.4583,0.95735006396102
Yellow,75-100,Calm,Mixed,0.2044,3.5253,89,47,0.3483,0.4677236019033017
Yellow,75-100,Calm,Open,-0.3304,2.8754,682,192,0.4208,0.7317842163650615
Yellow,75-100,Calm,Positioning,-0.3971,2.9482,455,147,0.3846,0.11321004410262103
Yellow,75-100,Calm,REMOVE,-0.2917,2.8085,146,62,0.4041,0.7611327049163881
Yellow,75-100,Calm,Survival,-0.2513,2.9215,566,192,0.4647,0.910160968815679
Yellow,75-100,Moderate,Closing,0.5422,2.8492,273,113,0.5421,0.053901156051877994
Yellow,75-100,Moderate,Open,-0.2375,3.1816,450,179,0.4267,0.15951734742264953
Yellow,75-100,Moderate,Positioning,0.4403,3.2044,253,114,0.5178,0.2237034786276669
Yellow,75-100,Moderate,REMOVE,0.1906,2.3898,55,31,0.4909,0.38793081490422665
Yellow,75-100,Moderate,Survival,0.2714,3.4493,464,206,0.5409,0.07694851683107873
Yellow,75-100,Tough,Closing,3.1297,0.0,2,1,1.0,
Yellow,75-100,Tough,Open,-0.7254,3.1667,9,8,0.4444,0.5286826012285786
Yellow,75-100,Tough,Positioning,0.7584,2.4739,92,48,0.587,0.3280796531455125
Yellow,75-100,Tough,Survival,3.069,0.0,2,2,1.0,
