color,exec_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Brown,25-50,Calm,REMOVE,0.897,2.4967,10,6,0.8,0.21983094882318097
Brown,25-50,Calm,Survival,-1.8833,0.0,2,1,0.0,
Brown,25-50,Moderate,Closing,1.9295,2.4357,4,4,0.75,
Brown,25-50,Moderate,Open,0.055,2.7907,14,8,0.4286,0.9113142388670454
Brown,25-50,Moderate,Positioning,6.1236,,1,1,1.0,
Brown,25-50,Moderate,Survival,-2.0647,1.3489,3,2,0.0,
Brown,25-50,Tough,Survival,2.5428,,1,1,1.0,
Brown,50-75,Calm,Closing,-0.096,2.1153,6,3,0.6667,0.9116731076919401
Brown,50-75,Calm,Mixed,-3.9753,0.5164,6,3,0.0,0.005445416617536114
Brown,50-75,Calm,Open,0.0888,3.6737,12,6,0.5,0.5944890659190614
Brown,50-75,Calm,Positioning,-0.7962,2.801,9,7,0.3333,0.5107512875151011
Brown,50-75,Calm,REMOVE,-0.6155,2.7444,7,4,0.5714,0.7144920381527851
Brown,50-75,Calm,Survival,-0.3407,2.7488,16,8,0.375,0.9200061242193527
Brown,50-75,Moderate,Closing,-2.5301,0.7748,4,2,0.0,
Brown,50-75,Moderate,Open,-4.6714,2.2973,5,3,0.0,0.0005522871623890072
Brown,50-75,Moderate,Positioning,-1.8953,1.604,3,2,0.0,
Brown,50-75,Moderate,REMOVE,-1.2736,0.0,2,1,0.0,
Brown,50-75,Moderate,Survival,0.6937,4.1907,15,6,0.4667,0.39049182473614685
Brown,75-100,Calm,Open,-1.7521,0.0,2,1,0.0,
Brown,75-100,Calm,Survival,-0.1475,,1,1,0.0,
Green,0-25,Calm,Closing,-0.1569,,1,1,0.0,
Green,0-25,Calm,Open,-2.1759,3.6025,3,2,0.3333,
Green,0-25,Calm,Positioning,0.2895,0.0,2,1,1.0,
Green,0-25,Calm,REMOVE,3.197,0.0,2,1,1.0,
Green,0-25,Calm,Survival,-2.304,0.7071,2,2,0.0,
Green,0-25,Moderate,Closing,0.3912,4.9497,2,2,0.5,
Green,0-25,Moderate,Open,-0.406,2.726,4,3,0.5,
Green,0-25,Moderate,Positioning,0.8863,0.0,2,1,1.0,
Green,0-25,Moderate,Survival,0.3778,,1,1,1.0,
Green,25-50,Calm,Closing,-0.2265,2.8988,375,148,0.4453,0.9930485699390358
Green,25-50,Calm,Elimination,0.0835,1.6387,32,18,0.5625,0.8692237716999652
