player_name,condition,round_type,color,element,exec_bucket,upside_bucket,chinese_zodiac,combo_events,combo_wr,baseline_wr,delta,delta_pct
Greyson Sigg,Calm,Open,Blue,Wood,50,50,Pig,5,0.4,0.253,0.14700000000000002,14.7
Ben Kohles,Calm,Closing,Orange,Metal,50,75,Horse,7,0.429,0.282,0.14700000000000002,14.7
Tom Hoge,Calm,Closing,Yellow,Earth,25,50,Snake,5,0.4,0.253,0.14700000000000002,14.7
Matt NeSmith,Calm,Positioning,Orange,Water,50,50,Rooster,5,0.4,0.254,0.14600000000000002,14.6
Sepp Straka,Calm,Open,Yellow,Water,50,50,Rooster,8,0.5,0.354,0.14600000000000002,14.6
Justin Suh,Calm,Open,Yellow,Fire,50,75,Ox,8,0.375,0.23,0.145,14.5
Akshay Bhatia,Calm,Survival,Orange,Metal,25,50,Snake,6,0.5,0.357,0.14300000000000002,14.3
Akshay Bhatia,Calm,Open,Orange,Metal,25,50,Snake,8,0.5,0.357,0.14300000000000002,14.3
Billy Horschel,Calm,Positioning,Yellow,Fire,50,50,Tiger,7,0.429,0.287,0.14200000000000002,14.2
Kevin Chappell,Calm,Open,Yellow,Fire,50,50,Tiger,5,0.4,0.259,0.14100000000000001,14.1
Callum Tarren,Calm,Open,Yellow,Metal,75,50,Horse,8,0.375,0.234,0.141,14.1
Christiaan Bezuidenhout,Calm,Open,Yellow,Wood,50,50,Dog,12,0.417,0.276,0.14099999999999996,14.1
Ryan Fox,Calm,Open,Yellow,Fire,25,50,Tiger,7,0.429,0.289,0.14,14.0
Thorbjørn Olesen,Calm,Open,Green,Earth,50,50,Snake,6,0.333,0.193,0.14,14.0
Kevin Streelman,Calm,Open,Yellow,Earth,50,75,Horse,8,0.375,0.235,0.14,14.0
Chad Ramey,Calm,Open,Yellow,Water,50,75,Monkey,12,0.417,0.277,0.13999999999999996,14.0
Mark Hubbard,Calm,Survival,Yellow,Earth,25,50,Snake,5,0.4,0.262,0.138,13.8
Cam Davis,Calm,Positioning,Orange,Wood,50,50,Pig,5,0.4,0.262,0.138,13.8
Hayden Buckley,Calm,Open,Yellow,Fire,25,50,Rat,6,0.333,0.197,0.136,13.6
Stewart Cink,Calm,Open,Orange,Water,50,75,Ox,6,0.333,0.2,0.133,13.3
Corey Conners,Calm,Open,Purple,Metal,50,50,Goat,6,0.5,0.367,0.133,13.3
Austin Eckroat,Calm,Open,Orange,Earth,25,50,Tiger,5,0.4,0.267,0.133,13.3
Beau Hossler,Calm,Open,Yellow,Wood,50,75,Pig,5,0.4,0.269,0.131,13.1
Beau Hossler,Calm,Open,Red,Wood,50,50,Pig,5,0.4,0.269,0.131,13.1
Patrick Rodgers,Calm,Survival,Yellow,Water,50,75,Monkey,8,0.375,0.246,0.129,12.9
Patrick Rodgers,Calm,Open,Blue,Water,50,50,Monkey,8,0.375,0.246,0.129,12.9
Andrew Putnam,Calm,Open,Green,Earth,50,50,Dragon,8,0.375,0.248,0.127,12.7
J.T. Poston,Calm,Open,Blue,Water,50,50,Rooster,5,0.4,0.273,0.127,12.7
Dylan Wu,Calm,Open,Purple,Fire,50,50,Rat,5,0.4,0.274,0.126,12.6
Harris English,Calm,Positioning,Green,Earth,50,50,Snake,5,0.4,0.274,0.126,12.6
Charley Hoffman,Calm,Open,Orange,Fire,25,75,Dragon,6,0.333,0.208,0.12500000000000003,12.5
Sam Stevens,Calm,Survival,Yellow,Fire,50,75,Rat,5,0.4,0.275,0.125,12.5
Justin Rose,Calm,Open,Blue,Metal,50,75,Monkey,6,0.5,0.375,0.125,12.5
Lee Hodges,Calm,Survival,Yellow,Wood,50,50,Pig,5,0.4,0.276,0.124,12.4
Lee Hodges,Calm,Open,Green,Wood,50,50,Pig,5,0.4,0.276,0.124,12.4
Lee Hodges,Calm,Survival,Blue,Wood,50,75,Pig,5,0.4,0.276,0.124,12.4
Christiaan Bezuidenhout,Calm,Positioning,Blue,Wood,25,75,Dog,5,0.4,0.276,0.124,12.4
Will Gordon,Calm,Open,Yellow,Fire,50,50,Rat,6,0.333,0.21,0.12300000000000003,12.3
Si Woo Kim,Calm,Open,Orange,Wood,25,50,Pig,7,0.429,0.307,0.122,12.2
Collin Morikawa,Calm,Survival,Yellow,Fire,50,50,Rat,11,0.545,0.424,0.12100000000000005,12.1
Sam Ryder,Calm,Open,Blue,Earth,25,50,Snake,9,0.333,0.213,0.12000000000000002,12.0
Brandon Wu,Calm,Positioning,Yellow,Fire,50,75,Ox,6,0.333,0.213,0.12000000000000002,12.0
Alex Smalley,Calm,Positioning,Purple,Fire,50,50,Rat,5,0.4,0.28,0.12,12.0
Brice Garnett,Calm,Survival,Purple,Water,50,75,Pig,6,0.333,0.214,0.11900000000000002,11.9
Chris Kirk,Calm,Open,Yellow,Wood,50,50,Ox,7,0.429,0.31,0.119,11.9
Ben Silverman,Calm,Open,Purple,Fire,50,50,Rabbit,5,0.4,0.281,0.119,11.9
Taylor Pendrith,Calm,Open,Purple,Metal,50,50,Goat,5,0.4,0.281,0.119,11.9
Ryo Hisatsune,Calm,Closing,Yellow,Water,50,50,Horse,5,0.4,0.281,0.119,11.9
Wyndham Clark,Calm,Open,Purple,Water,50,50,Rooster,5,0.4,0.283,0.11700000000000005,11.7
Wyndham Clark,Calm,Open,Yellow,Water,50,50,Rooster,5,0.4,0.283,0.11700000000000005,11.7
Wyndham Clark,Calm,Open,Blue,Water,50,50,Rooster,5,0.4,0.283,0.11700000000000005,11.7
Adam Hadwin,Calm,Survival,Blue,Fire,25,50,Rabbit,5,0.4,0.284,0.11600000000000005,11.6
Adam Hadwin,Calm,Closing,Yellow,Fire,50,50,Rabbit,5,0.4,0.284,0.11600000000000005,11.6
Danny Walker,Calm,Survival,Yellow,Wood,50,50,Pig,5,0.4,0.284,0.11600000000000005,11.6
Adam Hadwin,Calm,REMOVE,Yellow,Fire,50,75,Rabbit,5,0.4,0.284,0.11600000000000005,11.6
Jacob Bridgeman,Calm,Open,Yellow,Earth,50,50,Rabbit,5,0.4,0.284,0.11600000000000005,11.6
Keegan Bradley,Calm,Open,Blue,Fire,50,50,Tiger,5,0.4,0.285,0.11500000000000005,11.5
Keegan Bradley,Calm,Positioning,Orange,Fire,50,50,Tiger,5,0.4,0.285,0.11500000000000005,11.5
Davis Riley,Calm,Open,Blue,Fire,50,75,Rat,8,0.375,0.26,0.11499999999999999,11.5
Séamus Power,Calm,Open,Orange,Fire,25,50,Rabbit,5,0.4,0.286,0.11400000000000005,11.4
Justin Thomas,Calm,Open,Yellow,Water,50,75,Rooster,8,0.5,0.386,0.11399999999999999,11.4
Adam Long,Calm,Open,Yellow,Fire,50,50,Rabbit,7,0.286,0.172,0.11399999999999999,11.4
Justin Thomas,Calm,Survival,Yellow,Water,50,75,Rooster,6,0.5,0.386,0.11399999999999999,11.4
Robby Shelton,Calm,Open,Orange,Wood,50,50,Pig,11,0.364,0.25,0.11399999999999999,11.4
Justin Thomas,Calm,Closing,Yellow,Water,50,75,Rooster,8,0.5,0.386,0.11399999999999999,11.4
Justin Thomas,Calm,Positioning,Yellow,Water,50,75,Rooster,6,0.5,0.386,0.11399999999999999,11.4
Billy Horschel,Calm,Closing,Yellow,Fire,50,50,Tiger,5,0.4,0.287,0.11300000000000004,11.3
Billy Horschel,Calm,Open,Yellow,Fire,50,75,Tiger,5,0.4,0.287,0.11300000000000004,11.3
Billy Horschel,Calm,Open,Yellow,Fire,25,75,Tiger,5,0.4,0.287,0.11300000000000004,11.3
Nico Echavarria,Calm,Survival,Purple,Wood,25,50,Dog,5,0.4,0.288,0.11200000000000004,11.2
Nico Echavarria,Calm,Closing,Yellow,Wood,50,75,Dog,5,0.4,0.288,0.11200000000000004,11.2
Ryan Fox,Calm,Closing,Yellow,Fire,50,50,Tiger,5,0.4,0.289,0.11100000000000004,11.1
Brandt Snedeker,Calm,Open,Yellow,Metal,25,50,Monkey,6,0.333,0.224,0.10900000000000001,10.9
Stephan Jaeger,Calm,Open,Green,Earth,50,75,Snake,5,0.4,0.292,0.10800000000000004,10.8
Richy Werenski,Calm,Open,Yellow,Metal,50,50,Goat,7,0.286,0.178,0.10799999999999998,10.8
Adam Schenk,Calm,Positioning,Orange,Metal,50,75,Goat,6,0.333,0.226,0.10700000000000001,10.7
Ryan Gerard,Calm,Closing,Orange,Earth,50,75,Rabbit,5,0.4,0.294,0.10600000000000004,10.6
Ryan Gerard,Calm,Survival,Red,Earth,50,50,Rabbit,5,0.4,0.294,0.10600000000000004,10.6
Brendon Todd,Calm,Survival,Green,Wood,25,50,Ox,6,0.333,0.227,0.10600000000000001,10.6
Denny McCarthy,Calm,Open,Blue,Water,50,50,Rooster,5,0.4,0.295,0.10500000000000004,10.5
Nick Hardy,Calm,Open,Orange,Wood,50,75,Pig,6,0.333,0.228,0.10500000000000001,10.5
Max McGreevy,Calm,Open,Yellow,Wood,50,50,Pig,6,0.333,0.228,0.10500000000000001,10.5
Brian Harman,Calm,Positioning,Blue,Fire,50,50,Tiger,5,0.4,0.296,0.10400000000000004,10.4
Harry Higgs,Calm,Open,Blue,Metal,50,50,Goat,6,0.333,0.23,0.10300000000000001,10.3
Trey Mullinax,Calm,Open,Yellow,Water,25,50,Monkey,6,0.333,0.23,0.10300000000000001,10.3
Harry Higgs,Calm,Survival,Orange,Metal,25,75,Goat,6,0.333,0.23,0.10300000000000001,10.3
David Lipsky,Calm,Survival,Yellow,Earth,50,50,Dragon,6,0.333,0.23,0.10300000000000001,10.3
Justin Suh,Calm,Survival,Green,Fire,50,50,Ox,6,0.333,0.23,0.10300000000000001,10.3
Joel Dahmen,Calm,Survival,Blue,Fire,25,50,Rabbit,6,0.333,0.231,0.10200000000000001,10.2
Emiliano Grillo,Calm,Open,Orange,Water,25,50,Monkey,5,0.4,0.299,0.10100000000000003,10.1
Emiliano Grillo,Calm,Survival,Yellow,Water,25,50,Monkey,5,0.4,0.299,0.10100000000000003,10.1
Sami Välimäki,Calm,Open,Yellow,Earth,50,50,Tiger,5,0.4,0.299,0.10100000000000003,10.1
Dylan Wu,Calm,Open,Blue,Fire,50,50,Rat,8,0.375,0.274,0.10099999999999998,10.1
Harris English,Calm,Positioning,Yellow,Earth,25,50,Snake,8,0.375,0.274,0.10099999999999998,10.1
Kevin Tway,Calm,Open,Yellow,Earth,50,50,Dragon,11,0.273,0.173,0.10000000000000003,10.0
Vince Whaley,Calm,Open,Blue,Wood,50,75,Pig,6,0.333,0.237,0.09600000000000003,9.6
Vince Whaley,Calm,Positioning,Yellow,Wood,50,75,Pig,9,0.333,0.237,0.09600000000000003,9.6
Vince Whaley,Calm,Open,Orange,Wood,25,50,Pig,6,0.333,0.237,0.09600000000000003,9.6
Vince Whaley,Calm,Survival,Yellow,Wood,50,50,Pig,6,0.333,0.237,0.09600000000000003,9.6
Jason Day,Calm,Open,Yellow,Fire,50,75,Rabbit,7,0.429,0.333,0.09599999999999997,9.6
Sahith Theegala,Calm,Positioning,Blue,Fire,50,50,Ox,7,0.429,0.333,0.09599999999999997,9.6
Chan Kim,Calm,Open,Yellow,Metal,50,50,Horse,8,0.375,0.279,0.09599999999999997,9.6
Taylor Montgomery,Calm,Positioning,Yellow,Wood,50,75,Dog,5,0.4,0.305,0.09500000000000003,9.5
Ryan Palmer,Calm,Survival,Blue,Fire,25,75,Dragon,7,0.286,0.191,0.09499999999999997,9.5
Cameron Young,Calm,Closing,Yellow,Fire,50,50,Ox,9,0.444,0.351,0.09300000000000003,9.3
Si Woo Kim,Calm,Open,Yellow,Wood,50,75,Pig,5,0.4,0.307,0.09300000000000003,9.3
Rickie Fowler,Calm,Positioning,Yellow,Earth,75,50,Dragon,5,0.4,0.307,0.09300000000000003,9.3
Rickie Fowler,Calm,Open,Yellow,Earth,50,75,Dragon,5,0.4,0.307,0.09300000000000003,9.3
Si Woo Kim,Calm,Open,Green,Wood,50,50,Pig,5,0.4,0.307,0.09300000000000003,9.3
Rickie Fowler,Calm,Positioning,Blue,Earth,50,50,Dragon,5,0.4,0.307,0.09300000000000003,9.3
Chris Kirk,Calm,Closing,Yellow,Wood,50,50,Ox,5,0.4,0.31,0.09000000000000002,9.0
Chris Kirk,Calm,Survival,Blue,Wood,50,75,Ox,5,0.4,0.31,0.09000000000000002,9.0
Chris Kirk,Calm,Survival,Yellow,Wood,50,50,Ox,5,0.4,0.31,0.09000000000000002,9.0
Hayden Buckley,Calm,Open,Yellow,Fire,50,75,Rat,7,0.286,0.197,0.08899999999999997,8.9
Patrick Rodgers,Calm,Open,Purple,Water,50,50,Monkey,6,0.333,0.246,0.08700000000000002,8.7
Patrick Rodgers,Calm,Positioning,Purple,Water,50,50,Monkey,6,0.333,0.246,0.08700000000000002,8.7
Danny Willett,Calm,Open,Purple,Fire,50,50,Rabbit,7,0.286,0.2,0.08599999999999997,8.6
Zach Johnson,Calm,Survival,Orange,Fire,50,75,Dragon,6,0.333,0.248,0.08500000000000002,8.5
Victor Perez,Calm,Positioning,Yellow,Water,75,50,Monkey,6,0.333,0.248,0.08500000000000002,8.5
Andrew Putnam,Calm,REMOVE,Yellow,Earth,50,75,Dragon,9,0.333,0.248,0.08500000000000002,8.5
Andrew Putnam,Calm,Closing,Green,Earth,50,50,Dragon,6,0.333,0.248,0.08500000000000002,8.5
Michael Block,Calm,Open,Yellow,Fire,50,50,Dragon,5,0.2,0.115,0.085,8.5
Davis Thompson,Calm,Open,Orange,Earth,25,50,Rabbit,5,0.4,0.316,0.08400000000000002,8.4
Alex Smalley,Calm,Open,Yellow,Fire,50,50,Rat,11,0.364,0.28,0.08399999999999996,8.4
Stephan Jaeger,Calm,Positioning,Yellow,Earth,50,50,Snake,8,0.375,0.292,0.08300000000000002,8.3
Stephan Jaeger,Calm,Open,Yellow,Earth,50,75,Snake,8,0.375,0.292,0.08300000000000002,8.3
Ben Silverman,Calm,Open,Yellow,Fire,50,50,Rabbit,11,0.364,0.281,0.08299999999999996,8.3
Hideki Matsuyama,Calm,Closing,Yellow,Water,50,50,Monkey,7,0.429,0.347,0.08200000000000002,8.2
Aaron Baddeley,Calm,Open,Green,Metal,50,50,Rooster,7,0.286,0.204,0.08199999999999999,8.2
Tom Kim,Calm,Positioning,Green,Water,50,50,Horse,5,0.4,0.319,0.08100000000000002,8.1
Eric Cole,Calm,Open,Yellow,Earth,50,50,Dragon,21,0.381,0.3,0.08100000000000002,8.1
Keith Mitchell,Calm,Open,Yellow,Metal,50,50,Goat,5,0.4,0.32,0.08000000000000002,8.0
Garrick Higgo,Calm,Positioning,Yellow,Earth,50,75,Rabbit,5,0.4,0.32,0.08000000000000002,8.0
Tom Hoge,Calm,Positioning,Purple,Earth,50,50,Snake,6,0.333,0.253,0.08000000000000002,8.0
Greyson Sigg,Calm,REMOVE,Yellow,Wood,50,50,Pig,6,0.333,0.253,0.08000000000000002,8.0
Keith Mitchell,Calm,Open,Orange,Metal,50,75,Goat,5,0.4,0.32,0.08000000000000002,8.0
Xander Schauffele,Calm,Closing,Yellow,Water,50,50,Rooster,8,0.5,0.422,0.07800000000000001,7.8
Xander Schauffele,Calm,Open,Yellow,Water,50,50,Rooster,6,0.5,0.422,0.07800000000000001,7.8
Kevin Tway,Calm,Positioning,Yellow,Earth,50,50,Dragon,8,0.25,0.173,0.07700000000000001,7.7
Doug Ghim,Calm,Open,Blue,Fire,50,50,Rat,6,0.333,0.256,0.07700000000000001,7.7
Erik van Rooyen,Calm,Open,Blue,Metal,50,50,Horse,6,0.333,0.256,0.07700000000000001,7.7
Matt Kuchar,Calm,Open,Yellow,Earth,25,50,Horse,6,0.333,0.256,0.07700000000000001,7.7
Tony Finau,Calm,Open,Purple,Earth,50,75,Snake,5,0.4,0.325,0.07500000000000001,7.5
Tony Finau,Calm,Positioning,Orange,Earth,50,75,Snake,5,0.4,0.325,0.07500000000000001,7.5
Eric Cole,Calm,Positioning,Yellow,Earth,50,50,Dragon,8,0.375,0.3,0.07500000000000001,7.5
Sepp Straka,Calm,Closing,Yellow,Water,50,50,Rooster,7,0.429,0.354,0.07500000000000001,7.5
Max Homa,Calm,Open,Orange,Metal,25,50,Horse,7,0.429,0.355,0.07400000000000001,7.4
Michael Kim,Calm,Survival,Yellow,Water,50,50,Rooster,5,0.4,0.326,0.07400000000000001,7.4
Max Homa,Calm,Open,Blue,Metal,25,50,Horse,7,0.429,0.355,0.07400000000000001,7.4
Jonathan Byrd,Calm,Open,Yellow,Fire,50,50,Snake,9,0.222,0.149,0.07300000000000001,7.3
Davis Riley,Calm,Positioning,Orange,Fire,50,50,Rat,6,0.333,0.26,0.07300000000000001,7.3
Mark Hubbard,Calm,Positioning,Purple,Earth,50,50,Snake,6,0.333,0.262,0.07100000000000001,7.1
Cam Davis,Calm,Survival,Blue,Wood,25,50,Pig,6,0.333,0.262,0.07100000000000001,7.1
Carson Young,Calm,Open,Orange,Wood,25,75,Dog,6,0.333,0.263,0.07,7.0
Matt Fitzpatrick,Calm,Open,Yellow,Wood,75,50,Dog,7,0.429,0.359,0.07,7.0
Sungjae Im,Calm,Positioning,Yellow,Earth,50,50,Tiger,7,0.429,0.359,0.07,7.0
Si Woo Kim,Calm,Survival,Yellow,Wood,50,50,Pig,8,0.375,0.307,0.068,6.8
Brian Harman,Calm,Open,Yellow,Fire,50,50,Tiger,11,0.364,0.296,0.068,6.8
Sahith Theegala,Calm,REMOVE,Yellow,Fire,50,75,Ox,5,0.4,0.333,0.067,6.7
Chez Reavie,Calm,REMOVE,Yellow,Metal,50,50,Rooster,7,0.286,0.219,0.06699999999999998,6.7
Austin Eckroat,Calm,Open,Blue,Earth,50,50,Tiger,6,0.333,0.267,0.066,6.6
Jordan Spieth,Calm,Positioning,Orange,Water,25,50,Rooster,5,0.4,0.335,0.065,6.5
Lucas Glover,Calm,Open,Orange,Earth,75,50,Goat,6,0.333,0.269,0.064,6.4
Beau Hossler,Calm,Open,Orange,Wood,50,75,Pig,6,0.333,0.269,0.064,6.4
Lucas Glover,Calm,Open,Orange,Earth,50,50,Goat,6,0.333,0.269,0.064,6.4
Beau Hossler,Calm,Open,Orange,Wood,25,50,Pig,6,0.333,0.269,0.064,6.4
Lucas Glover,Calm,Open,Orange,Earth,25,50,Goat,6,0.333,0.269,0.064,6.4
Beau Hossler,Calm,Survival,Orange,Wood,50,75,Pig,6,0.333,0.269,0.064,6.4
Max Greyserman,Calm,Open,Yellow,Wood,50,75,Pig,5,0.4,0.336,0.064,6.4
Sam Burns,Calm,Positioning,Blue,Fire,75,50,Rat,5,0.4,0.338,0.062,6.2
Sam Burns,Calm,Open,Yellow,Fire,50,50,Rat,5,0.4,0.338,0.062,6.2
Brandt Snedeker,Calm,Open,Purple,Metal,50,50,Monkey,7,0.286,0.224,0.06199999999999997,6.2
Scottie Scheffler,Calm,Positioning,Green,Fire,50,50,Rat,6,0.667,0.607,0.06000000000000005,6.0
J.T. Poston,Calm,Survival,Yellow,Water,25,50,Rooster,9,0.333,0.273,0.06,6.0
J.T. Poston,Calm,Open,Yellow,Water,50,50,Rooster,9,0.333,0.273,0.06,6.0
J.T. Poston,Calm,Survival,Yellow,Water,50,75,Rooster,6,0.333,0.273,0.06,6.0
J.T. Poston,Calm,Positioning,Yellow,Water,75,50,Rooster,6,0.333,0.273,0.06,6.0
Ryan Palmer,Calm,Open,Yellow,Fire,50,75,Dragon,8,0.25,0.191,0.059,5.9
Shane Lowry,Calm,Positioning,Yellow,Fire,50,75,Rabbit,5,0.4,0.341,0.059,5.9
Brendon Todd,Calm,Open,Yellow,Wood,50,50,Ox,7,0.286,0.227,0.05899999999999997,5.9
Brendon Todd,Calm,Open,Yellow,Wood,25,50,Ox,7,0.286,0.227,0.05899999999999997,5.9
Carl Yuan,Calm,Survival,Yellow,Fire,25,50,Ox,5,0.2,0.142,0.058000000000000024,5.8
Sam Stevens,Calm,Open,Yellow,Fire,50,50,Rat,9,0.333,0.275,0.057999999999999996,5.8
Nick Hardy,Calm,Open,Orange,Wood,50,50,Pig,7,0.286,0.228,0.05799999999999997,5.8
Nick Hardy,Calm,Survival,Orange,Wood,25,50,Pig,7,0.286,0.228,0.05799999999999997,5.8
Lee Hodges,Calm,Positioning,Blue,Wood,25,50,Pig,6,0.333,0.276,0.056999999999999995,5.7
Matt Wallace,Calm,Survival,Orange,Metal,25,50,Horse,6,0.333,0.276,0.056999999999999995,5.7
Matt Wallace,Calm,Survival,Blue,Metal,50,75,Horse,6,0.333,0.276,0.056999999999999995,5.7
Nate Lashley,Calm,Positioning,Yellow,Water,50,50,Dog,11,0.273,0.217,0.05600000000000002,5.6
Chad Ramey,Calm,Open,Blue,Water,75,50,Monkey,6,0.333,0.277,0.055999999999999994,5.6
Chad Ramey,Calm,Open,Yellow,Water,50,50,Monkey,9,0.333,0.277,0.055999999999999994,5.6
Chad Ramey,Calm,Positioning,Yellow,Water,50,50,Monkey,6,0.333,0.277,0.055999999999999994,5.6
Greyson Sigg,Calm,Open,Yellow,Wood,50,50,Pig,13,0.308,0.253,0.05499999999999999,5.5
Garrick Higgo,Calm,Open,Yellow,Earth,50,75,Rabbit,8,0.375,0.32,0.05499999999999999,5.5
Kevin Yu,Calm,Open,Yellow,Earth,50,75,Tiger,5,0.4,0.346,0.05400000000000005,5.4
Chez Reavie,Calm,Open,Yellow,Metal,50,50,Rooster,11,0.273,0.219,0.05400000000000002,5.4
Chan Kim,Calm,Survival,Yellow,Metal,25,50,Horse,6,0.333,0.279,0.05399999999999999,5.4
Harry Hall,Calm,Survival,Blue,Fire,25,75,Ox,5,0.4,0.347,0.05300000000000005,5.3
Alex Smalley,Calm,Open,Yellow,Fire,50,75,Rat,6,0.333,0.28,0.05299999999999999,5.3
Alex Smalley,Calm,Survival,Yellow,Fire,50,50,Rat,9,0.333,0.28,0.05299999999999999,5.3
Ryo Hisatsune,Calm,Survival,Yellow,Water,50,75,Horse,6,0.333,0.281,0.05199999999999999,5.2
Ryo Hisatsune,Calm,Survival,Yellow,Water,50,50,Horse,9,0.333,0.281,0.05199999999999999,5.2
Taylor Pendrith,Calm,Positioning,Yellow,Metal,75,50,Goat,6,0.333,0.281,0.05199999999999999,5.2
Taylor Pendrith,Calm,REMOVE,Yellow,Metal,50,75,Goat,6,0.333,0.281,0.05199999999999999,5.2
Troy Merritt,Calm,Survival,Yellow,Wood,50,50,Ox,7,0.286,0.234,0.05199999999999996,5.2
Ben Kohles,Calm,Open,Blue,Metal,25,50,Horse,6,0.333,0.282,0.051000000000000045,5.1
Jonathan Byrd,Calm,Open,Yellow,Fire,25,75,Snake,5,0.2,0.149,0.05100000000000002,5.1
