condition,n_pd22,n_baseline,mean_pd22,std_pd22,mean_baseline,std_baseline,difference,p_value,cohens_d
Calm,1487,36444,-0.4538480532148749,2.8781975395228003,-0.28138480939267524,2.946586349151943,-0.17246324382219969,0.02681303658061981,-0.058582520851100134
Moderate,842,22075,-0.04623733995807007,2.9595920170654852,0.07693116848259691,2.980087500761789,-0.12316850844066699,0.2390660454611402,-0.04134090091985571
Tough,95,2122,-0.07659845973473686,2.7874482344578975,0.34392778324106493,2.9597568086366497,-0.42052624297580177,0.17456906055575522,-0.14242339146356428
