upside_bucket,round_num,n,mean_vs_avg,std,win_rate,baseline_mean,difference,p_value,cohens_d
Upside_25-50,1,1137,-0.18644409222138084,2.9600749602349543,43.35971855760774,-0.1824343851320499,-0.004009707089330933,0.9648092739750319,-0.001343468282220691
Upside_25-50,2,1204,-0.1540891466395,2.9650751453610567,44.26910299003322,-0.17858845245314808,0.024499305813648092,0.7853079486533833,0.008074239488138528
Upside_25-50,3,860,-0.07663709747462909,3.000117198700648,47.20930232558139,-0.07465877457830407,-0.001978322896325019,0.9843917943686115,-0.0006891662257131537
Upside_25-50,4,853,0.029609521228229786,2.952382277474679,50.99648300117233,-0.06345885679978909,0.09306837802801887,0.36387184343023865,0.03216057890433211
Upside_50-75,1,13212,-0.19955057413833108,2.9918527250771922,43.952467453829854,-0.1824343851320499,-0.017116189006281174,0.6061311867661913,-0.005727899686908542
Upside_50-75,2,12937,-0.19308472251981681,3.029298378692933,45.992115637319316,-0.17858845245314808,-0.014496270066668732,0.6695208670813043,-0.004776689670047185
Upside_50-75,3,7733,-0.1023243459708125,2.8558347998784273,47.22617354196302,-0.07465877457830407,-0.02766557139250843,0.5017795416083638,-0.009674998041279949
Upside_50-75,4,7399,-0.10116880902137179,2.862398621754322,46.7765914312745,-0.06345885679978909,-0.0377099522215827,0.37423149805354416,-0.013096303476073913
Upside_75-100,1,6606,-0.14751187133980703,2.9785994144615495,45.26188313654254,-0.1824343851320499,0.03492251379224287,0.4069022939199376,0.011702607910429421
Upside_75-100,2,6712,-0.15504240333919397,3.0684066307671913,45.0834326579261,-0.17858845245314808,0.02354604911395411,0.5817011861291741,0.007731216895400602
Upside_75-100,3,4203,-0.023352750007971695,2.843412442990847,48.72709969069712,-0.07465877457830407,0.05130602457033237,0.3124949634399299,0.01795682074756179
Upside_75-100,4,3934,-0.012714421103401109,2.92644336149612,49.034062023385864,-0.06345885679978909,0.05074443569638798,0.33976724809741465,0.017505742755949485
