player_a,player_b,condition,round_type,gap,prediction,actual_winner,result,correct
Taylor Pendrith,Denny McCarthy,Calm,Survival,-6.307843050015034,SKIP,Taylor Pendrith,SKIP,
Max Homa,Sami Valimaki,Calm,Survival,6.307843050015034,SKIP,Max Homa,SKIP,
Eric Cole,Mackenzie Hughes,Moderate,Positioning,-6.295749967087053,SKIP,Push,PUSH,
Manuel Elvira,Ricardo Gouveia,Calm,Survival,-6.287472844060821,SKIP,Ricardo Gouveia,SKIP,
Manuel Elvira,Ricardo Gouveia,Calm,Survival,-6.287472844060821,SKIP,Ricardo Gouveia,SKIP,
Niklas Norgaard,Daniel van Tonder,Calm,Survival,-6.287472844060821,SKIP,Daniel van Tonder,SKIP,
Niklas Norgaard,Daniel van Tonder,Calm,Survival,-6.287472844060821,SKIP,Daniel van Tonder,SKIP,
Taylor Pendrith,Rasmus Hojgaard,Moderate,Open,6.260479210918575,SKIP,Taylor Pendrith,SKIP,
Sam Burns,Jason Day,Moderate,Open,6.260479210918575,SKIP,Jason Day,SKIP,
Sahith Theegala,Justin Rose,Moderate,Open,6.260479210918575,SKIP,Sahith Theegala,SKIP,
Nico Echavarria,Wyndham Clark,Moderate,Open,6.260479210918575,SKIP,Wyndham Clark,SKIP,
Adam Scott,Max Greyserman,Calm,Positioning,6.246133213706052,SKIP,Max Greyserman,SKIP,
Matt Fitzpatrick,Tony Finau,Moderate,Open,6.230335822985509,SKIP,Tony Finau,SKIP,
Matthew Jordan,Niklas Norgaard,Calm,Survival,-6.225105357570076,SKIP,Matthew Jordan,SKIP,
Russell Henley,Viktor Hovland,Moderate,Open,-6.154865752565831,SKIP,Russell Henley,SKIP,
Zander Lombard,Daniel Van Tonder,Calm,Open,-6.152273837391816,SKIP,Zander Lombard,SKIP,
Si Woo Kim,Bud Cauley,Calm,Survival,6.152238138303343,SKIP,Bud Cauley,SKIP,
Si Woo Kim,Bud Cauley,Calm,Survival,6.152238138303343,SKIP,Bud Cauley,SKIP,
Si Woo Kim,Bud Cauley,Calm,Survival,6.152238138303343,SKIP,Push,PUSH,
Mikael Lindberg,Grant Forrest,Calm,Survival,6.152238138303343,SKIP,Mikael Lindberg,SKIP,
Si Woo Kim,Bud Cauley,Calm,Survival,6.152238138303343,SKIP,Bud Cauley,SKIP,
Si Woo Kim,Bud Cauley,Calm,Survival,6.152238138303343,SKIP,Bud Cauley,SKIP,
Si Woo Kim,Bud Cauley,Calm,Survival,6.152238138303343,SKIP,Push,PUSH,
Nicolai Hojgaard,Chris Kirk,Calm,Positioning,-6.136646344707049,SKIP,Push,PUSH,
Nicolai Hojgaard,Chris Kirk,Calm,Positioning,-6.136646344707049,SKIP,Push,PUSH,
Jordan Spieth,William Mouw,Calm,Positioning,-6.136646344707049,SKIP,William Mouw,SKIP,
Dustin Johnson,Miguel Tabuena,Calm,Positioning,-6.101675351387141,SKIP,Dustin Johnson,SKIP,
Dustin Johnson,Dean Burmester,Calm,Positioning,-6.101675351387141,SKIP,Dean Burmester,SKIP,
Kevin Yu,Nico Echavarria,Calm,Survival,6.100004612314539,SKIP,Nico Echavarria,SKIP,
Hennie Du Plessis,Casey Jarvis,Moderate,Closing,6.070679994604675,SKIP,Casey Jarvis,SKIP,
Hideki Matsuyama,Min Woo Lee,Moderate,Open,6.067346229780453,SKIP,Hideki Matsuyama,SKIP,
Taylor Moore,Austin Smotherman,Moderate,Positioning,-6.06126299241182,SKIP,Taylor Moore,SKIP,
Taylor Moore,William Mouw,Moderate,Positioning,-6.06126299241182,SKIP,Taylor Moore,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Survival,6.025998149227031,SKIP,Min Woo Lee,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Survival,6.025998149227031,SKIP,Min Woo Lee,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Survival,6.025998149227031,SKIP,Min Woo Lee,SKIP,
Rickie Fowler,Michael Kim,Calm,Survival,-6.025998149227031,SKIP,Rickie Fowler,SKIP,
Rickie Fowler,Michael Kim,Calm,Survival,-6.025998149227031,SKIP,Michael Kim,SKIP,
Rickie Fowler,Michael Kim,Calm,Survival,-6.025998149227031,SKIP,Michael Kim,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Survival,6.025998149227031,SKIP,Min Woo Lee,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Survival,6.025998149227031,SKIP,Min Woo Lee,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Survival,6.025998149227031,SKIP,Min Woo Lee,SKIP,
Rickie Fowler,Michael Kim,Calm,Survival,-6.025998149227031,SKIP,Rickie Fowler,SKIP,
Rickie Fowler,Michael Kim,Calm,Survival,-6.025998149227031,SKIP,Michael Kim,SKIP,
Rickie Fowler,Michael Kim,Calm,Survival,-6.025998149227031,SKIP,Michael Kim,SKIP,
Ben Griffin,Tommy Fleetwood,Calm,Survival,-6.02129092816562,SKIP,Ben Griffin,SKIP,
Ben Griffin,Tommy Fleetwood,Calm,Survival,-6.02129092816562,SKIP,Tommy Fleetwood,SKIP,
Ben Griffin,Tommy Fleetwood,Calm,Survival,-6.02129092816562,SKIP,Ben Griffin,SKIP,
Pablo Larrazabal,Angel Ayora,Calm,Survival,6.02129092816562,SKIP,Angel Ayora,SKIP,
Pablo Larrazabal,Angel Ayora,Calm,Survival,6.02129092816562,SKIP,Angel Ayora,SKIP,
Scottie Scheffler,Russell Henley,Calm,Survival,6.02129092816562,SKIP,Push,PUSH,
Scottie Scheffler,Russell Henley,Calm,Survival,6.02129092816562,SKIP,Scottie Scheffler,SKIP,
Scottie Scheffler,Russell Henley,Calm,Survival,6.02129092816562,SKIP,Russell Henley,SKIP,
Ben Griffin,Tommy Fleetwood,Calm,Survival,-6.02129092816562,SKIP,Ben Griffin,SKIP,
Ben Griffin,Tommy Fleetwood,Calm,Survival,-6.02129092816562,SKIP,Tommy Fleetwood,SKIP,
Ben Griffin,Tommy Fleetwood,Calm,Survival,-6.02129092816562,SKIP,Ben Griffin,SKIP,
Scottie Scheffler,Russell Henley,Calm,Survival,6.02129092816562,SKIP,Push,PUSH,
Scottie Scheffler,Russell Henley,Calm,Survival,6.02129092816562,SKIP,Scottie Scheffler,SKIP,
Scottie Scheffler,Russell Henley,Calm,Survival,6.02129092816562,SKIP,Russell Henley,SKIP,
J.J. Spaun,Ryan Gerard,Tough,Open,5.998183063305024,SKIP,Ryan Gerard,SKIP,
Davis Thompson,Corey Conners,Moderate,Open,-5.925285766836624,SKIP,Corey Conners,SKIP,
Antoine Rozner,Patrick Reed,Moderate,Closing,5.905779666747742,SKIP,Patrick Reed,SKIP,
Antoine Rozner,Patrick Reed,Moderate,Closing,5.905779666747742,SKIP,Patrick Reed,SKIP,
Zecheng Dou,Beau Hossler,Moderate,Closing,5.905779666747742,SKIP,Zecheng Dou,SKIP,
Patton Kizzire,Zecheng Dou,Moderate,Closing,-5.905779666747742,SKIP,Push,PUSH,
Chad Ramey,Seamus Power,Moderate,Positioning,-5.888451932503984,SKIP,Chad Ramey,SKIP,
Adrian Otaegui,Rocco Repetto Taylor,Tough,Survival,5.884650724827009,SKIP,Adrian Otaegui,SKIP,
Nick Taylor,Max McGreevy,Moderate,Open,5.867840688692011,SKIP,Max McGreevy,SKIP,
Alex Fitzpatrick,Casey Jarvis,Calm,Open,-5.847049835940997,SKIP,Casey Jarvis,SKIP,
Alex Fitzpatrick,Casey Jarvis,Calm,Open,-5.847049835940997,SKIP,Casey Jarvis,SKIP,
Shane Lowry,Austin Smotherman,Moderate,Closing,-5.836627360540366,SKIP,Push,PUSH,
Chris Gotterup,Akshay Bhatia,Moderate,Closing,-5.836627360540366,SKIP,Akshay Bhatia,SKIP,
JC Ritchie,Kiradech Aphibarnrat,Moderate,Closing,-5.836627360540366,SKIP,JC Ritchie,SKIP,
JC Ritchie,Kiradech Aphibarnrat,Moderate,Closing,-5.836627360540366,SKIP,Push,PUSH,
Xander Schauffele,Robert MacIntyre,Moderate,Closing,5.836627360540366,SKIP,Push,PUSH,
Ryo Hisatsune,Russell Henley,Moderate,Closing,5.836627360540366,SKIP,Push,PUSH,
Talor Gooch,Branden Grace,Calm,Open,5.821545062029979,SKIP,Branden Grace,SKIP,
Talor Gooch,Branden Grace,Calm,Open,5.821545062029979,SKIP,Branden Grace,SKIP,
Nico Echavarria,Taylor Moore,Moderate,Closing,-5.818086873667712,SKIP,Taylor Moore,SKIP,
David Ford,John Parry,Moderate,Closing,-5.767991036323204,SKIP,David Ford,SKIP,
Haotong Li,David Ford,Moderate,Closing,5.767991036323204,SKIP,Push,PUSH,
Benjamin Follett-Smith,Nathan Kimsey,Calm,Positioning,5.757886321506273,SKIP,Benjamin Follett-Smith,SKIP,
Chris Kirk,Sahith Theegala,Calm,Survival,-5.672357899095917,SKIP,Sahith Theegala,SKIP,
Chris Kirk,Sahith Theegala,Calm,Survival,-5.672357899095917,SKIP,Sahith Theegala,SKIP,
Chris Kirk,Sahith Theegala,Calm,Survival,-5.672357899095917,SKIP,Push,PUSH,
Chris Kirk,Sahith Theegala,Calm,Survival,-5.672357899095917,SKIP,Sahith Theegala,SKIP,
Chris Kirk,Sahith Theegala,Calm,Survival,-5.672357899095917,SKIP,Sahith Theegala,SKIP,
Chris Kirk,Sahith Theegala,Calm,Survival,-5.672357899095917,SKIP,Push,PUSH,
Akshay Bhatia,Viktor Hovland,Moderate,Open,5.672018165586614,SKIP,Akshay Bhatia,SKIP,
Akshay Bhatia,Viktor Hovland,Moderate,Open,5.672018165586614,SKIP,Viktor Hovland,SKIP,
Adrian Otaegui,Casey Jarvis,Tough,Positioning,5.67026141560303,SKIP,Casey Jarvis,SKIP,
Bud Cauley,Mac Meissner,Moderate,Open,5.666291028126717,SKIP,Bud Cauley,SKIP,
J.T. Poston,Jacob Bridgeman,Tough,Open,5.623826658322905,SKIP,Jacob Bridgeman,SKIP,
Davis Thompson,Christiaan Bezuidenhout,Moderate,Positioning,5.613626097793295,SKIP,Christiaan Bezuidenhout,SKIP,
Dan Bradbury,Calum Hill,Calm,Closing,5.610317655047276,SKIP,Calum Hill,SKIP,
Patrick Rodgers,Jacob Bridgeman,Calm,Open,-5.6096062183767685,SKIP,Jacob Bridgeman,SKIP,
Viktor Hovland,Ryan Gerard,Calm,Positioning,5.606960448695502,SKIP,Ryan Gerard,SKIP,
Michael Brennan,Aaron Rai,Moderate,Positioning,-5.550561348835352,SKIP,Aaron Rai,SKIP,
Eric Cole,Seamus Power,Moderate,Positioning,-5.550561348835352,SKIP,Eric Cole,SKIP,
Joost Luiten,Jacques Kruyswijk,Calm,Open,5.53194864163942,SKIP,Joost Luiten,SKIP,
Jorge Campillo,Martin Couvra,Calm,Open,-5.53194864163942,SKIP,Jorge Campillo,SKIP,
Stephan Jaeger,Davis Thompson,Calm,Survival,-5.52441467174116,SKIP,Davis Thompson,SKIP,
Zach Bauchou,Eric Cole,Calm,Positioning,5.4930510962902055,SKIP,Zach Bauchou,SKIP,
Ryan Fox,Alex Smalley,Moderate,Open,5.473158046988595,SKIP,Alex Smalley,SKIP,
Sam Stevens,Corey Conners,Tough,Open,-5.469777362548256,SKIP,Corey Conners,SKIP,
Jose Luis Ballester,Sergio Garcia,Calm,Open,5.452192158316661,SKIP,Sergio Garcia,SKIP,
Robin Williams,Julien Guerrier,Tough,Positioning,5.442766782289332,SKIP,Julien Guerrier,SKIP,
Patrick Fishburn,Ben Silverman,Moderate,Closing,5.435231166552002,SKIP,Patrick Fishburn,SKIP,
Casey Jarvis,Calum Hill,Moderate,Closing,-5.435231166552002,SKIP,Calum Hill,SKIP,
Casey Jarvis,Calum Hill,Moderate,Closing,-5.435231166552002,SKIP,Casey Jarvis,SKIP,
Jimmy Stanger,Ricky Castillo,Moderate,Closing,-5.435231166552002,SKIP,Ricky Castillo,SKIP,
Jorge Campillo,Thriston Lawrence,Calm,Closing,5.4339891604872514,SKIP,Jorge Campillo,SKIP,
Daniel Rodrigues,Darren Fichardt,Tough,Positioning,5.431641747345836,SKIP,push,PUSH,
Cameron Young,Sepp Straka,Calm,Survival,-5.411571604506072,SKIP,Cameron Young,SKIP,
Cameron Young,Sepp Straka,Calm,Survival,-5.411571604506072,SKIP,Cameron Young,SKIP,
Cameron Young,Sepp Straka,Calm,Survival,-5.411571604506072,SKIP,Sepp Straka,SKIP,
Cameron Young,Sepp Straka,Calm,Survival,-5.411571604506072,SKIP,Cameron Young,SKIP,
Cameron Young,Sepp Straka,Calm,Survival,-5.411571604506072,SKIP,Cameron Young,SKIP,
Cameron Young,Sepp Straka,Calm,Survival,-5.411571604506072,SKIP,Sepp Straka,SKIP,
Alex Smalley,Ryo Hisatsune,Calm,Positioning,5.407942556041739,SKIP,Alex Smalley,SKIP,
Alex Smalley,Ryo Hisatsune,Calm,Positioning,5.407942556041739,SKIP,Ryo Hisatsune,SKIP,
Stephan Jaeger,Steven Fisk,Calm,Positioning,5.407942556041739,SKIP,Stephan Jaeger,SKIP,
Davis Thompson,Chris Kirk,Calm,Survival,5.393467461603437,SKIP,Davis Thompson,SKIP,
Abraham Ancer,Carlos Ortiz,Calm,Open,5.37335752065813,SKIP,Carlos Ortiz,SKIP,
Herman Loubser,Joe Dean,Tough,Positioning,-5.362271388174247,SKIP,Joe Dean,SKIP,
Chris Gotterup,Hideki Matsuyama,Moderate,Open,-5.318924799762736,SKIP,Chris Gotterup,SKIP,
Scottie Scheffler,Viktor Hovland,Calm,Closing,5.318767001696526,SKIP,Viktor Hovland,SKIP,
Scottie Scheffler,Viktor Hovland,Calm,Closing,5.318767001696526,SKIP,Push,PUSH,
Min Woo Lee,Michael Thorbjornsen,Calm,Open,-5.283010755300426,SKIP,Min Woo Lee,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Open,-5.283010755300426,SKIP,Min Woo Lee,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Open,-5.283010755300426,SKIP,Min Woo Lee,SKIP,
Xander Schauffele,Shane Lowry,Calm,Survival,-5.280624394368349,SKIP,Xander Schauffele,SKIP,
Xander Schauffele,Shane Lowry,Calm,Survival,-5.280624394368349,SKIP,Shane Lowry,SKIP,
Xander Schauffele,Shane Lowry,Calm,Survival,-5.280624394368349,SKIP,Push,PUSH,
Xander Schauffele,Shane Lowry,Calm,Survival,-5.280624394368349,SKIP,Xander Schauffele,SKIP,
Xander Schauffele,Shane Lowry,Calm,Survival,-5.280624394368349,SKIP,Shane Lowry,SKIP,
Xander Schauffele,Shane Lowry,Calm,Survival,-5.280624394368349,SKIP,Push,PUSH,
Darius van Driel,Freddy Schott,Calm,Survival,-5.280624394368349,SKIP,Darius van Driel,SKIP,
Darius van Driel,Freddy Schott,Calm,Survival,-5.280624394368349,SKIP,Darius van Driel,SKIP,
Max McGreevy,Bud Cauley,Calm,Positioning,5.262110631100677,SKIP,Max McGreevy,SKIP,
Jacob Olesen,Jacques Kruyswijk,Tough,Survival,5.206043956043956,SKIP,Push,PUSH,
Jacob Olesen,Jacques Kruyswijk,Tough,Survival,5.206043956043956,SKIP,Jacques Kruyswijk,SKIP,
Kurt Kitayama,Ben Griffin,Moderate,Open,-5.179868034008727,SKIP,Ben Griffin,SKIP,
Dylan Frittelli,Jordan Gumberg,Calm,Closing,5.155513972201117,SKIP,Jordan Gumberg,SKIP,
Jacob Bridgeman,Pierceson Coody,Moderate,Open,5.120378836387262,SKIP,Jacob Bridgeman,SKIP,
Cameron Young,Corey Conners,Calm,Positioning,-5.064153526160871,SKIP,Cameron Young,SKIP,
J.T. Poston,Michael Kim,Moderate,Open,-5.026202234229608,SKIP,J.T. Poston,SKIP,
Alex Smalley,Eric Cole,Calm,Survival,-5.011773122069284,SKIP,Push,PUSH,
Alex Smalley,Eric Cole,Calm,Survival,-5.011773122069284,SKIP,Push,PUSH,
Andrew Novak,Rico Hoey,Tough,Open,5.004629980464386,SKIP,Andrew Novak,SKIP,
Min Woo Lee,Wyndham Clark,Tough,Open,4.984091390211347,SKIP,Wyndham Clark,SKIP,
Keith Mitchell,Rasmus Neergaard-Petersen,Moderate,Positioning,4.970985578920827,SKIP,Keith Mitchell,SKIP,
Matthew Jordan,Sean Crocker,Calm,Closing,-4.956396330781746,SKIP,Matthew Jordan,SKIP,
Ryan Gerard,Michael Thorbjornsen,Moderate,Open,-4.951961143419403,SKIP,Ryan Gerard,SKIP,
Ludvig Aberg,Russell Henley,Moderate,Open,4.951961143419403,SKIP,Russell Henley,SKIP,
Sepp Straka,Jake Knapp,Calm,Positioning,4.941435900081186,SKIP,Jake Knapp,SKIP,
Sepp Straka,Jake Knapp,Calm,Positioning,4.941435900081186,SKIP,Jake Knapp,SKIP,
Ewen Ferguson,Matt Wallace,Calm,Positioning,-4.941172423183524,SKIP,push,PUSH,
Ewen Ferguson,Matt Wallace,Calm,Positioning,-4.941172423183524,SKIP,Matt Wallace,SKIP,
Jon Rahm,Joaquin Niemann,Calm,Positioning,4.938705573392668,SKIP,Jon Rahm,SKIP,
Marcus Armitage,Yuto Katsuragawa,Calm,Closing,-4.929072661418791,SKIP,Marcus Armitage,SKIP,
Collin Morikawa,Jason Day,Moderate,Positioning,4.8905793247646185,SKIP,Collin Morikawa,SKIP,
Rory McIlroy,Scottie Scheffler,Moderate,Positioning,-4.8905793247646185,SKIP,Scottie Scheffler,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Open,4.8842702810937855,SKIP,Denny McCarthy,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Open,4.8842702810937855,SKIP,Denny McCarthy,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Open,4.8842702810937855,SKIP,Taylor Pendrith,SKIP,
Sam Burns,Sungjae Im,Calm,Open,4.8842702810937855,SKIP,Sam Burns,SKIP,
Sam Burns,Sungjae Im,Calm,Open,4.8842702810937855,SKIP,,SKIP,
Sam Burns,Sungjae Im,Calm,Open,4.8842702810937855,SKIP,Sungjae Im,SKIP,
Jake Knapp,Chris Gotterup,Calm,Open,-4.8842702810937855,SKIP,Chris Gotterup,SKIP,
Wenyi Ding,Yanhan Zhou,Calm,Survival,4.860428571431552,SKIP,Wenyi Ding,SKIP,
Wenyi Ding,Yanhan Zhou,Calm,Survival,4.860428571431552,SKIP,Yanhan Zhou,SKIP,
Min Woo Lee,Nick Taylor,Moderate,Open,4.850819101395096,SKIP,Min Woo Lee,SKIP,
Min Woo Lee,Nick Taylor,Moderate,Open,4.850819101395096,SKIP,Min Woo Lee,SKIP,
Mac Meissner,Kristoffer Reitan,Calm,Open,4.849148682168941,SKIP,Kristoffer Reitan,SKIP,
Alex Noren,Nick Taylor,Tough,Open,-4.844104467234126,SKIP,Nick Taylor,SKIP,
Richard Sterne,Deon Germishuys,Moderate,Open,4.838124440726401,SKIP,Richard Sterne,SKIP,
John Parry,Chan Kim,Calm,Survival,4.828348351883389,SKIP,John Parry,SKIP,
Jordan Spieth,Nick Taylor,Calm,Open,4.827962262468431,SKIP,Jordan Spieth,SKIP,
Jordan Spieth,Nick Taylor,Calm,Open,4.827962262468431,SKIP,Push,PUSH,
Sam Burns,Akshay Bhatia,Moderate,Positioning,-4.810610124022246,SKIP,Akshay Bhatia,SKIP,
Rasmus Neergaard-Petersen,David Ford,Calm,Survival,-4.801125017927422,SKIP,Push,PUSH,
A.J. Ewart,Joel Dahmen,Moderate,Closing,-4.788025401939863,SKIP,Joel Dahmen,SKIP,
Kiradech Aphibarnrat,Johannes Veerman,Moderate,Closing,4.788025401939863,SKIP,Johannes Veerman,SKIP,
Chan Kim,John Parry,Moderate,Closing,-4.788025401939863,SKIP,Chan Kim,SKIP,
Ewen Ferguson,Oliver Lindell,Moderate,Closing,4.788025401939863,SKIP,Ewen Ferguson,SKIP,
Ewen Ferguson,Oliver Lindell,Moderate,Closing,4.788025401939863,SKIP,Ewen Ferguson,SKIP,
Angel Ayora,Jayden Schaper,Moderate,Closing,4.788025401939863,SKIP,Jayden Schaper,SKIP,
Angel Ayora,Jayden Schaper,Moderate,Closing,4.788025401939863,SKIP,Angel Ayora,SKIP,
Wenyi Ding,Alex Fitzpatrick,Moderate,Closing,-4.788025401939863,SKIP,Alex Fitzpatrick,SKIP,
Wenyi Ding,Alex Fitzpatrick,Moderate,Closing,-4.788025401939863,SKIP,Alex Fitzpatrick,SKIP,
Wenyi Ding,Alex Fitzpatrick,Moderate,Closing,-4.788025401939863,SKIP,Alex Fitzpatrick,SKIP,
Min Woo Lee,Nick Taylor,Moderate,Positioning,4.777402724689175,SKIP,Min Woo Lee,SKIP,
Min Woo Lee,Nick Taylor,Moderate,Positioning,4.777402724689175,SKIP,Min Woo Lee,SKIP,
Patrick Reed,Branden Grace,Calm,Open,4.771438736246076,SKIP,Branden Grace,SKIP,
Sam Bairstow,Rafa Cabrera Bello,Moderate,Closing,4.76948491506721,SKIP,Rafa Cabrera Bello,SKIP,
Chad Ramey,Adrien Dumont De Chassart,Moderate,Closing,4.76948491506721,SKIP,Chad Ramey,SKIP,
Alex Smalley,Danny Walker,Moderate,Closing,4.76948491506721,SKIP,Alex Smalley,SKIP,
Andy Sullivan,Sam Bairstow,Moderate,Closing,-4.76948491506721,SKIP,Sam Bairstow,SKIP,
Andy Sullivan,Sam Bairstow,Moderate,Closing,-4.76948491506721,SKIP,Andy Sullivan,SKIP,
Zach Bauchou,Chad Ramey,Moderate,Closing,-4.76948491506721,SKIP,Push,PUSH,
Ryan Fox,Billy Horschel,Calm,Survival,-4.728867092839272,SKIP,Ryan Fox,SKIP,
Ryan Fox,Billy Horschel,Calm,Survival,-4.728867092839272,SKIP,Billy Horschel,SKIP,
Ryan Fox,Billy Horschel,Calm,Survival,-4.728867092839272,SKIP,Ryan Fox,SKIP,
Ryan Fox,Billy Horschel,Calm,Survival,-4.728867092839272,SKIP,Ryan Fox,SKIP,
Ryan Fox,Billy Horschel,Calm,Survival,-4.728867092839272,SKIP,Billy Horschel,SKIP,
Ryan Fox,Billy Horschel,Calm,Survival,-4.728867092839272,SKIP,Ryan Fox,SKIP,
Kurt Kitayama,Keith Mitchell,Calm,Positioning,-4.706977649810611,SKIP,Keith Mitchell,SKIP,
Aaron Rai,Nico Echavarria,Calm,Survival,4.705335764743811,SKIP,Aaron Rai,SKIP,
Eddie Pepperell,Sean Crocker,Calm,Closing,-4.701115328884032,SKIP,Eddie Pepperell,SKIP,
Max Greyserman,Billy Horschel,Moderate,Open,-4.687148182914555,SKIP,Max Greyserman,SKIP,
Harris English,Patrick Cantlay,Calm,Survival,4.6850355230275165,SKIP,Harris English,SKIP,
Harris English,Patrick Cantlay,Calm,Survival,4.6850355230275165,SKIP,Patrick Cantlay,SKIP,
Harris English,Patrick Cantlay,Calm,Survival,4.6850355230275165,SKIP,Harris English,SKIP,
Harris English,Patrick Cantlay,Calm,Survival,4.6850355230275165,SKIP,Harris English,SKIP,
Harris English,Patrick Cantlay,Calm,Survival,4.6850355230275165,SKIP,Patrick Cantlay,SKIP,
Harris English,Patrick Cantlay,Calm,Survival,4.6850355230275165,SKIP,Harris English,SKIP,
Tom Vaillant,Kazuma Kobori,Calm,Open,4.680768373818097,SKIP,Push,PUSH,
Tom Vaillant,Kazuma Kobori,Calm,Open,4.680768373818097,SKIP,Kazuma Kobori,SKIP,
Xander Schauffele,Shane Lowry,Calm,Open,4.679888885333714,SKIP,Xander Schauffele,SKIP,
Xander Schauffele,Shane Lowry,Calm,Open,4.679888885333714,SKIP,Shane Lowry,SKIP,
Xander Schauffele,Shane Lowry,Calm,Open,4.679888885333714,SKIP,Push,PUSH,
Alex Smalley,Max McGreevy,Moderate,Closing,-4.6385636752406505,SKIP,Max McGreevy,SKIP,
Eddie Pepperell,Angel Ayora,Tough,Positioning,-4.633611862046368,SKIP,Angel Ayora,SKIP,
Kristoffer Reitan,Mark Hubbard,Moderate,Closing,4.6200231883679965,SKIP,Kristoffer Reitan,SKIP,
Branden Grace,Angel Ayora,Moderate,Closing,4.6200231883679965,SKIP,Angel Ayora,SKIP,
Thorbjorn Olesen,Kristoffer Reitan,Moderate,Closing,-4.6200231883679965,SKIP,Kristoffer Reitan,SKIP,
Matt Fitzpatrick,Jake Knapp,Moderate,Open,-4.618295792549678,SKIP,Matt Fitzpatrick,SKIP,
Matt Fitzpatrick,Jake Knapp,Moderate,Open,-4.618295792549678,SKIP,Matt Fitzpatrick,SKIP,
Jason Day,Michael Thorbjornsen,Moderate,Open,-4.609269568193506,SKIP,Michael Thorbjornsen,SKIP,
Ewen Ferguson,Mikael Lindberg,Calm,Open,4.608766672164808,SKIP,Mikael Lindberg,SKIP,
Cameron Smith,Lucas Herbert,Calm,Open,-4.608766672164808,SKIP,Cameron Smith,SKIP,
Cameron Smith,Lucas Herbert,Calm,Open,-4.608766672164808,SKIP,Cameron Smith,SKIP,
Max McGreevy,Matti Schmid,Moderate,Open,-4.592157645855304,SKIP,Max McGreevy,SKIP,
Min Woo Lee,Robert MacIntyre,Moderate,Open,-4.592157645855304,SKIP,Min Woo Lee,SKIP,
JC Ritchie,Alex Fitzpatrick,Tough,Positioning,-4.585235580793373,SKIP,JC Ritchie,SKIP,
Tom Hoge,Sahith Theegala,Moderate,Open,4.5800678441923015,SKIP,Tom Hoge,SKIP,
Tom Hoge,Sahith Theegala,Moderate,Open,4.5800678441923015,SKIP,Tom Hoge,SKIP,
Brian Harman,Patrick Rodgers,Moderate,Positioning,-4.5742118314160045,SKIP,Brian Harman,SKIP,
Joost Luiten,Sean Crocker,Calm,Open,-4.532087399084444,SKIP,Joost Luiten,SKIP,
Tobias Jonsson,Nathan Kimsey,Calm,Open,4.532087399084444,SKIP,Tobias Jonsson,SKIP,
Tobias Jonsson,Nathan Kimsey,Calm,Open,4.532087399084444,SKIP,Nathan Kimsey,SKIP,
Cameron Adam,Matthew Baldwin,Calm,Open,4.532087399084444,SKIP,Matthew Baldwin,SKIP,
Ben Griffin,Jake Knapp,Tough,Open,4.526212208915553,SKIP,Push,PUSH,
Pablo Larrazabal,Angel Ayora,Calm,Open,-4.518419906807104,SKIP,Angel Ayora,SKIP,
Pablo Larrazabal,Angel Ayora,Calm,Open,-4.518419906807104,SKIP,Angel Ayora,SKIP,
Dustin Johnson,Paul Casey,Calm,Open,-4.501714389280372,SKIP,Paul Casey,SKIP,
Daniel Berger,Alex Noren,Calm,Open,4.501714389280372,SKIP,Daniel Berger,SKIP,
Daniel Berger,Alex Noren,Calm,Open,4.501714389280372,SKIP,Alex Noren,SKIP,
Daniel Berger,Alex Noren,Calm,Open,4.501714389280372,SKIP,Daniel Berger,SKIP,
Daniel Berger,Alex Noren,Calm,Open,4.501714389280372,SKIP,Alex Noren,SKIP,
Oliver Lindell,Guido Migliozzi,Calm,Positioning,4.490955822435294,SKIP,Oliver Lindell,SKIP,
Todd Clements,Kiradech Aphibarnrat,Calm,Positioning,4.490955822435294,SKIP,Todd Clements,SKIP,
Marc Leishman,Brendan Steele,Calm,Positioning,4.490955822435294,SKIP,Brendan Steele,SKIP,
Patrick Cantlay,Cameron Young,Moderate,Positioning,-4.489829144927526,SKIP,Patrick Cantlay,SKIP,
Min Woo Lee,Nicolai Hojgaard,Calm,Positioning,-4.488225495746776,SKIP,Nicolai Hojgaard,SKIP,
John Keefer,Daniel Berger,Calm,Closing,-4.476373668023911,SKIP,Daniel Berger,SKIP,
Antoine Rozner,Calum Hill,Calm,Positioning,4.463150493789113,SKIP,push,PUSH,
Victor Perez,Ben Schmidt,Calm,Positioning,4.463150493789113,SKIP,Victor Perez,SKIP,
Charles Howell III,Jason Kokrak,Calm,Positioning,-4.463150493789113,SKIP,Jason Kokrak,SKIP,
Ben Campbell,Anthony Kim,Calm,Positioning,4.463150493789113,SKIP,Anthony Kim,SKIP,
