pd_num,year,n_pd,n_baseline,mean_pd,std_pd,mean_baseline,difference,p_value,cohens_d
1,2022,1684,12094,-0.00858585320091449,3.046613928597125,-0.053314105919065234,0.04472825271815074,0.5633122947511837,0.015032174178172944
1,2023,1679,12085,-0.11601742791611375,2.9418495284095054,-0.11452863815230659,-0.0014887897638071607,0.9845536415511131,-0.0005042486291149852
1,2024,1740,12872,-0.44551717112312356,2.9126670837878605,-0.21768314055477175,-0.2278340305683518,0.0022071400634702757,-0.07819436523899895
1,2025,1797,12891,-0.060740144332005565,2.9957940108136296,-0.15252189510896758,0.09178175077696202,0.2223518825344426,0.03072899336146344
1,2026,494,3604,-0.25117441109720645,3.03070960512747,-0.21565942331558827,-0.035514987781618185,0.8037835042974039,-0.011920746801299004
6,2022,1322,12094,0.057695780189096046,3.0117984707018435,-0.053314105919065234,0.11100988610816129,0.19697455906835015,0.03737626381432643
6,2023,1337,12085,-0.010656123102694818,2.9021859419906666,-0.11452863815230659,0.10387251504961177,0.22166857928104725,0.03522472929699681
6,2024,1400,12872,-0.32189400333585144,3.001216001891761,-0.21768314055477175,-0.10421086278107969,0.2051498420486614,-0.035658005339443154
6,2025,1466,12891,-0.026045904831374495,3.040034167497384,-0.15252189510896758,0.12647599027759307,0.12503351490894005,0.04228319907230513
6,2026,319,3604,-0.16506344946376175,2.9291527730001206,-0.21565942331558827,0.050595973851826515,0.7704831971405592,0.017043225155993033
