color,exec_bucket,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Orange,0-25,Survival,-0.7955,3.0516,32,28,0.375,0.2071500283652279
Orange,25-50,Closing,-0.2577,2.8073,1251,238,0.458,0.011473101714687654
Orange,25-50,Elimination,-0.9262,2.4127,67,37,0.2985,0.002202088418411822
Orange,25-50,Mixed,-0.0749,3.6416,174,84,0.431,0.8542310836968598
Orange,25-50,Open,-0.3315,2.8887,2296,290,0.4159,0.15413048443375763
Orange,25-50,Positioning,-0.0397,2.7757,1340,218,0.4731,0.8298225169489178
Orange,25-50,REMOVE,-0.3476,3.0672,393,120,0.4249,0.02797479555803261
Orange,25-50,Survival,-0.2101,3.0091,1983,275,0.4665,0.20802652019670878
Orange,50-75,Closing,-0.0523,2.8556,1150,216,0.5017,0.925104105116939
Orange,50-75,Elimination,0.1934,3.0068,73,43,0.4521,0.9380030101546435
Orange,50-75,Mixed,0.4028,3.7499,182,80,0.5604,0.10524530338337369
Orange,50-75,Open,-0.4611,2.9759,1953,291,0.4091,0.0014744466414388037
Orange,50-75,Positioning,-0.2505,3.0157,1148,214,0.4678,0.008390913097585894
Orange,50-75,REMOVE,0.1007,2.8052,404,126,0.5149,0.43534177440171873
Orange,50-75,Survival,-0.0512,2.9855,1631,282,0.4654,0.3602478198573476
Orange,75-100,Closing,-0.2482,2.8068,202,69,0.4554,0.3188371364015245
Orange,75-100,Elimination,-1.9269,1.4079,8,5,0.0,0.036836382576998825
Orange,75-100,Mixed,-2.8711,2.8504,32,23,0.1562,3.04171305635011e-06
Orange,75-100,Open,0.313,3.0233,469,101,0.5139,7.136592049753248e-05
Orange,75-100,Positioning,0.5601,2.6394,180,72,0.5222,0.005972168393632002
Orange,75-100,REMOVE,0.3043,3.5397,83,39,0.4217,0.31819792927933754
Orange,75-100,Survival,0.4001,3.1024,290,93,0.5207,0.0034493859599957696
Pink,0-25,Closing,1.2603,1.4508,23,18,0.6957,0.030767217452425336
Pink,0-25,Open,-0.2035,3.4809,17,12,0.5294,0.9603167662022662
Pink,0-25,Positioning,-2.2105,1.7321,4,2,0.0,
Pink,0-25,REMOVE,0.5859,1.8604,4,3,0.5,
Pink,0-25,Survival,2.0323,3.7292,5,5,0.6,0.11083132449909375
Pink,25-50,Closing,-0.2197,2.7353,56,32,0.3929,0.650243738732964
Pink,25-50,Elimination,-1.0647,2.8284,2,2,0.5,
Pink,25-50,Mixed,0.1543,1.7846,11,8,0.4545,0.8620452066317743
Pink,25-50,Open,-0.2689,3.2984,127,41,0.4016,0.9123708189816258
Pink,25-50,Positioning,-0.4832,3.1079,75,31,0.3733,0.15970939575673324
Pink,25-50,REMOVE,-0.4232,2.7434,29,17,0.3793,0.4468895547698952
Pink,25-50,Survival,-0.439,3.117,79,24,0.3797,0.3510858788927932
Pink,50-75,Closing,0.6497,3.7495,25,13,0.56,0.23141048898294952
Pink,50-75,Elimination,0.9353,0.0,2,1,1.0,
Pink,50-75,Mixed,-0.2448,3.5032,10,6,0.5,0.8398453572080643
Pink,50-75,Open,-0.7405,2.2644,29,14,0.3448,0.3672866710417133
Pink,50-75,Positioning,0.895,3.0631,19,9,0.5789,0.15794109344258686
Pink,50-75,REMOVE,-0.8199,1.9455,18,8,0.2778,0.23652756675503986
Pink,50-75,Survival,-0.8994,2.5908,33,16,0.4545,0.13922173721151632
Pink,75-100,Closing,0.1409,4.2426,2,2,0.5,
Pink,75-100,Mixed,2.6914,2.8284,2,2,1.0,
Pink,75-100,Open,0.1635,1.0328,6,3,0.6667,0.7413127388547627
Pink,75-100,Positioning,1.1512,2.3094,3,3,0.6667,
Pink,75-100,REMOVE,-1.4927,0.0,2,1,0.0,
Pink,75-100,Survival,-3.8833,,1,1,0.0,
Purple,0-25,Closing,0.4779,2.3682,3,3,0.6667,
Purple,0-25,Open,2.1172,2.5064,6,4,0.8333,0.05360164709945852
Purple,0-25,Positioning,-6.7105,0.0,2,1,0.0,
Purple,0-25,REMOVE,-3.1053,2.2087,8,4,0.25,0.002445689398079334
Purple,0-25,Survival,-0.2949,3.4865,5,4,0.4,0.8978968353632273
Purple,25-50,Closing,-0.2533,3.0018,672,187,0.4598,0.06628882537397239
Purple,25-50,Elimination,0.0863,3.1481,45,23,0.4444,0.8541833574420706
Purple,25-50,Mixed,0.1347,3.4832,151,85,0.4834,0.5769859626431821
Purple,25-50,Open,-0.3894,2.9582,1262,256,0.3954,0.08087335009677282
Purple,25-50,Positioning,0.0258,2.9047,794,194,0.5101,0.6378996584856544
Purple,25-50,REMOVE,-0.0378,2.5849,211,78,0.4739,0.9102338505417913
