round_num,n_pd22,n_baseline,mean_pd22,std_pd22,mean_baseline,difference,p_value,cohens_d
1,711,18987,-0.33757342795129397,2.9032828916310858,-0.1810357326701388,-0.15653769528115516,0.17092442225581705,-0.052305018274699105
2,764,18952,-0.41870575035899216,2.9330813115175776,-0.1642110961399371,-0.25449465421905504,0.023156617712831465,-0.08380227276163589
3,492,11595,-0.2514462207682398,2.910652165776557,-0.06212282630154074,-0.18932339446669905,0.15104024411915004,-0.06609719023679872
4,457,11107,-0.08197660368577679,2.8707588393000347,-0.05014399675856755,-0.03183260692720924,0.8171422819026395,-0.011036636547791318
