color,upside_bucket,condition,n,mean_vs_avg,std,win_rate,baseline_mean,difference,p_value,cohens_d
Blue,Upside_25-50,Calm,457,-0.22262423686206567,2.9958331239238216,45.73304157549234,-0.23217309251903265,0.009548855656966976,0.9458801092686725,0.003267407163458125
Blue,Upside_25-50,Moderate,306,0.28338387284356215,3.157055996462458,48.69281045751634,0.07648330904880313,0.20690056379475902,0.2465385959252194,0.06838213375769304
Blue,Upside_25-50,Tough,31,1.1412449088129033,3.096937300538857,58.06451612903226,0.4753198993920471,0.6659250094208562,0.2618109273480686,0.2090198264178085
Blue,Upside_50-75,Calm,4520,-0.31094091788045625,2.9267132694004085,43.76106194690266,-0.23217309251903265,-0.0787678253614236,0.14942306600245053,-0.026963587129182197
Blue,Upside_50-75,Moderate,2695,-0.026919877302985153,2.965972156467805,48.237476808905384,0.07648330904880313,-0.10340318635178827,0.15381815077229619,-0.034486173502080886
Blue,Upside_50-75,Tough,225,0.5072609027357334,3.224906082225483,55.55555555555556,0.4753198993920471,0.031941003343686325,0.903780054928993,0.009970633492860682
Blue,Upside_75-100,Calm,2801,-0.10662266638607998,2.8878062283284005,45.76936808282756,-0.23217309251903265,0.12555042613295267,0.05027506169195095,0.04314286157049078
Blue,Upside_75-100,Moderate,1682,0.20452136772708682,3.0663297301562777,51.48632580261593,0.07648330904880313,0.1280380586782837,0.13719395037606152,0.04225633430123737
Blue,Upside_75-100,Tough,169,0.3106429701353846,3.1665824467958426,55.02958579881657,0.4753198993920471,-0.1646769292566625,0.5698671543015328,-0.05170533357920369
Brown,Upside_50-75,Calm,53,-0.48517024541245285,2.5292381999533524,39.62264150943396,-0.4077027825356522,-0.07746746287680067,0.8694899696667251,-0.030074686519657914
Brown,Upside_50-75,Moderate,27,-0.3407860629037038,3.4864351669256526,37.03703703703704,-0.2292449661514286,-0.11154109675227519,0.9022950545349836,-0.03157789087711151
Brown,Upside_75-100,Calm,12,-0.5026316412583335,2.640944951587812,50.0,-0.4077027825356522,-0.09492885872268131,0.9078999075794709,-0.036300117376300706
Brown,Upside_75-100,Moderate,6,-0.6178044418333335,4.393659779490714,16.666666666666664,-0.2292449661514286,-0.3885594756819049,0.8125505284138572,-0.10549295029441072
Green,Upside_25-50,Calm,281,-0.01940075814781851,2.76367078921836,46.619217081850536,-0.311210365454458,0.2918096073066395,0.10204171971641013,0.1002717481791981
Green,Upside_25-50,Moderate,171,0.28573258021701753,2.834610647877783,51.461988304093566,0.04120813150687591,0.24452444871014162,0.30390844067254935,0.08105033804834458
Green,Upside_25-50,Tough,13,0.3378000817,2.555447748337773,53.84615384615385,0.20258633293760475,0.13521374876239523,0.8706966553335332,0.04604971912115328
Green,Upside_50-75,Calm,3351,-0.3301950216196285,2.9138312781188485,42.852879737391824,-0.311210365454458,-0.018984656165170477,0.7708339915868226,-0.006509504292409552
Green,Upside_50-75,Moderate,1836,0.003948791392777782,3.0668802970290434,49.128540305010894,0.04120813150687591,-0.03725934011409813,0.6848368667887076,-0.012241871459435331
Green,Upside_50-75,Tough,218,0.42834089906541284,2.7880474258440313,54.12844036697248,0.20258633293760475,0.2257545661278081,0.36946332461539,0.07820759848465687
Green,Upside_75-100,Calm,1344,-0.32488664286790997,2.959156777343906,43.00595238095239,-0.311210365454458,-0.013676277413451954,0.8791951234026515,-0.004672509864827155
Green,Upside_75-100,Moderate,733,0.07748980643190995,2.973562261190132,48.70395634379263,0.04120813150687591,0.036281674925034035,0.772416382963006,0.01202764932741839
Green,Upside_75-100,Tough,103,-0.29229011511844655,3.2755246299277574,44.66019417475729,0.20258633293760475,-0.4948764480560513,0.1478596161958969,-0.16339184985473976
Orange,Upside_25-50,Calm,335,-0.23788936224005977,2.9633036588361312,45.67164179104478,-0.32637847989996516,0.08848911765990539,0.5922209697611907,0.030057108405570875
Orange,Upside_25-50,Moderate,317,-0.04472844645482644,3.0883930224361293,48.26498422712934,-0.014010861960480825,-0.030717584494345612,0.8589032169682697,-0.010389493653703112
Orange,Upside_25-50,Tough,18,0.22328556670000013,3.1671209585845346,50.0,0.18144213131842293,0.0418434353815772,0.9546600557511357,0.013838338809351702
Orange,Upside_50-75,Calm,3622,-0.32916950801173384,2.9554961381438383,43.34621755935947,-0.32637847989996516,-0.0027910281117686786,0.9639865538740201,-0.0009468682753439312
Orange,Upside_50-75,Moderate,2154,-0.03558181023741184,2.8722586457045924,47.585886722376976,-0.014010861960480825,-0.021570948276931012,0.7837550851416534,-0.00738890612597163
Orange,Upside_50-75,Tough,141,0.32303758807475175,3.0059541138043895,55.319148936170215,0.18144213131842293,0.1415954567563288,0.6493465950785932,0.04701353188808994
Orange,Upside_75-100,Calm,2153,-0.33545175003245103,2.9197505060141107,43.3348815606131,-0.32637847989996516,-0.009073270132485878,0.9018997473079108,-0.003089358378617366
Orange,Upside_75-100,Moderate,1366,0.02713210793206442,3.026252659845721,50.0,-0.014010861960480825,0.04114296989254525,0.6598559566322808,0.01386736159940105
Orange,Upside_75-100,Tough,120,0.008790954322499862,3.0191108151728474,47.5,0.18144213131842293,-0.17265117699592308,0.6003146744600739,-0.05724408206842618
Pink,Upside_25-50,Calm,26,-0.26513342734615386,2.8202124766344876,38.46153846153847,-0.36276012610230773,0.09762669875615387,0.8725721821408927,0.03294774217647856
Pink,Upside_25-50,Moderate,14,0.2017895957214287,3.1234687373784626,57.14285714285714,-0.2403060240111464,0.4420956197325751,0.5782636005484306,0.15536036913677387
Pink,Upside_50-75,Calm,180,-0.28718060583344446,3.004323845282059,41.11111111111111,-0.36276012610230773,0.07557952026886328,0.7922720854144832,0.025301193064149137
Pink,Upside_50-75,Moderate,102,-0.22875177050460782,2.9299196764857403,43.13725490196079,-0.2403060240111464,0.011554253506538575,0.9747217079596835,0.004033696295432722
Pink,Upside_50-75,Tough,5,2.2224825642,3.2177845429131033,60.0,0.5231960064000001,1.6992865577999998,0.32132673919722093,0.5459283289859346
Pink,Upside_75-100,Calm,67,-0.6036945711180597,2.9876407227083224,35.82089552238806,-0.36276012610230773,-0.24093444501575195,0.5533272030084375,-0.08090024317182921
Pink,Upside_75-100,Moderate,41,-0.42001023215560973,2.468409443726251,36.58536585365854,-0.2403060240111464,-0.17970420814446333,0.7101452886965963,-0.06527823826927831
Pink,Upside_75-100,Tough,7,-0.6905801063142858,2.5081726310808903,42.857142857142854,0.5231960064000001,-1.2137761127142859,0.3889713930329565,-0.42047672163242344
Purple,Upside_25-50,Calm,297,-0.425544250013064,3.0630946707401887,38.38383838383838,-0.3135975031618568,-0.1119467468512072,0.5273626606279894,-0.037628469001216296
Purple,Upside_25-50,Moderate,145,0.014252024113517213,2.8451244548100663,46.206896551724135,0.031064041621908935,-0.016812017508391723,0.9463851457013407,-0.005712879959052697
Purple,Upside_25-50,Tough,25,0.35400520212400005,2.8202542633511993,60.0,0.43511516095698344,-0.08110995883298339,0.8935049260584219,-0.027711692405479757
Purple,Upside_50-75,Calm,3819,-0.308173523316857,3.001746998989871,43.65017020162346,-0.3135975031618568,0.0054239798449998156,0.9308375333987022,0.0018182577096196085
Purple,Upside_50-75,Moderate,2177,-0.037969140359676155,2.9041016672801905,47.86403307303629,0.031064041621908935,-0.06903318198158509,0.398511821419124,-0.02356382376735369
