player_a,player_b,score_a,score_b,prediction,actual_winner,correct
Matt Fitzpatrick,Justin Rose,-0.735,0.62,Justin Rose,Justin Rose,True
Akshay Bhatia,Viktor Hovland,1.9300000000000002,2.5650000000000004,Viktor Hovland,Akshay Bhatia,False
Rickie Fowler,Wyndham Clark,-0.395,-0.93,Rickie Fowler,Rickie Fowler,True
Chris Gotterup,Patrick Cantlay,-0.93,-0.395,Patrick Cantlay,Chris Gotterup,False
Harris English,Collin Morikawa,0.62,-0.735,Harris English,Collin Morikawa,False
Harry Hall,Keegan Bradley,4.045,-2.775,Harry Hall,Harry Hall,True
Ludvig Aberg,Ryan Gerard,-2.355,-0.31000000000000005,Ryan Gerard,Ryan Gerard,True
Hideki Matsuyama,Scottie Scheffler,1.1949999999999998,-0.735,Hideki Matsuyama,Scottie Scheffler,False
J.T. Poston,Sahith Theegala,-2.775,4.045,Sahith Theegala,Sahith Theegala,True
Pierceson Coody,Ryo Hisatsune,-0.93,-0.735,Ryo Hisatsune,Ryo Hisatsune,True
Joe Highsmith,Alex Smalley,0.010000000000000009,0.44999999999999996,Alex Smalley,Joe Highsmith,False
Emiliano Grillo,Michael Kim,-0.395,4.07,Michael Kim,Michael Kim,True
Si Woo Kim,J.J. Spaun,0.44999999999999996,0.44999999999999996,J.J. Spaun,Si Woo Kim,False
Chris Kirk,Sami Valimaki,0.010000000000000009,4.045,Sami Valimaki,Sami Valimaki,True
Steven Fisk,Jake Knapp,0.44999999999999996,-0.31000000000000005,Steven Fisk,Steven Fisk,True
Rory McIlroy,Ryan Fox,3.575,0.44999999999999996,Rory McIlroy,Rory McIlroy,True
Jhonattan Vegas,Nick Taylor,3.575,0.44999999999999996,Jhonattan Vegas,Nick Taylor,False
Brian Campbell,Sam Stevens,-2.75,3.575,Sam Stevens,Sam Stevens,True
Max McGreevy,Matti Schmid,4.07,3.575,Max McGreevy,Max McGreevy,True
Marco Penge,Daniel Berger,3.575,0.44999999999999996,Marco Penge,Daniel Berger,False
Aldrich Potgieter,Kurt Kitayama,3.575,3.575,Kurt Kitayama,Kurt Kitayama,True
Max Greyserman,Billy Horschel,-5.8149999999999995,4.07,Billy Horschel,Max Greyserman,False
Denny McCarthy,Stephan Jaeger,-5.8149999999999995,4.045,Stephan Jaeger,Stephan Jaeger,True
Keith Mitchell,Mackenzie Hughes,2.5650000000000004,-0.395,Keith Mitchell,Keith Mitchell,True
Michael Thorbjornsen,Nico Echavarria,-0.395,4.045,Nico Echavarria,Nico Echavarria,True
Matt Fitzpatrick,Tony Finau,-0.735,-2.75,Matt Fitzpatrick,Tony Finau,False
Brian Harman,Rickie Fowler,0.7949999999999999,-0.395,Brian Harman,Brian Harman,True
Harris English,Lucas Glover,0.62,-0.395,Harris English,Lucas Glover,False
Andrew Novak,Patrick Cantlay,4.045,-0.395,Andrew Novak,Patrick Cantlay,False
Justin Rose,Patrick Rodgers,0.62,0.010000000000000009,Justin Rose,Justin Rose,True
Bud Cauley,Kevin Yu,1.1949999999999998,-0.735,Bud Cauley,Bud Cauley,True
Collin Morikawa,Ludvig Aberg,-0.735,-2.355,Collin Morikawa,Collin Morikawa,True
Ryan Gerard,Garrick Higgo,-0.31000000000000005,-2.775,Ryan Gerard,Ryan Gerard,True
Tom Hoge,Sahith Theegala,4.07,4.045,Tom Hoge,Tom Hoge,True
Taylor Pendrith,Rico Hoey,4.045,2.5650000000000004,Taylor Pendrith,Rico Hoey,False
J.T. Poston,Adam Schenk,-2.775,0.44999999999999996,Adam Schenk,J.T. Poston,False
Christiaan Bezuidenhout,Davis Thompson,-2.86,1.23,Davis Thompson,Christiaan Bezuidenhout,False
Pierceson Coody,Rasmus Hojgaard,-2.86,-3.7299999999999995,Pierceson Coody,Pierceson Coody,True
Corey Conners,Michael Thorbjornsen,0.044999999999999984,0.98,Michael Thorbjornsen,Michael Thorbjornsen,True
Nicolai Hojgaard,Wyndham Clark,-3.7299999999999995,-2.86,Wyndham Clark,Nicolai Hojgaard,False
Daniel Berger,Kurt Kitayama,1.23,-0.6749999999999999,Daniel Berger,Daniel Berger,True
Jake Knapp,Chris Gotterup,-1.4000000000000001,0.98,Chris Gotterup,Chris Gotterup,True
Scottie Scheffler,Sam Burns,4.895,0.09499999999999999,Scottie Scheffler,Push,
Sahith Theegala,Sepp Straka,0.09499999999999999,-0.1449999999999999,Sahith Theegala,Sahith Theegala,True
Harris English,Ben Griffin,1.105,1.065,Harris English,Harris English,True
Jordan Spieth,Nick Taylor,4.895,-3.1399999999999997,Jordan Spieth,Push,
Matt McCarty,Sam Stevens,0.16999999999999998,-0.1449999999999999,Matt McCarty,Sam Stevens,False
J.T. Poston,Keith Mitchell,0.98,1.065,Keith Mitchell,Keith Mitchell,True
Maverick McNealy,Viktor Hovland,1.065,1.065,Viktor Hovland,Maverick McNealy,False
Collin Morikawa,Rickie Fowler,1.23,-0.1449999999999999,Collin Morikawa,Rickie Fowler,False
Xander Schauffele,Hideki Matsuyama,1.23,0.85,Xander Schauffele,Hideki Matsuyama,False
Harry Hall,Min Woo Lee,0.09499999999999999,1.105,Min Woo Lee,Min Woo Lee,True
Cameron Young,Si Woo Kim,4.895,4.895,Si Woo Kim,Si Woo Kim,True
Rasmus Hojgaard,Michael Thorbjornsen,-3.7299999999999995,0.98,Michael Thorbjornsen,Michael Thorbjornsen,True
Christiaan Bezuidenhout,Max McGreevy,-2.86,-3.7299999999999995,Christiaan Bezuidenhout,Max McGreevy,False
Pierceson Coody,Nicolai Hojgaard,-2.86,-3.7299999999999995,Pierceson Coody,Pierceson Coody,True
Daniel Berger,Sahith Theegala,1.23,0.09499999999999999,Daniel Berger,Daniel Berger,True
Sam Burns,Matt Fitzpatrick,0.09499999999999999,1.8399999999999999,Matt Fitzpatrick,Matt Fitzpatrick,True
Ben Griffin,Scottie Scheffler,1.065,4.895,Scottie Scheffler,Ben Griffin,False
Sepp Straka,Nick Taylor,-0.1449999999999999,-3.1399999999999997,Sepp Straka,Nick Taylor,False
Wyndham Clark,Jordan Spieth,-2.86,4.895,Jordan Spieth,Jordan Spieth,True
Chris Gotterup,Harris English,0.98,1.105,Harris English,Chris Gotterup,False
Davis Thompson,Kurt Kitayama,1.23,-0.6749999999999999,Davis Thompson,Push,
Patrick Rodgers,Jacob Bridgeman,1.4849999999999999,-0.1449999999999999,Patrick Rodgers,Jacob Bridgeman,False
Alex Smalley,Eric Cole,1.8399999999999999,4.895,Eric Cole,Push,
Corey Conners,Keith Mitchell,0.044999999999999984,1.065,Keith Mitchell,Keith Mitchell,True
Rasmus Neergaard-Petersen,Thorbjorn Olesen,0.16999999999999998,-3.7299999999999995,Rasmus Neergaard-Petersen,Rasmus Neergaard-Petersen,True
Mac Meissner,Kristoffer Reitan,1.4749999999999999,-3.7299999999999995,Mac Meissner,Kristoffer Reitan,False
Sam Stevens,J.T. Poston,-0.1449999999999999,0.98,J.T. Poston,Sam Stevens,False
Hideki Matsuyama,Viktor Hovland,0.85,1.065,Viktor Hovland,Viktor Hovland,True
Collin Morikawa,Brooks Koepka,1.23,1.23,Brooks Koepka,Collin Morikawa,False
Xander Schauffele,Cameron Young,1.23,4.895,Cameron Young,Cameron Young,True
Harry Hall,Andrew Novak,0.09499999999999999,0.044999999999999984,Harry Hall,Harry Hall,True
Si Woo Kim,Maverick McNealy,4.895,1.065,Si Woo Kim,Si Woo Kim,True
Rickie Fowler,Min Woo Lee,-0.1449999999999999,1.105,Min Woo Lee,Min Woo Lee,True
Matt McCarty,Garrick Higgo,0.16999999999999998,-0.6749999999999999,Matt McCarty,Garrick Higgo,False
John Keefer,Haotong Li,-3.7299999999999995,1.105,Haotong Li,Haotong Li,True
Joel Girrbach,Tapio Pulkkanen,3.4749999999999996,-3.7299999999999995,Joel Girrbach,Tapio Pulkkanen,False
Nathan Kimsey,Ben Schmidt,0.16999999999999998,-2.86,Nathan Kimsey,Nathan Kimsey,True
Antoine Rozner,JC Ritchie,0.09499999999999999,0.5700000000000001,JC Ritchie,Antoine Rozner,False
Dan Bradbury,Joost Luiten,1.105,0.16999999999999998,Dan Bradbury,Joost Luiten,False
Wenyi Ding,Alejandro Del Rey,-3.915,1.23,Alejandro Del Rey,Wenyi Ding,False
Jorge Campillo,Francesco Laporta,-3.7299999999999995,-2.86,Francesco Laporta,Francesco Laporta,True
Angel Ayora,Calum Hill,0.09499999999999999,1.23,Calum Hill,Angel Ayora,False
Todd Clements,Romain Langasque,-3.7299999999999995,-2.86,Romain Langasque,Romain Langasque,True
Manuel Elvira,Ricardo Gouveia,1.23,-0.6749999999999999,Manuel Elvira,Ricardo Gouveia,False
Alex Fitzpatrick,Casey Jarvis,0.09499999999999999,-3.1399999999999997,Alex Fitzpatrick,Casey Jarvis,False
Frederic Lacroix,Joakim Lagergren,0.09499999999999999,-3.7299999999999995,Frederic Lacroix,Joakim Lagergren,False
Niklas Norgaard,Daniel van Tonder,-3.7299999999999995,3.4749999999999996,Daniel van Tonder,Daniel van Tonder,True
Thriston Lawrence,Hennie du Plessis,0.044999999999999984,0.044999999999999984,Hennie du Plessis,Thriston Lawrence,False
Jacob Olesen,Jacques Kruyswijk,0.16999999999999998,0.044999999999999984,Jacob Olesen,Push,
Ewen Ferguson,Mikael Lindberg,0.044999999999999984,-3.915,Ewen Ferguson,Mikael Lindberg,False
Freddy Schott,Guido Migliozzi,0.16999999999999998,1.105,Guido Migliozzi,Freddy Schott,False
Zander Lombard,Daniel Van Tonder,1.105,3.4749999999999996,Daniel Van Tonder,Zander Lombard,False
Alex Fitzpatrick,Jacob Olesen,0.09499999999999999,0.16999999999999998,Jacob Olesen,Push,
Niklas Norgaard,Ewen Ferguson,-3.7299999999999995,0.044999999999999984,Ewen Ferguson,Niklas Norgaard,False
Guido Migliozzi,Freddy Schott,1.105,0.16999999999999998,Guido Migliozzi,Freddy Schott,False
Joakim Lagergren,Jacques Kruyswijk,-3.7299999999999995,0.044999999999999984,Jacques Kruyswijk,Joakim Lagergren,False
Thriston Lawrence,Casey Jarvis,0.044999999999999984,-3.1399999999999997,Thriston Lawrence,Casey Jarvis,False
Doug Ghim,Garrick Higgo,0.135,-3.7299999999999995,Doug Ghim,Garrick Higgo,False
