player_a,player_b,score_a,score_b,prediction,actual_winner,correct
Daniel Berger,Alex Noren,-0.735,0.41999999999999993,Alex Noren,Alex Noren,True
Ryan Gerard,Michael Thorbjornsen,0.245,-4.16,Ryan Gerard,Ryan Gerard,True
Max Homa,Kristoffer Reitan,0.7949999999999999,-4.385,Max Homa,Max Homa,True
Taylor Pendrith,Rasmus Hojgaard,-6.1899999999999995,-4.81,Rasmus Hojgaard,Taylor Pendrith,False
Akshay Bhatia,Viktor Hovland,0.7949999999999999,0.245,Akshay Bhatia,Viktor Hovland,False
Patrick Cantlay,Maverick McNealy,0.245,0.245,Maverick McNealy,Maverick McNealy,True
Ludvig Aberg,Russell Henley,-4.16,0.245,Russell Henley,Russell Henley,True
Tommy Fleetwood,Si Woo Kim,1.1949999999999998,1.1949999999999998,Si Woo Kim,Tommy Fleetwood,False
Scottie Scheffler,Collin Morikawa,1.1949999999999998,-0.735,Scottie Scheffler,Scottie Scheffler,True
Harris English,Robert MacIntyre,-4.81,0.41999999999999993,Robert MacIntyre,Robert MacIntyre,True
Matt Fitzpatrick,Jake Knapp,-1.78,0.245,Jake Knapp,Matt Fitzpatrick,False
Jacob Bridgeman,Pierceson Coody,0.245,-4.81,Jacob Bridgeman,Jacob Bridgeman,True
Ryan Fox,Alex Smalley,-1.78,-6.1899999999999995,Ryan Fox,Alex Smalley,False
Kurt Kitayama,Ben Griffin,-4.385,0.245,Ben Griffin,Ben Griffin,True
Adam Scott,Harry Hall,1.1949999999999998,-1.78,Adam Scott,Adam Scott,True
Rickie Fowler,Shane Lowry,0.245,-6.1899999999999995,Rickie Fowler,Push,
Aaron Rai,Keegan Bradley,0.245,0.245,Keegan Bradley,Aaron Rai,False
Jordan Spieth,J.J. Spaun,1.1949999999999998,1.1949999999999998,J.J. Spaun,J.J. Spaun,True
Sepp Straka,Chris Gotterup,0.245,0.245,Chris Gotterup,Sepp Straka,False
Nico Echavarria,Wyndham Clark,-6.1899999999999995,-4.81,Wyndham Clark,Wyndham Clark,True
Nick Taylor,Max McGreevy,-0.735,-4.385,Nick Taylor,Max McGreevy,False
Sahith Theegala,Justin Rose,-6.1899999999999995,-4.81,Justin Rose,Sahith Theegala,False
Hideki Matsuyama,Min Woo Lee,-1.795,-4.81,Hideki Matsuyama,Hideki Matsuyama,True
Xander Schauffele,Cameron Young,1.1949999999999998,1.1949999999999998,Cameron Young,Cameron Young,True
Sam Burns,Jason Day,-6.1899999999999995,-4.81,Jason Day,Jason Day,True
Davis Thompson,Corey Conners,-0.735,-1.78,Davis Thompson,Corey Conners,False
Darius van Driel,Freddy Schott,1.23,0.044999999999999984,Darius van Driel,Darius van Driel,True
Tobias Jonsson,Nathan Kimsey,1.4749999999999999,0.85,Tobias Jonsson,Tobias Jonsson,True
Zander Lombard,James Morrison,0.5700000000000001,1.23,James Morrison,Zander Lombard,False
Ashun Wu,Francesco Molinari,0.85,1.105,Francesco Molinari,Ashun Wu,False
Albin Bergstrom,Andreas Halvorsen,0.16999999999999998,0.16999999999999998,Andreas Halvorsen,Albin Bergstrom,False
Pablo Larrazabal,Angel Ayora,-3.915,1.105,Angel Ayora,Angel Ayora,True
Thriston Lawrence,Zhao Jin,1.105,-0.6749999999999999,Thriston Lawrence,Thriston Lawrence,True
Oliver Lindell,Jorge Campillo,0.16999999999999998,1.23,Jorge Campillo,Jorge Campillo,True
Eugenio Chacarra,Taichi Kho,0.16999999999999998,-2.86,Eugenio Chacarra,Eugenio Chacarra,True
Calum Hill,Brandon Robinson Thompson,-3.1399999999999997,-3.1399999999999997,Brandon Robinson Thompson,Calum Hill,False
Frederic Lacroix,Martin Couvra,-0.6749999999999999,0.044999999999999984,Martin Couvra,Martin Couvra,True
Wenyi Ding,Yanhan Zhou,1.23,-0.6749999999999999,Wenyi Ding,Wenyi Ding,True
Grant Forrest,Junghwan Lee,1.4749999999999999,3.4749999999999996,Junghwan Lee,Junghwan Lee,True
Joost Luiten,Joel Girrbach,0.85,0.85,Joel Girrbach,Joost Luiten,False
Dan Bradbury,Niklas Norgaard,0.16999999999999998,1.23,Niklas Norgaard,Dan Bradbury,False
Nacho Elvira,Sean Crocker,1.23,1.4749999999999999,Sean Crocker,Nacho Elvira,False
Jeong Weon Ko,Taehoon Ok,1.23,0.5700000000000001,Jeong Weon Ko,Taehoon Ok,False
Ugo Coussaud,Sebastian Garcia Rodriguez,3.4749999999999996,1.23,Ugo Coussaud,Sebastian Garcia Rodriguez,False
Cameron Adam,Matthew Baldwin,1.4749999999999999,0.85,Cameron Adam,Matthew Baldwin,False
Marcus Armitage,Jason Scrivener,1.105,0.16999999999999998,Marcus Armitage,Jason Scrivener,False
Niklas Lemke,Ivan Cantero Gutierrez,1.23,-3.915,Niklas Lemke,Ivan Cantero Gutierrez,False
Kiradech Aphibarnrat,Shubhankar Sharma,1.105,0.5700000000000001,Kiradech Aphibarnrat,Shubhankar Sharma,False
Oihan Guillamoundeguy,Rocco Repetto Taylor,1.23,0.5700000000000001,Oihan Guillamoundeguy,Rocco Repetto Taylor,False
Andy Sullivan,Rafa Cabrera Bello,0.16999999999999998,0.16999999999999998,Rafa Cabrera Bello,Rafa Cabrera Bello,True
Adrian Otaegui,Dylan Frittelli,1.8399999999999999,1.4749999999999999,Adrian Otaegui,Push,
Jordan Gumberg,David Law,-0.6749999999999999,-0.6749999999999999,David Law,Jordan Gumberg,False
Tom Vaillant,Kazuma Kobori,1.4749999999999999,-1.35,Tom Vaillant,Push,
Aaron Cockerill,Stefano Mazzoli,1.23,3.4749999999999996,Stefano Mazzoli,Aaron Cockerill,False
Matt Killeen,Adri Arnaus,-3.915,-3.1399999999999997,Adri Arnaus,Adri Arnaus,True
Jack Senior,Felix Mory,1.105,0.85,Jack Senior,Jack Senior,True
Maximilian Steinlechner,Joshua Berry,0.16999999999999998,1.23,Joshua Berry,Maximilian Steinlechner,False
Nathan Kimsey,Niklas Norgaard,0.85,1.23,Niklas Norgaard,Nathan Kimsey,False
Angel Ayora,Oliver Lindell,1.105,0.16999999999999998,Angel Ayora,Oliver Lindell,False
Jorge Campillo,Adrian Otaegui,1.23,1.8399999999999999,Adrian Otaegui,Jorge Campillo,False
Thriston Lawrence,Frederic Lacroix,1.105,-0.6749999999999999,Thriston Lawrence,Thriston Lawrence,True
Wenyi Ding,Eugenio Chacarra,1.23,0.16999999999999998,Wenyi Ding,Wenyi Ding,True
Mikael Lindberg,Martin Couvra,1.23,0.044999999999999984,Mikael Lindberg,Martin Couvra,False
Grant Forrest,Dan Bradbury,1.4749999999999999,0.16999999999999998,Grant Forrest,Dan Bradbury,False
Joost Luiten,Sean Crocker,0.85,1.4749999999999999,Sean Crocker,Joost Luiten,False
Jose Luis Ballester,Sergio Garcia,-0.7849999999999999,-3.915,Jose Luis Ballester,Sergio Garcia,False
Bryson DeChambeau,Joaquin Niemann,4.895,0.044999999999999984,Bryson DeChambeau,Bryson DeChambeau,True
Talor Gooch,Dustin Johnson,1.8399999999999999,-0.9349999999999999,Talor Gooch,Talor Gooch,True
Tyrrell Hatton,Thomas Pieters,0.855,-0.7849999999999999,Tyrrell Hatton,Thomas Pieters,False
Marc Leishman,Louis Oosthuizen,-0.6749999999999999,-0.6749999999999999,Louis Oosthuizen,Louis Oosthuizen,True
Sebastian Munoz,Thomas Detry,-0.6749999999999999,1.105,Thomas Detry,Thomas Detry,True
Carlos Ortiz,Tom McKibbin,-0.6749999999999999,-3.915,Carlos Ortiz,Carlos Ortiz,True
David Puig,Dean Burmester,-0.6749999999999999,3.265,Dean Burmester,David Puig,False
Cameron Smith,Lucas Herbert,-3.915,0.044999999999999984,Lucas Herbert,Cameron Smith,False
Elvis Smylie,Branden Grace,1.23,1.105,Elvis Smylie,Branden Grace,False
Caleb Surratt,Richard T. Lee,1.105,1.5150000000000001,Richard T. Lee,Push,
Ricky Castillo,Alex Smalley,4.64,-3.915,Ricky Castillo,Push,
Austin Smotherman,Christiaan Bezuidenhout,1.105,1.105,Christiaan Bezuidenhout,Christiann Bezuidenhout,False
Matt Wallace,Matti Schmid,-0.9349999999999999,1.105,Matti Schmid,Push,
Keegan Bradley,Aaron Rai,2.4699999999999998,4.64,Aaron Rai,Aaron Rai,True
Patrick Cantlay,Corey Conners,4.64,-3.915,Patrick Cantlay,Corey Conners,False
Brooks Koepka,J.J. Spaun,0.044999999999999984,0.85,J.J. Spaun,Brooks Koepka,False
Xander Schauffele,Viktor Hovland,1.8399999999999999,4.64,Viktor Hovland,Xander Schauffele,False
Davis Thompson,Matt McCarty,0.044999999999999984,0.135,Matt McCarty,Davis Thompson,False
Eric Cole,Kevin Roy,0.044999999999999984,0.044999999999999984,Kevin Roy,Push,
Doug Ghim,Austin Eckroat,4.64,-0.6749999999999999,Doug Ghim,Doug Ghim,True
Jordan Spieth,Rasmus Hojgaard,0.044999999999999984,1.105,Rasmus Hojgaard,Jordan Spieth,False
Bud Cauley,Michael Kim,1.23,1.105,Bud Cauley,Bud Cauley,True
Nicolai Hojgaard,Sahith Theegala,1.105,1.23,Sahith Theegala,Nicolai Hojgaard,False
Jacob Bridgeman,Justin Thomas,-0.7849999999999999,1.23,Justin Thomas,Jacob Bridgeman,False
Ben Griffin,Wyndham Clark,4.64,-0.6749999999999999,Ben Griffin,Push,
Tony Finau,Jordan Smith,-0.9349999999999999,1.8399999999999999,Jordan Smith,Push,
Kiradech Aphibarnrat,Oihan Guillamoundeguy,-1.5350000000000001,-0.11500000000000002,Oihan Guillamoundeguy,Oihan Guillamoundeguy,True
Manuel Elvira,Ricardo Gouveia,-0.11500000000000002,-0.845,Manuel Elvira,Ricardo Gouveia,False
Alex Fitzpatrick,Casey Jarvis,-1.5350000000000001,-0.11500000000000002,Casey Jarvis,Casey Jarvis,True
Frederic Lacroix,Joakim Lagergren,-1.5350000000000001,-1.5350000000000001,Joakim Lagergren,Frederic Lacroix,False
Niklas Norgaard,Daniel van Tonder,-0.11500000000000002,-0.845,Niklas Norgaard,Daniel van Tonder,False
Jacques Kruyswijk,Jacob Olesen,-0.845,-0.77,Jacob Olesen,Jacob Olesen,True
Thriston Lawrence,Hennie du Plessis,-0.77,-0.845,Thriston Lawrence,Hennie du Plessis,False
Freddy Schott,Guido Migliozzi,-0.77,-1.835,Freddy Schott,Guido Migliozzi,False
Mikael Lindberg,Sebastian Soderberg,-0.11500000000000002,-0.11500000000000002,Sebastian Soderberg,Push,
Nathan Kimsey,Ben Schmidt,-0.77,-0.77,Ben Schmidt,Nathan Kimsey,False
Niklas Lemke,David Law,-1.835,-0.020000000000000018,David Law,David Law,True
Dan Bradbury,Joost Luiten,-1.5350000000000001,-0.77,Joost Luiten,Dan Bradbury,False
Ryggs Johnston,Jason Scrivener,-1.5350000000000001,-0.77,Jason Scrivener,Ryggs Johnston,False
Jorge Campillo,Francesco Laporta,-1.835,-1.5350000000000001,Francesco Laporta,Francesco Laporta,True
Angel Ayora,Calum Hill,-1.5350000000000001,-0.11500000000000002,Calum Hill,Angel Ayora,False
Antoine Rozner,Wenyi Ding,-0.020000000000000018,-0.11500000000000002,Antoine Rozner,Antoine Rozner,True
Angel Ayora,Antoine Rozner,-4.685,-4.685,Antoine Rozner,Antoine Rozner,True
Jayden Schaper,Thriston Lawrence,0.16999999999999993,-4.685,Jayden Schaper,Thriston Lawrence,False
Freddy Schott,Jason Scrivener,-0.26,2.375,Jason Scrivener,Freddy Schott,False
Johannes Veerman,Dylan Frittelli,3.92,-0.26,Johannes Veerman,Johannes Veerman,True
Dan Bradbury,Casey Jarvis,7.790000000000001,6.6850000000000005,Dan Bradbury,Casey Jarvis,False
Eddie Pepperell,Adrian Otaegui,-0.8999999999999999,-5.58,Eddie Pepperell,Eddie Pepperell,True
Kiradech Aphibarnrat,Michael Hollick,4.255,2.5300000000000002,Kiradech Aphibarnrat,Kiradech Aphibarnrat,True
Marcus Armitage,Alejandro Del Rey,2.5300000000000002,1.975,Marcus Armitage,Alejandro Del Rey,False
Alex Smalley,Eric Cole,1.77,0.72,Alex Smalley,Push,
Gary Woodland,David Lipsky,2.2649999999999997,-1.835,Gary Woodland,Gary Woodland,True
Daniel Berger,Thorbjorn Olesen,-2.005,0.3,Thorbjorn Olesen,Thorbjorn Olesen,True
Rasmus Hojgaard,Michael Thorbjornsen,2.2649999999999997,-0.10999999999999999,Rasmus Hojgaard,Michael Thorbjornsen,False
Christiaan Bezuidenhout,Seamus Power,2.2649999999999997,-0.10999999999999999,Christiaan Bezuidenhout,Seamus Power,False
Jesper Svensson,Luke Clanton,-0.11500000000000002,-0.10999999999999999,Luke Clanton,Luke Clanton,True
Rasmus Neergaard-Petersen,David Ford,-1.5350000000000001,-0.77,David Ford,Push,
John Parry,Chan Kim,2.2649999999999997,-1.5350000000000001,John Parry,John Parry,True
Doug Ghim,Adam Hadwin,3.66,0.3,Doug Ghim,Doug Ghim,True
Aaron Rai,Shane Lowry,3.335,-1.835,Aaron Rai,Shane Lowry,False
Kevin Yu,Nico Echavarria,0.72,-1.835,Kevin Yu,Nico Echavarria,False
Nicolai Hojgaard,Keith Mitchell,2.2649999999999997,-0.10999999999999999,Nicolai Hojgaard,Nicolai Hojgaard,True
Stephan Jaeger,Davis Thompson,-0.11500000000000002,7.33,Davis Thompson,Davis Thompson,True
Chad Ramey,Johnny Keefer,-0.11500000000000002,0.3,Johnny Keefer,Chad Ramey,False
Adrien Dumont De Chassart,Jordan Smith,0.72,2.065,Jordan Smith,Push,
Alex Smalley,Michael Brennan,1.77,0.545,Alex Smalley,Alex Smalley,True
Eric Cole,Gary Woodland,0.72,2.2649999999999997,Gary Woodland,Eric Cole,False
Kevin Roy,Emiliano Grillo,7.33,-1.705,Kevin Roy,Emiliano Grillo,False
Dylan Wu,Matti Schmid,2.28,0.3,Dylan Wu,Dylan Wu,True
Ryan Gerard,Rasmus Hojgaard,0.9049999999999999,2.2649999999999997,Rasmus Hojgaard,Ryan Gerard,False
Max Homa,Sami Valimaki,2.065,-0.11500000000000002,Max Homa,Max Homa,True
Daniel Berger,Michael Thorbjornsen,-2.005,-0.10999999999999999,Michael Thorbjornsen,Push,
Haotong Li,Thorbjorn Olesen,2.2649999999999997,0.3,Haotong Li,Thorbjorn Olesen,False
Tom Kim,Mackenzie Hughes,0.72,0.275,Tom Kim,Mackenzie Hughes,False
Christiaan Bezuidenhout,Kristoffer Reitan,2.2649999999999997,2.2649999999999997,Kristoffer Reitan,Push,
Seamus Power,Kris Ventura,-0.10999999999999999,0.9049999999999999,Kris Ventura,Seamus Power,False
Daniel Brown,Jesper Svensson,1.77,-0.11500000000000002,Daniel Brown,Daniel Brown,True
John Parry,David Ford,2.2649999999999997,-0.77,John Parry,Push,
Austin Eckroat,Beau Hossler,0.3,0.9049999999999999,Beau Hossler,Austin Eckroat,False
Taylor Moore,Doug Ghim,-0.11500000000000002,3.66,Doug Ghim,Taylor Moore,False
Joel Dahmen,Lee Hodges,0.3,-1.5350000000000001,Joel Dahmen,Joel Dahmen,True
Max McGreevy,Rico Hoey,-1.285,-0.10999999999999999,Rico Hoey,Push,
Mac Meissner,Matt Wallace,-1.835,-1.5350000000000001,Matt Wallace,Matt Wallace,True
Shane Lowry,Keith Mitchell,-1.835,-0.10999999999999999,Keith Mitchell,Shane Lowry,False
Aaron Rai,Nico Echavarria,3.335,-1.835,Aaron Rai,Aaron Rai,True
Garrick Higgo,Kevin Yu,0.3,0.72,Kevin Yu,Garrick Higgo,False
Davis Thompson,Chris Kirk,7.33,-1.5350000000000001,Davis Thompson,Davis Thompson,True
Stephan Jaeger,S.H. Kim,-0.11500000000000002,-1.5350000000000001,Stephan Jaeger,S.H. Kim,False
Nicolai Hojgaard,John Keefer,2.2649999999999997,0.3,Nicolai Hojgaard,Nicolai Hojgaard,True
Ricky Castillo,Jordan Smith,-0.10999999999999999,2.065,Jordan Smith,Ricky Castillo,False
Nicolai Hojgaard,Keith Mitchell,-0.32999999999999996,-1.08,Nicolai Hojgaard,Keith Mitchell,False
Michael Kim,Alex Smalley,-1.715,0.16999999999999993,Alex Smalley,Alex Smalley,True
Taylor Moore,Ryo Hisatsune,-4.475,-0.26,Ryo Hisatsune,Ryo Hisatsune,True
Jacob Bridgeman,Ben Griffin,-1.08,0.24,Ben Griffin,Jacob Bridgeman,False
Kurt Kitayama,Harry Hall,7.790000000000001,-4.475,Kurt Kitayama,Harry Hall,False
Adam Scott,Wyndham Clark,-5.58,2.375,Wyndham Clark,Wyndham Clark,True
Hideki Matsuyama,Xander Schauffele,2.24,6.385,Xander Schauffele,Xander Schauffele,True
Corey Conners,Min Woo Lee,2.24,-1.715,Corey Conners,Corey Conners,True
Aaron Rai,Davis Thompson,2.6399999999999997,-0.26,Aaron Rai,Aaron Rai,True
Justin Rose,Jason Day,-1.715,-0.32999999999999996,Jason Day,Justin Rose,False
Cameron Young,Chris Gotterup,-5.58,0.24,Chris Gotterup,Cameron Young,False
Daniel Berger,Ricky Castillo,0.24,-1.08,Daniel Berger,Push,
Taylor Pendrith,Christiaan Bezuidenhout,-4.475,-1.715,Christiaan Bezuidenhout,Taylor Pendrith,False
Tony Finau,Alex Noren,3.92,-0.6099999999999999,Tony Finau,Alex Noren,False
Akshay Bhatia,Robert MacIntyre,-1.08,-0.26,Robert MacIntyre,Akshay Bhatia,False
Ryan Gerard,Patrick Cantlay,-0.6099999999999999,-1.08,Ryan Gerard,Ryan Gerard,True
Brooks Koepka,Harris English,-5.58,-1.715,Harris English,Brooks Koepka,False
Tommy Fleetwood,Ludvig Aberg,0.24,3.92,Ludvig Aberg,Ludvig Aberg,True
Brian Harman,Michael Brennan,6.385,6.385,Michael Brennan,Brian Harman,False
Maverick McNealy,Justin Thomas,0.24,0.16999999999999993,Maverick McNealy,Justin Thomas,False
Matt Fitzpatrick,Russell Henley,0.16999999999999993,6.385,Russell Henley,Matt Fitzpatrick,False
Si Woo Kim,Jake Knapp,0.24,-0.6099999999999999,Si Woo Kim,Push,
Nicolai Hojgaard,Austin Smotherman,-2.005,2.065,Austin Smotherman,Nicolai Hojgaard,False
Si Woo Kim,Bud Cauley,4.595000000000001,-0.11500000000000002,Si Woo Kim,Bud Cauley,False
Lucas Glover,Ryo Hisatsune,-0.77,4.595000000000001,Ryo Hisatsune,Push,
Ryan Gerard,Jason Day,-1.835,-2.005,Ryan Gerard,,
Taylor Pendrith,Denny McCarthy,-0.11500000000000002,2.065,Denny McCarthy,Denny McCarthy,True
Kurt Kitayama,Pierceson Coody,2.065,-2.005,Kurt Kitayama,Kurt Kitayama,True
Jordan Spieth,Sam Stevens,1.835,-1.5350000000000001,Jordan Spieth,,
Sam Burns,Sungjae Im,-1.835,2.065,Sungjae Im,,
J.J. Spaun,Nick Taylor,3.705,-2.5949999999999998,J.J. Spaun,Push,
Keegan Bradley,Maverick McNealy,-1.5350000000000001,-0.77,Maverick McNealy,Keegan Bradley,False
Ben Griffin,Tommy Fleetwood,-1.5350000000000001,4.595000000000001,Tommy Fleetwood,Tommy Fleetwood,True
Nico Echavarria,Ludvig Aberg,-0.11500000000000002,-0.11500000000000002,Ludvig Aberg,Ludvig Aberg,True
Jacob Bridgeman,Chris Gotterup,-0.77,-0.77,Chris Gotterup,Chris Gotterup,True
Justin Thomas,Hideki Matsuyama,-0.11500000000000002,-0.11500000000000002,Hideki Matsuyama,Hideki Matsuyama,True
Rory McIlroy,Viktor Hovland,2.065,-0.77,Rory McIlroy,,
Rickie Fowler,Michael Kim,-0.77,-2.005,Rickie Fowler,Michael Kim,False
Chris Kirk,Sahith Theegala,-1.835,-1.835,Sahith Theegala,Sahith Theegala,True
Daniel Bennett,Joel Dahmen,0.545,-2.005,Daniel Bennett,Daniel Bennett,True
Jhonattan Vegas,Tom Hoge,0.545,-2.005,Jhonattan Vegas,Tom Hoge,False
Ryan Fox,Billy Horschel,-0.11500000000000002,0.545,Billy Horschel,Billy Horschel,True
Brian Campbell,Patrick Rodgers,-1.835,-0.11500000000000002,Patrick Rodgers,Patrick Rodgers,True
Matt McCarty,Max Greyserman,-0.11500000000000002,-1.5350000000000001,Matt McCarty,Matt McCarty,True
Taylor Moore,Andrew Putnam,-1.835,0.545,Andrew Putnam,Andrew Putnam,True
Daniel Berger,Alex Noren,-2.5949999999999998,-0.11500000000000002,Alex Noren,Daniel Berger,False
Min Woo Lee,Michael Thorbjornsen,-2.005,-0.77,Michael Thorbjornsen,Min Woo Lee,False
Harry Hall,Corey Conners,-0.11500000000000002,-1.835,Harry Hall,Corey Conners,False
Cameron Young,Sepp Straka,3.705,-1.5350000000000001,Cameron Young,Cameron Young,True
Harris English,Patrick Cantlay,-2.005,-1.5350000000000001,Patrick Cantlay,Patrick Cantlay,True
Andrew Novak,Robert MacIntyre,-0.11500000000000002,-0.77,Andrew Novak,Robert MacIntyre,False
Brian Harman,Akshay Bhatia,-2.5949999999999998,4.595000000000001,Akshay Bhatia,Akshay Bhatia,True
Collin Morikawa,Justin Rose,-2.5949999999999998,-2.005,Justin Rose,Collin Morikawa,False
Xander Schauffele,Shane Lowry,3.705,-0.11500000000000002,Xander Schauffele,Shane Lowry,False
Scottie Scheffler,Russell Henley,4.595000000000001,-1.5350000000000001,Scottie Scheffler,Scottie Scheffler,True
Aldrich Potgieter,Adam Scott,0.545,4.595000000000001,Adam Scott,Adam Scott,True
J.T. Poston,Keith Mitchell,-0.77,-0.77,Keith Mitchell,Keith Mitchell,True
Nicolai Hojgaard,Austin Smotherman,-2.005,2.065,Austin Smotherman,Nicolai Hojgaard,False
Si Woo Kim,Bud Cauley,4.595000000000001,-0.11500000000000002,Si Woo Kim,Push,
Lucas Glover,Ryo Hisatsune,-0.77,4.595000000000001,Ryo Hisatsune,Lucas Glover,False
Ryan Gerard,Jason Day,-1.835,-2.005,Ryan Gerard,Ryan Gerard,True
Taylor Pendrith,Denny McCarthy,-0.11500000000000002,2.065,Denny McCarthy,Taylor Pendrith,False
Kurt Kitayama,Pierceson Coody,2.065,-2.005,Kurt Kitayama,Pierceson Coody,False
Jordan Spieth,Sam Stevens,1.835,-1.5350000000000001,Jordan Spieth,Jordan Spieth,True
Sam Burns,Sungjae Im,-1.835,2.065,Sungjae Im,Sungjae Im,True
J.J. Spaun,Nick Taylor,3.705,-2.5949999999999998,J.J. Spaun,J.J. Spaun,True
Keegan Bradley,Maverick McNealy,-1.5350000000000001,-0.77,Maverick McNealy,Maverick McNealy,True
Ben Griffin,Tommy Fleetwood,-1.5350000000000001,4.595000000000001,Tommy Fleetwood,Ben Griffin,False
Nico Echavarria,Ludvig Aberg,-0.11500000000000002,-0.11500000000000002,Ludvig Aberg,Nico Echavarria,False
Jacob Bridgeman,Chris Gotterup,-0.77,-0.77,Chris Gotterup,Push,
Justin Thomas,Hideki Matsuyama,-0.11500000000000002,-0.11500000000000002,Hideki Matsuyama,Hideki Matsuyama,True
Rory McIlroy,Viktor Hovland,2.065,-0.77,Rory McIlroy,Viktor Hovland,False
Rickie Fowler,Michael Kim,-0.77,-2.005,Rickie Fowler,Michael Kim,False
Chris Kirk,Sahith Theegala,-1.835,-1.835,Sahith Theegala,Push,
Daniel Bennett,Joel Dahmen,0.545,-2.005,Daniel Bennett,Joel Dahmen,False
Jhonattan Vegas,Tom Hoge,0.545,-2.005,Jhonattan Vegas,Jhonattan Vegas,True
Ryan Fox,Billy Horschel,-0.11500000000000002,0.545,Billy Horschel,Ryan Fox,False
Brian Campbell,Patrick Rodgers,-1.835,-0.11500000000000002,Patrick Rodgers,Patrick Rodgers,True
Matt McCarty,Max Greyserman,-0.11500000000000002,-1.5350000000000001,Matt McCarty,Matt McCarty,True
Taylor Moore,Andrew Putnam,-1.835,0.545,Andrew Putnam,Taylor Moore,False
Daniel Berger,Alex Noren,-2.5949999999999998,-0.11500000000000002,Alex Noren,Alex Noren,True
Min Woo Lee,Michael Thorbjornsen,-2.005,-0.77,Michael Thorbjornsen,Min Woo Lee,False
Harry Hall,Corey Conners,-0.11500000000000002,-1.835,Harry Hall,Harry Hall,True
Cameron Young,Sepp Straka,3.705,-1.5350000000000001,Cameron Young,Sepp Straka,False
Harris English,Patrick Cantlay,-2.005,-1.5350000000000001,Patrick Cantlay,Harris English,False
Andrew Novak,Robert MacIntyre,-0.11500000000000002,-0.77,Andrew Novak,Andrew Novak,True
Brian Harman,Akshay Bhatia,-2.5949999999999998,4.595000000000001,Akshay Bhatia,Akshay Bhatia,True
Collin Morikawa,Justin Rose,-2.5949999999999998,-2.005,Justin Rose,Collin Morikawa,False
Xander Schauffele,Shane Lowry,3.705,-0.11500000000000002,Xander Schauffele,Push,
Scottie Scheffler,Russell Henley,4.595000000000001,-1.5350000000000001,Scottie Scheffler,Russell Henley,False
Aldrich Potgieter,Adam Scott,0.545,4.595000000000001,Adam Scott,Adam Scott,True
J.T. Poston,Keith Mitchell,-0.77,-0.77,Keith Mitchell,Keith Mitchell,True
Ugo Coussaud,Sebastian Garcia Rodriguez,-0.10999999999999999,4.595000000000001,Sebastian Garcia Rodriguez,Sebastian Garcia Rodriguez,True
Manuel Elvira,Ben Schmidt,4.595000000000001,3.335,Manuel Elvira,Manuel Elvira,True
Mikael Lindberg,Eddie Pepperell,4.595000000000001,-2.5949999999999998,Mikael Lindberg,Push,
Marcus Armitage,Jason Scrivener,-0.845,-0.10999999999999999,Jason Scrivener,Marcus Armitage,False
Kiradech Aphibarnrat,Shubhankar Sharma,-0.77,3.335,Shubhankar Sharma,Kiradech Aphibarnrat,False
Oihan Guillamoundeguy,Rocco Repetto Taylor,-2.5949999999999998,-0.10999999999999999,Rocco Repetto Taylor,Oihan Guillamoundeguy,False
Andy Sullivan,Rafa Cabrera Bello,-0.10999999999999999,-0.10999999999999999,Rafa Cabrera Bello,Andy Sullivan,False
Adrian Otaegui,Dylan Frittelli,1.77,-0.11500000000000002,Adrian Otaegui,Dylan Frittelli,False
Jordan Gumberg,David Law,-1.5350000000000001,-0.77,David Law,Push,
Tom Vaillant,Kazuma Kobori,-1.835,1.77,Kazuma Kobori,Kazuma Kobori,True
Aaron Cockerill,Stefano Mazzoli,4.595000000000001,-0.10999999999999999,Aaron Cockerill,Push,
Darius van Driel,Freddy Schott,3.705,-0.11500000000000002,Darius van Driel,Darius van Driel,True
Tobias Jonsson,Nathan Kimsey,-0.11500000000000002,-1.835,Tobias Jonsson,Nathan Kimsey,False
Zander Lombard,James Morrison,-0.10999999999999999,4.595000000000001,James Morrison,Zander Lombard,False
Ashun Wu,Francesco Molinari,-1.835,-1.5350000000000001,Francesco Molinari,Francesco Molinari,True
Pablo Larrazabal,Angel Ayora,4.595000000000001,-1.5350000000000001,Pablo Larrazabal,Angel Ayora,False
Oliver Lindell,Jorge Campillo,-0.10999999999999999,1.33,Jorge Campillo,Jorge Campillo,True
Calum Hill,Brandon Robinson Thompson,-2.5949999999999998,-2.5949999999999998,Brandon Robinson Thompson,Calum Hill,False
Frederic Lacroix,Martin Couvra,-0.77,-1.835,Frederic Lacroix,Martin Couvra,False
Wenyi Ding,Yanhan Zhou,-2.5949999999999998,-0.77,Yanhan Zhou,Yanhan Zhou,True
Grant Forrest,Junghwan Lee,-0.11500000000000002,-0.10999999999999999,Junghwan Lee,Grant Forrest,False
Joost Luiten,Joel Girrbach,-1.835,-0.11500000000000002,Joel Girrbach,Joost Luiten,False
Dan Bradbury,Niklas Norgaard,-0.10999999999999999,1.33,Niklas Norgaard,Niklas Norgaard,True
Nacho Elvira,Sean Crocker,1.33,-1.835,Nacho Elvira,Sean Crocker,False
Mikael Lindberg,Grant Forrest,4.595000000000001,-0.11500000000000002,Mikael Lindberg,Mikael Lindberg,True
Adrian Otaegui,Jorge Campillo,1.77,1.33,Adrian Otaegui,Jorge Campillo,False
Matthew Jordan,Niklas Norgaard,-0.77,1.33,Niklas Norgaard,Matthew Jordan,False
