pd_num,color,condition,n,mean_pd_color_cond,std,baseline_mean,difference,p_value,cohens_d
1,Blue,Calm,872,-0.3057831994535894,2.8903947407395587,-0.21620466649494746,-0.08957853295864193,0.39694978715761436,-0.030618951728068805
1,Blue,Moderate,509,0.17945591505777997,2.9473218414614895,0.027703322789506473,0.1517525922682735,0.28732919939590684,0.05029195420902387
1,Blue,Tough,33,0.9159116629030303,2.7676425881659195,0.3993340218201759,0.5165776410828544,0.3706601490277849,0.1634052421141202
1,Brown,Moderate,6,0.5691263875000002,5.797071656970968,-0.2507315960416668,0.8198579835416671,0.6454766875972405,0.21227531720753318
1,Green,Calm,533,-0.34809127538598506,2.936131680305029,-0.30674534252646285,-0.041345932859522205,0.7589852183683659,-0.01415298020717657
1,Green,Moderate,311,-0.10666348836604506,2.8858589792817293,0.05224249220137764,-0.1589059805674227,0.3859065315593167,-0.052619823006395505
1,Green,Tough,38,0.2853290808842105,2.9092981020048656,0.16247757393182485,0.12285150695238564,0.8103805484418507,0.04156946921573956
1,Orange,Calm,633,-0.5413424265768325,3.0508381628860386,-0.30903879287142144,-0.23230363370541107,0.06157071758211792,-0.07887984034926819
1,Orange,Moderate,442,-0.08486478855952494,3.069705981810865,-0.02542361984928594,-0.059441168710238995,0.6915034165354338,-0.020199330982544117
1,Orange,Tough,27,0.5014168844444444,3.949380361802018,0.17929752087452172,0.3221193635699227,0.5998436141592083,0.10685952927934753
1,Pink,Calm,26,0.01935732821230771,3.334201192679354,-0.4612772421681304,0.4806345703804381,0.43506578373680577,0.16175578905685542
1,Pink,Moderate,21,-0.9409442851333333,2.742678055296326,-0.0949572679551587,-0.8459870171781746,0.20924400172981855,-0.29727959987362884
1,Purple,Calm,635,-0.2628534503452519,2.9626938386078616,-0.32819174143275137,0.06533829108749944,0.6004308325270867,0.022192746238686355
1,Purple,Moderate,347,-0.08456635612204613,2.857644512245526,0.05049593810914425,-0.13506229423119037,0.4247970225697737,-0.04569603801209434
1,Purple,Tough,33,0.27089948653636364,2.830734704941779,0.4670140307360417,-0.19611454419967805,0.716534285085798,-0.06678889728301654
1,Red,Calm,134,-0.4232211084156716,2.883487558202027,-0.10721910996252199,-0.31600199845314964,0.2546622460719955,-0.1048420905527268
1,Red,Moderate,66,0.8270458414486364,3.3782829355752844,0.17597174234347784,0.6510740991051585,0.12023589869671673,0.20389591755829373
1,Red,Tough,7,2.377936232882857,2.409330333754045,0.27459507560714286,2.103341157275714,0.08307307118986085,0.7229404623837001
1,Yellow,Calm,1596,-0.2264220419440501,2.98652632445164,-0.28992012006395546,0.06349807811990535,0.4212544803564628,0.021490002193945017
1,Yellow,Moderate,1010,-0.011435203949950502,3.033388071757853,0.10206333025679191,-0.11349853420674241,0.2512427580399616,-0.03858575339063588
