player_a,player_b,condition,round_type,score_a,score_b,winner_score,loser_score,difference,prediction,actual_winner,correct
Taylor Pendrith,Nico Echavarria,Calm,Positioning,3.1405,3.1405,3.1405,3.1405,0.0,Nico Echavarria,Push,
Keith Mitchell,Lucas Glover,Calm,Positioning,3.3785,3.3785,3.3785,3.3785,0.0,Lucas Glover,Lucas Glover,True
Matt McCarty,Taylor Moore,Calm,Positioning,0.8724999999999999,3.505,3.505,0.8724999999999999,2.6325,Taylor Moore,Matt McCarty,False
Chris Kirk,Patrick Rodgers,Calm,Positioning,0.8724999999999999,2.1225,2.1225,0.8724999999999999,1.25,Patrick Rodgers,Patrick Rodgers,True
Austin Smotherman,Tommy Fleetwood,Calm,Positioning,3.3785,0.8724999999999999,3.3785,0.8724999999999999,2.506,Austin Smotherman,Tommy Fleetwood,False
Robert MacIntyre,Nicolai Hojgaard,Calm,Positioning,3.3785,-0.604,3.3785,-0.604,3.9825,Robert MacIntyre,Nicolai Hojgaard,False
Andrew Putnam,Alex Noren,Calm,Positioning,3.3785,0.8724999999999999,3.3785,0.8724999999999999,2.506,Andrew Putnam,Alex Noren,False
Michael Kim,Max Greyserman,Calm,Positioning,3.3785,3.3785,3.3785,3.3785,0.0,Max Greyserman,Michael Kim,False
Hideki Matsuyama,Viktor Hovland,Calm,Positioning,3.1405,3.3785,3.3785,3.1405,0.238,Viktor Hovland,Viktor Hovland,True
Maverick McNealy,Jacob Bridgeman,Calm,Positioning,-0.604,3.3785,3.3785,-0.604,3.9825,Jacob Bridgeman,Push,
Matt Fitzpatrick,Nick Taylor,Calm,Positioning,3.1405,0.8724999999999999,3.1405,0.8724999999999999,2.268,Matt Fitzpatrick,Matt Fitzpatrick,True
Billy Horschel,Corey Conners,Calm,Positioning,3.3785,3.1405,3.3785,3.1405,0.238,Billy Horschel,Push,
Jordan Spieth,Jhonattan Vegas,Calm,Positioning,2.1225,3.3785,3.3785,2.1225,1.2559999999999998,Jhonattan Vegas,Jordan Spieth,False
Harry Hall,Kurt Kitayama,Calm,Positioning,3.1405,-2.1885,3.1405,-2.1885,5.329,Harry Hall,Harry Hall,True
Ryo Hisatsune,Daniel Bennett,Calm,Positioning,0.8724999999999999,3.3785,3.3785,0.8724999999999999,2.506,Daniel Bennett,Ryo Hisatsune,False
Adam Scott,Si Woo Kim,Calm,Positioning,2.1225,0.8724999999999999,2.1225,0.8724999999999999,1.25,Adam Scott,Push,
Harris English,Scottie Scheffler,Calm,Positioning,3.3785,2.1225,3.3785,2.1225,1.2559999999999998,Harris English,Push,
Michael Thorbjornsen,Sepp Straka,Calm,Positioning,3.3785,3.3785,3.3785,3.3785,0.0,Sepp Straka,Sepp Straka,True
Min Woo Lee,Cameron Young,Calm,Positioning,3.3785,0.8724999999999999,3.3785,0.8724999999999999,2.506,Min Woo Lee,Cameron Young,False
Rory McIlroy,Ryan Fox,Calm,Positioning,-2.1885,3.1405,3.1405,-2.1885,5.329,Ryan Fox,Ryan Fox,True
Bud Cauley,Chris Gotterup,Calm,Positioning,3.1405,3.3785,3.3785,3.1405,0.238,Chris Gotterup,Chris Gotterup,True
Xander Schauffele,Russell Henley,Calm,Positioning,0.8724999999999999,-0.604,0.8724999999999999,-0.604,1.4765,Xander Schauffele,Russell Henley,False
Collin Morikawa,Rickie Fowler,Calm,Positioning,0.8724999999999999,3.3785,3.3785,0.8724999999999999,2.506,Rickie Fowler,Collin Morikawa,False
Ludvig Aberg,Sahith Theegala,Calm,Positioning,0.8724999999999999,3.1405,3.1405,0.8724999999999999,2.268,Sahith Theegala,Ludvig Aberg,False
Daniel Berger,Akshay Bhatia,Calm,Positioning,0.8724999999999999,0.8724999999999999,0.8724999999999999,0.8724999999999999,0.0,Akshay Bhatia,Akshay Bhatia,True
Dean Burmester,David Puig,Moderate,Positioning,0.716,3.82,3.82,0.716,3.104,David Puig,Dean Burmester,False
Thomas Detry,Richard Bland,Moderate,Positioning,-0.17100000000000004,-2.427,-0.17100000000000004,-2.427,2.2560000000000002,Thomas Detry,Thomas Detry,True
Sergio Garcia,Tom McKibbin,Moderate,Positioning,-2.427,-2.427,-2.427,-2.427,0.0,Tom McKibbin,Sergio Garcia,False
Branden Grace,Jose Luis Ballester,Moderate,Positioning,3.82,0.716,3.82,0.716,3.104,Branden Grace,Branden Grace,True
Lucas Herbert,Talor Gooch,Moderate,Positioning,-0.11000000000000004,-0.11000000000000004,-0.11000000000000004,-0.11000000000000004,0.0,Talor Gooch,Lucas Herbert,False
Anirban Lahiri,Laurie Canter,Moderate,Positioning,-0.11000000000000004,-0.11000000000000004,-0.11000000000000004,-0.11000000000000004,0.0,Laurie Canter,Anirban Lahiri,False
Graeme McDowell,Scott Vincent,Moderate,Positioning,-0.677,-0.11000000000000004,-0.11000000000000004,-0.677,0.567,Scott Vincent,Push,
Adrian Meronk,Bubba Watson,Moderate,Positioning,0.716,-3.3964999999999996,0.716,-3.3964999999999996,4.1125,Adrian Meronk,Bubba Watson,False
Joaquin Niemann,Tyrrell Hatton,Moderate,Positioning,-0.677,-0.11000000000000004,-0.11000000000000004,-0.677,0.567,Tyrrell Hatton,Joaquin Niemann,False
Carlos Ortiz,Jon Rahm,Moderate,Positioning,-0.17100000000000004,-2.427,-0.17100000000000004,-2.427,2.2560000000000002,Carlos Ortiz,Jon Rahm,False
Elvis Smylie,Marc Leishman,Moderate,Positioning,-2.427,0.716,0.716,-2.427,3.143,Marc Leishman,Elvis Smylie,False
Matthew Wolff,Harold Varner III,Moderate,Positioning,-0.11000000000000004,0.716,0.716,-0.11000000000000004,0.8260000000000001,Harold Varner III,Harold Varner III,True
Patrick Cantlay,Michael Brennan,Calm,Positioning,-0.6395,0.9555,0.9555,-0.6395,1.595,Michael Brennan,Patrick Cantlay,False
Danny Walker,Kristoffer Reitan,Calm,Positioning,1.576,0.7569999999999999,1.576,0.7569999999999999,0.8190000000000002,Danny Walker,Danny Walker,True
Rico Hoey,Daniel Berger,Calm,Positioning,-1.2399999999999998,-3.1510000000000002,-1.2399999999999998,-3.1510000000000002,1.9110000000000005,Rico Hoey,Push,
Zach Bauchou,Eric Cole,Calm,Positioning,3.44,-3.1510000000000002,3.44,-3.1510000000000002,6.591,Zach Bauchou,Zach Bauchou,True
Stephan Jaeger,Steven Fisk,Calm,Positioning,2.1225,-3.1510000000000002,2.1225,-3.1510000000000002,5.2735,Stephan Jaeger,Stephan Jaeger,True
J.T. Poston,Kevin Roy,Calm,Positioning,-0.8830000000000002,-3.1510000000000002,-0.8830000000000002,-3.1510000000000002,2.268,J.T. Poston,Push,
Si Woo Kim,Scottie Scheffler,Calm,Positioning,-3.1510000000000002,0.9555,0.9555,-3.1510000000000002,4.1065000000000005,Scottie Scheffler,Scottie Scheffler,True
Sudarshan Yellamaraju,Ricky Castillo,Calm,Positioning,-0.8830000000000002,3.44,3.44,-0.8830000000000002,4.323,Ricky Castillo,Sudarshan Yellamaraju,False
Nico Echavarria,Takumi Kanaya,Calm,Positioning,-0.44549999999999995,-3.1510000000000002,-0.44549999999999995,-3.1510000000000002,2.7055000000000002,Nico Echavarria,Nico Echavarria,True
Joe Highsmith,Rory McIlroy,Calm,Positioning,3.505,-3.1510000000000002,3.505,-3.1510000000000002,6.656000000000001,Joe Highsmith,Joe Highsmith,True
Nicolai Hojgaard,Chris Kirk,Calm,Positioning,-3.1510000000000002,3.1405,3.1405,-3.1510000000000002,6.2915,Chris Kirk,Push,
Tony Finau,Robert MacIntyre,Calm,Positioning,-1.3285,-0.5845,-0.5845,-1.3285,0.744,Robert MacIntyre,Robert MacIntyre,True
Max McGreevy,Bud Cauley,Calm,Positioning,0.7569999999999999,-0.897,0.7569999999999999,-0.897,1.654,Max McGreevy,Max McGreevy,True
Sam Burns,Chris Gotterup,Calm,Positioning,0.8724999999999999,-0.8830000000000002,0.8724999999999999,-0.8830000000000002,1.7555,Sam Burns,Chris Gotterup,False
Adam Scott,Nick Taylor,Calm,Positioning,-3.1510000000000002,0.9555,0.9555,-3.1510000000000002,4.1065000000000005,Nick Taylor,Nick Taylor,True
Taylor Pendrith,Sam Stevens,Calm,Positioning,-0.44549999999999995,-0.5845,-0.44549999999999995,-0.5845,0.13900000000000007,Taylor Pendrith,Push,
Matti Schmid,Max Homa,Calm,Positioning,-3.1510000000000002,0.9555,0.9555,-3.1510000000000002,4.1065000000000005,Max Homa,Max Homa,True
J.J. Spaun,Wyndham Clark,Calm,Positioning,1.576,1.576,1.576,1.576,0.0,Wyndham Clark,J.J. Spaun,False
Taylor Moore,Keegan Bradley,Calm,Positioning,0.8724999999999999,-0.5845,0.8724999999999999,-0.5845,1.4569999999999999,Taylor Moore,Keegan Bradley,False
Akshay Bhatia,Brooks Koepka,Calm,Positioning,2.0575,2.0575,2.0575,2.0575,0.0,Brooks Koepka,Brooks Koepka,True
Min Woo Lee,Alex Noren,Calm,Positioning,2.0575,3.1405,3.1405,2.0575,1.0829999999999997,Alex Noren,Min Woo Lee,False
Rickie Fowler,Hideki Matsuyama,Calm,Positioning,-0.5845,0.887,0.887,-0.5845,1.4715,Hideki Matsuyama,Rickie Fowler,False
Ryan Gerard,Andrew Putnam,Calm,Positioning,3.1405,2.0575,3.1405,2.0575,1.0829999999999997,Ryan Gerard,Push,
Jordan Spieth,William Mouw,Calm,Positioning,-3.1510000000000002,3.1405,3.1405,-3.1510000000000002,6.2915,William Mouw,William Mouw,True
Chad Ramey,Sahith Theegala,Calm,Positioning,0.8724999999999999,2.1225,2.1225,0.8724999999999999,1.25,Sahith Theegala,Sahith Theegala,True
Justin Rose,Jason Day,Calm,Positioning,2.0575,-3.1510000000000002,2.0575,-3.1510000000000002,5.208500000000001,Justin Rose,Justin Rose,True
Alex Smalley,Ryo Hisatsune,Calm,Positioning,2.1225,-3.1510000000000002,2.1225,-3.1510000000000002,5.2735,Alex Smalley,Ryo Hisatsune,False
Patrick Rodgers,Keith Mitchell,Calm,Positioning,-1.3285,-1.2399999999999998,-1.2399999999999998,-1.3285,0.08850000000000025,Keith Mitchell,Keith Mitchell,True
Russell Henley,Matt Fitzpatrick,Calm,Positioning,-0.5845,0.8724999999999999,0.8724999999999999,-0.5845,1.4569999999999999,Matt Fitzpatrick,Matt Fitzpatrick,True
Brian Harman,Viktor Hovland,Calm,Positioning,0.9555,3.44,3.44,0.9555,2.4844999999999997,Viktor Hovland,Push,
Michael Thorbjornsen,Tommy Fleetwood,Calm,Positioning,-0.6395,2.0575,2.0575,-0.6395,2.697,Tommy Fleetwood,Michael Thorbjornsen,False
Maverick McNealy,Austin Smotherman,Calm,Positioning,-0.5845,0.7569999999999999,0.7569999999999999,-0.5845,1.3415,Austin Smotherman,Austin Smotherman,True
Lee Hodges,Jacob Bridgeman,Calm,Positioning,3.1405,-0.6395,3.1405,-0.6395,3.78,Lee Hodges,Jacob Bridgeman,False
Justin Thomas,Sepp Straka,Calm,Positioning,0.8724999999999999,-0.5845,0.8724999999999999,-0.5845,1.4569999999999999,Justin Thomas,Sepp Straka,False
Cameron Young,Corey Conners,Calm,Positioning,-3.1510000000000002,0.887,0.887,-3.1510000000000002,4.038,Corey Conners,Cameron Young,False
Ludvig Aberg,Xander Schauffele,Calm,Positioning,-1.3285,0.9555,0.9555,-1.3285,2.284,Xander Schauffele,Ludvig Aberg,False
Matthew Jordan,Sean Crocker,Calm,Closing,0.9454999999999999,0.08550000000000002,0.9454999999999999,0.08550000000000002,0.8599999999999999,Matthew Jordan,Matthew Jordan,True
Niklas Norgaard,Mikael Lindberg,Calm,Closing,6.0375,2.3244999999999996,6.0375,2.3244999999999996,3.713,Niklas Norgaard,Niklas Norgaard,True
Jayden Schaper,Julien Guerrier,Calm,Closing,2.0465,-6.457,2.0465,-6.457,8.503499999999999,Jayden Schaper,Jayden Schaper,True
Frederic Lacroix,Marcus Armitage,Calm,Closing,0.9454999999999999,4.419499999999999,4.419499999999999,0.9454999999999999,3.4739999999999993,Marcus Armitage,Frederic Lacroix,False
Benjamin Follett-Smith,Cameron Adam,Calm,Closing,4.419499999999999,0.9074999999999999,4.419499999999999,0.9074999999999999,3.5119999999999996,Benjamin Follett-Smith,Benjamin Follett-Smith,True
Jesper Svensson,Nathan Kimsey,Calm,Closing,0.9074999999999999,-6.457,0.9074999999999999,-6.457,7.3645,Jesper Svensson,Nathan Kimsey,False
Nacho Elvira,Grant Forrest,Calm,Closing,2.0465,-6.457,2.0465,-6.457,8.503499999999999,Nacho Elvira,Nacho Elvira,True
Paul Waring,Jason Scrivener,Calm,Closing,-3.909,-1.399,-1.399,-3.909,2.51,Jason Scrivener,Jason Scrivener,True
Ewen Ferguson,Matt Wallace,Calm,Closing,4.585,2.0465,4.585,2.0465,2.5385,Ewen Ferguson,Matt Wallace,False
Calum Hill,Hennie du Plessis,Calm,Closing,-3.909,-3.9929999999999994,-3.909,-3.9929999999999994,0.08399999999999963,Calum Hill,Calum Hill,True
Johannes Veerman,Dylan Frittelli,Calm,Closing,2.0465,-6.457,2.0465,-6.457,8.503499999999999,Johannes Veerman,Johannes Veerman,True
David Micheluzzi,Kazuma Kobori,Calm,Closing,-3.909,0.08550000000000002,0.08550000000000002,-3.909,3.9945,Kazuma Kobori,Kazuma Kobori,True
Antoine Rozner,Dan Bradbury,Calm,Closing,0.9454999999999999,8.242,8.242,0.9454999999999999,7.296500000000001,Dan Bradbury,Dan Bradbury,True
Gregorio De Leo,Sebastian Soderberg,Calm,Closing,2.0465,2.3244999999999996,2.3244999999999996,2.0465,0.2779999999999996,Sebastian Soderberg,Gregorio De Leo,False
Jacob Olesen,Joakim Lagergren,Calm,Closing,-6.457,0.25700000000000006,0.25700000000000006,-6.457,6.7139999999999995,Joakim Lagergren,Jacob Olesen,False
Daniel Hillier,Oliver Lindell,Calm,Closing,2.3244999999999996,-1.399,2.3244999999999996,-1.399,3.7234999999999996,Daniel Hillier,Oliver Lindell,False
Patrick Reed,Angel Ayora,Calm,Closing,2.0465,0.9454999999999999,2.0465,0.9454999999999999,1.101,Patrick Reed,Patrick Reed,True
Marcus Armitage,Adri Arnaus,Calm,Closing,4.419499999999999,2.3244999999999996,4.419499999999999,2.3244999999999996,2.0949999999999998,Marcus Armitage,Adri Arnaus,False
Jayden Schaper,Cameron Adam,Calm,Closing,2.0465,0.9074999999999999,2.0465,0.9074999999999999,1.1390000000000002,Jayden Schaper,Jayden Schaper,True
Frederic Lacroix,Nathan Kimsey,Calm,Closing,0.9454999999999999,-6.457,0.9454999999999999,-6.457,7.4025,Frederic Lacroix,Frederic Lacroix,True
Brandon Stone,Jesper Svensson,Calm,Closing,0.9074999999999999,0.9074999999999999,0.9074999999999999,0.9074999999999999,0.0,Jesper Svensson,Jesper Svensson,True
Marcus Kinhult,Benjamin Follett-Smith,Calm,Closing,2.0465,4.419499999999999,4.419499999999999,2.0465,2.3729999999999993,Benjamin Follett-Smith,Push,
Richard Sterne,Kota Kaneko,Calm,Closing,-3.909,-3.9929999999999994,-3.909,-3.9929999999999994,0.08399999999999963,Richard Sterne,Richard Sterne,True
Grant Forrest,Rafa Cabrera Bello,Calm,Closing,-6.457,-1.399,-1.399,-6.457,5.058,Rafa Cabrera Bello,Grant Forrest,False
Quentin Debove,Jason Scrivener,Calm,Closing,0.08550000000000002,-1.399,0.08550000000000002,-1.399,1.4845000000000002,Quentin Debove,Push,
Nacho Elvira,Matt Wallace,Calm,Closing,2.0465,2.0465,2.0465,2.0465,0.0,Matt Wallace,Nacho Elvira,False
Ewen Ferguson,Paul Waring,Calm,Closing,4.585,-3.909,4.585,-3.909,8.494,Ewen Ferguson,Ewen Ferguson,True
Hennie du Plessis,Dylan Frittelli,Calm,Closing,-3.9929999999999994,-6.457,-3.9929999999999994,-6.457,2.4640000000000004,Hennie du Plessis,Hennie du Plessis,True
Kazuma Kobori,Johannes Veerman,Calm,Closing,0.08550000000000002,2.0465,2.0465,0.08550000000000002,1.9609999999999999,Johannes Veerman,Johannes Veerman,True
Dan Bradbury,Calum Hill,Calm,Closing,8.242,-3.909,8.242,-3.909,12.151,Dan Bradbury,Calum Hill,False
Antoine Rozner,Sebastian Soderberg,Calm,Closing,0.9454999999999999,2.3244999999999996,2.3244999999999996,0.9454999999999999,1.3789999999999996,Sebastian Soderberg,Antoine Rozner,False
Joakim Lagergren,David Micheluzzi,Calm,Closing,0.25700000000000006,-3.909,0.25700000000000006,-3.909,4.1659999999999995,Joakim Lagergren,David Micheluzzi,False
Gregorio De Leo,Oliver Lindell,Calm,Closing,2.0465,-1.399,2.0465,-1.399,3.4455,Gregorio De Leo,Oliver Lindell,False
Daniel Hillier,Angel Ayora,Calm,Closing,2.3244999999999996,0.9454999999999999,2.3244999999999996,0.9454999999999999,1.3789999999999996,Daniel Hillier,Angel Ayora,False
Jacob Olesen,Patrick Reed,Calm,Closing,-6.457,2.0465,2.0465,-6.457,8.503499999999999,Patrick Reed,Jacob Olesen,False
Harris English,Cameron Young,Calm,Closing,0.9454999999999999,-1.399,0.9454999999999999,-1.399,2.3445,Harris English,Harris English,True
Patrick Rodgers,Wyndham Clark,Calm,Closing,2.0465,-3.9929999999999994,2.0465,-3.9929999999999994,6.039499999999999,Patrick Rodgers,Wyndham Clark,False
S.H. Kim,Jordan Smith,Calm,Closing,2.0465,0.25700000000000006,2.0465,0.25700000000000006,1.7894999999999999,S.H. Kim,Jordan Smith,False
John Keefer,Daniel Berger,Calm,Closing,-3.9929999999999994,4.04,4.04,-3.9929999999999994,8.033,Daniel Berger,Daniel Berger,True
Mac Meissner,Michael Kim,Calm,Closing,-6.457,0.9454999999999999,0.9454999999999999,-6.457,7.4025,Michael Kim,Push,
Max McGreevy,Rasmus Neergaard-Petersen,Calm,Closing,4.585,2.0465,4.585,2.0465,2.5385,Max McGreevy,Rasmus Neergaard-Petersen,False
Rickie Fowler,Sam Stevens,Calm,Closing,-3.909,6.0375,6.0375,-3.909,9.9465,Sam Stevens,Rickie Fowler,False
Tom Kim,Alex Smalley,Calm,Closing,8.242,0.08550000000000002,8.242,0.08550000000000002,8.156500000000001,Tom Kim,Tom Kim,True
Kurt Kitayama,Nick Taylor,Calm,Closing,0.9454999999999999,-1.399,0.9454999999999999,-1.399,2.3445,Kurt Kitayama,Kurt Kitayama,True
Jacob Bridgeman,Keith Mitchell,Calm,Closing,-3.909,2.3244999999999996,2.3244999999999996,-3.909,6.233499999999999,Keith Mitchell,Push,
Ryan Fox,Kevin Roy,Calm,Closing,0.9074999999999999,-1.399,0.9074999999999999,-1.399,2.3064999999999998,Ryan Fox,Ryan Fox,True
J.T. Poston,Davis Thompson,Calm,Closing,2.3244999999999996,-1.399,2.3244999999999996,-1.399,3.7234999999999996,J.T. Poston,J.T. Poston,True
Bud Cauley,Rico Hoey,Calm,Closing,0.9074999999999999,-3.909,0.9074999999999999,-3.909,4.8165,Bud Cauley,Rico Hoey,False
Ben Griffin,Sepp Straka,Calm,Closing,2.3244999999999996,6.0375,6.0375,2.3244999999999996,3.713,Sepp Straka,Ben Griffin,False
Mackenzie Hughes,Stephan Jaeger,Calm,Closing,-2.014,0.9074999999999999,0.9074999999999999,-2.014,2.9214999999999995,Stephan Jaeger,Mackenzie Hughes,False
Christopher Gotterup,Sahith Theegala,Calm,Closing,2.3244999999999996,-6.457,2.3244999999999996,-6.457,8.7815,Christopher Gotterup,Christopher Gotterup,True
Scottie Scheffler,Viktor Hovland,Calm,Closing,8.242,2.3244999999999996,8.242,2.3244999999999996,5.917500000000001,Scottie Scheffler,Push,
Xander Schauffele,Collin Morikawa,Calm,Closing,-8.392499999999998,-1.399,-1.399,-8.392499999999998,6.993499999999998,Collin Morikawa,Xander Schauffele,False
Kristoffer Reitan,Max Homa,Calm,Closing,0.9454999999999999,0.25700000000000006,0.9454999999999999,0.25700000000000006,0.6884999999999999,Kristoffer Reitan,Kristoffer Reitan,True
Rasmus Hojgaard,Pierceson Coody,Calm,Closing,0.9454999999999999,-3.9929999999999994,0.9454999999999999,-3.9929999999999994,4.9384999999999994,Rasmus Hojgaard,Rasmus Hojgaard,True
Min Woo Lee,Akshay Bhatia,Calm,Closing,4.585,-8.392499999999998,4.585,-8.392499999999998,12.9775,Min Woo Lee,Akshay Bhatia,False
Jake Knapp,Matt Fitzpatrick,Calm,Closing,6.0375,0.08550000000000002,6.0375,0.08550000000000002,5.952,Jake Knapp,Jake Knapp,True
Michael Thorbjornsen,Maverick McNealy,Calm,Closing,2.3244999999999996,-3.909,2.3244999999999996,-3.909,6.233499999999999,Michael Thorbjornsen,Maverick McNealy,False
Nicolai Hojgaard,Ryo Hisatsune,Calm,Closing,0.9454999999999999,-1.399,0.9454999999999999,-1.399,2.3445,Nicolai Hojgaard,Nicolai Hojgaard,True
Si Woo Kim,Hideki Matsuyama,Calm,Closing,-1.399,0.9074999999999999,0.9074999999999999,-1.399,2.3064999999999998,Hideki Matsuyama,Push,
Wenyi Ding,Alex Fitzpatrick,Moderate,Closing,-1.1075,4.071,4.071,-1.1075,5.1785,Alex Fitzpatrick,Alex Fitzpatrick,True
Antoine Rozner,Patrick Reed,Moderate,Closing,4.071,-7.0685,4.071,-7.0685,11.1395,Antoine Rozner,Patrick Reed,False
Todd Clements,Jason Scrivener,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Jason Scrivener,Todd Clements,False
Ewen Ferguson,Oliver Lindell,Moderate,Closing,4.071,-1.1075,4.071,-1.1075,5.1785,Ewen Ferguson,Ewen Ferguson,True
Herman Loubser,Keenan Davidse,Moderate,Closing,-1.1075,-3.753,-1.1075,-3.753,2.6455,Herman Loubser,Herman Loubser,True
JC Ritchie,Kiradech Aphibarnrat,Moderate,Closing,-3.753,4.071,4.071,-3.753,7.824,Kiradech Aphibarnrat,Push,
Alejandro Del Rey,Romain Langasque,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Romain Langasque,Alejandro Del Rey,False
Angel Ayora,Jayden Schaper,Moderate,Closing,4.071,-1.1075,4.071,-1.1075,5.1785,Angel Ayora,Angel Ayora,True
Andy Sullivan,Sam Bairstow,Moderate,Closing,-1.1075,4.714499999999999,4.714499999999999,-1.1075,5.821999999999999,Sam Bairstow,Andy Sullivan,False
Branden Grace,Dean Burmester,Moderate,Closing,13.190999999999999,-1.1075,13.190999999999999,-1.1075,14.298499999999999,Branden Grace,Push,
Daniel van Tonder,Rafa Cabrera Bello,Moderate,Closing,4.831,-1.1075,4.831,-1.1075,5.9385,Daniel van Tonder,Push,
Kieron van Wyk,Joe Dean,Moderate,Closing,-1.1075,4.831,4.831,-1.1075,5.9385,Joe Dean,Joe Dean,True
Hennie du Plessis,Nathan Kimsey,Moderate,Closing,3.7460000000000004,-3.753,3.7460000000000004,-3.753,7.4990000000000006,Hennie du Plessis,Hennie du Plessis,True
Francesco Laporta,Frederic Lacroix,Moderate,Closing,-7.0685,13.190999999999999,13.190999999999999,-7.0685,20.2595,Frederic Lacroix,Frederic Lacroix,True
Casey Jarvis,Calum Hill,Moderate,Closing,-1.1075,0.04699999999999993,0.04699999999999993,-1.1075,1.1544999999999999,Calum Hill,Casey Jarvis,False
Tom Kim,Dylan Wu,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Dylan Wu,Tom Kim,False
Emiliano Grillo,Adam Schenk,Moderate,Closing,2.7775,4.714499999999999,4.714499999999999,2.7775,1.9369999999999994,Adam Schenk,Emiliano Grillo,False
Davis Thompson,Carson Young,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Carson Young,Carson Young,True
Alex Smalley,Danny Walker,Moderate,Closing,4.714499999999999,-1.1075,4.714499999999999,-1.1075,5.821999999999999,Alex Smalley,Alex Smalley,True
Billy Horschel,Max McGreevy,Moderate,Closing,-3.6725000000000003,13.190999999999999,13.190999999999999,-3.6725000000000003,16.8635,Max McGreevy,Max McGreevy,True
Haotong Li,David Ford,Moderate,Closing,4.071,2.9014999999999995,4.071,2.9014999999999995,1.1695000000000002,Haotong Li,Push,
Jackson Suber,Seamus Power,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Seamus Power,Seamus Power,True
Chan Kim,John Parry,Moderate,Closing,-1.1075,4.071,4.071,-1.1075,5.1785,John Parry,Chan Kim,False
Michael Brennan,Hank Lebioda,Moderate,Closing,-1.1075,4.831,4.831,-1.1075,5.9385,Hank Lebioda,Push,
Patrick Fishburn,Chandler Phillips,Moderate,Closing,0.04699999999999993,2.7775,2.7775,0.04699999999999993,2.7305,Chandler Phillips,Patrick Fishburn,False
Matt Wallace,Adrien Saddier,Moderate,Closing,2.346,-3.753,2.346,-3.753,6.099,Matt Wallace,Matt Wallace,True
Dan Brown,Austin Eckroat,Moderate,Closing,4.831,-3.6725000000000003,4.831,-3.6725000000000003,8.5035,Dan Brown,Push,
Jordan Smith,Christiaan Bezuidenhout,Moderate,Closing,2.7775,4.071,4.071,2.7775,1.2934999999999999,Christiaan Bezuidenhout,Jordan Smith,False
Garrick Higgo,Pontus Nyholm,Moderate,Closing,13.190999999999999,-1.1075,13.190999999999999,-1.1075,14.298499999999999,Garrick Higgo,Pontus Nyholm,False
Eric Cole,Daniel Berger,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Daniel Berger,Eric Cole,False
Brooks Koepka,Ben Silverman,Moderate,Closing,-7.0685,-1.1075,-1.1075,-7.0685,5.961,Ben Silverman,Brooks Koepka,False
Rasmus Neergaard-Petersen,Ryan Gerard,Moderate,Closing,-7.0685,-7.0685,-7.0685,-7.0685,0.0,Ryan Gerard,Ryan Gerard,True
Nicolai Hojgaard,Mackenzie Hughes,Moderate,Closing,4.071,2.7775,4.071,2.7775,1.2934999999999999,Nicolai Hojgaard,Nicolai Hojgaard,True
Kevin Roy,Zach Bauchou,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Zach Bauchou,Push,
Max Homa,Kevin Streelman,Moderate,Closing,2.7775,4.831,4.831,2.7775,2.0535000000000005,Kevin Streelman,Max Homa,False
Steven Fisk,Lee Hodges,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Lee Hodges,Steven Fisk,False
Matthieu Pavon,Sudarshan Yellamaraju,Moderate,Closing,2.7775,-1.1075,2.7775,-1.1075,3.885,Matthieu Pavon,Push,
Chad Ramey,Adrien Dumont De Chassart,Moderate,Closing,4.714499999999999,-1.1075,4.714499999999999,-1.1075,5.821999999999999,Chad Ramey,Chad Ramey,True
Rasmus Hojgaard,Thorbjorn Olesen,Moderate,Closing,4.071,4.071,4.071,4.071,0.0,Thorbjorn Olesen,Rasmus Hojgaard,False
Kristoffer Reitan,Mark Hubbard,Moderate,Closing,13.190999999999999,4.071,13.190999999999999,4.071,9.12,Kristoffer Reitan,Kristoffer Reitan,True
William Mouw,Aaron Rai,Moderate,Closing,-1.1075,-1.1075,-1.1075,-1.1075,0.0,Aaron Rai,William Mouw,False
Matti Schmid,Takumi Kanaya,Moderate,Closing,-3.6725000000000003,-1.1075,-1.1075,-3.6725000000000003,2.5650000000000004,Takumi Kanaya,Matti Schmid,False
Patton Kizzire,Zecheng Dou,Moderate,Closing,-7.0685,4.071,4.071,-7.0685,11.1395,Zecheng Dou,Push,
Beau Hossler,Keith Mitchell,Moderate,Closing,-7.0685,-1.1075,-1.1075,-7.0685,5.961,Keith Mitchell,Keith Mitchell,True
A.J. Ewart,Joel Dahmen,Moderate,Closing,-1.1075,4.071,4.071,-1.1075,5.1785,Joel Dahmen,Joel Dahmen,True
Jimmy Stanger,Ricky Castillo,Moderate,Closing,-1.1075,0.04699999999999993,0.04699999999999993,-1.1075,1.1544999999999999,Ricky Castillo,Ricky Castillo,True
