player_a,player_b,condition,round_type,score_a,score_b,winner_score,loser_score,difference,prediction,actual_winner,correct
Davis Thompson,Kristoffer Reitan,Calm,Positioning,-0.6395,0.8724999999999999,0.8724999999999999,-0.6395,1.512,Kristoffer Reitan,Kristoffer Reitan,True
Max Homa,Rasmus Neergaard-Petersen,Calm,Positioning,-0.2825,-4.0985000000000005,-0.2825,-4.0985000000000005,3.8160000000000007,Max Homa,Max Homa,True
Michael Thorbjornsen,Jake Knapp,Calm,Positioning,3.1405,-4.0985000000000005,3.1405,-4.0985000000000005,7.239000000000001,Michael Thorbjornsen,Jake Knapp,False
Maverick McNealy,Matt Fitzpatrick,Calm,Positioning,-1.4849999999999999,-0.2825,-0.2825,-1.4849999999999999,1.2025,Matt Fitzpatrick,Matt Fitzpatrick,True
Michael Kim,Sam Stevens,Calm,Positioning,-0.897,-2.4370000000000003,-0.897,-2.4370000000000003,1.5400000000000003,Michael Kim,Michael Kim,True
Min Woo Lee,Nicolai Hojgaard,Calm,Positioning,-0.897,0.8724999999999999,0.8724999999999999,-0.897,1.7694999999999999,Nicolai Hojgaard,Nicolai Hojgaard,True
Stephan Jaeger,Akshay Bhatia,Calm,Positioning,-0.8830000000000002,3.44,3.44,-0.8830000000000002,4.323,Akshay Bhatia,Akshay Bhatia,True
Zach Bauchou,John Parry,Calm,Positioning,3.1405,0.8724999999999999,3.1405,0.8724999999999999,2.268,Zach Bauchou,John Parry,False
Sahith Theegala,Christopher Gotterup,Calm,Positioning,3.44,3.1405,3.44,3.1405,0.2995000000000001,Sahith Theegala,Christopher Gotterup,False
Si Woo Kim,Hideki Matsuyama,Calm,Positioning,-0.6395,-0.8830000000000002,-0.6395,-0.8830000000000002,0.24350000000000027,Si Woo Kim,Hideki Matsuyama,False
Pierceson Coody,Ryo Hisatsune,Calm,Positioning,-0.44549999999999995,-0.8830000000000002,-0.44549999999999995,-0.8830000000000002,0.4375000000000003,Pierceson Coody,Ryo Hisatsune,False
Michael Kim,Chris Kirk,Moderate,Positioning,5.789,6.125,6.125,5.789,0.3360000000000003,Chris Kirk,Chris Kirk,True
Justin Rose,Viktor Hovland,Moderate,Positioning,5.789,-0.11000000000000004,5.789,-0.11000000000000004,5.899,Justin Rose,Justin Rose,True
Rory McIlroy,Scottie Scheffler,Moderate,Positioning,-2.4595000000000002,2.669,2.669,-2.4595000000000002,5.128500000000001,Scottie Scheffler,Scottie Scheffler,True
J.T. Poston,Alex Noren,Moderate,Positioning,3.005,6.125,6.125,3.005,3.12,Alex Noren,Alex Noren,True
Patrick Cantlay,Cameron Young,Moderate,Positioning,-0.11000000000000004,2.669,2.669,-0.11000000000000004,2.779,Cameron Young,Patrick Cantlay,False
Collin Morikawa,Jason Day,Moderate,Positioning,2.669,-2.4595000000000002,2.669,-2.4595000000000002,5.128500000000001,Collin Morikawa,Collin Morikawa,True
Pierceson Coody,Max McGreevy,Moderate,Positioning,-2.4595000000000002,-6.211,-2.4595000000000002,-6.211,3.7515,Pierceson Coody,Max McGreevy,False
Brian Harman,Patrick Rodgers,Moderate,Positioning,-3.3964999999999996,6.125,6.125,-3.3964999999999996,9.5215,Patrick Rodgers,Brian Harman,False
Bud Cauley,Mackenzie Hughes,Moderate,Positioning,-4.489,-0.11000000000000004,-0.11000000000000004,-4.489,4.379,Mackenzie Hughes,Mackenzie Hughes,True
Harris English,Shane Lowry,Moderate,Positioning,5.789,2.6635,5.789,2.6635,3.1254999999999997,Harris English,Shane Lowry,False
Ryan Fox,Tony Finau,Moderate,Positioning,-4.489,6.125,6.125,-4.489,10.614,Tony Finau,Ryan Fox,False
Matt Fitzpatrick,Russell Henley,Moderate,Positioning,0.6835,-0.677,0.6835,-0.677,1.3605,Matt Fitzpatrick,Matt Fitzpatrick,True
Xander Schauffele,Tommy Fleetwood,Moderate,Positioning,-2.427,-2.427,-2.427,-2.427,0.0,Tommy Fleetwood,Tommy Fleetwood,True
Min Woo Lee,Nick Taylor,Moderate,Positioning,5.789,-3.3964999999999996,5.789,-3.3964999999999996,9.1855,Min Woo Lee,Min Woo Lee,True
Hideki Matsuyama,Chris Gotterup,Moderate,Positioning,-4.489,-0.677,-0.677,-4.489,3.812,Chris Gotterup,Hideki Matsuyama,False
Jordan Spieth,Keegan Bradley,Moderate,Positioning,2.669,3.005,3.005,2.669,0.33599999999999985,Keegan Bradley,Jordan Spieth,False
Tom Hoge,Jacob Bridgeman,Moderate,Positioning,-6.211,-0.11000000000000004,-0.11000000000000004,-6.211,6.101,Jacob Bridgeman,Jacob Bridgeman,True
Sepp Straka,Jake Knapp,Moderate,Positioning,-0.677,6.125,6.125,-0.677,6.802,Jake Knapp,Jake Knapp,True
Sam Burns,Akshay Bhatia,Moderate,Positioning,2.6635,-2.427,2.6635,-2.427,5.0905000000000005,Sam Burns,Akshay Bhatia,False
Ryo Hisatsune,Rickie Fowler,Moderate,Positioning,-3.3964999999999996,-0.11000000000000004,-0.11000000000000004,-3.3964999999999996,3.2864999999999998,Rickie Fowler,Rickie Fowler,True
Viktor Hovland,Ryan Gerard,Calm,Positioning,-1.2399999999999998,-1.4849999999999999,-1.2399999999999998,-1.4849999999999999,0.2450000000000001,Viktor Hovland,Ryan Gerard,False
Scottie Scheffler,Matti Schmid,Calm,Positioning,-2.1885,-0.8830000000000002,-0.8830000000000002,-2.1885,1.3054999999999997,Matti Schmid,Scottie Scheffler,False
Patrick Cantlay,Robert MacIntyre,Calm,Positioning,3.44,-0.5845,3.44,-0.5845,4.0245,Patrick Cantlay,Patrick Cantlay,True
Ryo Hisatsune,Brian Harman,Calm,Positioning,-0.604,-2.1885,-0.604,-2.1885,1.5844999999999998,Ryo Hisatsune,Ryo Hisatsune,True
Hideki Matsuyama,Sam Stevens,Calm,Positioning,1.576,-0.8830000000000002,1.576,-0.8830000000000002,2.4590000000000005,Hideki Matsuyama,Sam Stevens,False
Ben Griffin,Shane Lowry,Calm,Positioning,3.44,2.0575,3.44,2.0575,1.3824999999999998,Ben Griffin,Shane Lowry,False
Sami Valimaki,Sahith Theegala,Calm,Positioning,0.7569999999999999,-3.1510000000000002,0.7569999999999999,-3.1510000000000002,3.9080000000000004,Sami Valimaki,Sahith Theegala,False
Andrew Novak,Harris English,Calm,Positioning,-3.1510000000000002,-0.2825,-0.2825,-3.1510000000000002,2.8685,Harris English,Harris English,True
Tom Kim,Tony Finau,Calm,Positioning,-0.604,3.1405,3.1405,-0.604,3.7445,Tony Finau,Tom Kim,False
Ludvig Aberg,Patrick Rodgers,Calm,Positioning,3.1405,3.1405,3.1405,3.1405,0.0,Patrick Rodgers,Ludvig Aberg,False
Si Woo Kim,Cameron Young,Calm,Positioning,3.3785,3.3785,3.3785,3.3785,0.0,Cameron Young,Cameron Young,True
Nick Taylor,Corey Conners,Calm,Positioning,-2.1885,1.576,1.576,-2.1885,3.7645,Corey Conners,Push (Nick Taylor / Corey Conners),False
Rickie Fowler,Alex Noren,Calm,Positioning,3.44,3.505,3.505,3.44,0.06499999999999995,Alex Noren,Alex Noren,True
Pierceson Coody,Akshay Bhatia,Calm,Positioning,-0.6395,-3.5700000000000003,-0.6395,-3.5700000000000003,2.9305000000000003,Pierceson Coody,Akshay Bhatia,False
Matt McCarty,Taylor Pendrith,Calm,Positioning,-2.4370000000000003,2.0575,2.0575,-2.4370000000000003,4.4945,Taylor Pendrith,Matt McCarty,False
Sepp Straka,Jake Knapp,Calm,Positioning,-0.5845,-1.4849999999999999,-0.5845,-1.4849999999999999,0.9004999999999999,Sepp Straka,Jake Knapp,False
Jhonattan Vegas,Collin Morikawa,Calm,Positioning,-0.5845,3.3785,3.3785,-0.5845,3.963,Collin Morikawa,Collin Morikawa,True
Max Homa,Jordan Spieth,Calm,Positioning,4.1,-0.604,4.1,-0.604,4.704,Max Homa,Jordan Spieth,False
Ryan Fox,Aaron Rai,Calm,Positioning,-3.1510000000000002,-0.5845,-0.5845,-3.1510000000000002,2.5665000000000004,Aaron Rai,Aaron Rai,True
Tommy Fleetwood,Aldrich Potgieter,Calm,Positioning,-3.5700000000000003,-0.8830000000000002,-0.8830000000000002,-3.5700000000000003,2.6870000000000003,Aldrich Potgieter,Aldrich Potgieter,True
Wyndham Clark,Kurt Kitayama,Calm,Positioning,-0.6395,-0.8830000000000002,-0.6395,-0.8830000000000002,0.24350000000000027,Wyndham Clark,Kurt Kitayama,False
Min Woo Lee,Matt Fitzpatrick,Calm,Positioning,-0.2825,1.576,1.576,-0.2825,1.8585,Matt Fitzpatrick,Matt Fitzpatrick,True
Adam Scott,Max Greyserman,Calm,Positioning,3.3785,-0.8830000000000002,3.3785,-0.8830000000000002,4.2615,Adam Scott,Max Greyserman,False
Rory McIlroy,Xander Schauffele,Calm,Positioning,-0.8830000000000002,-0.604,-0.604,-0.8830000000000002,0.27900000000000025,Xander Schauffele,Rory McIlroy,False
Marco Penge,Jacob Bridgeman,Calm,Positioning,-0.8830000000000002,3.44,3.44,-0.8830000000000002,4.323,Jacob Bridgeman,Jacob Bridgeman,True
