condition,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Brown,50,32.0,16.0,26.6,21.8,5.4,-5.8,1.64,-0.46
Calm,Pink,229,28.4,21.8,26.6,21.8,1.8,0.1,1.06,-0.16
Calm,Orange,4358,27.3,21.8,26.6,21.8,0.7,0.1,1.02,-0.14
Calm,Yellow,8515,26.9,21.6,26.6,21.8,0.3,-0.1,1.02,-0.12
Calm,Purple,3323,26.8,21.4,26.6,21.8,0.2,-0.4,1.03,-0.13
Calm,Green,2921,26.4,20.8,26.6,21.8,-0.2,-1.0,1.04,-0.16
Calm,Blue,4763,25.7,22.7,26.6,21.8,-0.9,0.9,0.93,-0.05
Calm,Red,779,23.7,23.1,26.6,21.8,-2.8,1.3,0.84,0.07
Moderate,Pink,147,29.9,17.0,26.1,22.5,3.8,-5.5,1.52,-0.45
Moderate,Green,1912,26.8,23.8,26.1,22.5,0.7,1.3,0.97,-0.09
Moderate,Orange,3031,26.6,22.1,26.1,22.5,0.5,-0.5,1.04,-0.1
Moderate,Purple,2168,26.7,22.5,26.1,22.5,0.5,-0.0,1.02,-0.14
Moderate,Blue,3283,26.0,22.5,26.1,22.5,-0.2,-0.0,1.0,-0.08
Moderate,Red,420,26.0,27.4,26.1,22.5,-0.2,4.9,0.82,0.17
Moderate,Yellow,6338,25.5,22.2,26.1,22.5,-0.6,-0.3,0.99,-0.05
Tough,Green,209,30.6,22.5,24.0,23.9,6.6,-1.4,1.35,-0.4
Tough,Purple,227,24.7,25.1,24.0,23.9,0.7,1.2,0.98,0.04
Tough,Blue,331,24.2,27.8,24.0,23.9,0.2,3.9,0.87,-0.05
Tough,Orange,223,22.9,20.6,24.0,23.9,-1.1,-3.3,1.1,-0.04
Tough,Yellow,582,22.3,23.2,24.0,23.9,-1.7,-0.7,0.96,-0.0
Tough,Red,44,15.9,20.5,24.0,23.9,-8.1,-3.4,0.77,0.2
