color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Blue,Calm,0,3305,27.1,22.9,0.6,0.1,1.02
Blue,Calm,25,3993,24.9,23.7,-1.6,0.9,0.9
Blue,Calm,50,692,22.1,23.8,-4.4,1.1,0.8
Blue,Moderate,0,2011,27.2,23.6,1.0,1.2,0.99
Blue,Moderate,25,2318,25.5,22.4,-0.6,0.0,0.98
Blue,Moderate,50,333,22.2,21.9,-3.9,-0.5,0.87
Blue,Tough,0,174,20.7,28.7,-1.5,4.7,0.78
Blue,Tough,25,228,22.8,29.4,0.7,5.3,0.84
Brown,Calm,0,35,22.9,17.1,-3.6,-5.6,1.15
Green,Calm,0,2724,26.4,22.2,-0.1,-0.6,1.02
Green,Calm,25,2039,26.5,22.0,-0.0,-0.8,1.03
Green,Calm,50,276,24.6,19.9,-1.9,-2.9,1.06
Green,Moderate,0,1483,27.6,23.7,1.4,1.3,1.0
Green,Moderate,25,1110,27.0,22.7,0.9,0.3,1.02
Green,Moderate,50,136,24.3,22.1,-1.9,-0.3,0.94
Green,Tough,0,162,20.4,23.5,-1.8,-0.6,0.94
Green,Tough,25,161,31.7,21.1,9.5,-2.9,1.63
Orange,Calm,0,1883,26.3,22.8,-0.2,-0.0,0.99
Orange,Calm,25,3548,26.7,23.2,0.2,0.4,0.99
Orange,Calm,50,875,27.7,21.6,1.2,-1.2,1.1
Orange,Moderate,0,1233,25.3,22.5,-0.9,0.1,0.96
Orange,Moderate,25,2084,28.6,20.3,2.5,-2.1,1.21
Orange,Moderate,50,508,24.4,22.0,-1.7,-0.4,0.95
Orange,Tough,0,59,27.1,16.9,5.0,-7.1,1.74
Orange,Tough,25,165,21.8,21.8,-0.3,-2.2,1.09
Orange,Tough,50,55,23.6,14.5,1.5,-9.5,1.76
Pink,Calm,0,65,27.7,23.1,1.2,0.3,1.03
Pink,Calm,25,156,24.4,23.1,-2.1,0.3,0.91
Pink,Calm,50,60,41.7,23.3,15.2,0.5,1.54
Pink,Moderate,0,33,24.2,12.1,-1.9,-10.3,1.71
Pink,Moderate,25,85,28.2,22.4,2.1,-0.1,1.08
Pink,Moderate,50,38,34.2,15.8,8.1,-6.6,1.86
Purple,Calm,0,3043,26.6,22.6,0.1,-0.2,1.01
Purple,Calm,25,2348,28.2,21.8,1.7,-1.0,1.12
Purple,Calm,50,303,27.7,23.8,1.2,1.0,1.0
Purple,Moderate,0,1643,27.5,21.9,1.4,-0.6,1.08
Purple,Moderate,25,1355,26.0,22.3,-0.2,-0.1,1.0
Purple,Moderate,50,130,26.2,24.6,-0.0,2.2,0.91
Purple,Tough,0,185,22.7,27.0,0.6,3.0,0.91
Purple,Tough,25,163,20.9,25.2,-1.3,1.1,0.9
Red,Calm,0,702,22.5,25.5,-4.0,2.7,0.76
Red,Calm,25,440,27.3,21.8,0.8,-1.0,1.07
Red,Calm,50,95,27.4,26.3,0.9,3.5,0.89
Red,Moderate,0,333,28.5,25.2,2.4,2.8,0.97
Red,Moderate,25,238,25.6,26.5,-0.5,4.1,0.83
Red,Moderate,50,42,31.0,31.0,4.8,8.5,0.86
Red,Tough,0,30,16.7,30.0,-5.5,5.9,0.6
Yellow,Calm,0,7028,26.7,22.7,0.2,-0.1,1.01
Yellow,Calm,25,6749,26.8,23.1,0.3,0.3,1.0
Yellow,Calm,50,793,27.0,20.7,0.5,-2.1,1.12
Yellow,Moderate,0,4480,25.0,22.3,-1.2,-0.1,0.96
Yellow,Moderate,25,4014,25.6,22.4,-0.5,0.0,0.98
Yellow,Moderate,50,416,22.1,21.2,-4.0,-1.3,0.9
Yellow,Tough,0,367,20.7,23.2,-1.4,-0.9,0.97
Yellow,Tough,25,452,21.5,20.8,-0.7,-3.3,1.12
