color,condition,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio
Blue,Calm,25,50,830,24.8,23.5,26.5,22.8,-1.7,0.7,0.91
Blue,Calm,25,75,174,20.1,22.4,26.5,22.8,-6.4,-0.4,0.77
Blue,Calm,50,50,989,27.3,21.8,26.5,22.8,0.8,-0.9,1.07
Blue,Calm,50,75,2835,25.7,23.8,26.5,22.8,-0.8,1.1,0.93
Blue,Calm,50,100,452,23.0,25.0,26.5,22.8,-3.5,2.2,0.79
Blue,Calm,75,50,261,21.8,29.5,26.5,22.8,-4.7,6.7,0.64
Blue,Calm,75,75,2413,26.1,22.5,26.5,22.8,-0.4,-0.2,0.99
Blue,Calm,75,100,36,33.3,25.0,26.5,22.8,6.8,2.2,1.15
Blue,Moderate,25,50,566,27.0,23.9,26.2,22.4,0.9,1.4,0.97
Blue,Moderate,25,75,79,26.6,19.0,26.2,22.4,0.4,-3.4,1.2
Blue,Moderate,50,50,617,29.5,20.3,26.2,22.4,3.3,-2.1,1.25
Blue,Moderate,50,75,1671,24.7,22.2,26.2,22.4,-1.5,-0.2,0.95
Blue,Moderate,50,100,216,22.7,29.6,26.2,22.4,-3.5,7.2,0.66
Blue,Moderate,75,50,104,26.0,24.0,26.2,22.4,-0.2,1.6,0.93
Blue,Moderate,75,75,1391,26.1,23.7,26.2,22.4,-0.1,1.3,0.94
Blue,Tough,25,50,66,25.8,31.8,22.1,24.1,3.6,7.8,0.88
Blue,Tough,50,50,51,15.7,27.5,22.1,24.1,-6.5,3.4,0.62
Blue,Tough,50,75,157,17.8,30.6,22.1,24.1,-4.3,6.5,0.63
Blue,Tough,75,75,120,28.3,26.7,22.1,24.1,6.2,2.6,1.15
Brown,Calm,50,75,36,33.3,19.4,26.5,22.8,6.8,-3.3,1.47
Green,Calm,25,50,385,25.2,21.8,26.5,22.8,-1.3,-1.0,0.99
Green,Calm,25,75,46,19.6,13.0,26.5,22.8,-6.9,-9.7,1.29
Green,Calm,50,50,744,25.8,22.0,26.5,22.8,-0.7,-0.7,1.01
Green,Calm,50,75,1820,27.5,22.8,26.5,22.8,1.0,0.0,1.04
Green,Calm,50,100,154,20.1,23.4,26.5,22.8,-6.4,0.6,0.74
Green,Calm,75,50,134,23.9,21.6,26.5,22.8,-2.6,-1.1,0.95
Green,Calm,75,75,1735,26.5,21.2,26.5,22.8,-0.0,-1.6,1.07
Green,Moderate,25,50,183,24.0,27.3,26.2,22.4,-2.1,4.9,0.75
Green,Moderate,50,50,396,24.2,26.3,26.2,22.4,-1.9,3.9,0.79
Green,Moderate,50,75,994,28.4,22.6,26.2,22.4,2.2,0.2,1.07
Green,Moderate,50,100,71,28.2,22.5,26.2,22.4,2.0,0.1,1.07
Green,Moderate,75,50,59,35.6,20.3,26.2,22.4,9.4,-2.1,1.5
Green,Moderate,75,75,1002,27.1,22.1,26.2,22.4,1.0,-0.3,1.05
Green,Tough,50,50,47,21.3,21.3,22.1,24.1,-0.9,-2.8,1.09
Green,Tough,50,75,158,31.6,20.3,22.1,24.1,9.5,-3.8,1.7
Green,Tough,75,75,103,20.4,24.3,22.1,24.1,-1.8,0.2,0.91
Orange,Calm,25,50,1177,26.5,23.6,26.5,22.8,0.0,0.8,0.96
Orange,Calm,25,75,347,29.1,23.6,26.5,22.8,2.6,0.8,1.06
Orange,Calm,50,50,794,26.2,21.2,26.5,22.8,-0.3,-1.6,1.06
Orange,Calm,50,75,1976,27.1,23.2,26.5,22.8,0.6,0.4,1.0
Orange,Calm,50,100,649,27.1,21.6,26.5,22.8,0.6,-1.2,1.08
Orange,Calm,75,50,153,21.6,28.8,26.5,22.8,-4.9,6.0,0.64
Orange,Calm,75,75,1137,26.4,22.6,26.5,22.8,-0.1,-0.2,1.0
Orange,Calm,75,100,73,27.4,20.5,26.5,22.8,0.9,-2.2,1.15
Orange,Moderate,25,50,702,29.6,20.2,26.2,22.4,3.5,-2.2,1.25
Orange,Moderate,25,75,145,31.0,18.6,26.2,22.4,4.9,-3.8,1.43
Orange,Moderate,50,50,551,29.0,19.1,26.2,22.4,2.9,-3.3,1.31
Orange,Moderate,50,75,1235,26.7,21.4,26.2,22.4,0.6,-1.0,1.07
Orange,Moderate,50,100,347,22.2,22.8,26.2,22.4,-4.0,0.4,0.83
Orange,Moderate,75,50,54,31.5,14.8,26.2,22.4,5.3,-7.6,1.82
Orange,Moderate,75,75,753,24.8,23.5,26.2,22.4,-1.3,1.1,0.9
Orange,Moderate,75,100,38,23.7,28.9,26.2,22.4,-2.5,6.5,0.7
Orange,Tough,25,50,52,25.0,21.2,22.1,24.1,2.9,-2.9,1.28
Orange,Tough,50,50,32,28.1,31.3,22.1,24.1,6.0,7.2,0.98
Orange,Tough,50,75,112,21.4,20.5,22.1,24.1,-0.7,-3.5,1.13
Orange,Tough,75,75,37,21.6,10.8,22.1,24.1,-0.5,-13.2,2.17
Pink,Calm,25,50,90,20.0,25.6,26.5,22.8,-6.5,2.8,0.67
Pink,Calm,50,50,43,25.6,27.9,26.5,22.8,-0.9,5.1,0.79
Pink,Calm,50,75,84,35.7,17.9,26.5,22.8,9.2,-4.9,1.72
Pink,Moderate,25,50,57,24.6,24.6,26.2,22.4,-1.6,2.2,0.86
Pink,Moderate,50,75,46,26.1,17.4,26.2,22.4,-0.1,-5.0,1.28
Purple,Calm,25,50,469,29.4,22.0,26.5,22.8,2.9,-0.8,1.15
Purple,Calm,25,75,37,35.1,18.9,26.5,22.8,8.6,-3.9,1.6
Purple,Calm,50,50,755,28.1,22.3,26.5,22.8,1.6,-0.5,1.09
Purple,Calm,50,75,2074,26.6,23.9,26.5,22.8,0.1,1.1,0.96
Purple,Calm,50,100,161,27.3,22.4,26.5,22.8,0.8,-0.4,1.05
Purple,Calm,75,50,136,25.0,25.7,26.5,22.8,-1.5,2.9,0.84
Purple,Calm,75,75,2047,27.4,20.7,26.5,22.8,0.9,-2.1,1.14
Purple,Moderate,25,50,202,26.7,17.8,26.2,22.4,0.6,-4.6,1.28
Purple,Moderate,50,50,443,27.1,23.0,26.2,22.4,0.9,0.6,1.01
Purple,Moderate,50,75,1149,26.5,22.8,26.2,22.4,0.3,0.4,0.99
Purple,Moderate,50,100,72,26.4,20.8,26.2,22.4,0.2,-1.6,1.08
Purple,Moderate,75,50,65,26.2,12.3,26.2,22.4,-0.0,-10.1,1.82
Purple,Moderate,75,75,1175,27.1,22.4,26.2,22.4,1.0,-0.0,1.04
Purple,Tough,50,50,53,28.3,22.6,22.1,24.1,6.2,-1.4,1.36
Purple,Tough,50,75,153,19.0,28.8,22.1,24.1,-3.2,4.7,0.72
