color,condition,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio
Blue,Calm,30,45,392,22.4,24.2,26.5,22.8,-4.1,1.4,0.8
Blue,Calm,30,60,557,26.0,22.1,26.5,22.8,-0.5,-0.7,1.01
Blue,Calm,30,75,54,14.8,27.8,26.5,22.8,-11.7,5.0,0.46
Blue,Calm,45,45,332,29.2,21.7,26.5,22.8,2.7,-1.1,1.16
Blue,Calm,45,60,615,25.4,24.1,26.5,22.8,-1.1,1.3,0.91
Blue,Calm,45,75,983,25.9,23.5,26.5,22.8,-0.6,0.7,0.95
Blue,Calm,45,90,669,24.1,21.7,26.5,22.8,-2.4,-1.1,0.95
Blue,Calm,60,45,55,29.1,23.6,26.5,22.8,2.6,0.8,1.06
Blue,Calm,60,60,644,28.3,23.0,26.5,22.8,1.8,0.2,1.06
Blue,Calm,60,75,1366,23.8,24.2,26.5,22.8,-2.7,1.4,0.85
Blue,Calm,60,90,383,26.1,26.6,26.5,22.8,-0.4,3.8,0.84
Blue,Calm,75,60,670,24.9,23.0,26.5,22.8,-1.6,0.2,0.93
Blue,Calm,75,75,1168,27.7,22.9,26.5,22.8,1.2,0.1,1.04
Blue,Calm,75,90,55,21.8,16.4,26.5,22.8,-4.7,-6.4,1.15
Blue,Moderate,30,45,257,28.4,25.3,26.2,22.4,2.2,2.9,0.96
Blue,Moderate,30,60,358,26.0,21.8,26.2,22.4,-0.2,-0.6,1.02
Blue,Moderate,45,45,227,32.2,16.7,26.2,22.4,6.0,-5.7,1.65
Blue,Moderate,45,60,317,27.8,20.2,26.2,22.4,1.6,-2.2,1.18
Blue,Moderate,45,75,566,23.9,21.4,26.2,22.4,-2.3,-1.0,0.96
Blue,Moderate,45,90,320,22.5,24.4,26.2,22.4,-3.7,2.0,0.79
Blue,Moderate,60,45,53,28.3,24.5,26.2,22.4,2.1,2.1,0.99
Blue,Moderate,60,60,343,26.2,22.7,26.2,22.4,0.1,0.3,0.99
Blue,Moderate,60,75,827,25.9,23.6,26.2,22.4,-0.3,1.2,0.94
Blue,Moderate,60,90,266,24.8,24.8,26.2,22.4,-1.3,2.4,0.86
Blue,Moderate,75,60,295,26.1,24.1,26.2,22.4,-0.1,1.7,0.93
Blue,Moderate,75,75,758,25.6,24.4,26.2,22.4,-0.6,2.0,0.9
Blue,Moderate,75,90,31,32.3,22.6,26.2,22.4,6.1,0.2,1.22
Blue,Tough,30,45,30,33.3,33.3,22.1,24.1,11.2,9.3,1.09
Blue,Tough,30,60,43,18.6,32.6,22.1,24.1,-3.5,8.5,0.62
Blue,Tough,45,75,51,15.7,33.3,22.1,24.1,-6.5,9.3,0.51
Blue,Tough,45,90,31,19.4,25.8,22.1,24.1,-2.8,1.7,0.81
Blue,Tough,60,60,38,10.5,31.6,22.1,24.1,-11.6,7.5,0.36
Blue,Tough,60,75,67,28.4,29.9,22.1,24.1,6.2,5.8,1.03
Blue,Tough,75,75,74,21.6,23.0,22.1,24.1,-0.5,-1.1,1.02
Green,Calm,30,45,211,23.7,23.7,26.5,22.8,-2.8,0.9,0.86
Green,Calm,30,60,212,26.4,18.9,26.5,22.8,-0.1,-3.9,1.2
Green,Calm,45,45,185,25.4,24.9,26.5,22.8,-1.1,2.1,0.88
Green,Calm,45,60,452,25.2,19.2,26.5,22.8,-1.3,-3.5,1.13
Green,Calm,45,75,590,29.2,22.9,26.5,22.8,2.7,0.1,1.1
Green,Calm,45,90,195,22.1,23.6,26.5,22.8,-4.5,0.8,0.8
Green,Calm,60,45,36,27.8,27.8,26.5,22.8,1.3,5.0,0.86
Green,Calm,60,60,717,28.2,21.5,26.5,22.8,1.7,-1.3,1.13
Green,Calm,60,75,1046,25.6,22.5,26.5,22.8,-0.9,-0.3,0.98
Green,Calm,60,90,139,28.1,23.7,26.5,22.8,1.6,1.0,1.02
Green,Calm,75,60,406,27.6,18.2,26.5,22.8,1.1,-4.6,1.3
Green,Calm,75,75,770,25.5,24.0,26.5,22.8,-1.0,1.2,0.91
Green,Calm,75,90,31,25.8,9.7,26.5,22.8,-0.7,-13.1,2.29
Green,Moderate,30,45,85,23.5,28.2,26.2,22.4,-2.6,5.8,0.71
Green,Moderate,30,60,110,23.6,27.3,26.2,22.4,-2.5,4.9,0.74
Green,Moderate,45,45,145,26.2,23.4,26.2,22.4,0.0,1.0,0.96
Green,Moderate,45,60,157,23.6,26.8,26.2,22.4,-2.6,4.3,0.75
Green,Moderate,45,75,376,29.5,21.8,26.2,22.4,3.4,-0.6,1.16
Green,Moderate,45,90,112,20.5,24.1,26.2,22.4,-5.6,1.7,0.73
Green,Moderate,60,60,349,28.7,25.5,26.2,22.4,2.5,3.1,0.96
Green,Moderate,60,75,545,29.7,20.9,26.2,22.4,3.6,-1.5,1.22
Green,Moderate,60,90,88,27.3,18.2,26.2,22.4,1.1,-4.2,1.28
Green,Moderate,75,60,245,26.1,18.0,26.2,22.4,-0.0,-4.4,1.25
Green,Moderate,75,75,467,25.1,26.3,26.2,22.4,-1.1,3.9,0.81
Green,Tough,45,75,55,34.5,18.2,22.1,24.1,12.4,-5.9,2.06
Green,Tough,60,60,47,17.0,27.7,22.1,24.1,-5.1,3.6,0.67
Green,Tough,60,75,88,23.9,25.0,22.1,24.1,1.7,0.9,1.04
Green,Tough,75,75,50,26.0,20.0,22.1,24.1,3.9,-4.1,1.41
Orange,Calm,30,45,408,25.7,26.2,26.5,22.8,-0.8,3.4,0.84
Orange,Calm,30,60,1049,27.4,22.8,26.5,22.8,0.9,-0.0,1.03
Orange,Calm,30,75,63,33.3,19.0,26.5,22.8,6.8,-3.7,1.5
Orange,Calm,45,45,273,24.2,21.6,26.5,22.8,-2.3,-1.2,0.96
Orange,Calm,45,60,500,26.6,22.4,26.5,22.8,0.1,-0.4,1.02
Orange,Calm,45,75,523,27.7,21.4,26.5,22.8,1.2,-1.4,1.11
Orange,Calm,45,90,871,27.3,21.5,26.5,22.8,0.8,-1.3,1.09
Orange,Calm,45,105,44,34.1,18.2,26.5,22.8,7.6,-4.6,1.61
Orange,Calm,60,60,383,29.8,22.2,26.5,22.8,3.3,-0.6,1.15
Orange,Calm,60,75,786,26.2,22.5,26.5,22.8,-0.3,-0.3,1.0
Orange,Calm,60,90,438,26.0,21.5,26.5,22.8,-0.5,-1.3,1.04
Orange,Calm,75,60,390,23.1,26.4,26.5,22.8,-3.4,3.6,0.75
Orange,Calm,75,75,517,26.7,24.4,26.5,22.8,0.2,1.6,0.94
Orange,Moderate,30,45,287,28.6,18.8,26.2,22.4,2.4,-3.6,1.3
Orange,Moderate,30,60,497,29.6,21.9,26.2,22.4,3.4,-0.5,1.16
Orange,Moderate,30,75,47,29.8,8.5,26.2,22.4,3.6,-13.9,3.0
Orange,Moderate,45,45,214,29.4,21.0,26.2,22.4,3.3,-1.4,1.2
Orange,Moderate,45,60,302,27.2,19.9,26.2,22.4,1.0,-2.5,1.17
Orange,Moderate,45,75,334,30.8,18.3,26.2,22.4,4.7,-4.1,1.45
Orange,Moderate,45,90,486,24.5,21.6,26.2,22.4,-1.7,-0.8,0.97
Orange,Moderate,60,45,39,35.9,15.4,26.2,22.4,9.7,-7.0,2.0
Orange,Moderate,60,60,240,22.5,23.3,26.2,22.4,-3.7,0.9,0.83
Orange,Moderate,60,75,466,24.0,23.2,26.2,22.4,-2.1,0.8,0.89
Orange,Moderate,60,90,319,24.8,21.6,26.2,22.4,-1.4,-0.8,0.98
Orange,Moderate,75,60,160,32.5,21.3,26.2,22.4,6.3,-1.2,1.31
Orange,Moderate,75,75,388,24.7,23.5,26.2,22.4,-1.4,1.0,0.9
Orange,Tough,30,60,52,26.9,17.3,22.1,24.1,4.8,-6.7,1.69
Orange,Tough,45,90,70,22.9,14.3,22.1,24.1,0.7,-9.8,1.74
Pink,Calm,30,60,76,25.0,23.7,26.5,22.8,-1.5,0.9,0.91
Pink,Calm,45,60,46,26.1,32.6,26.5,22.8,-0.4,9.8,0.69
Pink,Calm,45,90,43,39.5,25.6,26.5,22.8,13.0,2.8,1.33
Pink,Moderate,30,60,40,35.0,20.0,26.2,22.4,8.8,-2.4,1.5
Purple,Calm,30,45,228,27.2,23.2,26.5,22.8,0.7,0.5,1.01
Purple,Calm,30,60,270,31.1,20.7,26.5,22.8,4.6,-2.0,1.29
Purple,Calm,45,45,201,31.3,22.9,26.5,22.8,4.8,0.1,1.18
Purple,Calm,45,60,503,26.8,22.3,26.5,22.8,0.3,-0.5,1.04
Purple,Calm,45,75,722,28.4,22.9,26.5,22.8,1.9,0.1,1.07
Purple,Calm,45,90,243,29.2,21.8,26.5,22.8,2.7,-1.0,1.15
Purple,Calm,60,60,812,25.6,23.2,26.5,22.8,-0.9,0.4,0.95
Purple,Calm,60,75,1102,26.7,23.3,26.5,22.8,0.2,0.5,0.98
Purple,Calm,60,90,131,22.1,21.4,26.5,22.8,-4.4,-1.4,0.89
