color,condition,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio
Blue,Calm,40,40,1473,26.0,23.2,26.5,22.8,-0.5,0.4,0.96
Blue,Calm,40,80,3322,25.4,23.7,26.5,22.8,-1.1,0.9,0.92
Blue,Calm,80,40,81,19.8,21.0,26.5,22.8,-6.7,-1.8,0.81
Blue,Calm,80,80,3114,25.6,23.2,26.5,22.8,-0.9,0.4,0.95
Blue,Moderate,40,40,988,28.6,21.7,26.2,22.4,2.5,-0.7,1.13
Blue,Moderate,40,80,1906,25.1,23.0,26.2,22.4,-1.0,0.6,0.93
Blue,Moderate,80,80,1743,25.6,23.6,26.2,22.4,-0.5,1.2,0.93
Blue,Tough,40,40,90,23.3,27.8,22.1,24.1,1.2,3.7,0.91
Blue,Tough,40,80,179,18.4,33.0,22.1,24.1,-3.7,8.9,0.61
Blue,Tough,80,80,146,24.7,27.4,22.1,24.1,2.5,3.3,0.98
Brown,Calm,40,80,44,27.3,15.9,26.5,22.8,0.8,-6.9,1.47
Green,Calm,40,40,820,25.0,22.6,26.5,22.8,-1.5,-0.2,0.95
Green,Calm,40,80,1994,27.0,22.0,26.5,22.8,0.5,-0.8,1.06
Green,Calm,80,80,2202,26.2,21.7,26.5,22.8,-0.3,-1.1,1.04
Green,Moderate,40,40,434,24.0,26.0,26.2,22.4,-2.2,3.6,0.79
Green,Moderate,40,80,1045,27.5,24.5,26.2,22.4,1.3,2.1,0.96
Green,Moderate,80,80,1246,28.0,21.2,26.2,22.4,1.9,-1.2,1.13
Green,Tough,40,40,44,22.7,20.5,22.1,24.1,0.6,-3.6,1.21
Green,Tough,40,80,159,30.8,20.8,22.1,24.1,8.7,-3.3,1.61
Green,Tough,80,80,131,22.1,24.4,22.1,24.1,-0.0,0.4,0.98
Orange,Calm,40,40,1675,25.9,23.2,26.5,22.8,-0.7,0.4,0.96
Orange,Calm,40,80,2989,27.7,23.0,26.5,22.8,1.2,0.2,1.04
Orange,Calm,80,40,36,27.8,25.0,26.5,22.8,1.3,2.2,0.96
Orange,Calm,80,80,1606,25.8,22.3,26.5,22.8,-0.7,-0.5,0.99
Orange,Moderate,40,40,1030,29.1,19.6,26.2,22.4,3.0,-2.8,1.27
Orange,Moderate,40,80,1770,26.8,21.6,26.2,22.4,0.6,-0.8,1.06
Orange,Moderate,80,80,1015,25.1,22.4,26.2,22.4,-1.0,-0.0,0.96
Orange,Tough,40,40,64,26.6,25.0,22.1,24.1,4.4,0.9,1.15
Orange,Tough,40,80,163,23.9,17.8,22.1,24.1,1.8,-6.3,1.46
Orange,Tough,80,80,47,19.1,17.0,22.1,24.1,-3.0,-7.0,1.22
Pink,Calm,40,40,106,18.9,29.2,26.5,22.8,-7.6,6.5,0.55
Pink,Calm,40,80,161,36.6,18.0,26.5,22.8,10.1,-4.8,1.75
Pink,Moderate,40,40,62,21.0,24.2,26.2,22.4,-5.2,1.8,0.74
Pink,Moderate,40,80,84,33.3,15.5,26.2,22.4,7.2,-6.9,1.84
Purple,Calm,40,40,903,29.1,23.1,26.5,22.8,2.6,0.4,1.08
Purple,Calm,40,80,2226,27.2,23.1,26.5,22.8,0.7,0.3,1.01
Purple,Calm,80,80,2547,26.8,21.2,26.5,22.8,0.3,-1.6,1.09
Purple,Moderate,40,40,465,28.0,19.4,26.2,22.4,1.8,-3.0,1.24
Purple,Moderate,40,80,1227,25.1,24.6,26.2,22.4,-1.1,2.2,0.87
Purple,Moderate,80,80,1422,27.7,21.2,26.2,22.4,1.5,-1.2,1.12
Purple,Tough,40,40,59,27.1,20.3,22.1,24.1,5.0,-3.7,1.45
Purple,Tough,40,80,143,18.2,28.7,22.1,24.1,-4.0,4.6,0.69
Purple,Tough,80,80,154,22.7,25.3,22.1,24.1,0.6,1.3,0.97
Red,Calm,40,40,126,26.2,26.2,26.5,22.8,-0.3,3.4,0.86
Red,Calm,40,80,620,25.5,23.9,26.5,22.8,-1.0,1.1,0.92
Red,Calm,80,80,490,23.1,24.1,26.5,22.8,-3.4,1.3,0.82
Red,Moderate,40,40,97,30.9,27.8,26.2,22.4,4.8,5.4,0.95
Red,Moderate,40,80,261,26.1,28.0,26.2,22.4,-0.1,5.6,0.8
Red,Moderate,80,80,255,27.8,23.5,26.2,22.4,1.7,1.1,1.01
Red,Tough,40,80,31,9.7,29.0,22.1,24.1,-12.5,5.0,0.36
Yellow,Calm,40,40,2501,26.4,21.9,26.5,22.8,-0.1,-0.9,1.04
Yellow,Calm,40,80,5507,26.4,23.8,26.5,22.8,-0.1,1.0,0.96
Yellow,Calm,80,40,174,24.7,23.6,26.5,22.8,-1.8,0.8,0.9
Yellow,Calm,80,80,6388,27.3,22.2,26.5,22.8,0.8,-0.6,1.06
Yellow,Moderate,40,40,1693,24.9,21.4,26.2,22.4,-1.3,-1.0,1.0
Yellow,Moderate,40,80,3353,25.1,22.8,26.2,22.4,-1.1,0.4,0.94
Yellow,Moderate,80,40,50,24.0,14.0,26.2,22.4,-2.2,-8.4,1.47
Yellow,Moderate,80,80,3814,25.3,22.3,26.2,22.4,-0.9,-0.1,0.97
Yellow,Tough,40,40,127,21.3,25.2,22.1,24.1,-0.9,1.1,0.92
Yellow,Tough,40,80,369,24.1,20.1,22.1,24.1,2.0,-4.0,1.31
Yellow,Tough,80,80,342,18.4,23.7,22.1,24.1,-3.7,-0.4,0.84
