color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Blue,Calm,-50,1986,24.3,23.9,-2.2,1.1,0.88
Blue,Calm,0,6003,26.0,23.2,-0.5,0.5,0.96
Blue,Moderate,-50,1093,22.6,24.2,-3.6,1.8,0.8
Blue,Moderate,0,3569,27.1,22.5,0.9,0.1,1.03
Blue,Tough,-50,94,16.0,34.0,-6.2,10.0,0.51
Blue,Tough,0,330,23.0,28.8,0.9,4.7,0.87
Brown,Calm,0,51,31.4,15.7,4.9,-7.1,1.72
Brown,Moderate,0,32,40.6,25.0,14.5,2.6,1.39
Green,Calm,-50,819,25.4,22.1,-1.1,-0.7,0.99
Green,Calm,0,4220,26.5,22.0,-0.0,-0.8,1.04
Green,Moderate,-50,489,28.2,23.1,2.1,0.7,1.05
Green,Moderate,0,2240,27.0,23.3,0.8,0.9,0.99
Green,Tough,-50,48,39.6,14.6,17.4,-9.5,2.95
Green,Tough,0,286,24.1,23.4,2.0,-0.6,1.12
Orange,Calm,-50,2348,26.9,22.5,0.4,-0.3,1.03
Orange,Calm,0,3958,26.6,23.1,0.1,0.3,0.99
Orange,Moderate,-50,1284,27.3,21.0,1.2,-1.5,1.12
Orange,Moderate,0,2541,26.8,21.4,0.7,-1.0,1.07
Orange,Tough,-50,125,24.8,18.4,2.7,-5.7,1.46
Orange,Tough,0,154,22.1,20.1,-0.1,-3.9,1.19
Pink,Calm,-50,136,33.1,21.3,6.6,-1.5,1.33
Pink,Calm,0,145,24.8,24.8,-1.7,2.0,0.86
Pink,Moderate,-50,81,30.9,19.8,4.7,-2.7,1.34
Pink,Moderate,0,75,26.7,17.3,0.5,-5.1,1.32
Purple,Calm,-50,970,28.8,21.5,2.3,-1.2,1.15
Purple,Calm,0,4724,27.1,22.5,0.6,-0.3,1.03
Purple,Moderate,-50,553,27.5,21.7,1.3,-0.7,1.08
Purple,Moderate,0,2575,26.6,22.3,0.5,-0.2,1.03
Purple,Tough,-50,50,18.0,22.0,-4.1,-2.1,0.89
Purple,Tough,0,306,22.2,26.5,0.1,2.4,0.91
Red,Calm,-50,266,30.8,23.3,4.3,0.5,1.14
Red,Calm,0,971,22.9,24.5,-3.6,1.7,0.8
Red,Moderate,-50,104,26.9,31.7,0.8,9.3,0.73
Red,Moderate,0,509,27.7,25.0,1.5,2.5,0.95
Red,Tough,0,45,15.6,28.9,-6.6,4.8,0.58
Yellow,Calm,-50,2574,27.2,23.1,0.7,0.3,1.01
Yellow,Calm,0,11987,26.7,22.7,0.2,-0.1,1.01
Yellow,Moderate,-50,1478,25.6,21.4,-0.6,-1.0,1.02
Yellow,Moderate,0,7432,25.0,22.5,-1.1,0.1,0.96
Yellow,Tough,-50,137,26.3,22.6,4.1,-1.4,1.26
Yellow,Tough,0,709,20.2,22.3,-2.0,-1.8,0.98
