color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Blue,Calm,0,2883,27.3,22.5,0.8,-0.3,1.04
Blue,Calm,20,3623,25.0,24.1,-1.5,1.3,0.89
Blue,Calm,40,1448,23.4,23.5,-3.1,0.7,0.86
Blue,Calm,60,36,25.0,25.0,-1.5,2.2,0.86
Blue,Moderate,0,1692,27.4,23.4,1.3,1.0,1.0
Blue,Moderate,20,2187,25.7,22.0,-0.5,-0.4,1.0
Blue,Moderate,40,776,23.7,24.4,-2.4,2.0,0.83
Blue,Tough,0,163,20.2,27.0,-1.9,2.9,0.81
Blue,Tough,20,193,23.3,31.6,1.2,7.5,0.8
Blue,Tough,40,68,19.1,32.4,-3.0,8.3,0.64
Brown,Calm,0,34,23.5,17.6,-3.0,-5.1,1.15
Green,Calm,0,2437,26.2,22.5,-0.3,-0.3,1.0
Green,Calm,20,2016,27.0,21.6,0.5,-1.2,1.07
Green,Calm,40,557,23.9,21.2,-2.6,-1.6,0.97
Green,Moderate,0,1289,27.7,23.8,1.5,1.4,1.0
Green,Moderate,20,1128,26.7,22.8,0.5,0.4,1.0
Green,Moderate,40,302,26.2,22.2,0.0,-0.2,1.01
Green,Tough,0,147,21.8,23.1,-0.4,-0.9,1.02
Green,Tough,20,150,26.7,24.0,4.5,-0.1,1.21
Green,Tough,40,37,43.2,10.8,21.1,-13.2,4.34
Orange,Calm,0,1634,26.1,22.8,-0.4,-0.0,0.98
Orange,Calm,20,2763,26.0,23.6,-0.6,0.8,0.94
Orange,Calm,40,1857,28.2,22.0,1.7,-0.8,1.1
Orange,Calm,60,52,36.5,17.3,10.0,-5.5,1.82
Orange,Moderate,0,1082,25.7,21.9,-0.5,-0.5,1.0
Orange,Moderate,20,1723,28.7,20.5,2.5,-1.9,1.2
Orange,Moderate,40,1015,25.6,21.8,-0.5,-0.6,1.01
Orange,Tough,0,58,27.6,15.5,5.4,-8.5,1.93
Orange,Tough,20,102,19.6,24.5,-2.5,0.5,0.87
Orange,Tough,40,119,24.4,16.8,2.2,-7.3,1.57
Pink,Calm,0,45,24.4,28.9,-2.1,6.1,0.73
Pink,Calm,20,120,22.5,22.5,-4.0,-0.3,0.86
Pink,Calm,40,116,37.1,21.6,10.6,-1.2,1.48
Pink,Moderate,0,30,23.3,13.3,-2.8,-9.1,1.5
Pink,Moderate,20,62,24.2,22.6,-2.0,0.2,0.92
Pink,Moderate,40,63,34.9,17.5,8.8,-4.9,1.71
Purple,Calm,0,2751,26.6,22.6,0.1,-0.2,1.01
Purple,Calm,20,2276,27.6,22.2,1.1,-0.6,1.07
Purple,Calm,40,644,29.3,21.4,2.8,-1.4,1.18
Purple,Moderate,0,1419,27.2,22.0,1.0,-0.4,1.06
Purple,Moderate,20,1365,25.3,22.9,-0.8,0.5,0.95
Purple,Moderate,40,340,30.6,20.0,4.4,-2.4,1.31
Purple,Tough,0,174,22.4,25.9,0.3,1.8,0.94
Purple,Tough,20,142,21.1,28.2,-1.0,4.1,0.81
Purple,Tough,40,40,20.0,17.5,-2.1,-6.6,1.24
Red,Calm,0,662,22.5,25.2,-4.0,2.4,0.77
Red,Calm,20,378,26.2,22.5,-0.3,-0.3,1.0
Red,Calm,40,191,28.8,24.6,2.3,1.8,1.01
Red,Moderate,0,291,28.5,25.4,2.4,3.0,0.96
Red,Moderate,20,248,26.2,25.0,0.1,2.6,0.9
Red,Moderate,40,74,28.4,32.4,2.2,10.0,0.75
Yellow,Calm,0,6149,26.5,22.8,-0.0,-0.0,1.0
Yellow,Calm,20,6655,26.8,22.9,0.3,0.1,1.01
Yellow,Calm,40,1713,27.7,22.5,1.2,-0.3,1.06
Yellow,Calm,60,53,28.3,17.0,1.8,-5.8,1.43
Yellow,Moderate,0,3927,25.1,22.2,-1.1,-0.2,0.97
Yellow,Moderate,20,4014,25.2,22.6,-1.0,0.2,0.95
Yellow,Moderate,40,960,25.1,21.4,-1.1,-1.1,1.01
Yellow,Tough,0,309,19.7,25.2,-2.4,1.2,0.85
Yellow,Tough,20,444,21.6,20.0,-0.5,-4.0,1.17
Yellow,Tough,40,93,23.7,23.7,1.5,-0.4,1.09
