color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Yellow,Calm,-15,5550,26.2,23.2,-0.3,0.4,0.97
Yellow,Calm,0,4222,27.0,22.7,0.5,-0.1,1.02
Yellow,Calm,15,1323,27.5,20.0,1.0,-2.8,1.19
Yellow,Calm,30,63,17.5,31.7,-9.0,9.0,0.47
Yellow,Moderate,-45,412,21.6,21.4,-4.6,-1.0,0.87
Yellow,Moderate,-30,1593,26.3,22.4,0.1,0.0,1.01
Yellow,Moderate,-15,3324,25.1,22.9,-1.0,0.5,0.94
Yellow,Moderate,0,2826,24.4,22.2,-1.8,-0.2,0.94
Yellow,Moderate,15,740,27.2,19.9,1.0,-2.5,1.17
Yellow,Tough,-30,187,25.7,17.6,3.5,-6.4,1.58
Yellow,Tough,-15,403,21.3,23.3,-0.8,-0.7,0.99
Yellow,Tough,0,177,20.3,24.9,-1.8,0.8,0.89
Yellow,Tough,15,45,6.7,13.3,-15.5,-10.7,0.54
