color,condition,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio
Blue,Calm,30,30,105,18.1,27.6,26.5,22.8,-8.4,4.8,0.56
Blue,Calm,30,60,1316,25.1,22.6,26.5,22.8,-1.4,-0.2,0.96
Blue,Calm,30,90,233,22.7,21.9,26.5,22.8,-3.8,-0.9,0.89
Blue,Calm,60,60,3237,26.9,23.1,26.5,22.8,0.4,0.3,1.0
Blue,Calm,60,90,2339,24.3,24.7,26.5,22.8,-2.2,1.9,0.85
Blue,Calm,90,60,697,25.5,21.5,26.5,22.8,-1.0,-1.3,1.02
Blue,Calm,90,90,35,42.9,25.7,26.5,22.8,16.4,2.9,1.43
Blue,Moderate,30,30,69,26.1,31.9,26.2,22.4,-0.1,9.5,0.7
Blue,Moderate,30,60,804,27.7,21.5,26.2,22.4,1.6,-0.9,1.1
Blue,Moderate,30,90,68,20.6,19.1,26.2,22.4,-5.6,-3.3,0.92
Blue,Moderate,60,60,1872,27.2,21.8,26.2,22.4,1.1,-0.6,1.07
Blue,Moderate,60,90,1428,23.9,24.4,26.2,22.4,-2.2,2.0,0.84
Blue,Moderate,90,60,371,24.5,25.6,26.2,22.4,-1.6,3.2,0.82
Blue,Tough,30,60,91,18.7,29.7,22.1,24.1,-3.5,5.6,0.68
Blue,Tough,60,60,148,23.6,26.4,22.1,24.1,1.5,2.3,0.97
Blue,Tough,60,90,125,21.6,30.4,22.1,24.1,-0.5,6.3,0.77
Brown,Calm,60,60,45,33.3,15.6,26.5,22.8,6.8,-7.2,1.84
Green,Calm,30,30,115,16.5,27.8,26.5,22.8,-10.0,5.0,0.51
Green,Calm,30,60,451,28.4,17.3,26.5,22.8,1.9,-5.5,1.41
Green,Calm,30,90,133,32.3,21.1,26.5,22.8,5.8,-1.7,1.32
Green,Calm,60,60,2893,26.3,22.5,26.5,22.8,-0.2,-0.3,1.01
Green,Calm,60,90,1065,26.7,22.5,26.5,22.8,0.2,-0.3,1.02
Green,Calm,90,60,336,21.7,20.8,26.5,22.8,-4.8,-2.0,0.9
Green,Moderate,30,30,39,17.9,35.9,26.2,22.4,-8.2,13.5,0.43
