color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Blue,Calm,0,4067,26.3,23.0,-0.2,0.2,0.98
Blue,Calm,30,3737,24.9,23.8,-1.6,1.0,0.9
Blue,Calm,60,186,24.2,23.7,-2.3,0.9,0.88
Blue,Moderate,0,2411,26.7,23.4,0.6,1.0,0.98
Blue,Moderate,30,2185,25.4,22.2,-0.7,-0.3,0.98
Blue,Moderate,60,66,19.7,28.8,-6.5,6.4,0.59
Blue,Tough,0,213,23.5,27.2,1.3,3.2,0.94
Blue,Tough,30,210,19.5,32.4,-2.6,8.3,0.65
Brown,Calm,0,41,26.8,14.6,0.3,-8.2,1.58
Green,Calm,0,3199,25.9,22.1,-0.6,-0.7,1.01
Green,Calm,30,1751,27.2,21.5,0.7,-1.3,1.09
Green,Calm,60,89,23.6,25.8,-2.9,3.1,0.79
Green,Moderate,0,1721,27.4,23.6,1.3,1.2,1.0
Green,Moderate,30,980,26.6,22.6,0.5,0.1,1.01
Green,Tough,0,205,20.0,24.4,-2.1,0.3,0.89
Green,Tough,30,128,36.7,18.0,14.6,-6.1,2.22
Orange,Calm,0,2363,26.1,23.0,-0.4,0.2,0.98
Orange,Calm,30,3622,27.5,22.9,1.0,0.1,1.03
Orange,Calm,60,321,23.1,21.5,-3.4,-1.3,0.92
Orange,Moderate,0,1566,26.0,22.8,-0.2,0.4,0.98
Orange,Moderate,30,2172,28.0,20.1,1.9,-2.3,1.2
Orange,Moderate,60,87,19.5,23.0,-6.6,0.6,0.73
Orange,Tough,0,76,23.7,23.7,1.5,-0.4,1.09
Orange,Tough,30,198,22.7,18.2,0.6,-5.9,1.36
Pink,Calm,0,73,28.8,24.7,2.3,1.9,1.0
Pink,Calm,30,186,28.0,22.0,1.5,-0.7,1.09
Pink,Moderate,0,37,24.3,13.5,-1.8,-8.9,1.54
Pink,Moderate,30,109,31.2,21.1,5.0,-1.3,1.27
Purple,Calm,0,3516,26.8,22.4,0.3,-0.4,1.03
Purple,Calm,30,2070,28.2,22.3,1.7,-0.5,1.09
Purple,Calm,60,108,29.6,22.2,3.1,-0.6,1.15
Purple,Moderate,0,1940,26.9,22.5,0.7,0.1,1.02
Purple,Moderate,30,1159,26.5,21.6,0.3,-0.8,1.05
Purple,Tough,0,227,22.5,26.0,0.3,1.9,0.94
Purple,Tough,30,129,20.2,25.6,-2.0,1.5,0.86
Red,Calm,0,800,22.3,25.3,-4.3,2.5,0.76
Red,Calm,30,406,29.3,21.9,2.8,-0.9,1.15
Red,Calm,60,31,22.6,29.0,-3.9,6.2,0.67
Red,Moderate,0,368,27.4,25.3,1.3,2.9,0.93
Red,Moderate,30,240,27.9,27.1,1.8,4.7,0.88
Red,Tough,0,33,18.2,27.3,-4.0,3.2,0.72
Yellow,Calm,0,8534,26.6,22.7,0.1,-0.1,1.01
Yellow,Calm,30,5770,27.1,22.9,0.6,0.1,1.02
Yellow,Calm,60,266,24.1,24.1,-2.4,1.3,0.86
Yellow,Moderate,0,5347,24.7,22.4,-1.4,0.0,0.95
Yellow,Moderate,30,3487,25.8,22.0,-0.4,-0.4,1.0
Yellow,Moderate,60,76,23.7,23.7,-2.5,1.3,0.86
Yellow,Tough,0,461,19.7,23.0,-2.4,-1.1,0.93
Yellow,Tough,30,383,23.0,21.4,0.8,-2.6,1.17
