color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Blue,Calm,-50,121,24.8,24.0,-1.7,1.2,0.89
Blue,Calm,-40,815,21.7,22.6,-4.8,-0.2,0.83
Blue,Calm,-30,1050,26.3,24.9,-0.2,2.1,0.91
Blue,Calm,-20,1921,25.5,23.3,-1.0,0.5,0.94
Blue,Calm,-10,1701,24.9,24.0,-1.6,1.3,0.89
Blue,Calm,0,1456,28.3,22.3,1.8,-0.5,1.09
Blue,Calm,10,656,26.2,22.3,-0.3,-0.5,1.01
Blue,Calm,20,269,23.0,25.3,-3.5,2.5,0.78
Blue,Moderate,-50,56,17.9,23.2,-8.3,0.8,0.66
Blue,Moderate,-40,411,24.6,24.1,-1.6,1.7,0.87
Blue,Moderate,-30,626,21.7,24.4,-4.4,2.0,0.76
Blue,Moderate,-20,1182,28.2,20.2,2.0,-2.2,1.19
Blue,Moderate,-10,1015,25.4,24.7,-0.7,2.3,0.88
Blue,Moderate,0,915,28.6,21.5,2.5,-0.9,1.14
Blue,Moderate,10,300,26.0,26.3,-0.2,3.9,0.85
Blue,Moderate,20,157,22.3,23.6,-3.9,1.2,0.81
Blue,Tough,-40,32,18.8,34.4,-3.4,10.3,0.59
Blue,Tough,-30,61,14.8,32.8,-7.4,8.7,0.49
Blue,Tough,-20,120,25.8,30.0,3.7,5.9,0.94
Blue,Tough,-10,93,29.0,26.9,6.9,2.8,1.17
Blue,Tough,0,96,15.6,25.0,-6.5,0.9,0.68
Green,Calm,-50,63,23.8,27.0,-2.7,4.2,0.76
Green,Calm,-40,304,24.0,18.4,-2.5,-4.4,1.12
Green,Calm,-30,452,26.5,23.9,0.0,1.1,0.96
Green,Calm,-20,1078,29.2,20.8,2.7,-2.0,1.21
Green,Calm,-10,1345,25.4,22.6,-1.1,-0.2,0.97
Green,Calm,0,1241,25.8,22.8,-0.7,0.0,0.97
Green,Calm,10,460,26.5,20.4,0.0,-2.4,1.12
Green,Calm,20,96,19.8,22.9,-6.7,0.1,0.74
Green,Moderate,-40,161,22.4,25.5,-3.8,3.1,0.75
Green,Moderate,-30,303,31.0,22.1,4.9,-0.3,1.2
Green,Moderate,-20,508,27.2,21.9,1.0,-0.6,1.06
Green,Moderate,-10,607,27.8,25.9,1.7,3.5,0.92
Green,Moderate,0,787,26.6,23.0,0.4,0.6,0.99
Green,Moderate,10,268,28.0,20.9,1.8,-1.5,1.15
Green,Moderate,20,70,18.6,22.9,-7.6,0.5,0.7
Green,Tough,-30,35,40.0,14.3,17.9,-9.8,3.04
Green,Tough,-20,101,30.7,23.8,8.5,-0.3,1.4
Green,Tough,-10,88,19.3,19.3,-2.8,-4.7,1.09
Green,Tough,0,77,19.5,28.6,-2.7,4.5,0.74
Orange,Calm,-50,249,23.3,18.5,-3.2,-4.3,1.08
Orange,Calm,-40,941,29.8,22.0,3.3,-0.8,1.16
Orange,Calm,-30,1158,25.4,23.7,-1.1,1.0,0.92
Orange,Calm,-20,1597,27.4,23.1,0.9,0.3,1.02
Orange,Calm,-10,1063,26.9,21.9,0.4,-0.9,1.06
Orange,Calm,0,772,26.6,22.8,0.1,0.0,1.0
Orange,Calm,10,367,22.3,25.9,-4.2,3.1,0.74
Orange,Calm,20,159,27.0,25.8,0.5,3.0,0.9
Orange,Moderate,-50,79,17.7,25.3,-8.4,2.9,0.6
Orange,Moderate,-40,592,25.8,21.6,-0.3,-0.8,1.02
Orange,Moderate,-30,613,30.0,19.7,3.9,-2.7,1.3
Orange,Moderate,-20,1078,27.6,19.7,1.4,-2.7,1.2
Orange,Moderate,-10,648,26.4,24.1,0.2,1.7,0.94
Orange,Moderate,0,514,24.7,19.6,-1.4,-2.8,1.08
Orange,Moderate,10,216,27.8,26.4,1.6,4.0,0.9
Orange,Moderate,20,85,31.8,21.2,5.6,-1.2,1.28
