color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Yellow,Calm,30,1520,27.2,24.5,0.7,1.7,0.95
Yellow,Calm,40,887,26.8,20.7,0.3,-2.0,1.11
Yellow,Calm,50,176,27.3,23.9,0.8,1.1,0.98
Yellow,Moderate,0,2180,24.0,22.3,-2.2,-0.1,0.92
Yellow,Moderate,10,2891,25.0,22.4,-1.1,0.0,0.96
Yellow,Moderate,20,2361,26.0,22.6,-0.2,0.2,0.98
Yellow,Moderate,30,898,26.8,20.8,0.7,-1.6,1.1
Yellow,Moderate,40,514,23.5,21.8,-2.6,-0.6,0.93
Yellow,Moderate,50,66,24.2,25.8,-1.9,3.4,0.81
Yellow,Tough,0,126,23.0,23.8,0.9,-0.2,1.05
Yellow,Tough,10,279,18.3,23.3,-3.9,-0.8,0.85
Yellow,Tough,20,304,20.7,20.7,-1.4,-3.3,1.09
Yellow,Tough,30,93,29.0,18.3,6.9,-5.8,1.72
Yellow,Tough,40,42,21.4,31.0,-0.7,6.9,0.75
