color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Blue,Calm,-75,692,22.1,23.8,-4.4,1.1,0.8
Blue,Calm,0,7298,25.9,23.3,-0.6,0.6,0.95
Blue,Moderate,-75,333,22.2,21.9,-3.9,-0.5,0.87
Blue,Moderate,0,4329,26.3,23.0,0.2,0.6,0.98
Blue,Tough,0,402,21.9,29.1,-0.3,5.0,0.82
Brown,Calm,0,63,28.6,15.9,2.1,-6.9,1.55
Brown,Moderate,0,34,41.2,23.5,15.0,1.1,1.5
Green,Calm,-75,276,24.6,19.9,-1.9,-2.9,1.06
Green,Calm,0,4763,26.4,22.1,-0.1,-0.7,1.03
Green,Moderate,-75,136,24.3,22.1,-1.9,-0.3,0.94
Green,Moderate,0,2593,27.3,23.3,1.2,0.9,1.01
Green,Tough,0,323,26.0,22.3,3.9,-1.8,1.27
Orange,Calm,-75,875,27.7,21.6,1.2,-1.2,1.1
Orange,Calm,0,5431,26.6,23.1,0.1,0.3,0.99
Orange,Moderate,-75,508,24.4,22.0,-1.7,-0.4,0.95
Orange,Moderate,0,3317,27.4,21.1,1.2,-1.3,1.11
Orange,Tough,-75,55,23.6,14.5,1.5,-9.5,1.76
Orange,Tough,0,224,23.2,20.5,1.1,-3.5,1.23
Pink,Calm,-75,60,41.7,23.3,15.2,0.5,1.54
Pink,Calm,0,221,25.3,23.1,-1.2,0.3,0.94
Pink,Moderate,-75,38,34.2,15.8,8.1,-6.6,1.86
Pink,Moderate,0,118,27.1,19.5,1.0,-2.9,1.19
Purple,Calm,-75,303,27.7,23.8,1.2,1.0,1.0
Purple,Calm,0,5391,27.3,22.2,0.8,-0.5,1.06
Purple,Moderate,-75,130,26.2,24.6,-0.0,2.2,0.91
Purple,Moderate,0,2998,26.8,22.0,0.7,-0.4,1.04
Purple,Tough,0,348,21.8,26.1,-0.3,2.1,0.91
Red,Calm,-75,95,27.4,26.3,0.9,3.5,0.89
Red,Calm,0,1142,24.3,24.1,-2.2,1.3,0.87
Red,Moderate,-75,42,31.0,31.0,4.8,8.5,0.86
Red,Moderate,0,571,27.3,25.7,1.2,3.3,0.91
Red,Tough,0,51,13.7,27.5,-8.4,3.4,0.54
Yellow,Calm,-75,793,27.0,20.7,0.5,-2.1,1.12
Yellow,Calm,0,13777,26.8,22.9,0.3,0.1,1.01
Yellow,Moderate,-75,416,22.1,21.2,-4.0,-1.3,0.9
Yellow,Moderate,0,8494,25.3,22.3,-0.9,-0.1,0.97
Yellow,Tough,0,819,21.1,21.9,-1.0,-2.2,1.05
