color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Blue,Calm,0,5086,25.7,23.2,-0.8,0.4,0.95
Blue,Calm,40,2904,25.3,23.8,-1.2,1.0,0.92
Blue,Moderate,0,3033,27.0,22.8,0.8,0.4,1.01
Blue,Moderate,40,1629,24.2,23.0,-1.9,0.6,0.9
Blue,Tough,0,267,24.3,28.8,2.2,4.8,0.92
Blue,Tough,40,157,16.6,31.8,-5.6,7.8,0.56
Brown,Calm,0,47,29.8,17.0,3.3,-5.8,1.5
Green,Calm,0,3794,26.2,22.0,-0.3,-0.8,1.03
Green,Calm,40,1245,26.7,22.1,0.2,-0.7,1.04
Green,Moderate,0,2004,27.1,23.5,0.9,1.0,0.99
Green,Moderate,40,725,27.4,22.6,1.3,0.2,1.04
Green,Tough,0,246,22.0,24.4,-0.2,0.3,0.98
Green,Tough,40,88,38.6,15.9,16.5,-8.1,2.64
Orange,Calm,0,3179,26.6,23.1,0.1,0.3,0.99
Orange,Calm,40,3127,26.9,22.7,0.4,-0.1,1.02
Orange,Moderate,0,2151,26.9,21.0,0.8,-1.4,1.1
Orange,Moderate,40,1674,27.1,21.6,1.0,-0.8,1.07
Orange,Tough,0,114,21.1,22.8,-1.1,-1.3,1.0
Orange,Tough,40,165,24.8,17.0,2.7,-7.1,1.59
Pink,Calm,0,105,27.6,25.7,1.1,2.9,0.92
Pink,Calm,40,176,29.5,21.6,3.0,-1.2,1.18
Pink,Moderate,0,60,23.3,18.3,-2.8,-4.1,1.09
Pink,Moderate,40,96,32.3,18.8,6.1,-3.7,1.48
Purple,Calm,0,4226,26.9,22.3,0.4,-0.5,1.04
Purple,Calm,40,1468,28.6,22.4,2.1,-0.4,1.1
Purple,Moderate,0,2302,27.1,21.7,0.9,-0.7,1.07
Purple,Moderate,40,826,26.0,23.4,-0.1,1.0,0.95
Purple,Tough,0,274,22.3,25.5,0.1,1.5,0.95
Purple,Tough,40,82,19.5,26.8,-2.6,2.8,0.79
Red,Calm,0,913,22.3,25.0,-4.2,2.2,0.77
Red,Calm,40,324,30.9,22.2,4.4,-0.6,1.19
Red,Moderate,0,448,28.1,24.8,2.0,2.4,0.97
Red,Moderate,40,165,26.1,29.7,-0.1,7.3,0.75
Red,Tough,0,39,17.9,23.1,-4.2,-1.0,0.84
Yellow,Calm,0,10435,26.5,22.7,0.0,-0.1,1.0
Yellow,Calm,40,4135,27.4,22.9,0.9,0.1,1.03
Yellow,Moderate,0,6534,25.1,22.3,-1.1,-0.1,0.96
Yellow,Moderate,40,2376,25.3,22.3,-0.8,-0.1,0.97
Yellow,Tough,0,597,20.4,22.3,-1.7,-1.8,1.0
Yellow,Tough,40,249,22.9,22.5,0.7,-1.6,1.11
