player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,exec_a,exec_b,upside_a,upside_b,exec_a_bucket,exec_b_bucket,upside_a_bucket,upside_b_bucket,exec_a_roi,exec_b_roi,upside_a_roi,upside_b_roi
Hennie du Plessis,Dean Burmester,Tough,Positioning,4.235870230565191,-7.488267700469295,11.724137931034486,BET A,Blue,Blue,50,25,50,50,50-75,25-50,50-75,50-75,9.655172413793103,-13.793103448275868,-1.1834319526627202,-1.1834319526627202
David Ford,Kristoffer Reitan,Moderate,Positioning,5.208370446906807,-6.497814724700371,11.706185171607178,BET A,Orange,Purple,50,50,50,50,50-75,50-75,50-75,50-75,4.986876640419951,-8.21167883211679,5.429864253393662,-4.78395061728395
Keegan Bradley,Akshay Bhatia,Tough,Open,-5.167810831426392,6.382978723404256,-11.550789554830647,BET B,Purple,Yellow,50,50,75,50,50-75,50-75,75-100,50-75,-5.072463768115943,0.0,-5.26315789473684,12.765957446808512
Corey Conners,Min Woo Lee,Moderate,Survival,4.659185796112096,-6.791347569014568,11.450533365126663,BET A,Green,Orange,50,25,50,75,50-75,25-50,50-75,75-100,4.8239895697522845,-2.421307506053267,4.494382022471908,-11.161387631975868
Garrick Higgo,John Parry,Moderate,Positioning,-6.497814724700371,4.8391837818361125,-11.336998506536483,BET B,Purple,Green,50,50,50,50,50-75,50-75,50-75,50-75,-8.21167883211679,3.917050691244242,-4.78395061728395,5.761316872427982
Kristoffer Reitan,Joel Dahmen,Moderate,Positioning,-6.497814724700371,4.8391837818361125,-11.336998506536483,BET B,Purple,Green,50,50,50,50,50-75,50-75,50-75,50-75,-8.21167883211679,3.917050691244242,-4.78395061728395,5.761316872427982
Matt Fitzpatrick,Russell Henley,Moderate,Survival,-2.8779597950596356,8.260674795682009,-11.138634590741646,BET B,Blue,Purple,50,50,50,75,50-75,50-75,50-75,75-100,-2.161383285302594,6.463878326996201,-3.594536304816677,10.057471264367818
Marcus Armitage,Adri Arnaus,Calm,Closing,10.692366564783535,-0.19864542508062344,10.89101198986416,BET A,Purple,Yellow,75,50,50,50,75-100,50-75,50-75,50-75,18.357487922705317,1.7551755175517585,3.027245206861753,-2.1524663677130054
Max Homa,Kristoffer Reitan,Moderate,Open,-3.1430222114709085,-13.99490841106625,10.851886199595342,BET A,Green,Blue,50,25,50,25,50-75,25-50,50-75,25-50,-2.4940617577197126,-4.6321525885558605,-3.791982665222105,-23.35766423357664
Tommy Fleetwood,Cameron Young,Tough,Open,6.382978723404256,-4.459308807134894,10.84228753053915,BET A,Yellow,Purple,50,50,50,50,50-75,50-75,50-75,50-75,0.0,-5.072463768115943,12.765957446808512,-3.846153846153845
