player_a,player_b,player_c,recommendation,prediction,actual_winner,is_push,edge,result,correct
Davis Thompson,Stephan Jaeger,Webb Simpson,STRONG: Bet B,Stephan Jaeger,Davis Thompson,False,8.054144579022708,LOSS,False
Mark Hubbard,Eric Cole,Alex Smalley,STRONG: Bet C,Alex Smalley,Mark Hubbard,False,8.054144579022708,LOSS,False
Kris Ventura,Dan Brown,Pontus Nyholm,STRONG: Bet B,Dan Brown,Pontus Nyholm,False,8.054144579022708,LOSS,False
Sami Valimaki,Cameron Davis,Matt Kuchar,STRONG: Bet A,Sami Valimaki,,True,8.054144579022708,PUSH,
Adam Schenk,William Mouw,Aaron Wise,STRONG: Bet A,Adam Schenk,William Mouw,False,8.054144579022708,LOSS,False
Jesper Svensson,Kensei Hirata,Luke Clanton,STRONG: Bet A,Jesper Svensson,Jesper Svensson,False,8.054144579022708,WIN,True
Altin van der Merwe,Louis Albertse,Ruan Korb,STRONG: Bet B,Louis Albertse,Altin van der Merwe,False,8.054144579022708,LOSS,False
Chan Kim,John Parry,Gordon Sargent,STRONG: Bet C,Gordon Sargent,Chan Kim,False,8.054144579022708,LOSS,False
Kota Kaneko,Jeff Winther,Scott Jamieson,STRONG: Bet C,Scott Jamieson,Jeff Winther,False,8.054144579022708,LOSS,False
Sebastian Garcia Rodriguez,Martin Vorster,Hennie O'Kennedy,STRONG: Bet B,Martin Vorster,Sebastian Garcia Rodriguez,False,8.006395332442086,LOSS,False
Michael Hollick,Zander Lombard,Nikhil Rama,MODERATE: Lean A,Michael Hollick,Zander Lombard,False,7.978374331138544,LOSS,False
Angel Hidalgo,Jaco Ahlers,Darius van Driel,MODERATE: Lean A,Angel Hidalgo,Darius van Driel,False,7.802991198304032,LOSS,False
David Law,Jaco Prinsloo,Ugo Coussaud,MODERATE: Lean A,David Law,,True,7.639320279823491,PUSH,
Frederic Lacroix,Zander Lombard,Alex Fitzpatrick,MODERATE: Lean B,Zander Lombard,Frederic Lacroix,False,7.373178764048808,LOSS,False
Joe Dean,Bernd Wiesberger,Nikhil Rama,MODERATE: Lean B,Bernd Wiesberger,Joe Dean,False,7.288407289977307,LOSS,False
Emiliano Grillo,Charley Hoffman,Danny Willett,MODERATE: Lean B,Charley Hoffman,Emiliano Grillo,False,7.210719092870855,LOSS,False
Ben Schmidt,Kyle McClatchie,Luke Jerling,MODERATE: Lean B,Kyle McClatchie,Ben Schmidt,False,7.059427939048896,LOSS,False
Ricardo Gouveia,James Morrison,Keenan Davidse,MODERATE: Lean C,Keenan Davidse,James Morrison,False,7.059427939048896,LOSS,False
Cameron Tringale,Adrian Meronk,Laurie Canter,MODERATE: Lean B,Adrian Meronk,Adrian Meronk,False,7.05931232263431,WIN,True
Branden Grace,Tyrrell Hatton,Harold Varner III,MODERATE: Lean C,Harold Varner III,Branden Grace,False,7.05931232263431,LOSS,False
Russell Henley,Harris English,Corey Conners,MODERATE: Lean B,Harris English,Corey Conners,False,7.048564530335091,LOSS,False
Aldrich Potgieter,Ryan Fox,Sam Stevens,MODERATE: Lean A,Aldrich Potgieter,Ryan Fox,False,7.048564530335091,LOSS,False
Russell Henley,Harris English,Corey Conners,MODERATE: Lean B,Harris English,Corey Conners,False,7.048564530335091,LOSS,False
Sam Stevens,Ryan Fox,Aldrich Potgieter,MODERATE: Lean C,Aldrich Potgieter,Ryan Fox,False,7.048564530335091,LOSS,False
Manuel Elvira,Marcus Kinhult,Sam Bairstow,MODERATE: Lean C,Sam Bairstow,Sam Bairstow,False,6.968965557276605,WIN,True
Darius van Driel,Ryan Van Velzen,Austin Bautista,MODERATE: Lean B,Ryan Van Velzen,Ryan Van Velzen,False,6.968965557276605,WIN,True
Peter Malnati,Brice Garnett,Lanto Griffin,MODERATE: Lean C,Lanto Griffin,Lanto Griffin,False,6.968965557276605,WIN,True
Taylor Pendrith,Matt McCarty,Jhonattan Vegas,MODERATE: Lean C,Jhonattan Vegas,,True,6.91489361702128,PUSH,
Matt McCarty,Jhonattan Vegas,Taylor Pendrith,MODERATE: Lean B,Jhonattan Vegas,,True,6.91489361702128,PUSH,
Jeong Weon Ko,Herman Loubser,Sam Bairstow,MODERATE: Lean C,Sam Bairstow,Sam Bairstow,False,6.884044806214384,WIN,True
David Puig,Lee Westwood,Louis Oosthuizen,MODERATE: Lean B,Lee Westwood,Lee Westwood,False,6.755318884463737,WIN,True
Adam Schenk,Garrick Higgo,Matt McCarty,MODERATE: Lean A,Adam Schenk,Matt McCarty,False,6.613258421519908,LOSS,False
Keegan Bradley,Ryan Fox,Chris Kirk,MODERATE: Lean B,Ryan Fox,,False,6.613258421519908,LOSS,False
Adam Schenk,Garrick Higgo,Matt McCarty,MODERATE: Lean A,Adam Schenk,Matt McCarty,False,6.613258421519908,LOSS,False
Joel Girrbach,Scott Jamieson,Nathan Kimsey,MODERATE: Lean A,Joel Girrbach,Nathan Kimsey,False,6.613220757029375,LOSS,False
David Wakhu,Lukas Nemecz,Jonathan Broomhead,MODERATE: Lean A,David Wakhu,Lukas Nemecz,False,6.337014317382706,LOSS,False
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,MODERATE: Lean B,Akshay Bhatia,Jacob Bridgeman,False,6.316075321623597,LOSS,False
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,MODERATE: Lean B,Akshay Bhatia,Jacob Bridgeman,False,6.316075321623597,LOSS,False
