player_a,player_b,player_c,recommendation,prediction,actual_winner,is_push,edge,result,correct
Jacob Olesen,Greg Snow,Niklas Norgaard,SLIGHT: B favored,Greg Snow,Jacob Olesen,False,1.764072074860434,LOSS,False
Gary Woodland,Brandt Snedeker,David Lipsky,SLIGHT: C favored,David Lipsky,David Lipsky,False,1.7387918126883424,WIN,True
Matthew Jordan,Marcel Siem,JC Ritchie,SLIGHT: C favored,JC Ritchie,Matthew Jordan,False,1.688878025824608,LOSS,False
Bud Cauley,Vince Whaley,Chandler Phillips,SLIGHT: A favored,Bud Cauley,Bud Cauley,False,1.6612972781005046,WIN,True
Sami Valimaki,Lucas Glover,Matt Fitzpatrick,SLIGHT: C favored,Matt Fitzpatrick,,True,1.6612972781005046,PUSH,
Bud Cauley,Vince Whaley,Chandler Phillips,SLIGHT: A favored,Bud Cauley,Bud Cauley,False,1.6612972781005046,WIN,True
Sami Valimaki,Lucas Glover,Matt Fitzpatrick,SLIGHT: C favored,Matt Fitzpatrick,,True,1.6612972781005046,PUSH,
Lee Westwood,Jon Rahm,Charl Schwartzel,SLIGHT: C favored,Charl Schwartzel,Jon Rahm,False,1.6364727067413662,LOSS,False
Kris Ventura,Kensei Hirata,Adrien Saddier,SLIGHT: B favored,Kensei Hirata,,True,1.6364727067413662,PUSH,
Rocco Repetto Taylor,Connor McKinney,Mohit Mediratta,SLIGHT: A favored,Rocco Repetto Taylor,Rocco Repetto Taylor,False,1.526128928107811,WIN,True
Hugo Townsend,Tapio Pulkkanen,Ryggs Johnston,SLIGHT: A favored,Hugo Townsend,Ryggs Johnston,False,1.5041375458337187,LOSS,False
Nick Dunlap,Rico Hoey,Chandler Blanchet,SLIGHT: B favored,Rico Hoey,Chandler Blanchet,False,1.4850659365048209,LOSS,False
Michael Hollick,Ivan Cantero Gutierrez,Eddie Pepperell,SLIGHT: C favored,Eddie Pepperell,Michael Hollick,False,1.4263324940097952,LOSS,False
Manuel Elvira,Thanda Mavundla,Scott Jamieson,SLIGHT: C favored,Scott Jamieson,Scott Jamieson,False,1.4065010106127107,WIN,True
Eddie Pepperell,Darren Fichardt,Kyle Barker,SLIGHT: A favored,Eddie Pepperell,Darren Fichardt,False,1.3989403152884714,LOSS,False
Patrick Fishburn,Zach Bauchou,Sudarshan Yellamaraju,SLIGHT: C favored,Sudarshan Yellamaraju,Sudarshan Yellamaraju,False,1.2699195017369922,WIN,True
Merrick Bremner,Lyle Rowe,Kieron van Wyk,SLIGHT: B favored,Lyle Rowe,,True,1.2699195017369922,PUSH,
Adam Svensson,Michael Kim,Bud Cauley,SLIGHT: A favored,Adam Svensson,Bud Cauley,False,1.0851790217461028,LOSS,False
Tom Kim,Michael Thorbjornsen,Rasmus Hojgaard,SLIGHT: B favored,Michael Thorbjornsen,Rasmus Hojgaard,False,1.0851790217461028,LOSS,False
Stephen Ferreira,Ricardo Gouveia,Maximilian Steinlechner,SLIGHT: A favored,Stephen Ferreira,Maximilian Steinlechner,False,1.0851790217461028,LOSS,False
Brandon Robinson Thompson,Pablo Larrazabal,Luis Carrera,SLIGHT: A favored,Brandon Robinson Thompson,Luis Carrera,False,1.0851790217461028,LOSS,False
Nick Bachem,Jens Dantorp,Daniel Cronje,SLIGHT: A favored,Nick Bachem,Daniel Cronje,False,1.0851790217461028,LOSS,False
Casey Jarvis,Jayden Schaper,Angel Ayora,SLIGHT: A favored,Casey Jarvis,,True,1.0851790217461028,PUSH,
Emiliano Grillo,Kevin Roy,Danny Walker,SLIGHT: A favored,Emiliano Grillo,Kevin Roy,False,1.0851790217461028,LOSS,False
Connor Syme,Alejandro Del Rey,Brandon Robinson Thompson,SLIGHT: B favored,Alejandro Del Rey,,True,0.9748352431125475,PUSH,
Robin Williams,Alex Fitzpatrick,Frederic Lacroix,SLIGHT: A favored,Robin Williams,,True,0.9730545236429418,PUSH,
Jimmy Stanger,Neal Shipley,Jeffrey Kang,SLIGHT: C favored,Jeffrey Kang,Jimmy Stanger,False,0.9730545236429418,LOSS,False
Zecheng Dou,David Ford,Justin Hicks,SLIGHT: B favored,David Ford,,True,0.9730545236429418,PUSH,
Mutahi Kibugu,Filippo Celli,David Law,SLIGHT: A favored,Mutahi Kibugu,David Law,False,0.9730545236429418,LOSS,False
Jeff Winther,Adam Blomme,Celestin Nsazuwera,SLIGHT: A favored,Jeff Winther,Celestin Nsazuwera,False,0.95634900611621,LOSS,False
Mackenzie Hughes,Denny McCarthy,Austin Smotherman,SLIGHT: A favored,Mackenzie Hughes,Denny McCarthy,False,0.9337722515095574,LOSS,False
Paul Peterson,Paul Waring,Blades Brown,SLIGHT: B favored,Paul Waring,Paul Peterson,False,0.9337722515095574,LOSS,False
Ewen Ferguson,Robin Williams,Rikuya Hoshino,SLIGHT: A favored,Ewen Ferguson,Ewen Ferguson,False,0.9308343795307064,WIN,True
Kota Kaneko,Musliwalo Nethunzwi,Kieran Vincent,SLIGHT: B favored,Musliwalo Nethunzwi,Kieran Vincent,False,0.9189463920896482,LOSS,False
Wilco Nienaber,Hennie du Plessis,Julien Guerrier,SLIGHT: A favored,Wilco Nienaber,Hennie du Plessis,False,0.9189463920896482,LOSS,False
Joe Dean,Jonathan Broomhead,Brandon Robinson Thompson,SLIGHT: C favored,Brandon Robinson Thompson,Brandon Robinson Thompson,False,0.8976346629355104,WIN,True
Casey Jarvis,Calum Hill,Thriston Lawrence,SLIGHT: A favored,Casey Jarvis,,True,0.8633557875177935,PUSH,
Jackson Suber,Johnny Keefer,Blades Brown,SLIGHT: B favored,Johnny Keefer,Jackson Suber,False,0.860480799672878,LOSS,False
Lucas Herbert,Thomas Pieters,Richard T. Lee,SLIGHT: B favored,Thomas Pieters,,True,0.8434254861518529,PUSH,
Jacob Bridgeman,Wyndham Clark,Jordan Spieth,SLIGHT: A favored,Jacob Bridgeman,Jacob Bridgeman,False,0.8434254861518529,WIN,True
Matthieu Pavon,Eric Cole,Kevin Roy,SLIGHT: A favored,Matthieu Pavon,Matthieu Pavon,False,0.8434254861518529,WIN,True
Steven Fisk,William Mouw,Joe Highsmith,SLIGHT: A favored,Steven Fisk,William Mouw,False,0.8338937248602134,LOSS,False
Oliver Bekker,Antoine Rozner,Richard Sterne,SLIGHT: C favored,Richard Sterne,Antoine Rozner,False,0.7883140436520524,LOSS,False
Allen John,Wil Enfer,Cameron Adam,SLIGHT: C favored,Cameron Adam,Allen John,False,0.7657372890454006,LOSS,False
Ivan Cantero Gutierrez,MJ Viljoen,Richie Ramsay,SLIGHT: A favored,Ivan Cantero Gutierrez,Richie Ramsay,False,0.7601686847245732,LOSS,False
Sean Crocker,Martin Rohwer,Jacques Blaauw,SLIGHT: B favored,Martin Rohwer,Sean Crocker,False,0.7529691211401426,LOSS,False
Adam Schenk,Kevin Yu,Webb Simpson,SLIGHT: C favored,Webb Simpson,Webb Simpson,False,0.7463400059161494,WIN,True
Mackenzie Hughes,Eric Cole,Rico Hoey,SLIGHT: B favored,Eric Cole,Eric Cole,False,0.7200570221672109,WIN,True
Max Homa,Daniel Berger,Michael Thorbjornsen,SLIGHT: A favored,Max Homa,Max Homa,False,0.7200570221672109,WIN,True
Akshay Bhatia,Brooks Koepka,Tony Finau,SLIGHT: A favored,Akshay Bhatia,Tony Finau,False,0.7200570221672109,LOSS,False
Max Homa,Daniel Berger,Michael Thorbjornsen,SLIGHT: A favored,Max Homa,Max Homa,False,0.7200570221672109,WIN,True
Akshay Bhatia,Brooks Koepka,Tony Finau,SLIGHT: A favored,Akshay Bhatia,Tony Finau,False,0.7200570221672109,LOSS,False
Michael Brennan,Harris English,J.T. Poston,SLIGHT: A favored,Michael Brennan,Michael Brennan,False,0.6879726546832838,WIN,True
Michael Brennan,Harris English,J.T. Poston,SLIGHT: A favored,Michael Brennan,Michael Brennan,False,0.6879726546832838,WIN,True
John Lejirma,Fabrizio Zanotti,Andreas Halvorsen,SLIGHT: C favored,Andreas Halvorsen,Andreas Halvorsen,False,0.6559932405584448,WIN,True
Elvis Smylie,Anthony Kim,Sergio Garcia,SLIGHT: B favored,Anthony Kim,Sergio Garcia,False,0.641640450352968,LOSS,False
Bubba Watson,Abraham Ancer,Graeme McDowell,SLIGHT: B favored,Abraham Ancer,Abraham Ancer,False,0.641640450352968,WIN,True
Jeremy Paul,A.J. Ewart,Gordon Sargent,SLIGHT: B favored,A.J. Ewart,A.J. Ewart,False,0.641640450352968,WIN,True
CJ Wangai,Renato Paratore,Mikael Lindberg,SLIGHT: B favored,Renato Paratore,Mikael Lindberg,False,0.641640450352968,LOSS,False
Collin Morikawa,Tommy Fleetwood,Rory McIlroy,SLIGHT: C favored,Rory McIlroy,Rory McIlroy,False,0.6193568856507214,WIN,True
Rory McIlroy,Tommy Fleetwood,Collin Morikawa,SLIGHT: A favored,Rory McIlroy,Rory McIlroy,False,0.6193568856507214,WIN,True
Rocco Repetto Taylor,Alex Fitzpatrick,Mark Maart,SLIGHT: B favored,Alex Fitzpatrick,,True,0.5917803282156537,PUSH,
Altin van der Merwe,Quim Vidal,Gerhard Pepler,SLIGHT: B favored,Quim Vidal,Quim Vidal,False,0.5917803282156537,WIN,True
Andrew Novak,Karl Vilips,Sungjae Im,SLIGHT: C favored,Sungjae Im,Sungjae Im,False,0.5512936849952634,WIN,True
Benjamin Follett-Smith,James Morrison,Euan Walker,SLIGHT: A favored,Benjamin Follett-Smith,,True,0.5512936849952634,PUSH,
Yanhan Zhou,Yuvraj Sandhu,Anthony Quayle,SLIGHT: A favored,Yanhan Zhou,Yuvraj Sandhu,False,0.5345881674685318,LOSS,False
Rikuya Hoshino,Joost Luiten,Darius van Driel,SLIGHT: B favored,Joost Luiten,Joost Luiten,False,0.5121076040053829,WIN,True
Jacques Kruyswijk,Yuto Katsuragawa,Alejandro Del Rey,SLIGHT: B favored,Yuto Katsuragawa,Jacques Kruyswijk,False,0.4948396735451599,LOSS,False
Luke Brown,Marcus Armitage,Keelan van Wyk,SLIGHT: C favored,Keelan van Wyk,Marcus Armitage,False,0.4875546185230625,LOSS,False
Andrew Novak,Nick Taylor,Wyndham Clark,SLIGHT: A favored,Andrew Novak,Wyndham Clark,False,0.4521277198480291,LOSS,False
JC Ritchie,Ryggs Johnston,Deon Germishuys,SLIGHT: A favored,JC Ritchie,Ryggs Johnston,False,0.4249493421752035,LOSS,False
Michael Karanga,Manuel Elvira,Sebastian Soderberg,SLIGHT: B favored,Manuel Elvira,Sebastian Soderberg,False,0.4217608386476783,LOSS,False
Richard Sterne,Marcel Schneider,David Micheluzzi,SLIGHT: B favored,Marcel Schneider,,True,0.4217608386476783,PUSH,
Brendon Todd,Kevin Streelman,Vince Whaley,SLIGHT: A favored,Brendon Todd,Kevin Streelman,False,0.3194417327007022,LOSS,False
Jorge Campillo,George Coetzee,Yurav Premall,SLIGHT: B favored,George Coetzee,Jorge Campillo,False,0.3194417327007022,LOSS,False
Julien Guerrier,Andy Sullivan,Dean Burmester,SLIGHT: C favored,Dean Burmester,Dean Burmester,False,0.3194417327007022,WIN,True
Joe Highsmith,Davis Riley,Pierceson Coody,SLIGHT: B favored,Davis Riley,Pierceson Coody,False,0.2750872453485939,LOSS,False
David Skinns,Dan Brown,Davis Chatfield,SLIGHT: C favored,Davis Chatfield,David Skinns,False,0.2750872453485939,LOSS,False
Kiradech Aphibarnrat,Oihan Guillamoundeguy,Francis Epe,SLIGHT: A favored,Kiradech Aphibarnrat,Kiradech Aphibarnrat,False,0.2750872453485939,WIN,True
Ivan Cantero Gutierrez,Daniel Young,Jack Senior,SLIGHT: C favored,Jack Senior,,True,0.2750872453485939,PUSH,
Kyle De Beer,Allen John,Bjorn Akesson,SLIGHT: C favored,Bjorn Akesson,,True,0.2589947387099069,PUSH,
Benjamin Follett-Smith,Marcel Siem,Alejandro Del Rey,SLIGHT: A favored,Benjamin Follett-Smith,Alejandro Del Rey,False,0.1847404799908893,LOSS,False
Brandt Snedeker,Christiaan Bezuidenhout,Takumi Kanaya,SLIGHT: B favored,Christiaan Bezuidenhout,Brandt Snedeker,False,0.1847404799908893,LOSS,False
Branden Grace,Oliver Lindell,Shaun Norris,SLIGHT: B favored,Oliver Lindell,Oliver Lindell,False,0.1847404799908893,WIN,True
Todd Clements,MJ Daffue,Luke Jerling,SLIGHT: A favored,Todd Clements,Todd Clements,False,0.1847404799908893,WIN,True
Matti Schmid,Dylan Wu,Takumi Kanaya,SLIGHT: C favored,Takumi Kanaya,Matti Schmid,False,0.1847404799908893,LOSS,False
Sebastian Soderberg,Lyle Rowe,Jason Scrivener,SLIGHT: B favored,Lyle Rowe,Sebastian Soderberg,False,0.1753831328345114,LOSS,False
Max Homa,Kevin Streelman,Danny Walker,SLIGHT: C favored,Danny Walker,,True,0.1070522828844362,PUSH,
Stefano Mazzoli,Hennie du Plessis,Maximilian Steinlechner,SLIGHT: B favored,Hennie du Plessis,Maximilian Steinlechner,False,0.0903467653577045,LOSS,False
Garrick Higgo,Taylor Pendrith,Ryo Hisatsune,SLIGHT: C favored,Ryo Hisatsune,Ryo Hisatsune,False,0.0903467653577045,WIN,True
Matt McCarty,Davis Thompson,Matt Kuchar,SLIGHT: B favored,Davis Thompson,Davis Thompson,False,0.0903467653577045,WIN,True
Ewen Ferguson,Guido Migliozzi,Joakim Lagergren,SLIGHT: A favored,Ewen Ferguson,Joakim Lagergren,False,0.0903467653577045,LOSS,False
Minkyu Kim,Anirban Lahiri,Yosuke Asaji,SLIGHT: B favored,Anirban Lahiri,Anirban Lahiri,False,0.0903467653577045,WIN,True
Daniel Kiragu,Matthew Baldwin,Ryan Peake,SLIGHT: A favored,Daniel Kiragu,Matthew Baldwin,False,0.0903467653577045,LOSS,False
Sami Valimaki,J.T. Poston,Rico Hoey,SLIGHT: B favored,J.T. Poston,Sami Valimaki,False,0.0203783824608372,LOSS,False
Edwin Mudanyi,Albin Bergstrom,Jovan Rebula,SLIGHT: B favored,Albin Bergstrom,Albin Bergstrom,False,0.0167055175267316,WIN,True
Heinrich Bruiners,Romain Langasque,Jean Hugo,SKIP: No edge,SKIP,Romain Langasque,False,0.0,SKIP,
Vince Whaley,Kristoffer Reitan,Johnny Keefer,SKIP: No edge,SKIP,Vince Whaley,False,0.0,SKIP,
Wilco Nienaber,Hennie du Plessis,Rafa Cabrera Bello,SKIP: No edge,SKIP,,True,0.0,PUSH,
Jason Scrivener,Charl Barnard,Haydn Porteous,SKIP: No edge,SKIP,Haydn Porteous,False,0.0,SKIP,
Ernie Els,Judd Sundelson,Dylan Naidoo,SKIP: No edge,SKIP,Judd Sundelson,False,0.0,SKIP,
Joakim Lagergren,Hennie Otto,Jonathan Broomhead,SKIP: No edge,SKIP,Hennie Otto,False,0.0,SKIP,
Ryan Gerard,Adam Scott,Patrick Rodgers,SKIP: No edge,SKIP,Adam Scott,False,0.0,SKIP,
Andrew Novak,Brian Harman,Nick Taylor,SKIP: No edge,SKIP,Andrew Novak,False,0.0,SKIP,
Tom Hoge,Bud Cauley,Matti Schmid,SKIP: No edge,SKIP,Matti Schmid,False,0.0,SKIP,
Martin Couvra,Daniel van Tonder,Dylan Naidoo,SKIP: No edge,SKIP,Daniel van Tonder,False,0.0,SKIP,
Alexander Levy,Todd Clements,Ricardo Gouveia,SKIP: No edge,SKIP,Ricardo Gouveia,False,0.0,SKIP,
Jacques Kruyswijk,Freddy Schott,Thriston Lawrence,SKIP: No edge,SKIP,Thriston Lawrence,False,0.0,SKIP,
Dylan Mostert,Stefano Mazzoli,Karabo Mokoena,SKIP: No edge,SKIP,Dylan Mostert,False,0.0,SKIP,
Jacques Blaauw,Jordan Gumberg,Sebastian Soderberg,SKIP: No edge,SKIP,Jacques Blaauw,False,0.0,SKIP,
Andrea Pavan,Romain Langasque,MJ Viljoen,SKIP: No edge,SKIP,MJ Viljoen,False,0.0,SKIP,
Alex Smalley,Justin Lower,Max McGreevy,SKIP: No edge,SKIP,Alex Smalley,False,0.0,SKIP,
Kiradech Aphibarnrat,Deon Germishuys,Yuto Katsuragawa,SKIP: No edge,SKIP,Kiradech Aphibarnrat,False,0.0,SKIP,
Anirban Lahiri,Wade Ormsby,Danny Lee,SKIP: No edge,SKIP,Danny Lee,False,0.0,SKIP,
Martin Kaymer,Ben Campbell,Laurie Canter,SKIP: No edge,SKIP,,True,0.0,PUSH,
Anthony Kim,Carlos Ortiz,Byeong-Hun An,SKIP: No edge,SKIP,,True,0.0,PUSH,
Charles Howell III,Richard T. Lee,Tom McKibbin,SKIP: No edge,SKIP,Richard T. Lee,False,0.0,SKIP,
Tyrrell Hatton,Thomas Pieters,Cameron Smith,SKIP: No edge,SKIP,Tyrrell Hatton,False,0.0,SKIP,
Jacques Kruyswijk,Niklas Norgaard,Ewen Ferguson,SKIP: No edge,SKIP,Ewen Ferguson,False,0.0,SKIP,
Heinrich Bruiners,Dylan Mostert,Ben Schmidt,SKIP: No edge,SKIP,Ben Schmidt,False,0.0,SKIP,
Tom Hoge,Denny McCarthy,Nicolai Hojgaard,SKIP: No edge,SKIP,Nicolai Hojgaard,False,0.0,SKIP,
Lee Hodges,Andrew Putnam,Sam Stevens,SKIP: No edge,SKIP,Lee Hodges,False,0.0,SKIP,
Patton Kizzire,Seamus Power,Johnny Keefer,SKIP: No edge,SKIP,Seamus Power,False,0.0,SKIP,
Scottie Scheffler,Tommy Fleetwood,Justin Thomas,SKIP: No edge,SKIP,Justin Thomas,False,0.0,SKIP,
Michael Brennan,Ryan Gerard,Max Homa,SKIP: No edge,SKIP,Michael Brennan,False,0.0,SKIP,
Adam Scott,Ryan Gerard,Patrick Rodgers,SKIP: No edge,SKIP,Adam Scott,False,0.0,SKIP,
Connor Syme,Dan Bradbury,Shubhankar Sharma,SKIP: No edge,SKIP,Dan Bradbury,False,0.0,SKIP,
Mackenzie Hughes,Thorbjorn Olesen,Chandler Phillips,SKIP: No edge,SKIP,Thorbjorn Olesen,False,0.0,SKIP,
Isaiah Salinda,Rasmus Neergaard-Petersen,A.J. Ewart,SKIP: No edge,SKIP,Rasmus Neergaard-Petersen,False,0.0,SKIP,
Alejandro Tosti,Frankie Capan III,John Vanderlaan,SKIP: No edge,SKIP,,True,0.0,PUSH,
Haotong Li,Marcelo Rozo,Davis Chatfield,SKIP: No edge,SKIP,Haotong Li,False,0.0,SKIP,
Patton Kizzire,Andrew Putnam,Kristoffer Reitan,SKIP: No edge,SKIP,Kristoffer Reitan,False,0.0,SKIP,
Thriston Lawrence,Freddy Schott,Dylan Frittelli,SKIP: No edge,SKIP,Dylan Frittelli,False,0.0,SKIP,
Toto Thimba Jr,Gregorio De Leo,David Ravetto,SKIP: No edge,SKIP,,True,0.0,PUSH,
Abraham Ancer,Harold Varner III,Paul Casey,SKIP: No edge,SKIP,Paul Casey,False,0.0,SKIP,
Bernd Wiesberger,Christiaan Burke,Todd Clements,SKIP: No edge,SKIP,Christiaan Burke,False,0.0,SKIP,
Adrian Meronk,Michael La Sasso,Minkyu Kim,SKIP: No edge,SKIP,Adrian Meronk,False,0.0,SKIP,
Erik van Rooyen,Justin Lower,Carson Young,SKIP: No edge,SKIP,Carson Young,False,0.0,SKIP,
Scottie Scheffler,Tommy Fleetwood,Justin Thomas,SKIP: No edge,SKIP,Justin Thomas,False,0.0,SKIP,
Matthieu Pavon,Adam Hadwin,Doug Ghim,SKIP: No edge,SKIP,,True,0.0,PUSH,
Austin Eckroat,Danny Willett,Beau Hossler,SKIP: No edge,SKIP,Beau Hossler,False,0.0,SKIP,
Joe Highsmith,Chris Kirk,Keith Mitchell,SKIP: No edge,SKIP,Keith Mitchell,False,0.0,SKIP,
Nick Dunlap,Kyoung-Hoon Lee,Chad Ramey,SKIP: No edge,SKIP,Chad Ramey,False,0.0,SKIP,
Ricky Castillo,Adrien Dumont De Chassart,Keita Nakajima,SKIP: No edge,SKIP,Ricky Castillo,False,0.0,SKIP,
Jay Singh Sandhu,Jack Buchanan,Hunter Logan,SKIP: No edge,SKIP,Jack Buchanan,False,0.0,SKIP,
Shashwat Harish,Alfredo Garcia-Heredia,Clement Sordet,SKIP: No edge,SKIP,Alfredo Garcia-Heredia,False,0.0,SKIP,
Junaid Manji,Gregorio De Leo,Niklas Lemke,SKIP: No edge,SKIP,Niklas Lemke,False,0.0,SKIP,
Patton Kizzire,Seamus Power,Johnny Keefer,SKIP: No edge,SKIP,Seamus Power,False,0.0,SKIP,
Patton Kizzire,Gary Woodland,Adam Hadwin,SKIP: No edge,SKIP,Gary Woodland,False,0.0,SKIP,
Sebastian Munoz,Matthew Wolff,David Puig,SKIP: No edge,SKIP,David Puig,False,0.0,SKIP,
Daniel Rodrigues,Jack Yule,Samuel Njoroge,SKIP: No edge,SKIP,Daniel Rodrigues,False,0.0,SKIP,
Nick Taylor,Brian Harman,Andrew Novak,SKIP: No edge,SKIP,Andrew Novak,False,0.0,SKIP,
