condition,round_type,gap,tithi,n,edge,roi,conf,mean_error
Moderate,Open,20+,8.0,11,54.54545454545454,9.83606557377049,WEAK,-2.0400825514661753
Calm,Open,-10-0,10.0,124,-13.70967741935484,-9.770114942528737,HIGH,0.9286200224270967
Tough,Open,-10-0,28.0,12,-50.0,-9.67741935483871,WEAK,1.3229831243916665
Calm,Open,-20--10,19.0,96,-14.583333333333332,-9.58904109589041,HIGH,0.4129934572907292
Moderate,Open,0-10,9.0,44,20.454545454545453,9.574468085106382,HIGH,-0.5405454681609091
Calm,Open,0-10,5.0,97,-14.432989690721648,-9.523809523809522,HIGH,0.48987129695876297
Calm,Open,<-20,5.0,203,-11.822660098522169,-9.48616600790514,HIGH,0.4085015726266009
Tough,Open,-10-0,14.0,14,-42.85714285714286,-9.375,WEAK,1.0468135342755713
Moderate,Open,<-20,16.0,100,-13.999999999999998,-9.333333333333332,HIGH,0.5801547420705101
Moderate,Open,-10-0,1.0,58,-17.24137931034483,-9.259259259259261,HIGH,1.0724169599736209
Calm,Open,-10-0,11.0,157,-12.101910828025474,-9.178743961352655,HIGH,0.37586488921847133
Calm,Open,20+,10.0,16,-37.5,-9.090909090909092,EXPLORATORY,1.6268672086499998
Moderate,Open,-10-0,22.0,82,-14.634146341463417,-9.090909090909092,HIGH,-0.1899467382654875
Calm,Open,10-20,5.0,38,21.05263157894737,9.090909090909092,HIGH,-0.9027326982210527
Moderate,Open,<-20,24.0,82,-14.634146341463413,-9.09090909090909,HIGH,0.6326411280965853
Calm,Open,<-20,10.0,182,-11.538461538461537,-9.051724137931032,HIGH,0.7803626245610438
Moderate,Open,-10-0,14.0,83,-14.457831325301203,-9.022556390977442,HIGH,0.7063975353810844
Moderate,Open,20+,27.0,6,83.33333333333334,8.928571428571429,WEAK,-3.7860526012333335
Moderate,Open,20+,23.0,6,83.33333333333334,8.928571428571429,WEAK,-3.1690952198833333
Moderate,Open,0-10,28.0,62,-16.129032258064516,-8.928571428571429,HIGH,0.7869839551677417
Moderate,Open,-20--10,30.0,18,-33.33333333333333,-8.823529411764705,EXPLORATORY,1.6267896208888888
Calm,Open,20+,22.0,18,-33.33333333333333,-8.823529411764705,EXPLORATORY,2.2745926136999994
Calm,Open,<-20,7.0,109,-12.844036697247708,-8.80503144654088,HIGH,0.7754526488926606
Calm,Open,<-20,1.0,87,-13.793103448275861,-8.75912408759124,HIGH,0.7250484720632183
Calm,Open,10-20,28.0,30,-23.333333333333332,-8.75,HIGH,0.7918730811833333
Moderate,Open,-20--10,18.0,30,-23.333333333333332,-8.75,HIGH,1.0190148423784193
Moderate,Open,<-20,12.0,89,-13.483146067415733,-8.633093525179858,HIGH,0.8608800363516853
Moderate,Open,<-20,22.0,90,-13.333333333333336,-8.571428571428573,HIGH,0.1616739424429999
Tough,Open,-10-0,17.0,20,30.000000000000004,8.571428571428571,EXPLORATORY,-1.9757188248090003
Tough,Open,-10-0,25.0,9,55.55555555555556,8.474576271186441,WEAK,-1.4162378545446666
Calm,Open,<-20,15.0,271,-9.963099630996311,-8.41121495327103,HIGH,0.6329857572142067
Calm,Open,10-20,4.0,23,-26.08695652173913,-8.21917808219178,EXPLORATORY,1.7024760746739136
Calm,Open,10-20,10.0,36,-19.444444444444446,-8.139534883720932,HIGH,0.7855621994027776
Calm,Open,10-20,21.0,24,25.0,8.108108108108109,EXPLORATORY,-1.0656476409291666
Moderate,Open,10-20,27.0,24,-24.999999999999996,-8.108108108108107,EXPLORATORY,2.0138950402125
Moderate,Open,-10-0,11.0,124,-11.29032258064516,-8.045977011494251,HIGH,0.4811025116773388
Calm,Open,10-20,9.0,25,-24.0,-8.0,EXPLORATORY,0.79182745892
Moderate,Open,-20--10,20.0,75,-13.33333333333333,-7.999999999999998,HIGH,0.7722803046326506
Calm,Open,-10-0,24.0,126,-11.11111111111111,-7.954545454545455,HIGH,0.5651503962238092
Calm,Open,-10-0,26.0,202,-9.900990099009901,-7.936507936507937,HIGH,0.3112940058312871
Calm,Open,-20--10,27.0,190,-10.0,-7.916666666666666,HIGH,0.5864201400742104
Moderate,Open,<-20,20.0,165,-10.303030303030306,-7.906976744186049,HIGH,0.5199293035022139
Moderate,Open,<-20,15.0,178,-10.1123595505618,-7.894736842105265,HIGH,0.5873650514478652
Calm,Open,0-10,17.0,90,-12.22222222222222,-7.857142857142856,HIGH,0.7185339562222222
Calm,Open,10-20,13.0,52,15.384615384615385,7.8431372549019605,HIGH,-0.7398823150307692
Calm,Open,0-10,29.0,52,-15.384615384615383,-7.84313725490196,HIGH,0.869772381148077
Tough,Open,<-20,15.0,14,-35.714285714285715,-7.8125,WEAK,1.3455953639225713
Moderate,Open,-10-0,6.0,91,-12.08791208791209,-7.801418439716313,HIGH,0.252316168664835
Tough,Open,<-20,13.0,15,33.333333333333336,7.692307692307693,EXPLORATORY,-1.5821930336066667
Moderate,Open,<-20,4.0,93,11.827956989247312,7.692307692307692,HIGH,-0.40093000363935477
Calm,Open,<-20,13.0,264,-9.090909090909092,-7.643312101910829,HIGH,0.5156732485996213
Calm,Open,-10-0,4.0,108,-11.11111111111111,-7.594936708860759,HIGH,0.5691611509083333
Moderate,Open,-10-0,30.0,30,-20.0,-7.5,HIGH,0.7440492338846665
Calm,Open,<-20,25.0,257,-8.94941634241245,-7.491856677524429,HIGH,0.5280230020638133
Calm,Open,-20--10,17.0,124,10.483870967741934,7.471264367816091,HIGH,-0.45090799461774195
Moderate,Open,<-20,1.0,71,-12.676056338028166,-7.438016528925619,HIGH,0.4737596505964788
Moderate,Open,-10-0,18.0,60,-13.33333333333333,-7.272727272727271,HIGH,0.8939853391292096
Moderate,Open,<-20,14.0,89,11.235955056179778,7.194244604316548,HIGH,0.034984607392359514
Tough,Open,<-20,9.0,6,66.66666666666666,7.1428571428571415,WEAK,-3.4423808061716663
Calm,Open,10-20,15.0,49,-14.285714285714288,-7.070707070707073,HIGH,0.49677569113408165
Tough,Open,<-20,10.0,7,57.14285714285714,7.0175438596491215,WEAK,-2.486624967638857
