condition,round_type,color,element,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence,adjusted_roi
Tough,Survival,Blue,Earth,26,5,7,19.23076923076924,26.923076923076923,-7.69230769230769,1.258592590783,EXPLORATORY,-2.6
Moderate,Positioning,Orange,Wood,144,45,34,31.25,23.61111111111111,7.638888888888889,-0.4022661791314583,HIGH,5.7
Moderate,Survival,Red,Water,53,17,13,32.075471698113205,24.52830188679245,7.547169811320753,-0.9369589789041513,HIGH,3.9
Calm,Positioning,Green,Fire,321,96,72,29.906542056074763,22.42990654205608,7.47663551401869,-0.0446844804417757,HIGH,6.5
Moderate,Open,Yellow,Water,803,189,248,23.53673723536737,30.88418430884185,-7.347447073474473,0.428201032818792,HIGH,-6.9
Calm,Survival,Green,Metal,409,83,113,20.29339853300733,27.628361858190708,-7.334963325183375,0.3894423984204646,HIGH,-6.5
Calm,Open,Blue,Water,690,126,176,18.26086956521739,25.5072463768116,-7.246376811594201,0.2055224967400579,HIGH,-6.8
Calm,Closing,Yellow,Metal,594,178,135,29.96632996632997,22.727272727272727,7.239057239057242,-0.2834393708641751,HIGH,6.7
Calm,Survival,Red,Earth,84,20,26,23.809523809523807,30.95238095238096,-7.142857142857145,0.3099883623011904,HIGH,-4.5
Tough,Survival,Yellow,Fire,84,20,14,23.809523809523807,16.666666666666664,7.142857142857142,-0.4264989913866784,HIGH,4.5
Calm,Survival,Yellow,Water,1036,214,288,20.65637065637065,27.7992277992278,-7.142857142857142,0.2974279040146428,HIGH,-6.8
Moderate,Open,Blue,Metal,412,98,127,23.78640776699029,30.8252427184466,-7.038834951456307,0.5130250057900267,HIGH,-6.3
Calm,Positioning,Orange,Water,329,70,93,21.27659574468085,28.267477203647417,-6.990881458966566,0.2960006062977507,HIGH,-6.1
Calm,Positioning,Red,Fire,72,12,17,16.666666666666664,23.61111111111111,-6.944444444444445,0.1098296259281944,HIGH,-4.1
Moderate,Survival,Green,Metal,234,78,62,33.33333333333333,26.495726495726498,6.837606837606836,-0.3622515183047436,HIGH,5.6
