condition,round_type,color,element,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence,adjusted_roi
Moderate,Open,Purple,Fire,375,102,91,27.200000000000003,24.266666666666666,2.933333333333335,-0.2016594138162699,HIGH,2.6
Tough,Positioning,Yellow,Wood,69,12,14,17.391304347826086,20.28985507246377,-2.898550724637683,0.0567583949292174,HIGH,-1.7
Moderate,Positioning,Green,Fire,139,35,39,25.17985611510792,28.05755395683453,-2.8776978417266177,0.4228580410084251,HIGH,-2.1
Calm,Survival,Yellow,Fire,1370,332,371,24.23357664233577,27.08029197080292,-2.846715328467156,0.2129409732888832,HIGH,-2.7
Moderate,Survival,Purple,Metal,246,67,74,27.235772357723576,30.08130081300813,-2.845528455284557,0.2230697557637398,HIGH,-2.4
Calm,Closing,Orange,Fire,357,90,100,25.210084033613445,28.01120448179272,-2.801120448179273,0.0344561598608682,HIGH,-2.5
Moderate,Closing,Yellow,Earth,466,136,123,29.184549356223176,26.394849785407725,2.7896995708154515,0.1042915769575965,HIGH,2.5
Moderate,Positioning,Yellow,Earth,432,111,123,25.694444444444443,28.47222222222222,-2.777777777777779,0.2789874470721759,HIGH,-2.5
Moderate,Closing,Purple,Fire,150,36,40,24.0,26.666666666666668,-2.666666666666667,0.1006356122786072,HIGH,-2.0
Moderate,Open,Green,Water,229,56,62,24.45414847161572,27.074235807860266,-2.620087336244545,-0.0285478353896069,HIGH,-2.2
Moderate,Survival,Green,Water,196,55,50,28.061224489795915,25.51020408163265,2.5510204081632626,0.2956450962244898,HIGH,2.0
Calm,Closing,Yellow,Fire,915,206,229,22.51366120218579,25.02732240437158,-2.5136612021857907,0.127315374500142,HIGH,-2.4
Tough,Survival,Purple,Earth,41,9,10,21.951219512195124,24.390243902439025,-2.439024390243902,0.1596081635856098,HIGH,-1.1
Moderate,Closing,Orange,Fire,205,56,61,27.31707317073171,29.756097560975608,-2.4390243902439,0.4311511037120054,HIGH,-2.0
Moderate,Open,Purple,Earth,292,78,85,26.71232876712329,29.10958904109589,-2.397260273972601,0.131709675954726,HIGH,-2.0
Calm,Closing,Orange,Wood,258,66,60,25.58139534883721,23.25581395348837,2.3255813953488387,-0.1365227060205425,HIGH,1.9
Tough,Open,Yellow,Water,43,8,7,18.6046511627907,16.27906976744186,2.325581395348836,-0.1627185653218139,HIGH,1.1
Moderate,Positioning,Orange,Fire,172,44,48,25.58139534883721,27.906976744186046,-2.325581395348836,-0.0751303485762791,HIGH,-1.8
Tough,Open,Blue,Fire,43,13,12,30.23255813953488,27.906976744186046,2.325581395348836,0.0915501121934418,HIGH,1.1
Calm,Positioning,Purple,Fire,358,91,99,25.41899441340782,27.6536312849162,-2.234636871508383,0.3623285395889106,HIGH,-2.0
Moderate,Survival,Orange,Water,318,80,87,25.15723270440252,27.358490566037734,-2.20125786163522,0.2600169563568867,HIGH,-1.9
Moderate,Open,Purple,Metal,323,91,98,28.17337461300309,30.3405572755418,-2.1671826625387025,0.3740584902231268,HIGH,-1.9
Calm,Survival,Green,Earth,420,100,109,23.809523809523807,25.95238095238096,-2.1428571428571463,-0.1028989991183332,HIGH,-1.9
Calm,Positioning,Yellow,Wood,671,172,158,25.6333830104322,23.546944858420268,2.086438152011924,-0.20135943706152,HIGH,1.9
Moderate,Positioning,Orange,Metal,145,34,31,23.448275862068964,21.379310344827587,2.068965517241378,-0.2125710698626207,HIGH,1.5
Moderate,Closing,Yellow,Metal,388,110,102,28.350515463917525,26.28865979381444,2.061855670103091,-0.0933700266448054,HIGH,1.8
Moderate,Survival,Yellow,Wood,729,182,197,24.96570644718793,27.023319615912207,-2.057613168724276,0.1649387566244967,HIGH,-1.9
Calm,Closing,Blue,Metal,412,106,114,25.728155339805824,27.66990291262136,-1.941747572815533,0.2090509460224757,HIGH,-1.7
Calm,Positioning,Blue,Metal,424,94,102,22.16981132075472,24.056603773584907,-1.8867924528301885,0.2896846994417689,HIGH,-1.7
Calm,Closing,Yellow,Earth,758,200,214,26.385224274406333,28.232189973614773,-1.8469656992084416,0.1108798465893139,HIGH,-1.7
Calm,Survival,Purple,Fire,494,132,123,26.72064777327936,24.898785425101213,1.8218623481781409,0.0681227651431376,HIGH,1.7
Moderate,Closing,Purple,Metal,167,48,45,28.74251497005988,26.94610778443114,1.79640718562874,-0.1572891133470658,HIGH,1.4
Calm,Closing,Red,Metal,59,13,12,22.033898305084744,20.33898305084746,1.6949152542372865,-0.1233762028898305,HIGH,0.9
Moderate,Positioning,Green,Water,118,30,28,25.42372881355932,23.728813559322035,1.6949152542372865,0.0460783907485593,HIGH,1.2
Moderate,Closing,Purple,Water,123,30,32,24.390243902439025,26.01626016260163,-1.626016260162605,-0.0008821756765853,HIGH,-1.2
Calm,Open,Purple,Wood,378,94,100,24.867724867724867,26.45502645502645,-1.5873015873015872,0.2008500555124339,HIGH,-1.4
Moderate,Open,Green,Wood,195,54,51,27.692307692307693,26.15384615384616,1.5384615384615383,0.1803016709803527,HIGH,1.2
Calm,Closing,Green,Wood,202,45,48,22.27722772277228,23.76237623762376,-1.4851485148514838,0.1079854783256435,HIGH,-1.2
Moderate,Survival,Yellow,Earth,742,204,215,27.49326145552561,28.975741239892184,-1.482479784366575,0.2412417613453369,HIGH,-1.4
Moderate,Closing,Orange,Wood,138,38,36,27.536231884057973,26.08695652173913,1.4492753623188417,-0.0183919151688405,HIGH,1.1
Moderate,Closing,Green,Fire,141,39,37,27.659574468085108,26.24113475177305,1.4184397163120588,0.1406521833873757,HIGH,1.0
Moderate,Open,Purple,Water,283,71,67,25.08833922261484,23.674911660777383,1.4134275618374574,-0.0867798552653357,HIGH,1.2
Calm,Closing,Yellow,Wood,644,161,170,25.0,26.39751552795031,-1.3975155279503104,0.0674564071729814,HIGH,-1.3
Calm,Positioning,Yellow,Fire,960,231,218,24.0625,22.70833333333333,1.3541666666666674,-0.1161347425644583,HIGH,1.3
Calm,Open,Red,Earth,74,18,19,24.324324324324326,25.67567567567568,-1.3513513513513489,-0.0103869876459459,HIGH,-0.8
Moderate,Survival,Purple,Water,228,66,63,28.94736842105264,27.631578947368425,1.315789473684209,-0.1362424274164912,HIGH,1.1
Calm,Open,Green,Water,382,99,94,25.916230366492147,24.60732984293194,1.3089005235602107,-0.0472609753097644,HIGH,1.2
Moderate,Open,Orange,Earth,313,82,86,26.198083067092654,27.47603833865815,-1.2779552715654952,0.1615903921745047,HIGH,-1.1
Moderate,Open,Blue,Fire,561,142,135,25.311942959001783,24.06417112299465,1.2477718360071304,0.1354333100337331,HIGH,1.1
Calm,Closing,Yellow,Water,761,192,183,25.2299605781866,24.0473061760841,1.1826544021024954,-0.0897665710786859,HIGH,1.1
Moderate,Closing,Yellow,Fire,595,165,158,27.73109243697479,26.554621848739497,1.1764705882352955,-0.1381332012715968,HIGH,1.1
Calm,Closing,Green,Metal,202,65,63,32.17821782178218,31.18811881188119,0.990099009900991,0.0987843888697029,HIGH,0.8
Calm,Closing,Orange,Metal,340,82,85,24.11764705882353,25.0,-0.8823529411764702,0.2628924640829412,HIGH,-0.8
Moderate,Open,Orange,Fire,360,93,96,25.833333333333336,26.666666666666668,-0.8333333333333304,-0.05444086423725,HIGH,-0.7
Moderate,Closing,Yellow,Water,480,124,128,25.833333333333336,26.666666666666668,-0.8333333333333304,0.095534848940625,HIGH,-0.8
Moderate,Survival,Green,Fire,276,71,73,25.72463768115941,26.44927536231884,-0.7246376811594235,0.2544297909898952,HIGH,-0.6
Moderate,Open,Orange,Wood,285,69,71,24.21052631578948,24.912280701754387,-0.7017543859649117,-0.1071697143070437,HIGH,-0.6
Calm,Positioning,Blue,Fire,516,138,141,26.744186046511626,27.325581395348834,-0.5813953488372103,0.1080072081431395,HIGH,-0.5
Moderate,Positioning,Purple,Earth,182,44,45,24.17582417582417,24.725274725274726,-0.5494505494505503,-0.0188294777863736,HIGH,-0.4
Moderate,Survival,Yellow,Water,799,216,212,27.03379224030037,26.5331664580726,0.5006257822277815,0.0673722444089862,HIGH,0.5
Calm,Closing,Purple,Wood,224,58,59,25.892857142857142,26.339285714285715,-0.4464285714285698,-0.0384655126513391,HIGH,-0.4
Moderate,Positioning,Blue,Fire,234,61,62,26.06837606837607,26.495726495726498,-0.4273504273504258,0.0794488055932145,HIGH,-0.4
Calm,Positioning,Purple,Wood,236,57,56,24.15254237288136,23.728813559322035,0.4237288135593209,0.0582848424775423,HIGH,0.3
Calm,Closing,Purple,Water,264,73,72,27.65151515151515,27.27272727272727,0.3787878787878784,-0.3472257100080682,HIGH,0.3
Calm,Closing,Green,Fire,299,75,74,25.08361204013378,24.74916387959866,0.3344481605351168,0.0156112127216053,HIGH,0.3
Calm,Open,Purple,Earth,505,141,142,27.920792079207924,28.11881188118812,-0.1980198019801982,0.0650517868091089,HIGH,-0.2
Moderate,Survival,Yellow,Fire,1122,275,277,24.509803921568626,24.688057040998217,-0.1782531194295916,0.003844945119663,HIGH,-0.2
Calm,Closing,Orange,Earth,352,87,87,24.71590909090909,24.71590909090909,0.0,-0.0886506518394886,HIGH,0.0
Calm,Closing,Pink,Earth,11,2,2,18.181818181818183,18.181818181818183,0.0,0.6619359481636363,WEAK,0.0
Tough,Survival,Purple,Water,47,12,12,25.53191489361702,25.53191489361702,0.0,-0.234719946190468,HIGH,0.0
Tough,Closing,Orange,Earth,5,2,2,40.0,40.0,0.0,1.38669096834,WEAK,0.0
Calm,Open,Pink,Earth,16,4,4,25.0,25.0,0.0,0.3576805196812499,EXPLORATORY,0.0
Tough,Closing,Red,Fire,2,0,0,0.0,0.0,0.0,1.1842244574,WEAK,0.0
Tough,Closing,Red,Earth,2,0,0,0.0,0.0,0.0,-0.08164139134,WEAK,0.0
Tough,Survival,Orange,Metal,14,3,3,21.428571428571427,21.428571428571427,0.0,-0.6071235953951427,WEAK,0.0
Calm,Closing,Pink,Fire,10,3,3,30.0,30.0,0.0,-0.2238282618299999,WEAK,0.0
Calm,Closing,Pink,Metal,19,3,3,15.789473684210526,15.789473684210526,0.0,0.3570043612105263,EXPLORATORY,0.0
Tough,Open,Green,Water,25,3,3,12.0,12.0,0.0,-0.0792262754335999,EXPLORATORY,0.0
Moderate,Positioning,Blue,Water,186,56,56,30.107526881720432,30.107526881720432,0.0,-0.0127292692837634,HIGH,0.0
Moderate,Open,Brown,Fire,5,0,0,0.0,0.0,0.0,-0.5486742334979999,WEAK,0.0
Calm,Positioning,Brown,Wood,2,0,0,0.0,0.0,0.0,-1.913551943,WEAK,0.0
Calm,Positioning,Pink,Metal,9,3,3,33.33333333333333,33.33333333333333,0.0,0.5878727305777778,WEAK,0.0
Tough,Open,Red,Fire,2,0,0,0.0,0.0,0.0,-0.05363595421,WEAK,0.0
Tough,Open,Orange,Wood,24,5,5,20.833333333333336,20.833333333333336,0.0,-0.0757014190045833,EXPLORATORY,0.0
Tough,Open,Purple,Water,20,5,5,25.0,25.0,0.0,-0.1490092215847,EXPLORATORY,0.0
Calm,Survival,Pink,Earth,3,1,1,33.33333333333333,33.33333333333333,0.0,2.0467399051333337,WEAK,0.0
Moderate,Positioning,Red,Fire,42,10,10,23.809523809523807,23.809523809523807,0.0,0.0796324025785714,HIGH,0.0
Moderate,Closing,Green,Metal,133,37,37,27.819548872180448,27.819548872180448,0.0,0.3593913723867669,HIGH,0.0
Moderate,Positioning,Brown,Water,2,1,1,50.0,50.0,0.0,0.4554546323000004,WEAK,0.0
Tough,Positioning,Pink,Wood,2,0,0,0.0,0.0,0.0,-0.05728410663,WEAK,0.0
Moderate,Positioning,Purple,Wood,113,26,26,23.00884955752212,23.00884955752212,0.0,0.0729145575537168,HIGH,0.0
Tough,Positioning,Red,Wood,2,0,0,0.0,0.0,0.0,0.1493973629999999,WEAK,0.0
Tough,Positioning,Pink,Fire,4,2,2,50.0,50.0,0.0,-0.9616511199,WEAK,0.0
Moderate,Positioning,Pink,Earth,4,1,1,25.0,25.0,0.0,-0.580809568925,WEAK,0.0
Calm,Open,Brown,Wood,4,0,0,0.0,0.0,0.0,0.4915486779999999,WEAK,0.0
Tough,Closing,Blue,Wood,9,3,3,33.33333333333333,33.33333333333333,0.0,0.4733023942233333,WEAK,0.0
Tough,Survival,Red,Earth,4,0,0,0.0,0.0,0.0,0.0688994171049999,WEAK,0.0
Tough,Survival,Red,Wood,2,1,1,50.0,50.0,0.0,1.2283083728050002,WEAK,0.0
