player_id,player_name,resid_n,resid_mean,resid_sd,adj_sd,reliability
PLY_0293,Adam Scott,255,0.05112413147137267,3.294356307148173,3.3335935505946015,STRONG
PLY_0098,Akshay Bhatia,255,0.7414259416886275,3.2779431353978636,3.318908081133798,STRONG
PLY_0365,Troy Merritt,253,1.361677806232806,3.4215621671182017,3.4475919854331534,STRONG
PLY_0147,Billy Horschel,251,0.05410512148207172,3.2148485286960167,3.2631326843394217,STRONG
PLY_0231,Jason Day,250,-0.052564204192000065,3.332978219272885,3.3687780657674944,STRONG
PLY_0028,Viktor Hovland,248,0.13747014552217748,3.084734431829109,3.147580729101785,STRONG
PLY_0240,Tommy Fleetwood,248,0.020729536062500043,2.8282967226584317,2.9188161540142743,STRONG
PLY_0247,Kevin Yu,247,0.4077118383902835,3.091556412415439,3.1538907489649484,STRONG
PLY_0391,Byeong Hun An,247,0.03480053057489877,3.3268441251112653,3.363696037903104,STRONG
PLY_0552,Brandon Wu,245,1.4308656822220407,3.372072156609086,3.4042581162396486,STRONG
PLY_0305,Chez Reavie,244,3.0467936910421316,3.739010251086106,3.7311379739477637,STRONG
PLY_0153,Charley Hoffman,244,2.5757735433176228,3.813935682665268,3.7978598911204475,STRONG
PLY_0398,Chesson Hadley,243,3.390067602200823,4.108524267452299,4.060017218269546,STRONG
PLY_0382,Harry Higgs,241,1.7242361829414938,3.804966082134981,3.789705274506302,STRONG
PLY_0243,Shane Lowry,240,0.05599790372499995,3.1564967629146854,3.213231580356303,STRONG
PLY_0106,Thomas Detry,238,0.022415871921008388,3.3243920660848194,3.362756027331583,STRONG
PLY_0456,Tyler Duncan,238,0.525591167010084,3.139831246990308,3.1988550014192927,STRONG
PLY_0347,Martin Laird,236,3.4533075359186443,3.8766323933520486,3.853002061758499,STRONG
PLY_0165,Austin Smotherman,234,1.3474346522786325,3.3616832958021017,3.396390889448368,STRONG
PLY_0138,S.H. Kim,232,1.3873158744137932,3.3418904736639465,3.3791293644531026,STRONG
PLY_0518,Cameron Champ,229,2.399562924787773,3.6187426878772184,3.6243450931295764,STRONG
PLY_0379,Ben Martin,226,1.0009234099221238,2.967329278831936,3.0493348461433394,STRONG
PLY_0230,Rory McIlroy,226,-0.07280333243362835,3.150801600009284,3.2113065046827165,STRONG
PLY_0362,Kevin Tway,226,1.9553536176681416,3.0983000486150383,3.164957478842484,STRONG
PLY_0229,Jhonattan Vegas,226,0.04959596605575215,3.173982335811199,3.231770748007845,STRONG
PLY_0312,Ryan Palmer,224,1.3603033548214285,3.6902981944936726,3.6875594455246454,STRONG
PLY_0012,Chris Gotterup,222,-0.025525827378378305,3.2504081671050424,3.300015542436495,STRONG
PLY_0558,Taylor Montgomery,221,0.5457802602547511,3.122428861730283,3.1875302073269713,STRONG
PLY_0424,Ben Kohles,220,1.2573347942272728,3.4942144258385643,3.514961909124646,STRONG
PLY_0317,Aaron Baddeley,219,2.215648811671233,3.55869640840125,3.5717583013516108,STRONG
PLY_0534,Callum Tarren,219,1.6014842750273974,3.3857879606812995,3.419682196730449,STRONG
PLY_0444,Zac Blair,219,1.5658878733406396,3.2006220231283877,3.2568254082802977,STRONG
PLY_0323,Camilo Villegas,217,2.2690456813631337,3.9775602733326547,3.9398537769630093,STRONG
PLY_0313,Scott Piercy,217,2.7266104307801844,3.6967478554577973,3.693148130489957,STRONG
PLY_0224,Justin Rose,216,0.07479215230740738,3.5634229741752743,3.5760677480428313,STRONG
PLY_0034,Min Woo Lee,215,0.011775574908837278,3.3159249088397376,3.3589271795804936,STRONG
PLY_0302,Zach Johnson,213,0.04659469892431918,2.943653982512386,3.032969555028048,STRONG
PLY_0460,Trey Mullinax,211,0.013005495699810469,3.2775483088111734,3.3260414803146676,STRONG
PLY_0206,Ryo Hisatsune,207,2.039769213362319,3.2066698470761006,3.264953425913207,STRONG
PLY_0320,Brandt Snedeker,207,1.7151073253159421,3.422695899061326,3.4536344080268853,STRONG
PLY_0351,David Skinns,205,1.0148157059570733,3.350407421775062,3.3908375534492134,STRONG
PLY_0408,Adam Long,204,0.5825907202490196,2.874264186074724,2.975911100666329,STRONG
PLY_0009,Daniel Berger,204,0.5352999028093138,3.220719799486312,3.277949327743098,STRONG
PLY_0215,Ryan Fox,203,-0.01937194974827589,3.031386765294876,3.1132395577319185,STRONG
PLY_0136,Rico Hoey,202,2.661381360477723,3.9284522367263883,3.894657997480206,STRONG
PLY_0039,Jacob Bridgeman,201,0.5490458235388059,2.9211602814379782,3.018036883834246,STRONG
PLY_0385,James Hahn,201,2.671547613634826,3.69655723051977,3.692732930437883,STRONG
PLY_0578,Will Gordon,200,2.1415565719039997,3.5266788357378522,3.5449959597575984,STRONG
PLY_0376,Russell Knox,198,1.1597074383575758,2.9222605807698026,3.0202670990749922,STRONG
PLY_0453,Austin Cook,193,3.7755397143601037,4.443970785758508,4.339460382278338,STRONG
PLY_0409,C.T. Pan,193,-0.007294801059585517,3.0355345913205527,3.1204999090652192,STRONG
PLY_0331,Ryan Brehm,192,1.7932880218281253,3.685497212211911,3.6830124700061457,STRONG
PLY_0559,Ludvig Åberg,192,-0.07563566578124996,3.513344872529448,3.5341239600105014,STRONG
PLY_0336,Webb Simpson,189,0.038233887459788396,2.7262210358294148,2.8551099514540486,STRONG
PLY_0527,Nicolai Højgaard,188,-0.013207902209574483,3.080320652030643,3.161071496231368,STRONG
PLY_0232,Robert MacIntyre,188,0.07905922042074469,3.1737033381209105,3.2416033539605893,STRONG
PLY_0278,Stewart Cink,187,0.017743460584492003,3.3307431600047734,3.377245504689262,STRONG
PLY_0233,Ryan Gerard,185,2.07766318222973,3.279988173265833,3.3340051890737508,STRONG
PLY_0545,Chan Kim,185,1.7072308379502703,3.380217243841753,3.420248807941403,STRONG
PLY_0346,Kevin Kisner,183,0.1358999331631694,3.3410224513185662,3.386950291962324,STRONG
PLY_0207,Max Greyserman,182,1.084515747035165,3.50956021339153,3.5318550114808294,STRONG
PLY_0309,Ryan Moore,182,1.2097919687098901,3.2538912590536797,3.312365626153052,STRONG
PLY_0171,Kevin Roy,182,2.2305473243846152,3.4472834809762536,3.478391024218657,STRONG
PLY_0499,Justin Suh,182,2.316143864825275,3.337633772357411,3.3842577838005954,STRONG
PLY_0134,Chandler Phillips,181,1.247311770296685,2.9647908770465774,3.0646466935644923,STRONG
