player_a,player_b,color_a,color_b,condition,round_type,exec_ratio_a,upside_ratio_a,score_a,exec_ratio_b,upside_ratio_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Wyndham Clark,Sahith Theegala,Blue,Orange,Moderate,Open,0.5129,0.5597,0.5363,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.5363,Sahith Theegala,Sahith Theegala,True
Jason Day,Michael Thorbjornsen,Yellow,Red,Moderate,Open,0.5,0.5357999999999999,0.5179,0.5428999999999999,0.5385,0.5407,0.5407,0.5179,Michael Thorbjornsen,Michael Thorbjornsen,True
Matt Fitzpatrick,Jake Knapp,Yellow,Pink,Moderate,Open,0.5408,0.5357999999999999,0.5383,0.0,1.0,0.5,0.5383,0.5,Matt Fitzpatrick,Matt Fitzpatrick,True
Ryan Fox,Patrick Rodgers,Blue,Orange,Moderate,Open,0.5405,0.5597,0.5501,0.625,0.5325,0.57875,0.57875,0.5501,Patrick Rodgers,Patrick Rodgers,True
Ryan Gerard,Harry Hall,Pink,Orange,Moderate,Open,0.0,1.0,0.5,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.5,Harry Hall,Harry Hall,True
Chris Gotterup,Hideki Matsuyama,Blue,Purple,Moderate,Open,0.5129,0.5597,0.5363,0.5357999999999999,0.5794,0.5576,0.5576,0.5363,Hideki Matsuyama,Chris Gotterup,False
Russell Henley,Viktor Hovland,Blue,Brown,Moderate,Open,0.5129,0.5597,0.5363,1.0,1.0,1.0,1.0,0.5363,Viktor Hovland,Russell Henley,False
Garrick Higgo,Rico Hoey,Yellow,Brown,Moderate,Open,0.5,0.5357999999999999,0.5179,1.0,1.0,1.0,1.0,0.5179,Rico Hoey,Rico Hoey,True
Kurt Kitayama,Pierceson Coody,Purple,Blue,Moderate,Open,0.5832999999999999,0.5794,0.58135,0.5129,0.5597,0.5363,0.58135,0.5363,Kurt Kitayama,Pierceson Coody,False
Min Woo Lee,Nick Taylor,Orange,Blue,Moderate,Open,0.5984,0.5743,0.58635,0.5405,0.5597,0.5501,0.58635,0.5501,Min Woo Lee,Min Woo Lee,True
Denny McCarthy,Andrew Novak,Green,Orange,Moderate,Open,0.4396,0.5354,0.4875,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.4875,Andrew Novak,Andrew Novak,True
Rory McIlroy,Tommy Fleetwood,Purple,Red,Moderate,Open,0.5832999999999999,0.5794,0.58135,0.4752,0.5385,0.50685,0.58135,0.50685,Rory McIlroy,Tommy Fleetwood,False
Maverick McNealy,Patrick Cantlay,Red,Red,Moderate,Open,0.5428999999999999,0.5385,0.5407,0.5428999999999999,0.5385,0.5407,0.5407,0.5407,TIE,Patrick Cantlay,
Keith Mitchell,Sam Stevens,Brown,Purple,Moderate,Open,1.0,1.0,1.0,0.5832999999999999,0.5794,0.58135,1.0,0.58135,Keith Mitchell,Sam Stevens,False
Collin Morikawa,Daniel Berger,Yellow,Blue,Moderate,Open,0.5408,0.5357999999999999,0.5383,0.5405,0.5597,0.5501,0.5501,0.5383,Daniel Berger,Collin Morikawa,False
Taylor Pendrith,Jordan Spieth,Orange,Orange,Moderate,Open,0.5979,0.5743,0.5861000000000001,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.5861000000000001,TIE,Jordan Spieth,
J.T. Poston,Michael Kim,Yellow,Orange,Moderate,Open,0.5,0.5357999999999999,0.5179,0.5984,0.5743,0.58635,0.58635,0.5179,Michael Kim,J.T. Poston,False
Xander Schauffele,Justin Rose,Green,Pink,Moderate,Open,0.5718,0.5354,0.5536,0.625,0.5556,0.5903,0.5903,0.5536,Justin Rose,Justin Rose,True
Scottie Scheffler,Si Woo Kim,Yellow,Blue,Moderate,Open,0.5408,0.5357999999999999,0.5383,0.5405,0.5597,0.5501,0.5501,0.5383,Si Woo Kim,Scottie Scheffler,False
J.J. Spaun,Ben Griffin,Blue,Blue,Moderate,Open,0.5405,0.5597,0.5501,0.5129,0.5597,0.5363,0.5501,0.5363,J.J. Spaun,Ben Griffin,False
Cameron Young,Robert MacIntyre,Orange,Purple,Moderate,Open,0.5979,0.5743,0.5861000000000001,0.5832999999999999,0.5794,0.58135,0.5861000000000001,0.58135,Cameron Young,Robert MacIntyre,False
Min Woo Lee,Robert MacIntyre,Orange,Purple,Moderate,Open,0.5984,0.5743,0.58635,0.5832999999999999,0.5794,0.58135,0.58635,0.58135,Min Woo Lee,Min Woo Lee,True
Alex Smalley,Ryo Hisatsune,Blue,Yellow,Moderate,Open,0.5405,0.5597,0.5501,0.5408,0.5357999999999999,0.5383,0.5501,0.5383,Alex Smalley,Alex Smalley,True
Pierceson Coody,J.J. Spaun,Blue,Blue,Moderate,Open,0.5129,0.5597,0.5363,0.5405,0.5597,0.5501,0.5501,0.5363,J.J. Spaun,Pierceson Coody,False
Michael Kim,Corey Conners,Orange,Purple,Moderate,Open,0.5984,0.5743,0.58635,0.5357999999999999,0.5794,0.5576,0.58635,0.5576,Michael Kim,Corey Conners,False
Si Woo Kim,Maverick McNealy,Blue,Red,Moderate,Open,0.5405,0.5597,0.5501,0.5428999999999999,0.5385,0.5407,0.5501,0.5407,Si Woo Kim,Si Woo Kim,True
Jake Knapp,Daniel Berger,Pink,Blue,Moderate,Open,0.0,1.0,0.5,0.5405,0.5597,0.5501,0.5501,0.5,Daniel Berger,Jake Knapp,False
Xander Schauffele,Cameron Young,Green,Orange,Moderate,Open,0.5718,0.5354,0.5536,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.5536,Cameron Young,Cameron Young,True
Jordan Spieth,Nick Taylor,Orange,Blue,Moderate,Open,0.5979,0.5743,0.5861000000000001,0.5405,0.5597,0.5501,0.5861000000000001,0.5501,Jordan Spieth,Jordan Spieth,True
Russell Henley,Ben Griffin,Blue,Blue,Moderate,Open,0.5129,0.5597,0.5363,0.5129,0.5597,0.5363,0.5363,0.5363,TIE,Russell Henley,
Sam Burns,Jacob Bridgeman,Orange,Red,Moderate,Open,0.5979,0.5743,0.5861000000000001,0.5428999999999999,0.5385,0.5407,0.5861000000000001,0.5407,Sam Burns,Sam Burns,True
Sepp Straka,Shane Lowry,Green,Orange,Moderate,Open,0.4396,0.5354,0.4875,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.4875,Shane Lowry,Sepp Straka,False
Kurt Kitayama,Denny McCarthy,Purple,Green,Moderate,Open,0.5832999999999999,0.5794,0.58135,0.4396,0.5354,0.4875,0.58135,0.4875,Kurt Kitayama,Denny McCarthy,False
Matt Fitzpatrick,Justin Rose,Yellow,Pink,Moderate,Open,0.5408,0.5357999999999999,0.5383,0.625,0.5556,0.5903,0.5903,0.5383,Justin Rose,Justin Rose,True
Akshay Bhatia,Viktor Hovland,Brown,Brown,Moderate,Open,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TIE,Akshay Bhatia,
Rickie Fowler,Wyndham Clark,Red,Blue,Moderate,Open,0.5428999999999999,0.5385,0.5407,0.5129,0.5597,0.5363,0.5407,0.5363,Rickie Fowler,Rickie Fowler,True
Chris Gotterup,Patrick Cantlay,Blue,Red,Moderate,Open,0.5129,0.5597,0.5363,0.5428999999999999,0.5385,0.5407,0.5407,0.5363,Patrick Cantlay,Chris Gotterup,False
Harris English,Collin Morikawa,Pink,Yellow,Moderate,Open,0.625,0.5556,0.5903,0.5408,0.5357999999999999,0.5383,0.5903,0.5383,Harris English,Collin Morikawa,False
Harry Hall,Keegan Bradley,Orange,Yellow,Moderate,Open,0.5979,0.5743,0.5861000000000001,0.5,0.5357999999999999,0.5179,0.5861000000000001,0.5179,Harry Hall,Harry Hall,True
Ludvig Aberg,Ryan Gerard,Yellow,Pink,Moderate,Open,0.6667000000000001,0.4382,0.55245,0.0,1.0,0.5,0.55245,0.5,Ludvig Aberg,Ryan Gerard,False
Hideki Matsuyama,Scottie Scheffler,Purple,Yellow,Moderate,Open,0.5357999999999999,0.5794,0.5576,0.5408,0.5357999999999999,0.5383,0.5576,0.5383,Hideki Matsuyama,Scottie Scheffler,False
J.T. Poston,Sahith Theegala,Yellow,Orange,Moderate,Open,0.5,0.5357999999999999,0.5179,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.5179,Sahith Theegala,Sahith Theegala,True
Pierceson Coody,Ryo Hisatsune,Blue,Yellow,Moderate,Open,0.5129,0.5597,0.5363,0.5408,0.5357999999999999,0.5383,0.5383,0.5363,Ryo Hisatsune,Ryo Hisatsune,True
Joe Highsmith,Alex Smalley,Orange,Blue,Moderate,Open,0.625,0.5325,0.57875,0.5405,0.5597,0.5501,0.57875,0.5501,Joe Highsmith,Joe Highsmith,True
Emiliano Grillo,Michael Kim,Red,Orange,Moderate,Open,0.5428999999999999,0.5385,0.5407,0.5984,0.5743,0.58635,0.58635,0.5407,Michael Kim,Michael Kim,True
Si Woo Kim,J.J. Spaun,Blue,Blue,Moderate,Open,0.5405,0.5597,0.5501,0.5405,0.5597,0.5501,0.5501,0.5501,TIE,Si Woo Kim,
Chris Kirk,Sami Valimaki,Orange,Orange,Moderate,Open,0.625,0.5325,0.57875,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.57875,Sami Valimaki,Sami Valimaki,True
Steven Fisk,Jake Knapp,Blue,Pink,Moderate,Open,0.5405,0.5597,0.5501,0.0,1.0,0.5,0.5501,0.5,Steven Fisk,Steven Fisk,True
Rory McIlroy,Ryan Fox,Purple,Blue,Moderate,Open,0.5832999999999999,0.5794,0.58135,0.5405,0.5597,0.5501,0.58135,0.5501,Rory McIlroy,Rory McIlroy,True
