condition,round_type,tithi,zodiac,n,edge,roi,conf,mean_error
Calm,Survival,20.0,Monkey,7,42.857142857142854,5.263157894736842,WEAK,-1.0057269224
Moderate,Open,18.0,Ox,26,15.384615384615383,5.263157894736842,EXPLORATORY,-0.4334708082307693
Tough,Positioning,10.0,Monkey,7,42.857142857142854,5.263157894736842,WEAK,-2.9838517902571424
Calm,Positioning,21.0,Horse,7,42.857142857142854,5.263157894736842,WEAK,-1.3958888414142863
Tough,Positioning,28.0,Pig,7,42.857142857142854,5.263157894736842,WEAK,-2.168147766071429
Moderate,Closing,1.0,Tiger,7,42.857142857142854,5.263157894736842,WEAK,-1.699526268257143
Tough,Survival,23.0,Rat,7,42.857142857142854,5.263157894736842,WEAK,-2.7083292606285716
Moderate,Positioning,15.0,Goat,26,15.38461538461538,5.263157894736841,EXPLORATORY,-0.35911297645769247
Moderate,Positioning,15.0,Pig,65,9.230769230769232,5.217391304347826,HIGH,0.04059206948769231
Calm,Open,23.0,Rabbit,46,10.869565217391305,5.208333333333334,HIGH,-0.23423690956521756
Moderate,Closing,12.0,Rabbit,27,14.814814814814813,5.194805194805194,EXPLORATORY,0.7142228346740742
Tough,Positioning,6.0,Rat,8,37.5,5.172413793103448,WEAK,-2.8705700631999997
Tough,Positioning,25.0,Dragon,8,37.5,5.172413793103448,WEAK,-1.769284216325
Moderate,Closing,27.0,Monkey,8,37.5,5.172413793103448,WEAK,-1.8465209859999998
Tough,Survival,25.0,Rabbit,8,37.5,5.172413793103448,WEAK,-2.13518765398
Moderate,Positioning,18.0,Dragon,8,37.5,5.172413793103448,WEAK,-0.9941409168500001
Moderate,Closing,24.0,Goat,8,37.5,5.172413793103448,WEAK,-1.0834240580999999
Calm,Survival,25.0,Rooster,47,10.63829787234043,5.154639175257734,HIGH,0.11644623749531907
Calm,Closing,9.0,Pig,47,10.638297872340425,5.154639175257732,HIGH,-0.6016413778723403
Calm,Positioning,6.0,Dog,47,10.638297872340424,5.154639175257731,HIGH,-0.07962673953191458
Moderate,Positioning,9.0,Tiger,28,14.285714285714288,5.1282051282051295,EXPLORATORY,-0.12008002299999987
Moderate,Closing,25.0,Snake,28,14.285714285714288,5.1282051282051295,EXPLORATORY,-0.6901718661428571
Moderate,Closing,12.0,Pig,28,14.285714285714285,5.128205128205128,EXPLORATORY,-0.5915955561857142
Moderate,Positioning,14.0,Goat,48,10.416666666666668,5.102040816326531,HIGH,-0.2145368614833334
Moderate,Positioning,13.0,Ox,48,10.416666666666668,5.102040816326531,HIGH,-0.06661073197499993
Tough,Survival,8.0,Dog,9,33.33333333333333,5.084745762711864,WEAK,-1.50707542386
Moderate,Positioning,16.0,Pig,29,13.793103448275861,5.063291139240506,EXPLORATORY,0.1610802844413795
Calm,Positioning,16.0,Monkey,49,10.204081632653061,5.050505050505051,HIGH,-0.0015137956224488378
Calm,Survival,6.0,Rat,89,7.86516853932584,5.035971223021581,HIGH,-0.2498257878764043
Moderate,Survival,16.0,Monkey,50,10.000000000000004,5.000000000000002,HIGH,-0.3357964392239999
Moderate,Open,27.0,Monkey,30,13.333333333333334,5.0,HIGH,0.1284221843933334
Moderate,Positioning,27.0,Dragon,30,13.333333333333334,5.0,HIGH,-0.4120340362743336
Tough,Survival,13.0,Pig,10,30.0,5.0,WEAK,-0.68257542855
Calm,Positioning,8.0,Snake,70,8.571428571428571,5.0,HIGH,-0.24916682271428567
Tough,Positioning,15.0,Pig,10,30.0,5.0,WEAK,-1.81854458906
Tough,Open,25.0,Rabbit,10,30.0,5.0,WEAK,-0.39102717491399996
Calm,Closing,22.0,Pig,10,30.000000000000004,5.0,WEAK,0.03425979093999985
Calm,Open,18.0,Rat,30,13.333333333333334,5.0,HIGH,-0.4607602711399999
Moderate,Positioning,2.0,Monkey,31,12.903225806451612,4.938271604938271,HIGH,-1.293533695996774
Moderate,Closing,3.0,Rat,31,12.903225806451612,4.938271604938271,HIGH,0.04888600339677427
Moderate,Survival,2.0,Tiger,11,27.27272727272727,4.918032786885245,WEAK,-0.9439840824363638
Calm,Open,19.0,Goat,11,27.27272727272727,4.918032786885245,WEAK,-0.8803072747636365
Calm,Closing,9.0,Tiger,52,9.615384615384617,4.901960784313726,HIGH,-0.3767485525384616
Moderate,Open,21.0,Pig,52,9.615384615384615,4.901960784313725,HIGH,0.4591843468684615
Calm,Closing,3.0,Pig,52,9.615384615384611,4.901960784313723,HIGH,-0.3905316087692307
Moderate,Positioning,8.0,Rooster,32,12.5,4.878048780487805,HIGH,-0.35415683499999984
Calm,Survival,16.0,Dog,53,9.433962264150942,4.854368932038835,HIGH,-0.6109001633018869
Calm,Positioning,6.0,Pig,12,25.0,4.838709677419355,WEAK,-0.41927027127500005
Calm,Survival,22.0,Ox,33,12.121212121212121,4.819277108433735,HIGH,-0.6325608068181818
Calm,Positioning,24.0,Monkey,33,12.12121212121212,4.8192771084337345,HIGH,-0.13097541057575765
Moderate,Positioning,17.0,Snake,75,7.9999999999999964,4.799999999999998,HIGH,-0.28048152139733307
Calm,Closing,26.0,Rat,96,7.291666666666666,4.794520547945205,HIGH,0.027513836958333242
Calm,Positioning,17.0,Monkey,13,23.076923076923077,4.761904761904762,WEAK,-1.0879596148461534
Moderate,Positioning,22.0,Dog,13,23.076923076923077,4.761904761904762,WEAK,-1.1935343600000001
Calm,Open,26.0,Monkey,13,23.076923076923073,4.761904761904761,WEAK,-1.0220314022769228
Calm,Open,15.0,Pig,162,6.172839506172842,4.716981132075474,HIGH,0.0016564488518520132
Calm,Closing,8.0,Rooster,56,8.928571428571427,4.716981132075471,HIGH,-0.5927109661428569
Moderate,Survival,6.0,Goat,14,21.428571428571427,4.6875,WEAK,-0.9548034086428574
Moderate,Survival,10.0,Snake,14,21.42857142857143,4.6875,WEAK,0.001151681674285841
Calm,Closing,13.0,Rabbit,57,8.771929824561402,4.672897196261681,HIGH,-0.08099477025263158
Moderate,Survival,16.0,Pig,79,7.594936708860756,4.651162790697672,HIGH,0.10108837979746838
Moderate,Open,8.0,Goat,15,20.0,4.615384615384616,EXPLORATORY,0.045748278896666564
Calm,Open,20.0,Rooster,103,6.796116504854366,4.575163398692808,HIGH,-0.1955439959320387
Moderate,Positioning,12.0,Horse,38,10.526315789473687,4.545454545454547,HIGH,-0.5933699489842106
Moderate,Closing,30.0,Rooster,16,18.75,4.545454545454546,EXPLORATORY,-0.3080599034000002
Moderate,Survival,29.0,Goat,38,10.526315789473683,4.545454545454545,HIGH,-1.6302116427157889
Moderate,Positioning,23.0,Tiger,60,8.333333333333332,4.545454545454544,HIGH,-0.1764269724283333
Calm,Closing,5.0,Rooster,194,5.6701030927835046,4.508196721311475,HIGH,-0.25831456387113416
Calm,Closing,15.0,Ox,61,8.196721311475411,4.504504504504506,HIGH,0.3741648583131149
Moderate,Open,28.0,Pig,61,8.196721311475407,4.504504504504504,HIGH,0.10573979101475403
Calm,Survival,11.0,Ox,128,6.25,4.49438202247191,HIGH,-0.08939795462499986
Calm,Positioning,13.0,Pig,106,6.603773584905662,4.487179487179488,HIGH,-0.3149521616226415
Moderate,Positioning,14.0,Monkey,17,17.647058823529413,4.477611940298508,EXPLORATORY,-0.31312722883529415
Moderate,Closing,11.0,Rooster,17,17.647058823529413,4.477611940298508,EXPLORATORY,-0.42994406541176466
Calm,Positioning,15.0,Monkey,84,7.142857142857142,4.477611940298507,HIGH,-0.44176438871428575
Calm,Positioning,16.0,Dog,40,10.0,4.444444444444445,HIGH,-0.326762686
Calm,Positioning,1.0,Rooster,41,9.75609756097561,4.395604395604396,HIGH,-0.866988977804878
Calm,Closing,13.0,Ox,87,6.896551724137931,4.37956204379562,HIGH,-0.21773480310344823
Moderate,Closing,14.0,Dragon,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-0.8810272545894737
Moderate,Positioning,2.0,Rat,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-0.8250265155073685
Calm,Closing,1.0,Monkey,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-1.006486689842105
Moderate,Positioning,2.0,Pig,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-0.5431264633526316
Moderate,Survival,29.0,Dragon,42,9.523809523809524,4.3478260869565215,HIGH,0.06526337501190468
Calm,Open,4.0,Rabbit,88,6.8181818181818175,4.347826086956521,HIGH,0.6333795142818185
Moderate,Open,29.0,Horse,43,9.302325581395351,4.301075268817205,HIGH,0.07159976076744182
Calm,Open,27.0,Dragon,136,5.882352941176472,4.301075268817205,HIGH,0.23640331598455866
Calm,Survival,18.0,Dragon,43,9.30232558139535,4.301075268817204,HIGH,0.047317111918604535
Calm,Survival,8.0,Monkey,44,9.090909090909093,4.255319148936172,HIGH,0.9192316612181819
Moderate,Positioning,20.0,Dog,44,9.090909090909093,4.255319148936172,HIGH,-0.4969615997886363
Calm,Closing,29.0,Rooster,44,9.090909090909092,4.255319148936171,HIGH,-0.29935287509090897
Calm,Survival,10.0,Ox,91,6.593406593406592,4.25531914893617,HIGH,0.09246368780109887
Calm,Survival,1.0,Pig,91,6.593406593406592,4.25531914893617,HIGH,-0.2590013865604395
Moderate,Survival,3.0,Rooster,91,6.593406593406592,4.25531914893617,HIGH,-0.39283615109450554
Moderate,Closing,14.0,Goat,44,9.090909090909088,4.255319148936169,HIGH,-0.24979228185454536
Calm,Positioning,14.0,Horse,92,6.521739130434784,4.225352112676058,HIGH,-0.19738784705434775
Moderate,Survival,5.0,Horse,46,8.695652173913047,4.166666666666669,HIGH,-0.8319866852086956
Calm,Survival,16.0,Rat,47,8.510638297872342,4.123711340206186,HIGH,-0.09588176797872333
Moderate,Survival,8.0,Rat,120,5.833333333333335,4.117647058823531,HIGH,-0.5717382477975
Moderate,Closing,9.0,Goat,24,12.499999999999996,4.0540540540540535,EXPLORATORY,-0.2525592282666667
Moderate,Survival,23.0,Rabbit,24,12.499999999999996,4.0540540540540535,EXPLORATORY,-1.2895551853333338
Moderate,Survival,17.0,Dragon,123,5.691056910569109,4.046242774566476,HIGH,0.16417800161333337
Moderate,Open,20.0,Rabbit,49,8.16326530612245,4.040404040404041,HIGH,-0.07092086567755114
Calm,Closing,13.0,Goat,74,6.756756756756757,4.032258064516129,HIGH,-0.014079473324324214
Moderate,Survival,27.0,Tiger,75,6.666666666666665,3.999999999999999,HIGH,-0.2162677952866667
Calm,Survival,18.0,Goat,76,6.578947368421051,3.968253968253967,HIGH,-0.22155304968552625
Moderate,Survival,27.0,Monkey,26,11.538461538461542,3.9473684210526327,EXPLORATORY,0.4707211336846155
Moderate,Positioning,28.0,Horse,26,11.538461538461538,3.9473684210526314,EXPLORATORY,-0.41018204511538453
Calm,Positioning,6.0,Dragon,26,11.538461538461537,3.947368421052631,EXPLORATORY,-0.2252240597769231
Moderate,Open,17.0,Snake,103,5.825242718446605,3.9215686274509824,HIGH,-0.20551338955242698
Moderate,Positioning,24.0,Rabbit,27,11.11111111111111,3.896103896103896,EXPLORATORY,-0.049258111777777974
Calm,Closing,16.0,Monkey,53,7.547169811320753,3.883495145631067,HIGH,-0.11767976734150937
Calm,Closing,25.0,Pig,54,7.40740740740741,3.846153846153848,HIGH,0.04087858980555553
Moderate,Survival,5.0,Ox,54,7.40740740740741,3.846153846153848,HIGH,-0.5632958659037036
Moderate,Closing,20.0,Monkey,2,100.0,3.8461538461538463,WEAK,-5.1608600933
Tough,Survival,21.0,Tiger,2,100.0,3.8461538461538463,WEAK,-2.8065113817
Moderate,Closing,11.0,Goat,2,100.0,3.8461538461538463,WEAK,-4.2242787108
Tough,Survival,2.0,Rooster,2,100.0,3.8461538461538463,WEAK,-2.8065113817
Tough,Survival,2.0,Dog,2,100.0,3.8461538461538463,WEAK,-4.06793454643
Tough,Open,5.0,Rabbit,2,100.0,3.8461538461538463,WEAK,-3.92825184856
Calm,Open,1.0,Ox,2,100.0,3.8461538461538463,WEAK,-2.887209548
Tough,Open,17.0,Monkey,2,100.0,3.8461538461538463,WEAK,-2.91762249279
Tough,Closing,30.0,Pig,2,100.0,3.8461538461538463,WEAK,-3.3132168695999997
Moderate,Closing,3.0,Snake,2,100.0,3.8461538461538463,WEAK,-6.4770486958
Calm,Closing,3.0,Goat,2,100.0,3.8461538461538463,WEAK,-4.5894174584
Calm,Closing,17.0,Pig,2,100.0,3.8461538461538463,WEAK,-2.2039114211
Calm,Closing,22.0,Rooster,2,100.0,3.8461538461538463,WEAK,-3.840275058
Moderate,Closing,2.0,Rooster,2,100.0,3.8461538461538463,WEAK,-2.4412565218
Moderate,Open,11.0,Goat,2,100.0,3.8461538461538463,WEAK,-6.2242787108
Moderate,Closing,25.0,Goat,2,100.0,3.8461538461538463,WEAK,-2.6924333112
Calm,Survival,22.0,Rooster,2,100.0,3.8461538461538463,WEAK,-2.840275058
Calm,Closing,27.0,Dog,2,100.0,3.8461538461538463,WEAK,-2.835733727
Moderate,Closing,6.0,Goat,2,100.0,3.8461538461538463,WEAK,-2.5976605515
Moderate,Survival,12.0,Ox,2,100.0,3.8461538461538463,WEAK,-3.5162607294
Moderate,Survival,12.0,Rat,2,100.0,3.8461538461538463,WEAK,-3.4311752625
Calm,Positioning,11.0,Goat,2,100.0,3.8461538461538463,WEAK,-2.262284023
Calm,Positioning,11.0,Monkey,2,100.0,3.8461538461538463,WEAK,-7.4845696459
Tough,Positioning,20.0,Rooster,2,100.0,3.8461538461538463,WEAK,-2.7258602435
Tough,Positioning,17.0,Rabbit,2,100.0,3.8461538461538463,WEAK,-4.0895421711
Moderate,Positioning,23.0,Snake,2,100.0,3.8461538461538463,WEAK,-3.03586009332
Calm,Closing,4.0,Tiger,2,100.0,3.8461538461538463,WEAK,-4.87656894
Tough,Positioning,13.0,Dog,2,100.0,3.8461538461538463,WEAK,-2.8375310502
Tough,Positioning,7.0,Horse,2,100.0,3.8461538461538463,WEAK,-2.8848502609
Moderate,Positioning,30.0,Snake,2,100.0,3.8461538461538463,WEAK,-5.2408919486
Tough,Positioning,5.0,Snake,2,100.0,3.8461538461538463,WEAK,-3.7640634142
Tough,Open,18.0,Rat,2,100.0,3.8461538461538463,WEAK,-4.2419931181
Calm,Survival,28.0,Rat,2,100.0,3.8461538461538463,WEAK,-4.49225934
Moderate,Survival,7.0,Tiger,2,100.0,3.8461538461538463,WEAK,-2.5371882449
Tough,Positioning,30.0,Tiger,2,100.0,3.8461538461538463,WEAK,-3.7324373076
Tough,Closing,28.0,Rabbit,2,100.0,3.8461538461538463,WEAK,-3.1125212449
Tough,Closing,21.0,Rooster,2,100.0,3.8461538461538463,WEAK,-4.493940738
Moderate,Positioning,22.0,Dragon,2,100.0,3.8461538461538463,WEAK,-3.5894315219
Tough,Closing,15.0,Horse,2,100.0,3.8461538461538463,WEAK,-2.7843524568999998
Tough,Closing,5.0,Pig,2,100.0,3.8461538461538463,WEAK,-2.06123473467
Calm,Open,19.0,Dragon,2,100.0,3.8461538461538463,WEAK,-2.0640398851
Moderate,Survival,11.0,Goat,2,100.0,3.8461538461538463,WEAK,-5.2779289857
Calm,Positioning,3.0,Rabbit,2,100.0,3.8461538461538463,WEAK,-2.2182269224
Calm,Positioning,14.0,Snake,2,100.0,3.8461538461538463,WEAK,-5.438933686
Moderate,Survival,3.0,Rabbit,2,100.0,3.8461538461538463,WEAK,-2.5501360871
Tough,Closing,16.0,Dragon,2,100.0,3.8461538461538463,WEAK,-2.4934060972
Moderate,Positioning,12.0,Rat,2,100.0,3.8461538461538463,WEAK,-2.4311752625
Moderate,Survival,20.0,Goat,2,100.0,3.8461538461538463,WEAK,-6.3520030597
Moderate,Survival,22.0,Rooster,2,100.0,3.8461538461538463,WEAK,-3.4260771338
Tough,Survival,17.0,Goat,2,100.0,3.8461538461538463,WEAK,-4.0940951629
Moderate,Positioning,27.0,Dog,2,100.0,3.8461538461538463,WEAK,-2.5537172362
Tough,Survival,16.0,Tiger,2,100.0,3.8461538461538463,WEAK,-3.06123473467
Tough,Survival,22.0,Ox,2,100.0,3.8461538461538463,WEAK,-2.8848502609
Calm,Closing,23.0,Ox,28,10.714285714285714,3.846153846153846,EXPLORATORY,0.09030835280000023
Moderate,Survival,20.0,Rooster,55,7.272727272727275,3.809523809523811,HIGH,0.3710401445909093
Calm,Positioning,11.0,Rabbit,55,7.2727272727272725,3.8095238095238098,HIGH,-0.2447652157272725
Moderate,Positioning,28.0,Rabbit,29,10.344827586206899,3.7974683544303804,EXPLORATORY,-0.39781146517310345
Moderate,Survival,14.0,Dog,29,10.344827586206895,3.797468354430379,EXPLORATORY,-0.3685632504793104
Moderate,Closing,1.0,Snake,29,10.344827586206895,3.797468354430379,EXPLORATORY,0.23371455754482737
Calm,Positioning,23.0,Ox,29,10.344827586206895,3.797468354430379,EXPLORATORY,0.07306697348965524
Moderate,Open,26.0,Snake,82,6.097560975609756,3.787878787878788,HIGH,0.2260522539756099
Calm,Positioning,15.0,Pig,135,5.185185185185184,3.783783783783783,HIGH,0.49304057300000015
Moderate,Positioning,21.0,Tiger,3,66.66666666666666,3.773584905660377,WEAK,-2.7089641167999994
Tough,Open,2.0,Dog,3,66.66666666666666,3.773584905660377,WEAK,-2.06793454643
Tough,Positioning,29.0,Ox,3,66.66666666666666,3.773584905660377,WEAK,-3.051907762533333
Tough,Survival,24.0,Rooster,3,66.66666666666666,3.773584905660377,WEAK,-3.7777109820666666
Tough,Open,16.0,Rat,3,66.66666666666666,3.773584905660377,WEAK,-2.0294523116333334
Tough,Closing,12.0,Rabbit,3,66.66666666666666,3.773584905660377,WEAK,-2.6201733524
Tough,Closing,13.0,Pig,3,66.66666666666666,3.773584905660377,WEAK,-1.3218374697666666
Tough,Positioning,12.0,Rabbit,3,66.66666666666666,3.773584905660377,WEAK,-2.6201733524
Tough,Positioning,1.0,Horse,3,66.66666666666666,3.773584905660377,WEAK,-2.440332386866667
Tough,Positioning,1.0,Tiger,3,66.66666666666666,3.773584905660377,WEAK,-1.3188570606933334
Tough,Closing,5.0,Ox,3,66.66666666666666,3.773584905660377,WEAK,-1.9302116682133332
Moderate,Open,27.0,Horse,56,7.14285714285714,3.7735849056603756,HIGH,0.1291191274928573
Moderate,Closing,25.0,Dragon,30,9.999999999999998,3.749999999999999,HIGH,-0.8350839394266666
Calm,Survival,7.0,Ox,30,9.999999999999998,3.749999999999999,HIGH,-0.18500688558666667
Calm,Open,11.0,Horse,85,5.882352941176472,3.7037037037037046,HIGH,-0.1010032317058825
Calm,Positioning,13.0,Ox,85,5.882352941176472,3.7037037037037046,HIGH,0.05945339337647059
Calm,Survival,13.0,Rabbit,112,5.357142857142858,3.7037037037037037,HIGH,0.0802146917714285
Tough,Survival,15.0,Goat,4,50.0,3.7037037037037033,WEAK,-1.509677449314
Calm,Open,16.0,Rooster,4,50.0,3.7037037037037033,WEAK,-0.78505006
Tough,Survival,11.0,Dragon,4,50.0,3.7037037037037033,WEAK,-1.5817128818000001
Tough,Closing,16.0,Rat,4,50.0,3.7037037037037033,WEAK,-1.6961189783
Tough,Positioning,18.0,Snake,4,50.0,3.7037037037037033,WEAK,-2.2258602435
Tough,Survival,21.0,Rat,4,50.0,3.7037037037037033,WEAK,-1.8351224833300002
Tough,Positioning,25.0,Monkey,4,50.0,3.7037037037037033,WEAK,-2.0877045596
Tough,Positioning,26.0,Snake,4,50.0,3.7037037037037033,WEAK,-1.5570649945000001
Tough,Open,20.0,Rooster,4,50.0,3.7037037037037033,WEAK,-1.2258602435000001
Tough,Positioning,9.0,Horse,4,50.0,3.7037037037037033,WEAK,-2.0666949932
Tough,Open,9.0,Tiger,4,50.0,3.7037037037037033,WEAK,-3.0007269664000003
Tough,Open,22.0,Snake,4,50.0,3.7037037037037033,WEAK,-2.47771714786
Tough,Open,16.0,Dragon,4,50.0,3.7037037037037033,WEAK,-1.4934060972
Calm,Survival,13.0,Dog,4,50.0,3.7037037037037033,WEAK,-2.2420316734999997
Moderate,Closing,28.0,Dragon,4,50.0,3.7037037037037033,WEAK,-1.954280213
Tough,Survival,16.0,Monkey,4,50.0,3.7037037037037033,WEAK,-2.902974299841
Moderate,Positioning,13.0,Dog,4,50.0,3.7037037037037033,WEAK,-1.5920478761599999
Moderate,Positioning,11.0,Goat,4,50.0,3.7037037037037033,WEAK,-1.7511038482499999
Moderate,Open,3.0,Snake,4,50.0,3.7037037037037033,WEAK,-0.4770486957999998
Tough,Survival,1.0,Rooster,4,50.0,3.7037037037037033,WEAK,-1.3416911305
Tough,Survival,11.0,Horse,4,50.0,3.7037037037037033,WEAK,-0.92326217762
Tough,Positioning,4.0,Goat,4,50.0,3.7037037037037033,WEAK,-2.32864574765
Calm,Closing,29.0,Rat,4,50.0,3.7037037037037033,WEAK,-1.5495350422000005
Tough,Positioning,26.0,Horse,4,50.0,3.7037037037037033,WEAK,-1.8416911305
Tough,Open,16.0,Pig,4,50.0,3.7037037037037033,WEAK,-1.8787176715
Tough,Open,13.0,Goat,4,50.0,3.7037037037037033,WEAK,-1.0873548614800002
Tough,Open,7.0,Goat,4,50.0,3.7037037037037033,WEAK,-1.6144184032000002
Moderate,Survival,8.0,Pig,4,50.0,3.7037037037037033,WEAK,-1.4730833139000001
Calm,Closing,5.0,Horse,59,6.779661016949151,3.669724770642201,HIGH,-0.15582678050847465
Calm,Closing,12.0,Snake,5,40.0,3.6363636363636367,WEAK,-0.6267292700999999
Tough,Open,8.0,Ox,5,40.0,3.6363636363636367,WEAK,-1.17627777718
Tough,Open,12.0,Tiger,5,40.0,3.6363636363636367,WEAK,-0.8785970572999998
Calm,Positioning,12.0,Snake,5,40.0,3.6363636363636367,WEAK,-0.6267292700999999
Tough,Closing,17.0,Snake,5,40.0,3.6363636363636367,WEAK,-0.6697129685400001
Tough,Positioning,18.0,Goat,5,40.0,3.6363636363636367,WEAK,-1.9908221174340004
Tough,Survival,30.0,Pig,5,40.0,3.6363636363636367,WEAK,-1.3132168695999997
Tough,Open,15.0,Ox,5,40.0,3.6363636363636367,WEAK,-1.2440539494
Tough,Open,30.0,Pig,5,40.0,3.6363636363636367,WEAK,-2.1132168695999995
Calm,Closing,30.0,Rooster,33,9.090909090909092,3.6144578313253017,HIGH,0.2771920670454544
Calm,Survival,15.0,Ox,61,6.557377049180327,3.6036036036036037,HIGH,-0.1412479970885244
Moderate,Survival,22.0,Snake,61,6.5573770491803245,3.603603603603602,HIGH,-0.16025332023278702
Calm,Positioning,27.0,Pig,34,8.823529411764708,3.5714285714285725,HIGH,-0.835725052882353
Calm,Closing,1.0,Tiger,6,33.333333333333336,3.5714285714285716,WEAK,-0.7445624473333333
Calm,Open,6.0,Dragon,62,6.451612903225806,3.5714285714285716,HIGH,-0.14085681411935488
Tough,Survival,17.0,Snake,6,33.333333333333336,3.5714285714285716,WEAK,-1.4579681368333333
Tough,Open,4.0,Monkey,6,33.33333333333333,3.5714285714285707,WEAK,-1.531689732566667
Tough,Open,10.0,Monkey,6,33.33333333333333,3.5714285714285707,WEAK,-1.8409946473999996
Moderate,Open,26.0,Rabbit,6,33.33333333333333,3.5714285714285707,WEAK,-1.5607297760999999
Tough,Open,15.0,Monkey,6,33.33333333333333,3.5714285714285707,WEAK,-2.1631006069333334
Tough,Survival,13.0,Goat,6,33.33333333333333,3.5714285714285707,WEAK,-0.9206881948133333
Tough,Survival,16.0,Dragon,6,33.33333333333333,3.5714285714285707,WEAK,-0.4934060971999998
Tough,Positioning,15.0,Dragon,6,33.33333333333333,3.5714285714285707,WEAK,-1.4623325324799998
Tough,Positioning,10.0,Pig,6,33.33333333333333,3.5714285714285707,WEAK,-0.2598518545333333
Tough,Positioning,10.0,Rat,6,33.33333333333333,3.5714285714285707,WEAK,-0.9720799798333335
Tough,Survival,4.0,Rabbit,6,33.33333333333333,3.5714285714285707,WEAK,-1.5291879115666667
Calm,Survival,17.0,Snake,147,4.761904761904762,3.553299492385787,HIGH,0.4635827580006803
Moderate,Open,15.0,Dragon,64,6.25,3.508771929824561,HIGH,-0.16030421860781258
Moderate,Closing,21.0,Tiger,7,28.57142857142857,3.5087719298245608,WEAK,-0.8518212596571427
Tough,Open,21.0,Rooster,7,28.57142857142857,3.5087719298245608,WEAK,-0.636797880857143
Tough,Positioning,21.0,Pig,7,28.57142857142857,3.5087719298245608,WEAK,-1.9887819767914283
Tough,Positioning,21.0,Rooster,7,28.57142857142857,3.5087719298245608,WEAK,-0.49394073800000005
Moderate,Positioning,18.0,Ox,7,28.57142857142857,3.5087719298245608,WEAK,-1.3070971818571429
Calm,Open,28.0,Dog,7,28.57142857142857,3.5087719298245608,WEAK,-1.7766259842857146
Tough,Positioning,24.0,Rat,7,28.57142857142857,3.5087719298245608,WEAK,-2.058436990728572
Tough,Positioning,3.0,Pig,7,28.57142857142857,3.5087719298245608,WEAK,-0.8778598787714287
Moderate,Closing,11.0,Snake,7,28.57142857142857,3.5087719298245608,WEAK,-1.1804677084428572
Tough,Survival,21.0,Pig,7,28.57142857142857,3.5087719298245608,WEAK,0.01121802320857149
Moderate,Open,4.0,Goat,36,8.333333333333334,3.4883720930232562,HIGH,0.06663517578333325
Moderate,Closing,18.0,Ox,8,25.0,3.4482758620689653,WEAK,-1.164240039
Moderate,Closing,29.0,Rat,8,25.0,3.4482758620689653,WEAK,-0.3462127882749999
Tough,Positioning,21.0,Rat,8,25.0,3.4482758620689653,WEAK,-0.8816871659449999
Calm,Closing,5.0,Tiger,8,25.0,3.4482758620689653,WEAK,-1.8828683760000002
Tough,Open,22.0,Goat,8,25.0,3.4482758620689653,WEAK,-0.8230475606700001
Calm,Closing,7.0,Ox,8,25.0,3.4482758620689653,WEAK,-0.24208989505
Calm,Closing,4.0,Dragon,8,25.0,3.4482758620689653,WEAK,-0.6862614075
Moderate,Positioning,4.0,Goat,8,25.0,3.4482758620689653,WEAK,-0.5330365070249999
Moderate,Open,2.0,Tiger,8,25.0,3.4482758620689653,WEAK,-1.3303477188
Moderate,Positioning,9.0,Rabbit,8,25.0,3.4482758620689653,WEAK,-1.2740653218100002
Calm,Positioning,5.0,Dog,8,25.0,3.4482758620689653,WEAK,-0.634581538
Tough,Open,25.0,Dog,8,25.0,3.4482758620689653,WEAK,-0.6045508194262501
Moderate,Open,9.0,Pig,67,5.970149253731344,3.4188034188034186,HIGH,0.04003573839552251
Moderate,Survival,21.0,Rat,38,7.894736842105263,3.409090909090909,HIGH,-0.12177013524736847
Calm,Survival,10.0,Monkey,97,5.154639175257733,3.4013605442176877,HIGH,0.021148120639175122
Moderate,Survival,13.0,Ox,97,5.1546391752577305,3.401360544217686,HIGH,-0.0642134781185567
Calm,Open,12.0,Snake,9,22.222222222222225,3.389830508474577,WEAK,0.9954929521222223
Tough,Positioning,25.0,Dog,9,22.22222222222222,3.3898305084745766,WEAK,-0.8636163963022223
Tough,Survival,26.0,Ox,9,22.22222222222222,3.3898305084745766,WEAK,-0.6632572186666669
Calm,Closing,21.0,Horse,9,22.22222222222222,3.3898305084745766,WEAK,0.11204766652222221
Moderate,Survival,11.0,Rooster,39,7.6923076923076925,3.370786516853933,HIGH,-0.21727438215384595
Calm,Survival,5.0,Pig,39,7.6923076923076925,3.370786516853933,HIGH,-0.3314241244358974
Calm,Open,16.0,Horse,99,5.05050505050505,3.3557046979865772,HIGH,-0.04113571590909101
Calm,Closing,15.0,Rabbit,40,7.500000000000001,3.3333333333333335,HIGH,-0.19195875767499984
Calm,Closing,24.0,Goat,10,20.0,3.333333333333333,WEAK,-0.5254587798400001
Calm,Closing,14.0,Rabbit,10,20.0,3.333333333333333,WEAK,-0.5264117976
Tough,Positioning,23.0,Rat,10,20.0,3.333333333333333,WEAK,-1.0764896764
Moderate,Closing,22.0,Ox,10,20.0,3.333333333333333,WEAK,-1.1075817361200002
Moderate,Closing,16.0,Monkey,10,20.0,3.333333333333333,WEAK,-1.45846102388
