condition,round_type,tithi,zodiac,n,edge,roi,conf,mean_error
Moderate,Survival,28.0,Rooster,53,18.867924528301888,9.708737864077671,HIGH,-0.012586368101886689
Moderate,Closing,8.0,Rooster,34,23.52941176470588,9.523809523809524,HIGH,-0.22364212911764683
Calm,Positioning,30.0,Tiger,13,46.15384615384615,9.523809523809524,WEAK,-1.7098203639999996
Calm,Open,21.0,Pig,108,13.888888888888888,9.493670886075948,HIGH,-0.07457672967592603
Moderate,Survival,6.0,Snake,45,20.0,9.473684210526315,HIGH,-1.2452576545222218
Moderate,Closing,19.0,Tiger,45,20.0,9.473684210526315,HIGH,-0.9013251554044445
Moderate,Closing,15.0,Rabbit,24,29.166666666666668,9.45945945945946,EXPLORATORY,-0.5918591324675001
Moderate,Open,20.0,Rooster,77,15.584415584415584,9.448818897637796,HIGH,-0.4283130909883114
Calm,Open,14.0,Dog,35,22.857142857142858,9.411764705882353,HIGH,-0.9260485537714285
Moderate,Closing,20.0,Horse,35,22.857142857142858,9.411764705882353,HIGH,-0.8360433176571428
Moderate,Closing,18.0,Goat,14,42.857142857142854,9.375,WEAK,-1.8694693695642857
Moderate,Survival,7.0,Dragon,25,28.000000000000004,9.333333333333334,EXPLORATORY,-1.0780491273360002
Calm,Closing,10.0,Rat,68,16.176470588235293,9.322033898305085,HIGH,-0.3479722449991178
Calm,Positioning,12.0,Pig,38,21.05263157894737,9.090909090909092,HIGH,-0.6998988420947369
Calm,Closing,27.0,Tiger,71,15.492957746478872,9.090909090909092,HIGH,-0.482263875630986
Moderate,Survival,5.0,Pig,16,37.5,9.090909090909092,EXPLORATORY,-1.6340014751999998
Moderate,Positioning,28.0,Rooster,27,25.925925925925924,9.09090909090909,EXPLORATORY,-0.6631803583185186
Calm,Positioning,27.0,Tiger,72,15.277777777777777,9.01639344262295,HIGH,-0.8742170416250001
Tough,Survival,27.0,Dragon,6,83.33333333333334,8.928571428571429,WEAK,-2.523593478743
Moderate,Positioning,26.0,Snake,40,20.0,8.88888888888889,HIGH,-0.6160827182999999
Moderate,Closing,16.0,Horse,29,24.137931034482758,8.860759493670885,EXPLORATORY,-0.21021357596896556
Calm,Positioning,1.0,Tiger,7,71.42857142857143,8.771929824561404,WEAK,-1.9566665838714283
Tough,Positioning,10.0,Snake,7,71.42857142857143,8.771929824561404,WEAK,-2.6569806312914284
Moderate,Positioning,21.0,Pig,30,23.333333333333332,8.75,HIGH,-0.3054621425240001
Calm,Closing,23.0,Goat,53,16.9811320754717,8.737864077669903,HIGH,-0.3851518848716977
Moderate,Survival,12.0,Rabbit,42,19.04761904761905,8.695652173913045,HIGH,-0.14556552511428592
Moderate,Open,24.0,Rooster,20,30.0,8.571428571428571,EXPLORATORY,-0.8343937767
Moderate,Closing,7.0,Goat,32,21.875,8.536585365853659,HIGH,-0.10117446235
Moderate,Positioning,9.0,Pig,32,21.875,8.536585365853659,HIGH,-0.882340375696875
Moderate,Positioning,25.0,Monkey,32,21.875,8.536585365853659,HIGH,-0.24800309409999993
Tough,Open,23.0,Rat,9,55.55555555555556,8.474576271186441,WEAK,-2.1742622828
