decay_rate,mae,rmse,std,bias,n_samples
10,4.121435648481667,9.372950530820544,9.372649085359154,-0.09904534354220569,28084
15,4.121435648481667,9.372950530820544,9.372649085359154,-0.09904534354220569,28084
20,4.121435648481667,9.372950530820544,9.372649085359154,-0.09904534354220569,28084
25,4.059647003467635,9.245948359945384,9.245605774931002,-0.10189280765208429,28084
30,4.059647003467635,9.245948359945384,9.245605774931002,-0.10189280765208429,28084
40,4.059647003467635,9.245948359945384,9.245605774931002,-0.10189280765208429,28084
50,4.059647003467635,9.245948359945384,9.245605774931002,-0.10189280765208429,28084
75,4.059647003467635,9.245948359945384,9.245605774931002,-0.10189280765208429,28084
100,4.059647003467635,9.245948359945384,9.245605774931002,-0.10189280765208429,28084
