condition,round_type,moon,life_path,n,good,bad,edge,roi,conf
Calm,Open,Shukla Nanda,4.0,281,83,76,2.491103202846973,2.114803625377642,HIGH
Calm,Open,Shukla Nanda,1.0,347,93,74,5.47550432276657,4.785894206549118,HIGH
Calm,Open,Shukla Nanda,6.0,277,92,70,7.942238267148016,6.727828746177371,HIGH
Calm,Open,Shukla Nanda,9.0,335,97,85,3.582089552238804,3.116883116883115,HIGH
Calm,Open,Shukla Nanda,5.0,306,57,87,-9.80392156862745,-8.42696629213483,HIGH
Calm,Open,Shukla Nanda,8.0,313,80,96,-5.111821086261981,-4.40771349862259,HIGH
Calm,Open,Shukla Nanda,3.0,381,91,84,1.8372703412073506,1.6241299303944328,HIGH
Calm,Open,Shukla Jaya,7.0,138,39,43,-2.898550724637683,-2.1276595744680864,HIGH
Calm,Open,Shukla Jaya,2.0,159,54,37,10.691823899371066,8.133971291866025,HIGH
Calm,Open,Shukla Jaya,4.0,107,29,33,-3.738317757009346,-2.547770700636943,HIGH
Calm,Open,Shukla Jaya,1.0,134,43,50,-5.223880597014929,-3.8043478260869596,HIGH
Calm,Open,Shukla Jaya,6.0,104,22,34,-11.538461538461538,-7.792207792207792,HIGH
Calm,Open,Shukla Jaya,9.0,143,45,43,1.3986013986014012,1.0362694300518154,HIGH
Calm,Open,Shukla Jaya,5.0,94,25,34,-9.574468085106385,-6.250000000000002,HIGH
Calm,Open,Shukla Jaya,8.0,109,30,26,3.669724770642202,2.5157232704402515,HIGH
Calm,Open,Shukla Jaya,3.0,135,26,48,-16.296296296296298,-11.891891891891893,HIGH
Calm,Open,Shukla Bhadra,7.0,191,42,56,-7.329842931937169,-5.809128630705391,HIGH
Calm,Open,Shukla Bhadra,2.0,246,42,77,-14.227642276422761,-11.824324324324321,HIGH
Calm,Open,Shukla Bhadra,4.0,159,31,44,-8.176100628930815,-6.220095693779902,HIGH
Calm,Open,Shukla Bhadra,1.0,224,49,54,-2.2321428571428577,-1.8248175182481756,HIGH
Calm,Open,Shukla Bhadra,6.0,185,49,62,-7.027027027027027,-5.531914893617022,HIGH
Calm,Open,Shukla Bhadra,9.0,210,45,65,-9.523809523809526,-7.692307692307693,HIGH
Calm,Open,Shukla Bhadra,5.0,171,35,49,-8.187134502923977,-6.334841628959277,HIGH
Calm,Open,Shukla Bhadra,8.0,198,34,50,-8.080808080808083,-6.451612903225808,HIGH
Calm,Open,Shukla Bhadra,3.0,227,38,66,-12.334801762114536,-10.108303249097471,HIGH
Calm,Open,Krishna Rikta,7.0,119,32,39,-5.882352941176472,-4.142011834319528,HIGH
Calm,Open,Krishna Rikta,2.0,148,31,44,-8.783783783783786,-6.5656565656565675,HIGH
Calm,Open,Krishna Rikta,4.0,98,17,44,-27.55102040816326,-18.243243243243242,HIGH
Calm,Open,Krishna Rikta,1.0,127,24,52,-22.04724409448819,-15.819209039548024,HIGH
Calm,Open,Krishna Rikta,6.0,106,20,43,-21.69811320754717,-14.743589743589745,HIGH
Calm,Open,Krishna Rikta,9.0,121,28,43,-12.39669421487603,-8.771929824561402,HIGH
Calm,Open,Krishna Rikta,5.0,101,21,43,-21.782178217821784,-14.56953642384106,HIGH
Calm,Open,Krishna Rikta,8.0,112,13,47,-30.35714285714286,-20.987654320987655,HIGH
Calm,Open,Krishna Rikta,3.0,146,22,54,-21.91780821917808,-16.3265306122449,HIGH
Calm,Survival,Krishna Jaya,7.0,145,26,55,-20.0,-14.871794871794872,HIGH
Calm,Survival,Krishna Jaya,2.0,175,34,75,-23.428571428571427,-18.22222222222222,HIGH
Calm,Survival,Krishna Jaya,4.0,128,16,49,-25.78125,-18.539325842696627,HIGH
Calm,Survival,Krishna Jaya,1.0,155,27,74,-30.32258064516129,-22.926829268292682,HIGH
Calm,Survival,Krishna Jaya,6.0,146,23,54,-21.232876712328768,-15.816326530612246,HIGH
Calm,Survival,Krishna Jaya,9.0,155,38,54,-10.322580645161292,-7.804878048780489,HIGH
Calm,Survival,Krishna Jaya,5.0,114,34,40,-5.263157894736842,-3.658536585365853,HIGH
Calm,Survival,Krishna Jaya,8.0,122,18,40,-18.032786885245898,-12.790697674418603,HIGH
Calm,Survival,Krishna Jaya,3.0,183,36,71,-19.12568306010929,-15.02145922746781,HIGH
Calm,Survival,Krishna Bhadra,7.0,154,24,56,-20.77922077922078,-15.686274509803921,HIGH
Calm,Survival,Krishna Bhadra,2.0,169,36,53,-10.059171597633135,-7.76255707762557,HIGH
Calm,Survival,Krishna Bhadra,4.0,139,29,38,-6.474820143884894,-4.761904761904763,HIGH
Calm,Survival,Krishna Bhadra,1.0,149,23,40,-11.409395973154362,-8.542713567839197,HIGH
Calm,Survival,Krishna Bhadra,6.0,109,25,43,-16.51376146788991,-11.320754716981133,HIGH
Calm,Survival,Krishna Bhadra,9.0,151,36,50,-9.27152317880795,-6.965174129353236,HIGH
Calm,Survival,Krishna Bhadra,5.0,128,14,49,-27.34375,-19.662921348314605,HIGH
Calm,Survival,Krishna Bhadra,8.0,139,28,44,-11.510791366906473,-8.465608465608463,HIGH
Calm,Survival,Krishna Bhadra,3.0,169,34,50,-9.467455621301776,-7.305936073059361,HIGH
Calm,Survival,Krishna Nanda,7.0,104,31,28,2.8846153846153855,1.9480519480519487,HIGH
Calm,Survival,Krishna Nanda,2.0,136,31,38,-5.147058823529413,-3.763440860215055,HIGH
Calm,Survival,Krishna Nanda,4.0,83,22,29,-8.433734939759036,-5.2631578947368425,HIGH
Calm,Survival,Krishna Nanda,1.0,103,20,34,-13.59223300970874,-9.150326797385624,HIGH
Calm,Survival,Krishna Nanda,6.0,91,15,14,1.0989010989010977,0.7092198581560276,HIGH
Calm,Survival,Krishna Nanda,9.0,103,13,40,-26.21359223300971,-17.647058823529413,HIGH
Calm,Survival,Krishna Nanda,5.0,78,10,23,-16.666666666666668,-10.15625,HIGH
Calm,Survival,Krishna Nanda,8.0,95,21,26,-5.263157894736844,-3.4482758620689666,HIGH
Calm,Survival,Krishna Nanda,3.0,120,24,30,-4.999999999999999,-3.529411764705882,HIGH
Calm,Survival,Krishna Purna,7.0,158,42,38,2.53164556962025,1.9230769230769205,HIGH
Calm,Survival,Krishna Purna,2.0,204,56,62,-2.94117647058823,-2.3622047244094446,HIGH
Calm,Survival,Krishna Purna,4.0,138,32,30,1.4492753623188415,1.0638297872340432,HIGH
Calm,Survival,Krishna Purna,1.0,156,36,46,-6.41025641025641,-4.854368932038835,HIGH
Calm,Survival,Krishna Purna,6.0,134,28,44,-11.940298507462687,-8.695652173913045,HIGH
Calm,Survival,Krishna Purna,9.0,172,42,46,-2.325581395348836,-1.8018018018018007,HIGH
Calm,Survival,Krishna Purna,5.0,148,38,36,1.3513513513513487,1.0101010101010082,HIGH
Calm,Survival,Krishna Purna,8.0,130,18,40,-16.923076923076923,-12.222222222222221,HIGH
Calm,Survival,Krishna Purna,3.0,168,44,56,-7.14285714285714,-5.504587155963301,HIGH
Calm,Survival,Shukla Purna,7.0,291,59,97,-13.058419243986252,-11.143695014662756,HIGH
Calm,Survival,Shukla Purna,2.0,351,77,90,-3.7037037037037006,-3.241895261845384,HIGH
Calm,Survival,Shukla Purna,4.0,215,36,49,-6.046511627906978,-4.905660377358491,HIGH
Calm,Survival,Shukla Purna,1.0,262,57,84,-10.30534351145038,-8.653846153846152,HIGH
Calm,Survival,Shukla Purna,6.0,218,36,55,-8.715596330275227,-7.089552238805968,HIGH
Calm,Survival,Shukla Purna,9.0,309,74,97,-7.443365695792881,-6.406685236768803,HIGH
Calm,Survival,Shukla Purna,5.0,236,45,61,-6.779661016949151,-5.594405594405593,HIGH
Calm,Survival,Shukla Purna,8.0,268,76,84,-2.985074626865675,-2.5157232704402546,HIGH
Calm,Survival,Shukla Purna,3.0,309,58,88,-9.708737864077671,-8.356545961002785,HIGH
Calm,Survival,Shukla Rikta,7.0,213,43,58,-7.042253521126759,-5.703422053231939,HIGH
Calm,Survival,Shukla Rikta,2.0,330,91,106,-4.545454545454547,-3.9473684210526327,HIGH
Calm,Survival,Shukla Rikta,4.0,197,47,40,3.5532994923857864,2.8340080971659916,HIGH
Calm,Survival,Shukla Rikta,1.0,230,47,60,-5.652173913043476,-4.642857142857141,HIGH
Calm,Survival,Shukla Rikta,6.0,219,57,50,3.1963470319634704,2.6022304832713754,HIGH
Calm,Survival,Shukla Rikta,9.0,244,64,70,-2.45901639344262,-2.0408163265306096,HIGH
Calm,Survival,Shukla Rikta,5.0,190,46,49,-1.5789473684210549,-1.2500000000000018,HIGH
Calm,Survival,Shukla Rikta,8.0,214,59,56,1.4018691588785048,1.1363636363636365,HIGH
Calm,Survival,Shukla Rikta,3.0,283,76,89,-4.59363957597173,-3.9039039039039034,HIGH
Calm,Survival,Shukla Nanda,7.0,208,51,57,-2.884615384615388,-2.32558139534884,HIGH
Calm,Survival,Shukla Nanda,2.0,286,77,62,5.244755244755245,4.464285714285714,HIGH
Calm,Survival,Shukla Nanda,4.0,176,52,45,3.9772727272727293,3.0973451327433645,HIGH
Calm,Survival,Shukla Nanda,1.0,221,58,43,6.787330316742082,5.535055350553506,HIGH
Calm,Survival,Shukla Nanda,6.0,193,37,57,-10.362694300518136,-8.230452674897121,HIGH
Calm,Survival,Shukla Nanda,9.0,235,72,42,12.76595744680851,10.526315789473685,HIGH
Calm,Survival,Shukla Nanda,5.0,183,43,35,4.371584699453554,3.4334763948497873,HIGH
Calm,Survival,Shukla Nanda,8.0,224,63,48,6.696428571428573,5.474452554744527,HIGH
Calm,Survival,Shukla Nanda,3.0,241,63,58,2.074688796680499,1.718213058419245,HIGH
Calm,Survival,Shukla Jaya,7.0,196,46,61,-7.653061224489796,-6.097560975609756,HIGH
Calm,Survival,Shukla Jaya,2.0,253,46,64,-7.114624505928852,-5.940594059405939,HIGH
Calm,Survival,Shukla Jaya,4.0,150,32,48,-10.666666666666666,-8.0,HIGH
