condition,round_type,color,exec,upside,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence
Calm,Closing,Red,75-100,50-75,10,2,2,20.0,20.0,0.0,-1.2123282946100002,WEAK
Calm,Closing,Pink,75-100,50-75,2,1,1,50.0,50.0,0.0,0.38473001625000003,WEAK
Tough,Open,Green,25-50,25-50,4,2,2,50.0,50.0,0.0,0.22238203336750006,WEAK
Calm,Positioning,Pink,25-50,50-75,25,5,5,20.0,20.0,0.0,0.612192221044,EXPLORATORY
Calm,Closing,Yellow,75-100,50-75,410,113,113,27.5609756097561,27.5609756097561,0.0,0.1339578241336098,HIGH
Tough,Open,Purple,75-100,75-100,3,0,0,0.0,0.0,0.0,-0.8096691881633333,WEAK
Calm,Positioning,Green,75-100,50-75,136,29,29,21.323529411764707,21.323529411764707,0.0,0.1796479827952942,HIGH
Tough,Open,Blue,75-100,75-100,14,1,1,7.142857142857142,7.142857142857142,0.0,-0.8550407543897142,WEAK
Moderate,Open,Brown,25-50,50-75,9,2,2,22.22222222222222,22.22222222222222,0.0,-0.07815412664444442,WEAK
Moderate,Open,Red,75-100,75-100,2,0,0,0.0,0.0,0.0,-0.7788854097,WEAK
Calm,Positioning,Pink,25-50,25-50,5,1,1,20.0,20.0,0.0,-0.26210831842000004,WEAK
Calm,Survival,Pink,25-50,50-75,25,6,6,24.0,24.0,0.0,0.255382720396,EXPLORATORY
Calm,Survival,Green,75-100,75-100,8,3,3,37.5,37.5,0.0,0.6883338332250002,WEAK
Calm,Survival,Green,50-75,75-100,302,67,67,22.185430463576157,22.185430463576157,0.0,-0.11153442697456961,HIGH
Calm,Survival,Brown,25-50,50-75,2,0,0,0.0,0.0,0.0,-0.1033507010000001,WEAK
Calm,Survival,Brown,50-75,50-75,16,3,3,18.75,18.75,0.0,-0.10961988289999997,EXPLORATORY
Tough,Positioning,Green,25-50,25-50,2,0,0,0.0,0.0,0.0,1.2818055816,WEAK
Tough,Closing,Green,25-50,25-50,4,2,2,50.0,50.0,0.0,-0.048069025599999815,WEAK
Calm,Survival,Blue,75-100,75-100,16,3,3,18.75,18.75,0.0,-0.41002712929999996,EXPLORATORY
Tough,Closing,Green,25-50,50-75,2,0,0,0.0,0.0,0.0,1.4992730336,WEAK
Calm,Open,Red,25-50,25-50,4,0,0,0.0,0.0,0.0,0.03324602445000002,WEAK
Tough,Closing,Orange,50-75,50-75,3,0,0,0.0,0.0,0.0,-1.3092075584733334,WEAK
Tough,Closing,Orange,25-50,50-75,12,4,4,33.33333333333333,33.33333333333333,0.0,-0.4389953476331667,WEAK
Tough,Closing,Green,50-75,75-100,19,5,5,26.31578947368421,26.31578947368421,0.0,0.9615488060418947,EXPLORATORY
Calm,Open,Brown,25-50,50-75,5,0,0,0.0,0.0,0.0,0.75251615582,WEAK
Calm,Open,Brown,75-100,50-75,2,0,0,0.0,0.0,0.0,-0.9135519430000001,WEAK
Calm,Open,Red,25-50,50-75,77,20,20,25.97402597402597,25.97402597402597,0.0,-0.08971038678051958,HIGH
Calm,Open,Pink,75-100,50-75,6,0,0,0.0,0.0,0.0,-0.06491575846666664,WEAK
