condition,round_type,color,exec,upside,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence
Tough,Survival,Yellow,25-50,25-50,17,5,4,29.411764705882355,23.52941176470588,5.882352941176472,0.004551729792411716,EXPLORATORY
Moderate,Open,Red,50-75,75-100,34,8,10,23.52941176470588,29.411764705882355,-5.882352941176472,0.24549097494705907,HIGH
Moderate,Open,Blue,50-75,50-75,551,132,163,23.95644283121597,29.58257713248639,-5.626134301270416,0.4141587850537397,HIGH
Moderate,Closing,Purple,25-50,50-75,89,22,27,24.719101123595504,30.337078651685395,-5.61797752808989,0.11801565983056177,HIGH
Moderate,Survival,Blue,50-75,75-100,482,121,148,25.103734439834025,30.70539419087137,-5.601659751037347,0.21403967273587024,HIGH
Calm,Survival,Purple,25-50,50-75,322,74,92,22.981366459627328,28.57142857142857,-5.590062111801242,0.30253036972527947,HIGH
Calm,Survival,Purple,25-50,25-50,90,23,28,25.555555555555554,31.11111111111111,-5.555555555555558,0.8427499668244445,HIGH
Calm,Closing,Green,75-100,50-75,111,31,25,27.927927927927925,22.52252252252252,5.405405405405403,-0.35630443036036036,HIGH
Calm,Survival,Purple,50-75,50-75,784,171,213,21.81122448979592,27.168367346938776,-5.357142857142858,0.03714600610605864,HIGH
Calm,Positioning,Red,25-50,50-75,38,11,9,28.947368421052634,23.684210526315788,5.263157894736844,-0.34539177560000006,HIGH
Calm,Open,Yellow,75-100,75-100,19,4,5,21.052631578947366,26.31578947368421,-5.263157894736842,-0.2154820101000001,EXPLORATORY
Tough,Open,Yellow,25-50,25-50,19,4,5,21.052631578947366,26.31578947368421,-5.263157894736842,0.2855536586852632,EXPLORATORY
Calm,Closing,Yellow,50-75,75-100,894,229,182,25.615212527964204,20.3579418344519,5.257270693512303,-0.16288761479809843,HIGH
Calm,Open,Yellow,50-75,75-100,1393,340,413,24.40775305096913,29.64824120603015,-5.240488155061021,0.3203555133219311,HIGH
Moderate,Survival,Yellow,25-50,50-75,487,115,140,23.613963039014372,28.74743326488706,-5.1334702258726885,0.44448982008190946,HIGH
Calm,Closing,Orange,25-50,25-50,59,13,16,22.033898305084744,27.11864406779661,-5.084745762711865,-0.13680243301016942,HIGH
Moderate,Survival,Purple,50-75,50-75,512,151,125,29.4921875,24.4140625,5.078125,-0.3020988283838195,HIGH
Moderate,Open,Red,50-75,50-75,139,31,38,22.302158273381295,27.33812949640288,-5.035971223021585,0.29637311738460437,HIGH
Moderate,Survival,Green,25-50,50-75,160,43,51,26.875,31.874999999999996,-4.999999999999999,0.5882832058620624,HIGH
Moderate,Survival,Orange,25-50,50-75,462,112,135,24.242424242424242,29.22077922077922,-4.978354978354976,0.35027194445582244,HIGH
Moderate,Survival,Green,50-75,75-100,201,51,61,25.37313432835821,30.34825870646766,-4.975124378109452,0.3056404057891542,HIGH
Tough,Positioning,Yellow,50-75,50-75,183,49,40,26.775956284153008,21.85792349726776,4.918032786885249,-0.4196687152656284,HIGH
Moderate,Survival,Blue,50-75,25-50,61,17,14,27.86885245901639,22.950819672131146,4.918032786885243,-0.12108641713770495,HIGH
Calm,Open,Yellow,25-50,50-75,1184,280,338,23.64864864864865,28.5472972972973,-4.898648648648648,0.3280383696922804,HIGH
Moderate,Open,Purple,25-50,50-75,189,46,55,24.33862433862434,29.100529100529098,-4.761904761904762,0.13346024003973542,HIGH
Moderate,Survival,Blue,25-50,25-50,128,32,38,25.0,29.6875,-4.6875,0.4599240694491407,HIGH
Calm,Closing,Yellow,25-50,25-50,193,58,49,30.05181347150259,25.38860103626943,4.66321243523316,-0.12693468367611405,HIGH
Moderate,Closing,Yellow,50-75,75-100,472,120,142,25.423728813559322,30.08474576271186,-4.6610169491525415,0.30995059811582026,HIGH
Calm,Positioning,Green,25-50,50-75,172,38,46,22.093023255813954,26.744186046511626,-4.651162790697672,0.4924718296362791,HIGH
Calm,Closing,Green,50-75,50-75,518,104,128,20.077220077220076,24.71042471042471,-4.633204633204635,0.19474769265177608,HIGH
Moderate,Survival,Orange,25-50,25-50,65,13,16,20.0,24.615384615384617,-4.615384615384616,0.15189099650276922,HIGH
Moderate,Closing,Yellow,50-75,50-75,826,201,239,24.33414043583535,28.934624697336563,-4.600484261501212,0.34668070997352307,HIGH
Moderate,Positioning,Purple,25-50,50-75,134,38,32,28.35820895522388,23.88059701492537,4.477611940298506,-0.13564965768358217,HIGH
Tough,Positioning,Orange,25-50,50-75,45,13,11,28.888888888888886,24.444444444444443,4.444444444444443,0.5992091960772888,HIGH
Calm,Survival,Blue,25-50,50-75,541,120,144,22.181146025878004,26.617375231053604,-4.436229205175598,0.38479015040205183,HIGH
Moderate,Open,Purple,50-75,25-50,23,7,6,30.434782608695656,26.08695652173913,4.347826086956524,-0.04813554327826092,EXPLORATORY
Calm,Open,Purple,25-50,25-50,69,27,24,39.130434782608695,34.78260869565217,4.347826086956524,0.23852372770144928,HIGH
Tough,Survival,Blue,50-75,50-75,23,5,4,21.73913043478261,17.391304347826086,4.3478260869565215,0.26277809986,EXPLORATORY
Tough,Open,Purple,50-75,50-75,46,10,12,21.73913043478261,26.08695652173913,-4.3478260869565215,0.39863766898056513,HIGH
Moderate,Open,Green,75-100,50-75,115,33,38,28.695652173913043,33.04347826086956,-4.347826086956519,0.35114565535947834,HIGH
Moderate,Positioning,Blue,50-75,75-100,208,60,69,28.846153846153843,33.17307692307692,-4.326923076923078,0.37774092509313556,HIGH
Calm,Closing,Purple,25-50,50-75,233,70,60,30.042918454935624,25.75107296137339,4.291845493562235,-0.13614393636884128,HIGH
Moderate,Closing,Purple,50-75,50-75,262,71,60,27.099236641221374,22.900763358778626,4.19847328244275,-0.4111023990201146,HIGH
Moderate,Open,Purple,50-75,50-75,667,187,159,28.035982008995504,23.838080959520237,4.197901049475264,-0.11259878225009834,HIGH
Calm,Survival,Purple,75-100,50-75,240,54,64,22.5,26.666666666666668,-4.166666666666666,0.15091574805000002,HIGH
Calm,Positioning,Yellow,50-75,25-50,73,18,21,24.65753424657534,28.767123287671232,-4.10958904109589,0.6830543458698632,HIGH
Tough,Survival,Green,50-75,50-75,49,11,9,22.448979591836736,18.367346938775512,4.081632653061224,-0.47008085486906137,HIGH
Calm,Open,Yellow,75-100,50-75,640,138,164,21.5625,25.624999999999996,-4.0624999999999964,0.20269666408964068,HIGH
Moderate,Closing,Blue,50-75,50-75,323,99,86,30.65015479876161,26.625386996904027,4.024767801857582,-0.09929623331145512,HIGH
Calm,Survival,Yellow,25-50,25-50,224,57,48,25.44642857142857,21.428571428571427,4.017857142857142,-0.37483073804732153,HIGH
Calm,Survival,Blue,25-50,25-50,129,36,31,27.906976744186046,24.031007751937985,3.8759689922480605,0.1718248460762791,HIGH
Calm,Closing,Blue,50-75,75-100,516,121,141,23.449612403100776,27.325581395348834,-3.8759689922480605,0.26021177762480624,HIGH
Calm,Closing,Red,25-50,50-75,53,15,13,28.30188679245283,24.528301886792452,3.7735849056603765,-0.10758618566981129,HIGH
Moderate,Open,Orange,25-50,50-75,480,130,112,27.083333333333332,23.333333333333332,3.749999999999998,-0.02211982192358336,HIGH
Calm,Closing,Blue,25-50,50-75,402,94,109,23.383084577114428,27.114427860696516,-3.731343283582089,0.2347212970911443,HIGH
Moderate,Survival,Green,25-50,25-50,27,3,4,11.11111111111111,14.814814814814813,-3.7037037037037033,-0.012389069293333235,EXPLORATORY
Calm,Closing,Blue,75-100,75-100,27,5,6,18.51851851851852,22.22222222222222,-3.7037037037037033,-0.24587513679999995,EXPLORATORY
Tough,Open,Blue,50-75,75-100,55,15,17,27.27272727272727,30.909090909090907,-3.6363636363636376,0.1544918051961818,HIGH
Calm,Survival,Blue,75-100,50-75,224,62,54,27.67857142857143,24.107142857142858,3.5714285714285725,-0.20658805404928568,HIGH
Tough,Open,Orange,25-50,50-75,28,6,5,21.428571428571427,17.857142857142858,3.57142857142857,-0.2569513049478571,EXPLORATORY
Moderate,Open,Blue,75-100,50-75,200,45,52,22.5,26.0,-3.5000000000000004,0.15011859339925004,HIGH
Tough,Survival,Purple,50-75,50-75,87,19,22,21.839080459770116,25.287356321839084,-3.448275862068967,-0.0173779533035173,HIGH
Calm,Survival,Yellow,75-100,50-75,536,125,143,23.32089552238806,26.679104477611943,-3.358208955223882,0.17570918084906723,HIGH
Calm,Closing,Blue,75-100,50-75,214,47,54,21.962616822429908,25.233644859813083,-3.271028037383175,0.16407340091588785,HIGH
Calm,Survival,Purple,50-75,75-100,312,67,77,21.474358974358974,24.679487179487182,-3.2051282051282075,0.006395812776025602,HIGH
Moderate,Open,Blue,25-50,50-75,406,92,105,22.660098522167488,25.862068965517242,-3.2019704433497553,0.25476350231106715,HIGH
