Color,Exec/Upside,bucket,Course Condition,Round Type,-2,2,Win Ratio,Adj Win Ratio (150),%Score,Score,,,,,,,
Purple,Exec,25-50,Calm,Positioning,133,125,51.55%,51.55%,-3.49%,-3.49,,,,,,,
Purple,Exec,50-75,Calm,Positioning,221,174,55.95%,55.95%,0.91%,0.91,,,,,,,
Purple,Exec,75-100,Calm,Positioning,27,30,47.37%,52.25%,-2.78%,-2.78,,,,,,,
Red,Exec,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Red,Exec,25-50,Calm,Positioning,18,28,39.13%,50.02%,-5.01%,-5.01,,,,,,,
Red,Exec,50-75,Calm,Positioning,51,44,53.68%,54.38%,-0.66%,-0.66,,,,,,,
Red,Exec,75-100,Calm,Positioning,7,4,63.64%,55.89%,0.85%,0.85,,,,,,,
Brown,Exec,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Calm,Positioning,2,2,50.00%,54.84%,-0.19%,-0.19,,,,,,,
Brown,Exec,50-75,Calm,Positioning,2,2,50.00%,54.84%,-0.19%,-0.19,,,,,,,
Brown,Exec,75-100,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Pink,Exec,0-25,Calm,Survival,0,1,0.00%,56.28%,-0.56%,-0.56,,,,,,,
Pink,Exec,25-50,Calm,Survival,8,6,57.14%,56.88%,0.04%,0.04,,,,,,,
Pink,Exec,50-75,Calm,Survival,5,0,100.00%,58.90%,2.06%,2.06,,,,,,,
Pink,Exec,75-100,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Orange,Exec,0-25,Calm,Survival,7,3,70.00%,58.04%,1.20%,1.20,,,,,,,
Orange,Exec,25-50,Calm,Survival,292,212,57.94%,57.94%,1.09%,1.09,,,,,,,
Orange,Exec,50-75,Calm,Survival,207,154,57.34%,57.34%,0.50%,0.50,,,,,,,
Orange,Exec,75-100,Calm,Survival,32,38,45.71%,52.26%,-4.58%,-4.58,,,,,,,
Blue,Exec,0-25,Calm,Survival,2,0,100.00%,57.69%,0.85%,0.85,,,,,,,
Blue,Exec,25-50,Calm,Survival,274,227,54.69%,54.69%,-2.15%,-2.15,,,,,,,
Blue,Exec,50-75,Calm,Survival,410,335,55.03%,55.03%,-1.81%,-1.81,,,,,,,
Blue,Exec,75-100,Calm,Survival,73,58,55.73%,55.73%,-1.12%,-1.12,,,,,,,
Yellow,Exec,0-25,Calm,Survival,2,1,66.67%,57.13%,0.29%,0.29,,,,,,,
Yellow,Exec,25-50,Calm,Survival,423,311,57.63%,57.63%,0.79%,0.79,,,,,,,
Yellow,Exec,50-75,Calm,Survival,896,695,56.32%,56.32%,-0.53%,-0.53,,,,,,,
Yellow,Exec,75-100,Calm,Survival,160,120,57.14%,57.14%,0.30%,0.30,,,,,,,
Green,Exec,0-25,Calm,Survival,1,0,100.00%,57.27%,0.43%,0.43,,,,,,,
Green,Exec,25-50,Calm,Survival,164,89,64.82%,64.82%,7.98%,7.98,,,,,,,
Green,Exec,50-75,Calm,Survival,317,251,55.81%,55.81%,-1.03%,-1.03,,,,,,,
Green,Exec,75-100,Calm,Survival,52,47,52.53%,54.70%,-2.15%,-2.15,,,,,,,
Purple,Exec,0-25,Calm,Survival,0,2,0.00%,55.73%,-1.11%,-1.11,,,,,,,
Purple,Exec,25-50,Calm,Survival,209,134,60.93%,60.93%,4.09%,4.09,,,,,,,
Purple,Exec,50-75,Calm,Survival,278,220,55.82%,55.82%,-1.02%,-1.02,,,,,,,
Purple,Exec,75-100,Calm,Survival,74,56,56.92%,56.92%,0.08%,0.08,,,,,,,
Red,Exec,0-25,Calm,Survival,1,0,100.00%,57.27%,0.43%,0.43,,,,,,,
Red,Exec,25-50,Calm,Survival,60,34,63.83%,60.23%,3.38%,3.38,,,,,,,
Red,Exec,50-75,Calm,Survival,76,59,56.30%,56.30%,-0.55%,-0.55,,,,,,,
Red,Exec,75-100,Calm,Survival,21,18,53.85%,56.00%,-0.84%,-0.84,,,,,,,
Brown,Exec,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Brown,Exec,50-75,Calm,Survival,5,3,62.50%,57.26%,0.42%,0.42,,,,,,,
Pink,Exec,0-25,Calm,Closing,0,3,0.00%,55.45%,-1.66%,-1.66,,,,,,,
Pink,Exec,25-50,Calm,Closing,13,5,72.22%,59.42%,2.31%,2.31,,,,,,,
Pink,Exec,50-75,Calm,Closing,5,9,35.71%,54.48%,-2.63%,-2.63,,,,,,,
Pink,Exec,75-100,Calm,Closing,1,1,50.00%,56.97%,-0.14%,-0.14,,,,,,,
Orange,Exec,0-25,Calm,Closing,0,3,0.00%,55.45%,-1.66%,-1.66,,,,,,,
Orange,Exec,25-50,Calm,Closing,235,187,55.69%,55.69%,-1.42%,-1.42,,,,,,,
Orange,Exec,50-75,Calm,Closing,175,142,55.21%,55.21%,-1.91%,-1.91,,,,,,,
Orange,Exec,75-100,Calm,Closing,53,37,58.89%,57.95%,0.84%,0.84,,,,,,,
Blue,Exec,0-25,Calm,Closing,3,0,100.00%,58.36%,1.25%,1.25,,,,,,,
Blue,Exec,25-50,Calm,Closing,145,154,48.49%,48.49%,-8.62%,-8.62,,,,,,,
Blue,Exec,50-75,Calm,Closing,309,263,54.02%,54.02%,-3.09%,-3.09,,,,,,,
Blue,Exec,75-100,Calm,Closing,64,55,53.78%,53.78%,-3.33%,-3.33,,,,,,,
Yellow,Exec,0-25,Calm,Closing,4,1,80.00%,58.20%,1.09%,1.09,,,,,,,
Yellow,Exec,25-50,Calm,Closing,293,249,54.06%,54.06%,-3.05%,-3.05,,,,,,,
Yellow,Exec,50-75,Calm,Closing,618,401,60.65%,60.65%,3.54%,3.54,,,,,,,
Yellow,Exec,75-100,Calm,Closing,131,100,56.71%,56.71%,-0.40%,-0.40,,,,,,,
Green,Exec,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Green,Exec,25-50,Calm,Closing,87,65,57.24%,57.24%,0.13%,0.13,,,,,,,
Green,Exec,50-75,Calm,Closing,201,112,64.22%,64.22%,7.11%,7.11,,,,,,,
Green,Exec,75-100,Calm,Closing,36,19,65.45%,60.07%,2.96%,2.96,,,,,,,
Purple,Exec,0-25,Calm,Closing,1,0,100.00%,57.54%,0.42%,0.42,,,,,,,
Purple,Exec,25-50,Calm,Closing,131,63,67.53%,67.53%,10.41%,10.41,,,,,,,
Purple,Exec,50-75,Calm,Closing,212,169,55.64%,55.64%,-1.47%,-1.47,,,,,,,
Purple,Exec,75-100,Calm,Closing,49,21,70.00%,62.42%,5.31%,5.31,,,,,,,
Red,Exec,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Red,Exec,25-50,Calm,Closing,27,20,57.45%,57.22%,0.11%,0.11,,,,,,,
Red,Exec,50-75,Calm,Closing,20,41,32.79%,47.90%,-9.22%,-9.22,,,,,,,
Red,Exec,75-100,Calm,Closing,13,3,81.25%,60.44%,3.33%,3.33,,,,,,,
Brown,Exec,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Calm,Closing,3,2,60.00%,57.25%,0.14%,0.14,,,,,,,
Brown,Exec,50-75,Calm,Closing,2,1,66.67%,57.39%,0.28%,0.28,,,,,,,
Pink,Exec,0-25,Moderate,Open,0,2,0.00%,53.49%,-1.07%,-1.07,,,,,,,
Pink,Exec,25-50,Moderate,Open,10,6,62.50%,55.66%,1.09%,1.09,,,,,,,
Pink,Exec,50-75,Moderate,Open,2,1,66.67%,54.92%,0.35%,0.35,,,,,,,
Pink,Exec,75-100,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Orange,Exec,0-25,Moderate,Open,5,3,62.50%,55.15%,0.59%,0.59,,,,,,,
Orange,Exec,25-50,Moderate,Open,231,155,59.84%,59.84%,5.28%,5.28,,,,,,,
Orange,Exec,50-75,Moderate,Open,232,156,59.79%,59.79%,5.23%,5.23,,,,,,,
