Color,Exec/Upside,bucket,Course Condition,Round Type,-2,2,Win Ratio,Adj Win Ratio (150),%Score,Score,,,,,,,
Orange,Upside,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Calm,Open,39,21,65.00%,62.50%,1.50%,1.50,,,,,,,
Orange,Upside,50-75,Calm,Open,478,302,61.28%,61.28%,0.29%,0.29,,,,,,,
Orange,Upside,75-100,Calm,Open,262,147,64.06%,64.06%,3.07%,3.07,,,,,,,
Blue,Upside,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Calm,Open,44,38,53.66%,57.69%,-3.30%,-3.30,,,,,,,
Blue,Upside,50-75,Calm,Open,654,385,62.95%,62.95%,1.95%,1.95,,,,,,,
Blue,Upside,75-100,Calm,Open,345,266,56.46%,56.46%,-4.53%,-4.53,,,,,,,
Yellow,Upside,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Calm,Open,106,44,70.67%,70.67%,9.67%,9.67,,,,,,,
Yellow,Upside,50-75,Calm,Open,1323,829,61.48%,61.48%,0.48%,0.48,,,,,,,
Yellow,Upside,75-100,Calm,Open,624,387,61.72%,61.72%,0.73%,0.73,,,,,,,
Green,Upside,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Calm,Open,27,10,72.97%,64.23%,3.24%,3.24,,,,,,,
Green,Upside,50-75,Calm,Open,458,313,59.40%,59.40%,-1.59%,-1.59,,,,,,,
Green,Upside,75-100,Calm,Open,163,114,58.84%,58.84%,-2.15%,-2.15,,,,,,,
Purple,Upside,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Purple,Upside,25-50,Calm,Open,36,24,60.00%,60.62%,-0.37%,-0.37,,,,,,,
Purple,Upside,50-75,Calm,Open,550,388,58.64%,58.64%,-2.36%,-2.36,,,,,,,
Purple,Upside,75-100,Calm,Open,171,102,62.64%,62.64%,1.64%,1.64,,,,,,,
Red,Upside,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Red,Upside,25-50,Calm,Open,1,2,33.33%,60.19%,-0.81%,-0.81,,,,,,,
Red,Upside,50-75,Calm,Open,101,80,55.80%,55.80%,-5.19%,-5.19,,,,,,,
Red,Upside,75-100,Calm,Open,35,17,67.31%,63.15%,2.16%,2.16,,,,,,,
Brown,Upside,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Brown,Upside,25-50,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Brown,Upside,50-75,Calm,Open,3,4,42.86%,59.81%,-1.19%,-1.19,,,,,,,
Brown,Upside,75-100,Calm,Open,4,2,66.67%,61.31%,0.32%,0.32,,,,,,,
Pink,Upside,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Calm,Positioning,5,1,83.33%,56.64%,1.60%,1.60,,,,,,,
Pink,Upside,50-75,Calm,Positioning,9,14,39.13%,52.06%,-2.97%,-2.97,,,,,,,
Pink,Upside,75-100,Calm,Positioning,2,2,50.00%,54.84%,-0.19%,-0.19,,,,,,,
Orange,Upside,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Calm,Positioning,25,26,49.02%,53.00%,-2.03%,-2.03,,,,,,,
Orange,Upside,50-75,Calm,Positioning,264,228,53.66%,53.66%,-1.38%,-1.38,,,,,,,
Orange,Upside,75-100,Calm,Positioning,136,109,55.51%,55.51%,0.47%,0.47,,,,,,,
Blue,Upside,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Calm,Positioning,27,35,43.55%,50.64%,-4.40%,-4.40,,,,,,,
Blue,Upside,50-75,Calm,Positioning,328,236,58.16%,58.16%,3.12%,3.12,,,,,,,
Blue,Upside,75-100,Calm,Positioning,209,151,58.06%,58.06%,3.02%,3.02,,,,,,,
Yellow,Upside,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Calm,Positioning,74,60,55.22%,55.22%,0.19%,0.19,,,,,,,
Yellow,Upside,50-75,Calm,Positioning,644,474,57.60%,57.60%,2.57%,2.57,,,,,,,
Yellow,Upside,75-100,Calm,Positioning,308,291,51.42%,51.42%,-3.62%,-3.62,,,,,,,
Green,Upside,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Calm,Positioning,18,20,47.37%,52.92%,-2.11%,-2.11,,,,,,,
Green,Upside,50-75,Calm,Positioning,217,177,55.08%,55.08%,0.04%,0.04,,,,,,,
Green,Upside,75-100,Calm,Positioning,96,75,56.14%,56.14%,1.10%,1.10,,,,,,,
Purple,Upside,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Purple,Upside,25-50,Calm,Positioning,24,23,51.06%,53.77%,-1.27%,-1.27,,,,,,,
Purple,Upside,50-75,Calm,Positioning,252,222,53.16%,53.16%,-1.87%,-1.87,,,,,,,
Purple,Upside,75-100,Calm,Positioning,107,84,56.02%,56.02%,0.98%,0.98,,,,,,,
Red,Upside,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Red,Upside,25-50,Calm,Positioning,0,4,0.00%,52.92%,-2.12%,-2.12,,,,,,,
Red,Upside,50-75,Calm,Positioning,54,56,49.09%,49.09%,-5.95%,-5.95,,,,,,,
Red,Upside,75-100,Calm,Positioning,22,16,57.89%,55.82%,0.79%,0.79,,,,,,,
Brown,Upside,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Brown,Upside,25-50,Calm,Positioning,2,2,50.00%,54.84%,-0.19%,-0.19,,,,,,,
Brown,Upside,50-75,Calm,Positioning,2,0,100.00%,55.92%,0.88%,0.88,,,,,,,
Brown,Upside,75-100,Calm,Positioning,0,2,0.00%,53.96%,-1.08%,-1.08,,,,,,,
Pink,Upside,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Pink,Upside,50-75,Calm,Survival,11,5,68.75%,58.49%,1.64%,1.64,,,,,,,
Pink,Upside,75-100,Calm,Survival,2,2,50.00%,56.58%,-0.26%,-0.26,,,,,,,
Orange,Upside,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Calm,Survival,27,32,45.76%,52.73%,-4.11%,-4.11,,,,,,,
Orange,Upside,50-75,Calm,Survival,308,239,56.31%,56.31%,-0.54%,-0.54,,,,,,,
Orange,Upside,75-100,Calm,Survival,203,136,59.88%,59.88%,3.04%,3.04,,,,,,,
Blue,Upside,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Calm,Survival,40,40,50.00%,53.80%,-3.04%,-3.04,,,,,,,
Blue,Upside,50-75,Calm,Survival,443,354,55.58%,55.58%,-1.26%,-1.26,,,,,,,
Blue,Upside,75-100,Calm,Survival,276,226,54.98%,54.98%,-1.86%,-1.86,,,,,,,
Yellow,Upside,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Calm,Survival,92,49,65.25%,65.25%,8.40%,8.40,,,,,,,
Yellow,Upside,50-75,Calm,Survival,885,700,55.84%,55.84%,-1.01%,-1.01,,,,,,,
Yellow,Upside,75-100,Calm,Survival,504,378,57.14%,57.14%,0.30%,0.30,,,,,,,
Green,Upside,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Calm,Survival,27,22,55.10%,56.27%,-0.57%,-0.57,,,,,,,
Green,Upside,50-75,Calm,Survival,359,280,56.18%,56.18%,-0.66%,-0.66,,,,,,,
Green,Upside,75-100,Calm,Survival,148,85,63.52%,63.52%,6.68%,6.68,,,,,,,
Purple,Upside,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Purple,Upside,25-50,Calm,Survival,34,27,55.74%,56.42%,-0.42%,-0.42,,,,,,,
Purple,Upside,50-75,Calm,Survival,372,254,59.42%,59.42%,2.58%,2.58,,,,,,,
Purple,Upside,75-100,Calm,Survival,155,131,54.20%,54.20%,-2.65%,-2.65,,,,,,,
Red,Upside,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Red,Upside,25-50,Calm,Survival,3,5,37.50%,55.41%,-1.43%,-1.43,,,,,,,
Red,Upside,50-75,Calm,Survival,119,82,59.20%,59.20%,2.36%,2.36,,,,,,,
Red,Upside,75-100,Calm,Survival,36,24,60.00%,58.03%,1.18%,1.18,,,,,,,
Brown,Upside,0-25,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Brown,Upside,25-50,Calm,Survival,0,0,#DIV/0!,56.84%,0.00%,0.00,,,,,,,
Brown,Upside,50-75,Calm,Survival,5,3,62.50%,57.26%,0.42%,0.42,,,,,,,
Pink,Upside,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Calm,Closing,0,3,0.00%,55.45%,-1.66%,-1.66,,,,,,,
Pink,Upside,50-75,Calm,Closing,17,12,58.62%,57.45%,0.34%,0.34,,,,,,,
Pink,Upside,75-100,Calm,Closing,2,3,40.00%,56.30%,-0.81%,-0.81,,,,,,,
Orange,Upside,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Calm,Closing,21,25,45.65%,53.50%,-3.61%,-3.61,,,,,,,
Orange,Upside,50-75,Calm,Closing,273,223,55.04%,55.04%,-2.07%,-2.07,,,,,,,
Orange,Upside,75-100,Calm,Closing,169,121,58.28%,58.28%,1.16%,1.16,,,,,,,
Blue,Upside,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Calm,Closing,47,22,68.12%,61.60%,4.49%,4.49,,,,,,,
Blue,Upside,50-75,Calm,Closing,306,274,52.76%,52.76%,-4.35%,-4.35,,,,,,,
Blue,Upside,75-100,Calm,Closing,168,176,48.84%,48.84%,-8.27%,-8.27,,,,,,,
Yellow,Upside,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Calm,Closing,91,60,60.26%,60.26%,3.15%,3.15,,,,,,,
Yellow,Upside,50-75,Calm,Closing,629,441,58.79%,58.79%,1.67%,1.67,,,,,,,
Yellow,Upside,75-100,Calm,Closing,326,250,56.60%,56.60%,-0.51%,-0.51,,,,,,,
Green,Upside,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Calm,Closing,11,25,30.56%,50.08%,-7.03%,-7.03,,,,,,,
Green,Upside,50-75,Calm,Closing,214,128,62.57%,62.57%,5.46%,5.46,,,,,,,
Green,Upside,75-100,Calm,Closing,99,43,69.72%,69.72%,12.61%,12.61,,,,,,,
Purple,Upside,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Purple,Upside,25-50,Calm,Closing,17,5,77.27%,60.75%,3.64%,3.64,,,,,,,
Purple,Upside,50-75,Calm,Closing,290,185,61.05%,61.05%,3.94%,3.94,,,,,,,
Purple,Upside,75-100,Calm,Closing,86,63,57.72%,57.72%,0.61%,0.61,,,,,,,
Red,Upside,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Red,Upside,25-50,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Red,Upside,50-75,Calm,Closing,35,52,40.23%,49.26%,-7.85%,-7.85,,,,,,,
Red,Upside,75-100,Calm,Closing,25,12,67.57%,59.94%,2.82%,2.82,,,,,,,
Brown,Upside,0-25,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Brown,Upside,25-50,Calm,Closing,0,0,#DIV/0!,57.11%,0.00%,0.00,,,,,,,
Brown,Upside,50-75,Calm,Closing,5,3,62.50%,57.51%,0.40%,0.40,,,,,,,
Pink,Upside,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Moderate,Open,1,0,100.00%,55.01%,0.45%,0.45,,,,,,,
Pink,Upside,50-75,Moderate,Open,10,8,55.56%,54.72%,0.15%,0.15,,,,,,,
Pink,Upside,75-100,Moderate,Open,1,1,50.00%,54.47%,-0.09%,-0.09,,,,,,,
Orange,Upside,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Moderate,Open,41,36,53.25%,53.99%,-0.57%,-0.57,,,,,,,
Orange,Upside,50-75,Moderate,Open,290,215,57.43%,57.43%,2.86%,2.86,,,,,,,
Orange,Upside,75-100,Moderate,Open,184,111,62.37%,62.37%,7.81%,7.81,,,,,,,
Blue,Upside,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Moderate,Open,21,33,38.89%,49.07%,-5.50%,-5.50,,,,,,,
Blue,Upside,50-75,Moderate,Open,314,247,55.97%,55.97%,1.41%,1.41,,,,,,,
Blue,Upside,75-100,Moderate,Open,218,201,52.03%,52.03%,-2.54%,-2.54,,,,,,,
Yellow,Upside,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Moderate,Open,39,50,43.82%,49.50%,-5.06%,-5.06,,,,,,,
Yellow,Upside,50-75,Moderate,Open,644,558,53.58%,53.58%,-0.99%,-0.99,,,,,,,
Yellow,Upside,75-100,Moderate,Open,356,285,55.54%,55.54%,0.97%,0.97,,,,,,,
Green,Upside,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Moderate,Open,13,23,36.11%,49.68%,-4.88%,-4.88,,,,,,,
Green,Upside,50-75,Moderate,Open,257,223,53.54%,53.54%,-1.02%,-1.02,,,,,,,
Green,Upside,75-100,Moderate,Open,85,76,52.80%,52.80%,-1.77%,-1.77,,,,,,,
Purple,Upside,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Purple,Upside,25-50,Moderate,Open,21,16,56.76%,55.16%,0.59%,0.59,,,,,,,
Purple,Upside,50-75,Moderate,Open,310,225,57.94%,57.94%,3.38%,3.38,,,,,,,
Purple,Upside,75-100,Moderate,Open,94,105,47.24%,47.24%,-7.33%,-7.33,,,,,,,
Red,Upside,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Red,Upside,25-50,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Red,Upside,50-75,Moderate,Open,63,54,53.85%,53.85%,-0.72%,-0.72,,,,,,,
Red,Upside,75-100,Moderate,Open,14,17,45.16%,52.34%,-2.23%,-2.23,,,,,,,
Brown,Upside,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Brown,Upside,25-50,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Brown,Upside,50-75,Moderate,Open,7,0,100.00%,57.54%,2.97%,2.97,,,,,,,
Brown,Upside,75-100,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Pink,Upside,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Pink,Upside,50-75,Moderate,Positioning,7,3,70.00%,46.47%,2.35%,2.35,,,,,,,
Pink,Upside,75-100,Moderate,Positioning,4,1,80.00%,45.83%,1.71%,1.71,,,,,,,
Orange,Upside,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Moderate,Positioning,22,21,51.16%,46.24%,2.12%,2.12,,,,,,,
Orange,Upside,50-75,Moderate,Positioning,80,97,45.20%,45.20%,1.08%,1.08,,,,,,,
Orange,Upside,75-100,Moderate,Positioning,67,67,50.00%,50.00%,5.88%,5.88,,,,,,,
Blue,Upside,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Moderate,Positioning,20,29,40.82%,43.03%,-1.09%,-1.09,,,,,,,
Blue,Upside,50-75,Moderate,Positioning,115,154,42.75%,42.75%,-1.37%,-1.37,,,,,,,
Blue,Upside,75-100,Moderate,Positioning,68,109,38.42%,38.42%,-5.70%,-5.70,,,,,,,
Yellow,Upside,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Moderate,Positioning,27,33,45.00%,44.45%,0.33%,0.33,,,,,,,
Yellow,Upside,50-75,Moderate,Positioning,232,302,43.45%,43.45%,-0.67%,-0.67,,,,,,,
Yellow,Upside,75-100,Moderate,Positioning,125,163,43.40%,43.40%,-0.72%,-0.72,,,,,,,
Green,Upside,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Moderate,Positioning,10,11,47.62%,44.73%,0.61%,0.61,,,,,,,
Green,Upside,50-75,Moderate,Positioning,103,100,50.74%,50.74%,6.62%,6.62,,,,,,,
Green,Upside,75-100,Moderate,Positioning,26,50,34.21%,39.84%,-4.28%,-4.28,,,,,,,
Purple,Upside,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Purple,Upside,25-50,Moderate,Positioning,1,4,20.00%,42.97%,-1.15%,-1.15,,,,,,,
Purple,Upside,50-75,Moderate,Positioning,124,164,43.06%,43.06%,-1.06%,-1.06,,,,,,,
Purple,Upside,75-100,Moderate,Positioning,40,48,45.45%,44.74%,0.63%,0.63,,,,,,,
Red,Upside,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Red,Upside,25-50,Moderate,Positioning,0,1,0.00%,43.68%,-0.44%,-0.44,,,,,,,
Red,Upside,50-75,Moderate,Positioning,23,19,54.76%,47.27%,3.15%,3.15,,,,,,,
Red,Upside,75-100,Moderate,Positioning,4,15,21.05%,40.44%,-3.68%,-3.68,,,,,,,
Brown,Upside,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Brown,Upside,25-50,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Brown,Upside,50-75,Moderate,Positioning,1,1,50.00%,44.23%,0.12%,0.12,,,,,,,
Brown,Upside,75-100,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Pink,Upside,0-25,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Moderate,Survival,2,1,66.67%,52.81%,0.42%,0.42,,,,,,,
Pink,Upside,50-75,Moderate,Survival,15,12,55.56%,53.06%,0.67%,0.67,,,,,,,
Pink,Upside,75-100,Moderate,Survival,6,3,66.67%,53.57%,1.18%,1.18,,,,,,,
Orange,Upside,0-25,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Moderate,Survival,20,31,39.22%,47.94%,-4.45%,-4.45,,,,,,,
Orange,Upside,50-75,Moderate,Survival,269,266,50.28%,50.28%,-2.11%,-2.11,,,,,,,
Orange,Upside,75-100,Moderate,Survival,150,162,48.08%,48.08%,-4.32%,-4.32,,,,,,,
Blue,Upside,0-25,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Moderate,Survival,52,46,53.06%,52.72%,0.33%,0.33,,,,,,,
Blue,Upside,50-75,Moderate,Survival,379,325,53.84%,53.84%,1.44%,1.44,,,,,,,
Blue,Upside,75-100,Moderate,Survival,170,145,53.97%,53.97%,1.58%,1.58,,,,,,,
Yellow,Upside,0-25,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Moderate,Survival,98,100,49.49%,49.49%,-2.90%,-2.90,,,,,,,
Yellow,Upside,50-75,Moderate,Survival,685,659,50.97%,50.97%,-1.43%,-1.43,,,,,,,
Yellow,Upside,75-100,Moderate,Survival,260,239,52.10%,52.10%,-0.29%,-0.29,,,,,,,
Green,Upside,0-25,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Moderate,Survival,16,13,55.17%,53.02%,0.62%,0.62,,,,,,,
Green,Upside,50-75,Moderate,Survival,213,177,54.62%,54.62%,2.22%,2.22,,,,,,,
Green,Upside,75-100,Moderate,Survival,87,70,55.41%,55.41%,3.02%,3.02,,,,,,,
Purple,Upside,0-25,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Purple,Upside,25-50,Moderate,Survival,7,5,58.33%,53.03%,0.64%,0.64,,,,,,,
Purple,Upside,50-75,Moderate,Survival,225,166,57.54%,57.54%,5.15%,5.15,,,,,,,
Purple,Upside,75-100,Moderate,Survival,98,66,59.76%,59.76%,7.36%,7.36,,,,,,,
Red,Upside,0-25,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Red,Upside,25-50,Moderate,Survival,0,1,0.00%,51.87%,-0.52%,-0.52,,,,,,,
Red,Upside,50-75,Moderate,Survival,37,46,44.58%,48.85%,-3.54%,-3.54,,,,,,,
Red,Upside,75-100,Moderate,Survival,24,21,53.33%,52.68%,0.29%,0.29,,,,,,,
Brown,Upside,0-25,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Brown,Upside,25-50,Moderate,Survival,0,0,#DIV/0!,52.39%,0.00%,0.00,,,,,,,
Brown,Upside,50-75,Moderate,Survival,1,3,25.00%,51.34%,-1.05%,-1.05,,,,,,,
Pink,Upside,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Moderate,Closing,0,4,0.00%,45.15%,-1.81%,-1.81,,,,,,,
Pink,Upside,50-75,Moderate,Closing,3,3,50.00%,47.13%,0.17%,0.17,,,,,,,
Pink,Upside,75-100,Moderate,Closing,5,2,71.43%,48.55%,1.60%,1.60,,,,,,,
Orange,Upside,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Moderate,Closing,25,27,48.08%,47.34%,0.38%,0.38,,,,,,,
Orange,Upside,50-75,Moderate,Closing,109,70,60.89%,60.89%,13.94%,13.94,,,,,,,
Orange,Upside,75-100,Moderate,Closing,73,74,49.66%,49.66%,2.71%,2.71,,,,,,,
Blue,Upside,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Moderate,Closing,13,23,36.11%,44.08%,-2.87%,-2.87,,,,,,,
Blue,Upside,50-75,Moderate,Closing,184,158,53.80%,53.80%,6.85%,6.85,,,,,,,
Blue,Upside,75-100,Moderate,Closing,85,147,36.64%,36.64%,-10.32%,-10.32,,,,,,,
Yellow,Upside,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Moderate,Closing,29,39,42.65%,45.21%,-1.74%,-1.74,,,,,,,
Yellow,Upside,50-75,Moderate,Closing,291,395,42.42%,42.42%,-4.53%,-4.53,,,,,,,
Yellow,Upside,75-100,Moderate,Closing,166,191,46.50%,46.50%,-0.46%,-0.46,,,,,,,
Green,Upside,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Moderate,Closing,10,14,41.67%,45.93%,-1.02%,-1.02,,,,,,,
Green,Upside,50-75,Moderate,Closing,101,91,52.60%,52.60%,5.65%,5.65,,,,,,,
Green,Upside,75-100,Moderate,Closing,39,51,43.33%,45.24%,-1.71%,-1.71,,,,,,,
Purple,Upside,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Purple,Upside,25-50,Moderate,Closing,6,12,33.33%,44.88%,-2.08%,-2.08,,,,,,,
Purple,Upside,50-75,Moderate,Closing,101,97,51.01%,51.01%,4.06%,4.06,,,,,,,
Purple,Upside,75-100,Moderate,Closing,61,66,48.03%,48.03%,1.08%,1.08,,,,,,,
Red,Upside,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Red,Upside,25-50,Moderate,Closing,1,2,33.33%,46.56%,-0.40%,-0.40,,,,,,,
Red,Upside,50-75,Moderate,Closing,22,22,50.00%,47.88%,0.93%,0.93,,,,,,,
Red,Upside,75-100,Moderate,Closing,15,25,37.50%,44.25%,-2.70%,-2.70,,,,,,,
Brown,Upside,0-25,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Brown,Upside,25-50,Moderate,Closing,0,1,0.00%,46.49%,-0.46%,-0.46,,,,,,,
Brown,Upside,50-75,Moderate,Closing,2,1,66.67%,47.53%,0.57%,0.57,,,,,,,
Brown,Upside,75-100,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Pink,Upside,0-25,Tough,Open,0,0,#DIV/0!,58.84%,0.00%,0.00,,,,,,,
Pink,Upside,25-50,Tough,Open,0,0,#DIV/0!,58.84%,0.00%,0.00,,,,,,,
Pink,Upside,50-75,Tough,Open,0,0,#DIV/0!,58.84%,0.00%,0.00,,,,,,,
Pink,Upside,75-100,Tough,Open,1,0,100.00%,59.25%,0.41%,0.41,,,,,,,
Orange,Upside,0-25,Tough,Open,0,0,#DIV/0!,58.84%,0.00%,0.00,,,,,,,
Orange,Upside,25-50,Tough,Open,7,2,77.78%,60.40%,1.56%,1.56,,,,,,,
Orange,Upside,50-75,Tough,Open,14,5,73.68%,61.21%,2.37%,2.37,,,,,,,
Orange,Upside,75-100,Tough,Open,12,4,75.00%,61.07%,2.23%,2.23,,,,,,,
Blue,Upside,0-25,Tough,Open,0,0,#DIV/0!,58.84%,0.00%,0.00,,,,,,,
Blue,Upside,25-50,Tough,Open,1,7,12.50%,55.41%,-3.43%,-3.43,,,,,,,
Blue,Upside,50-75,Tough,Open,22,15,59.46%,59.01%,0.17%,0.17,,,,,,,
Blue,Upside,75-100,Tough,Open,19,14,57.58%,58.53%,-0.31%,-0.31,,,,,,,
Yellow,Upside,0-25,Tough,Open,0,0,#DIV/0!,58.84%,0.00%,0.00,,,,,,,
Yellow,Upside,25-50,Tough,Open,6,2,75.00%,60.04%,1.20%,1.20,,,,,,,
Yellow,Upside,50-75,Tough,Open,30,11,73.17%,63.01%,4.17%,4.17,,,,,,,
Yellow,Upside,75-100,Tough,Open,38,38,50.00%,55.02%,-3.82%,-3.82,,,,,,,
Green,Upside,0-25,Tough,Open,0,0,#DIV/0!,58.84%,0.00%,0.00,,,,,,,
Green,Upside,25-50,Tough,Open,0,2,0.00%,57.69%,-1.15%,-1.15,,,,,,,
Green,Upside,50-75,Tough,Open,13,8,61.90%,59.37%,0.53%,0.53,,,,,,,
